Company name,Industry,BV_MV,Beta,Debt equity ratio,Excess return,Market value,Price Sales,Return monthly
1time_holdings,Consumer Goods,0.180413832199546,0.0733,0.761326530612245,-0.215182093,176400,0.358981664258532,-0.125014193
AECI,Basic Materials,0.339480202682694,1.0451,0.370359208601258,-0.059391411,10589719.14,1.03698777320799,0.091999889
Adcorp,Industrials,0.141514650336936,1.1473,0.146850434441682,-0.005830242,2195553.6,0.848923395765346,0.151999658
Advtech,Consumer Goods,0.169649061916055,0.7775,0.0855306114672762,-0.091958153,1928958.5,2.32368523446356,0.042574347
Afgem,Basic Materials,0,0,0,0,0,0,0
Afgri,Consumer Goods,0.506486295824809,0.0856,2.08694587434214,-0.0878561,2429661,0.377536255529813,0.0030867
Afnrainbowmin,Basic Materials,0,0,0,0,0,0,0
Afribrand,Consumer Goods,0,0,0,0,0,0,0
abacus_tech,Consumer Goods,0,0,0,0,0,0,0
acucap_properties,Fincials,0.44707794801628,0.8463,0.273241087134737,-0.035968117,4643877,18.9463254823404,0.102898783
adaptit_holdings,Technology,0.253605483210468,0.5773,0.0492162933609225,-0.107807454,62865.36,1.27515943204868,0.014112446
adcock_ingram_holdings,Health Care,0,0,0,0,0,0,0
admiral_leiswld,Consumer Goods,0,0,0,0,0,0,0
adrenna_property_group,Financials,0.623411896388009,0,1.17417347202346,-0.08021309,122532.15,0.464460646814447,-0.08021309
african_&_osents,Consumer Goods,11.5362644628099,0.4469,3.89461157024793,-0.1137047,7562.5,0.0193615365315391,0
african_bank_invs,Financials,0.16422819802342,1.5277,0.39587404326443,-0.0288082,13438617.89,3.29216508819206,0.1529869
african_harvest,Financials,0,0,0,0,0,0,0
african_life_asr,Fincials,0,0,0,0,0,0,0
african_oxygen,Basic Materials,0.893743193763122,0.5918,0.569044434639031,-0.085260454,12171281.5,1.97842677178153,0.037572946
afrocentric_inv,Health Care,0.421280687397709,0.45,0.00979950900163666,-0.030564442,244400,#DIV/0!,0.083335558
ag_industries,Industrials,1.06108809969217,0.8133,1.4732685946443,-0.203954765,388633.14,0.337623613915231,-0.067166865
alacrity_finlsvs,Fincials,0,0,0,0,0,0,0
alex_white,Industrials,0,0,0,0,0,0,0
alexander_forbes,Fincials,0,0,0,0,0,0,0
alliance_pharmaceuticals,Health Care,0,0,0,0,0,0,0
allied_electronics,Industrials,0.73345470262341,0.768,0.732207330680173,-0.101820768,4810113,0.280866110008175,0.032113232
allied_technologies,Telecommunications,0.218940807153765,0.9934,0.11800212548024,0.128039786,8321884,1.22741651917404,0.276173986
aludie,Industrials,0,0,0,0,0,0,0
amalappc,Consumer Goods,0.742142150229242,0.9516,0.440726303245743,-0.220110289,742665,0.375147373642571,-0.074609489
amalbeverages_ind,Consumer Goods,0,0,0,0,0,0,0
amalgamated_elt,Industrials,0.727678290071937,1.6746,0.0517583664208735,-0.167240276,88855.2,2.3382947368421,0.023809524
amb,Fincials,0,0,0,0,0,0,0
amb_priveqptns,Fincials,0,0,0,0,0,0,0
ambit_properties,Fincials,0.585676252684615,0.684,0.424304151864089,-0.173091601,987525.1,9.53025574213472,-0.044449601
amlac,Consumer Goods,0,0,0,0,0,0,0
andulela_investment_hdg,Fincials,0,0,0,0,0,0,0
anglo_american_(jse),Basic Materials,0.0475597604897057,1.4024,0.0297387105039001,-0.195758904,592524010,15.132664288104,-0.021857704
anglo_american_platinum,Basic Materials,0.0484583161636104,0.8669,0.0379025451794314,-0.070722365,255941229.12,14.3784436693158,0.069442335
anglogold_ashanti,Basic Materials,0.265115479237469,1.2646,0.518367123254922,-0.233306808,78810939.52,3.91373787157968,-0.068087008
annuity_properties,Fincials,0,0,0,0,0,0,0
apexhi_properties_'a',Fincials,1.60648362780954,0.7727,0.667721026997448,-0.105017515,4286390.4,3.542260625814,0.029212585
apexhi_properties_'b',Fincials,1.34149663765539,0.8802,0.557581476152508,-0.108538602,5133084.8,4.24196642844393,0.032463998
apl,Fincials,0,0,0,0,0,0,0
aps_technologies,Health Care,0,0,0,0,0,0,0
aquarius_platinum_(jse),Basic Materials,0.142853704668776,1.0669,0.0979094174512859,-0.085884525,3758208.45,4.31454286521188,0.066880175
aquila_growth,Fincials,0,0,0,0,0,0,0
arb_holdings,Industrials,0,0,0,0,0,0,0
arcay_gp,Fincials,0,0,0,0,0,0,0
arcelormittal_sa,Basic Materials,0.350614501618732,1.6295,0.117029414348439,-0.091374059,65436540.4,2.58000001577101,0.096834441
ardor,Fincials,0,0,0,0,0,0,0
argent_industrial,Industrials,0.392720974218612,0.569,0.263141479902814,-0.144164726,1854869.1,1.43088168589043,-0.022767726
arrowhead_propsa_shares,Fincials,0,0,0,0,0,0,0
aspen_phmcrhdg,Health Care,0.163355986385848,1.1925,0.351924532086452,-0.028179644,14569603.8,3.61900948221172,0.132497856
assmang,Basic Materials,0,0,0,0,0,0,0
assore,Basic Materials,1.34165573089701,0.3864,0.84887084717608,0.02168593,2408000,0.560908410737762,0.13157913
astral_foods,Consumer Goods,0.194582669488083,0.8827,0.185470532336182,-0.046117526,5661460,1.09217341247427,0.095042574
astrapak,Industrials,0.517047530156447,0.7642,0.526326874833139,-0.125525384,1668867.85,0.750683540466126,0.008169216
atlas_properties,Fincials,0,0,0,0,0,0,0
atlatsa_resources_(jse),Basic Materials,0.00185137967180995,2.8753,0.00265104533442216,0.269003846,4848276.2,#DIV/0!,0.535697746
austro_group,Industrials,0.0171486524077461,2.1316,0.0724537303340713,-0.169231294,1150002.9,6.53964378934439,0.050609506
aveng,Industrials,0.432525416711387,0.9338,0.316780731489871,0.037052946,25392958.6,1.14935109739152,0.181432346
avgold,Basic Materials,0,0,0,0,0,0,0
avi,Consumer Goods,0.353961157216728,1.1434,0.270023645920622,-0.108862982,7572299.8,1.19580250773798,0.048721218
avis_sthnafrica,Industrials,0,0,0,0,0,0,0
avusa,Consumer Goods,0,0,0,0,0,0,0
awethu_breweries,Consumer Goods,-0.209503648426505,4.3884,0.705618695081424,-0.62123442,16911.4,1.4262798346968,-0.25921522
barclays_africa_group,Fincials,0.359471756973364,0.8836,5.21816475110213,-0.10121835,88165480,1.67780847986603,0.03999845
barloworld,Industrials,0.590139090300143,1.2378,0.887022056711014,-0.187095374,23160641.66,0.54249271918113,-0.023563974
barnard_jacmellet,Fincials,0.619794941884398,1.0977,11.2851134500998,-0.152701594,536207.99,1.1186497752094,0.002003506
barnato_exploration,Basic Materials,0,0,0,0,0,0,0
barplats_invs,Basic Materials,0,0,0,0,0,0,0
basil_read,Industrials,0.0812277888988002,0.8997,0.169859908746897,0.006254095,2378878,2.04687841486563,0.148485195
bauba_platinum,Basic Materials,0,0,0,0,0,0,0
bearing_man,Consumer Goods,0,0,0,0,0,0,0
bell_equipment,Industrials,0.19359139247815,0.9112,0.215884634035976,-0.059849948,4932616,1.39608516640972,0.083105652
bhp_billiton_(jse),Basic Materials,0.0266165490641965,1.055,0.0228241820269376,-0.136046551,555074437.5,27.3510231877487,0.015968449
bidvest_group,Industrials,0.24181946789702,0.9885,0.491247259552736,-0.141034465,43943976.44,0.459398281389104,0.006791035
blue_label_telecoms,Telecommunications,0,0,0,0,0,0,0
bonatla_pr,Fincials,0,0,0,0,0,0,0
bowler_metcalf,Industrials,0.420373913550922,0.5456,0.213039149977365,-0.113619586,579203.4,1.3559719068243,0.006303214
braemore_resources_(jse),Fincials,0,0,0,0,0,0,0
brait_sa_(jse),Fincials,0.529622010514749,1.055,0.253421310261002,-0.036767695,2304758.82,3.81742488161432,0.115247305
brandcorp,Consumer Goods,0,0,0,0,0,0,0
bridgestone_fireston,Consumer Goods,0,0,0,0,0,0,0
brimstone_inv,Fincials,7.76088346249128,-0.112,5.90189839679881,-0.111819856,202604.64,0.536057763796028,-0.033325856
britamertobacco_(jse),Consumer Goods,0,0,0,0,0,0,0
bryant_technology,Technology,0,0,0,0,0,0,0
buildmax,Basic Materials,0.0276542400883034,1.0111,0.0124701816314436,-0.330508778,1699413.9,15.0930219545987,-0.181259478
burlington_inds,Consumer Goods,0,0,0,0,0,0,0
business_connexion_group,Technology,0.812053283030335,0.8697,0.4834386963333,-0.212502919,1654613.1,0.465940539969728,-0.072161819
bytes_techgp,Technology,0.204642236363624,0.9145,0.342456456498199,0.1559498,3366851.4,0.823593786692759,0.2991133
cadiz,Fincials,0.372394468645066,1.06,1.04621313178775,-0.074586569,1163078.5,4.15483113876842,0.077743431
cafca,Industrials,0,0,0,0,0,0,0
canadian_ospack,Basic Materials,0,0,0,0,0,0,0
cape_empowerment,Fincials,0,0,0,0,0,0,0
cape_empwmtrust,Fincials,0.0444102155239924,1.0491,0.0658695271813192,-0.202551498,785067.12,4.89660086447243,-0.050908198
capevin_holdings,Consumer Goods,0,0,0,0,0,0,0
capevin_investments,Consumer Goods,0.33605981416957,0,0.000163182346109175,0.006134737,3444000,20872.7272727273,0.006134737
capital_&_cnts_(jse)_props,Fincials,0,0,0,0,0,0,0
capital_all,Fincials,0,0,0,0,0,0,0
capital_property_fd,Fincials,0.553580163596341,1.0051,0.176785675296397,-0.124281669,3148756.25,13.1937577255871,0.024589631
capitec_bank,Fincials,0.317414313190349,0.9071,0.301194494052424,0.023969928,3520446.16,3.06965503891515,0.166667228
cargo_carriers,Industrials,0,0,0,0,0,0,0
cashbuild,Consumer Goods,0.204647639249257,1.0329,0.374568080732737,-0.096759322,1716032.5,0.497633530585033,0.053863378
caxton_&_ctp_pb&prt,Consumer Goods,0.444944829983527,0.9875,0.126637950326308,-0.168283951,8463474,2.11248008194855,-0.020521451
cbd_property_fund,Fincials,0,0,0,0,0,0,0
cbs_property_prtf,Fincials,0,0,0,0,0,0,0
ccn_holdings,Industrials,0,0,0,0,0,0,0
cementation_coof_af,Industrials,0,0,0,0,0,0,0
central_rand_gold_(jse),Basic Materials,0,0,0,0,0,0,0
ceramic_industries,Industrials,0.256395644758318,0.8645,0.0937641469496424,-0.075372841,3269256,3.01263937779907,0.064640659
chariot_land,Fincials,0,0,0,0,0,0,0
chester_inv,Consumer Goods,0,0,0,0,0,0,0
cic_holdings,Industrials,0,0,0,0,0,0,0
cipla_medpro,Health Care,0.555818753424706,0.8103,0.479232908278523,-0.139052126,1795227.3,2.27389606507459,-0.002453226
city_lodge_hotels,Consumer Goods,0.148987653965367,0.9797,0.038786626041749,-0.111512763,3524359.14,6.91442629254617,0.035758337
clicks_group,Consumer Goods,0.26431771681087,0.8998,0.342611660168773,-0.067389753,6030428.15,0.603005368366624,0.074847647
clientele,Fincials,0,0,0,0,0,0,0
clientele_lfasr,Fincials,0.0596244502939092,0,0.375021495903909,0.104435643,2843565,3.7019367840558,0.104435643
clover_industries,Consumer Goods,0,0,0,0,0,0,0
coal_of_africa_(jse),Basic Materials,0.0866806631519068,0.2479,0.00748831508512248,0.152658115,1705190,27.6193329985908,0.253825815
comair,Consumer Goods,0.334379223636649,0.7637,0.564791764890775,-0.158177677,1272600,0.575383306288298,-0.024514577
combined_motor,Consumer Goods,0.29044489538235,0.9407,1.25208230053249,-0.318343568,1508337.75,0.166013209403093,-0.173529468
command,Industrials,0.29267947421638,0.617,0.406693629929221,-0.168758471,49450,0.625134318546705,-0.044337471
commerical_finco,Fincials,0,0,0,0,0,0,0
compu_clearoutsc,Technology,0.335779988664244,0.4601,0.0351039989169769,-0.058971771,116710.35,2.75963184526624,0.055564529
conafex_holdings_(jse),Consumer Goods,0,0,0,0,0,0,0
concor,Industrials,0,0,0,0,0,0,0
conduit_capital,Fincials,0.363691852110049,1.1369,1.82393618485021,-0.180738765,523286.4,2.38997035866472,-0.023564065
congella_fedn,Fincials,0,0,0,0,0,0,0
connection_gp,Consumer Goods,0,0,0,0,0,0,0
consol,Industrials,0,0,0,0,0,0,0
consolidated_infrgp,Industrials,0,0,0,0,0,0,0
consproperty_&_fin,Fincials,0,0,0,0,0,0,0
control_instruments_gp,Consumer Goods,1.46886013247845,1.3313,2.37706546463982,-0.162818068,238437.27,0.308794568448045,0.006603832
convergenet_holdings,Technology,0,0.9043,0.000383570995204626,-0.231457177,4885666.6,1420.25191860465,-0.088936277
core,Fincials,0,0,0,0,0,0,0
coronation,Fincials,0,0,0,0,0,0,0
corpcapital,Fincials,0,0,0,0,0,0,0
corvus_cap(sa),Fincials,0,0,0,0,0,0,0
corwil_investments,Fincials,0,0,0,0,0,0,0
country_bird_holdings,Consumer Goods,0.238558402030681,0.2398,0.437517242003102,-0.070950414,972914.8,0.743159015583263,0.029706986
crookes_brothers,Consumer Goods,0.494761981678473,1.0405,0.188853250878772,-0.101103788,520044,2.4568620966599,0.049997712
crux_techs,Technology,0,0,0,0,0,0,0
cs_computer_svs,Technology,0,0,0,0,0,0,0
cullinan,Consumer Goods,0,0,0,0,0,0,0
curro_holdings,Consumer Goods,0,0,0,0,0,0,0
cycad_finlhdg,Fincials,0,0,0,0,0,0,0
daewoo_eltnof_sa,Consumer Goods,0,0,0,0,0,0,0
datacentrix,Technology,0.218420546639996,1.2907,0.183958215059859,-0.075666993,1118699.7,1.79544374130324,0.091197107
datatec,Technology,0.604301557414464,0.9623,0.91724824735056,-0.076355005,6449664,0.292271596540865,0.069819895
delrand_resources_(jse),Basic Materials,0,0,0,0,0,0,0
