me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Consumer Goods,7367,7367,7367,4308,4308,4308,4308,4308,4308,4308,4308,4308,4308,4308,4308,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,10538,10538,10538,10538,10538,10538,10538,10538,10538,10538,10538,10538,11697,11697,11697,11697,11697,11697,11697,11697,11697,11697,11697,11697,11697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excess return,Consumer Goods,,-0.258042031,0.018657633,-0.1491774,0.097927662,-0.1586421,-0.430833848,0.1605288,-0.354489467,-0.262879767,-0.6336878,0.1688885,0.574921151,0.246694767,-0.083830964,-0.091224359,-0.5841542,-0.017357967,0.093755862,-0.051471964,-0.065392859,0.0093738,-0.450343542,-0.1640263,0.137886848,-0.079058173,-0.079402864,-0.1512593,-0.1165795,-0.5814402,-0.1151105,0.003942481,-0.023981433,-0.534526404,0.046483,0.2100821,-0.217323767,1.263012343,-0.687714536,-0.1123618,-0.1148294,-0.1312438,-0.258023931,-0.274050767,-0.1310222,-0.1120844,1.0332894,0.346165917,-0.478590961,-0.0325997,0.188196385,-0.407926498,0.0837164,-0.1662953,-0.3590595,-0.0519944,-0.280451432,-0.1188055,0.046087582,-0.201633866,-0.0957184,0.14294,-0.3115513,0.1381867,0.0333109,0.142548129,-0.533234429,-0.0858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risk premium,Consumer Goods,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Consumer Goods,0.2517,0.135,0.1369,0.4298,0.4833,0.6467,0.3526,0.3162,0.3956,0.2129,0.4506,0.9605,0.9592,0.9559,0.9551,0.7863,0.7834,0.7181,0.6019,0.6621,0.6858,0.7274,0.8292,0.9401,0.9164,0.9035,0.8258,0.8311,0.2965,0.3054,0.3335,0.4031,0.6087,0.6455,0.459,-0.2529,0.2517,0.227,0.2328,0.2486,0.2338,0.4626,0.4363,0.4299,0.4194,0.1188,0.4462,0.4542,0.4683,0.5619,0.6874,0.4356,1.3172,1.3031,1.2565,0.8888,0.7345,0.5985,0.8625,0.7523,0.3368,0.52,0.6151,0.5891,0.4157,0.2358,0.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VO monthly avg,Consumer Goods,110,99.73,201.08,64.08,40.28,18.46,9.08,50.38,11.93,5.01,16.56,14.46,16.55,20.44,25.3,18.74,4.2,11.33,32.76,34.91,7.78,12.56,20.62,83.86,5.26,26.24,68.26,23.3,0,0.48,5.4,6.5,4.1,1.56,2.42,1.32,0.25,6.86,2.84,3.2,0.55,3.06,15.44,2.19,3.4,52.16,51.35,42.63,2.08,0.14,8.95,7.2,3.09,32.18,4.46,1.06,5.37,7.13,41.2,18.96,19.66,14.54,16.27,9.98,9.19,4.34,0.61,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total assets,Consumer Goods,42378,42378,42378,35558,35558,35558,35558,35558,35558,35558,35558,35558,35558,35558,35558,37409,37409,37409,37409,37409,37409,37409,37409,37409,37409,37409,37409,37450,37450,37450,37450,37450,37450,37450,37450,37450,37450,37450,37450,38686,38686,38686,38686,38686,38686,38686,38686,38686,38686,38686,38686,38686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net sales,Consumer Goods,36161,36161,36161,37926,37926,37926,37926,37926,37926,37926,37926,37926,37926,37926,37926,35194,35194,35194,35194,35194,35194,35194,35194,35194,35194,35194,35194,36993,36993,36993,36993,36993,36993,36993,36993,36993,36993,36993,36993,36747,36747,36747,36747,36747,36747,36747,36747,36747,36747,36747,36747,36747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
common equity,Consumer Goods,35011,35011,35011,31250,31250,31250,31250,31250,31250,31250,31250,31250,31250,31250,31250,32209,32209,32209,32209,32209,32209,32209,32209,32209,32209,32209,32209,26912,26912,26912,26912,26912,26912,26912,26912,26912,26912,26912,26912,26989,26989,26989,26989,26989,26989,26989,26989,26989,26989,26989,26989,26989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnover ratio,Consumer Goods,0.11%,0.1%,0.21%,0.07%,0.04%,0.02%,0.01%,0.05%,0.01%,0.01%,0.02%,0.02%,0.02%,0.02%,0.03%,0.02%,0%,0.01%,0.03%,0.04%,0.01%,0.01%,0.02%,0.09%,0.01%,0.03%,0.07%,0.02%,0%,0%,0.01%,0.01%,0%,0%,0%,0%,0%,0.01%,0%,0%,0%,0%,0.02%,0%,0%,0.07%,0.07%,0.05%,0%,0%,0.01%,0.01%,0%,0.04%,0.01%,0%,0.01%,0.01%,0.05%,0.02%,0.03%,0.02%,0.02%,0.01%,0.01%,0.01%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Return monthly,Consumer Goods,,-0.125937031,0.144082333,0,0.248875562,0,-0.300120048,0.2864494,-0.222666667,-0.142367067,-0.5,0.332,0.750750751,0.428816467,0.100840336,0.090512541,-0.417,0.144082333,0.248875562,0.100840336,0.090512541,0.167,-0.286203942,0,0.300120048,0.077562327,0.071122536,0,0,-0.4664,0,0.124437781,0.110666667,-0.399759904,0.166,0.2864494,-0.110666667,1.373313343,-0.578648136,0,0,0,-0.125937031,-0.142367067,0,0,1.166,0.461680517,-0.368288061,0.083,0.308402585,-0.294283698,0.25,0,-0.2,0.083,-0.153277932,0,0.181025082,-0.076638966,0,0.25,-0.2,0.25,0.1336,0.235003529,-0.428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
