me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Consumer Goods,681735,681735,681735,681735,804194,804194,804194,804194,804194,804194,804194,804194,804194,804194,804194,804194,895998,895998,895998,895998,895998,895998,895998,895998,895998,895998,895998,895998,924927,924927,924927,924927,924927,924927,924927,924927,924927,924927,924927,924927,973308,973308,973308,973308,973308,973308,973308,973308,973308,973308,973308,973308,996622,996622,996622,996622,996622,996622,996622,996622,996622,996622,996622,996622,1173992,1173992,1173992,1173992,1173992,1173992,1173992,1173992,1173992,1173992,1173992,1173992,1311569,1311569,1311569,1311569,1311569,1311569,1311569,1311569,1311569,1311569,1311569,1311569,1503442,1503442,1503442,1503442,1503442,1503442,1503442,1503442,1503442,1503442,1503442,1503442,1470456,1470456,1470456,1470456,1470456,1470456,1470456,1470456,1470456,1470456,1470456,1470456,1418649,1418649,1418649,1418649,1418649,1418649,1418649,1418649,1418649,1418649,1418649,1418649,1439795,1439795,1439795,1439795,1439795,1439795,1439795,1439795,1439795,1439795,1439795,1439795,1447000,1447000,1447000,1447000,1447000,1447000,1447000,1447000,1447000,1447000,1447000,1447000,2489000,2489000,2489000,2489000,2489000,2489000,2489000,2489000,2489000
Excess return,Consumer Goods,,-0.029490804,-0.480750575,-0.277277629,-0.182808984,-0.047862317,0.107899508,-0.136605546,0.022753701,-0.182070801,-0.224526871,-0.005917913,-0.271284979,-0.211204681,-0.214645352,-0.175749288,-0.216574109,0.150824623,-0.272510507,-0.129281059,-0.142576849,-0.199266076,-0.09190728,-0.044221874,-0.094716135,-0.203915293,-0.262639382,-0.199255669,-0.115304103,0.02004996,-0.090945859,0.026227546,-0.064901037,-0.199995057,-0.027596865,-0.162952781,-0.039518455,-0.212810668,-0.170317482,-0.040390673,-0.159172606,-0.142330305,-0.121875833,-0.13942376,-0.189756843,-0.047581945,-0.156275976,0.105791199,-0.028794483,-0.21806477,-0.084485656,-0.18983586,-0.166326383,-0.064834326,-0.121635705,0.057697248,-0.1371716,-0.103435995,-0.112129312,-0.053595457,0.04174119,-0.060958286,-0.06672839,-0.118627288,-0.109369029,-0.19636763,-0.262193778,-0.097469537,-0.083557297,-0.158620144,-0.051112315,0.006076801,-0.036350641,0.060417234,-0.13571288,-0.119896335,-0.04299089,-0.19809362,-0.217496994,-0.113223434,-0.172123769,-0.154893662,-0.146819122,-0.315877271,-0.12154453,-0.293243738,-0.113388527,-0.235792293,-0.244831911,-0.213069252,-0.133732272,0.186207587,0.02174016,-0.107712754,-0.022179711,-0.089232934,-0.039684837,-0.051784211,-0.186787344,-0.083077496,-0.031963304,-0.069138548,-0.041542051,-0.022460129,-0.111708718,-0.000163931,-0.056232336,-0.191350775,-0.035434515,-0.099673802,-0.005758985,-0.070273321,-0.051120877,-0.036409769,-0.086176215,0.018223505,-0.133898909,-0.0051262,0.034466126,-0.112223709,-0.078781087,-0.275876749,-0.077021279,-0.107357048,-0.037984259,-0.181536416,-0.036161666,-0.048072538,-0.138331299,-0.227544607,-0.005173337,-0.093793748,-0.130828614,-0.064761936,-0.109835122,-0.08623815,-0.03578542,-0.155994382,-0.045739477,-0.042190667,-0.039622585,-0.214968739,-0.07561075,-0.148759885,-0.064264661,-0.248420827,-0.191207866,-0.104802958,-0.013223501,-0.123405071,-0.044043672,-0.165283204,-0.136784823,0.007688956,0.028525361,-0.123308724,0.0676902
Risk premium,Consumer Goods,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Consumer Goods,1.21,1.1804,1.1258,1.21,1.2726,1.0604,0.9882,1.0331,0.9655,0.8725,0.9207,0.9153,0.9163,0.9163,0.9133,0.8696,0.8623,0.8926,0.7589,0.7776,0.7854,0.7779,0.635,0.5359,0.5625,0.596,0.6213,0.6211,0.6213,0.6665,0.7058,0.6715,0.7417,0.7607,0.7094,0.901,0.8546,0.894,0.8789,0.8822,0.8378,0.94,0.9373,0.8467,0.8707,0.8807,0.9986,0.9978,0.9791,0.8996,0.912,0.9175,0.9713,0.9681,1.0039,0.9648,0.8932,0.8558,0.8244,0.8888,0.8793,0.8917,0.856,0.847,0.8936,0.9045,0.9558,0.9562,0.9452,0.8346,0.8308,0.8573,0.8052,0.8194,0.7518,0.7383,0.7724,0.8776,0.746,0.7755,0.8223,0.8521,1.0937,0.857,1.0137,0.9934,1.0494,0.997,0.9796,1.0183,0.4702,0.4221,0.3844,0.3082,0.2751,0.2074,0.1929,0.2649,0.2559,0.2712,0.3167,0.3085,0.3597,0.3597,0.3751,0.3879,0.3407,0.3468,0.2953,0.2794,0.2562,0.2857,0.2688,0.2791,0.4729,0.4888,0.5208,0.6363,0.6387,0.6272,0.637,0.7034,0.7058,0.7086,0.829,0.7947,0.7727,0.7987,0.8938,0.9778,0.9779,0.978,0.9893,1.0657,1.04,1.0615,1.1643,1.1776,1.1925,1.2045,1.244,1.1704,1.1443,1.2352,0.9783,1.0331,1.0367,0.8713,0.697,0.6498,0.6283,0.6173,0.5396,0.4255,0.4592,0.3836,
VO monthly avg,Consumer Goods,80.3,125.09,521.99,236.36,159.86,612.88,370.36,270.16,130.02,116.72,142.78,79.88,149.72,376.18,412.77,431.83,169.46,244.15,196.62,112.08,148.42,101.46,243.52,362.93,113.54,156,378.23,227.93,139.74,303.53,444.33,519.99,224.15,209.49,173.76,397.49,116.18,416.2,271.67,192.43,177.38,235.24,238.28,429.31,610.47,159.51,263.94,340.52,222.33,298.28,253.65,314.61,531.22,308.14,375.17,261.17,346.49,217.55,438.51,379.25,375.15,845.94,857.47,518.6,451.91,596.43,983.65,938.62,648.69,897.75,987.69,836.61,341.33,1066.69,1476.51,1120.71,662.41,646.08,919.45,700.08,633.13,1128.25,1103.37,1007.18,1011.15,1041.82,933.75,707.88,658.22,1091.27,1114.29,1359.79,2437.46,1825.73,1128.79,1348.98,622.54,1075.81,966.98,864.27,575.5,686.82,746.38,632.77,731.1,820.27,1047.44,1860.63,1027.08,945.76,788.45,1135.49,356.81,791.66,762.84,1155.05,1185.28,779.9,1555.36,1131.04,1187.76,1668.23,1638.22,777.05,939.73,1655.42,1265.91,1634.72,1448.69,909.91,868.29,1026.91,766.33,1086.7,817.69,749.41,1169.21,3129.39,1688.05,685.79,685.83,1119.76,1185.15,1090.2,699.15,1324.52,877.31,1334.68,749.29,838.96,821.19,564.99,720.05,615.59,1091.19,783.68,537.3
Total assets,Consumer Goods,1242451,1242451,1242451,1242451,1477204,1477204,1477204,1477204,1477204,1477204,1477204,1477204,1477204,1477204,1477204,1477204,1684916,1684916,1684916,1684916,1684916,1684916,1684916,1684916,1684916,1684916,1684916,1684916,1850141,1850141,1850141,1850141,1850141,1850141,1850141,1850141,1850141,1850141,1850141,1850141,2108462,2108462,2108462,2108462,2108462,2108462,2108462,2108462,2108462,2108462,2108462,2108462,2022269,2022269,2022269,2022269,2022269,2022269,2022269,2022269,2022269,2022269,2022269,2022269,2490800,2490800,2490800,2490800,2490800,2490800,2490800,2490800,2490800,2490800,2490800,2490800,2790900,2790900,2790900,2790900,2790900,2790900,2790900,2790900,2790900,2790900,2790900,2790900,3267629,3267629,3267629,3267629,3267629,3267629,3267629,3267629,3267629,3267629,3267629,3267629,3541279,3541279,3541279,3541279,3541279,3541279,3541279,3541279,3541279,3541279,3541279,3541279,3812833,3812833,3812833,3812833,3812833,3812833,3812833,3812833,3812833,3812833,3812833,3812833,4219311,4219311,4219311,4219311,4219311,4219311,4219311,4219311,4219311,4219311,4219311,4219311,4763000,4763000,4763000,4763000,4763000,4763000,4763000,4763000,4763000,4763000,4763000,4763000,6411000,6411000,6411000,6411000,6411000,6411000,6411000,6411000,6411000
Net sales,Consumer Goods,2604211,2604211,2604211,2604211,2979520,2979520,2979520,2979520,2979520,2979520,2979520,2979520,2979520,2979520,2979520,2979520,3560135,3560135,3560135,3560135,3560135,3560135,3560135,3560135,3560135,3560135,3560135,3560135,4009616,4009616,4009616,4009616,4009616,4009616,4009616,4009616,4009616,4009616,4009616,4009616,4525558,4525558,4525558,4525558,4525558,4525558,4525558,4525558,4525558,4525558,4525558,4525558,5007591,5007591,5007591,5007591,5007591,5007591,5007591,5007591,5007591,5007591,5007591,5007591,6056757,6056757,6056757,6056757,6056757,6056757,6056757,6056757,6056757,6056757,6056757,6056757,7203640,7203640,7203640,7203640,7203640,7203640,7203640,7203640,7203640,7203640,7203640,7203640,8591258,8591258,8591258,8591258,8591258,8591258,8591258,8591258,8591258,8591258,8591258,8591258,9454130,9454130,9454130,9454130,9454130,9454130,9454130,9454130,9454130,9454130,9454130,9454130,10673364,10673364,10673364,10673364,10673364,10673364,10673364,10673364,10673364,10673364,10673364,10673364,11766765,11766765,11766765,11766765,11766765,11766765,11766765,11766765,11766765,11766765,11766765,11766765,13664000,13664000,13664000,13664000,13664000,13664000,13664000,13664000,13664000,13664000,13664000,13664000,15829000,15829000,15829000,15829000,15829000,15829000,15829000,15829000,15829000
common equity,Consumer Goods,560415,560415,560415,560415,673010,673010,673010,673010,673010,673010,673010,673010,673010,673010,673010,673010,788918,788918,788918,788918,788918,788918,788918,788918,788918,788918,788918,788918,925214,925214,925214,925214,925214,925214,925214,925214,925214,925214,925214,925214,1135154,1135154,1135154,1135154,1135154,1135154,1135154,1135154,1135154,1135154,1135154,1135154,1025647,1025647,1025647,1025647,1025647,1025647,1025647,1025647,1025647,1025647,1025647,1025647,1316808,1316808,1316808,1316808,1316808,1316808,1316808,1316808,1316808,1316808,1316808,1316808,1479331,1479331,1479331,1479331,1479331,1479331,1479331,1479331,1479331,1479331,1479331,1479331,1764187,1764187,1764187,1764187,1764187,1764187,1764187,1764187,1764187,1764187,1764187,1764187,2070823,2070823,2070823,2070823,2070823,2070823,2070823,2070823,2070823,2070823,2070823,2070823,2394184,2394184,2394184,2394184,2394184,2394184,2394184,2394184,2394184,2394184,2394184,2394184,2779516,2779516,2779516,2779516,2779516,2779516,2779516,2779516,2779516,2779516,2779516,2779516,3316000,3316000,3316000,3316000,3316000,3316000,3316000,3316000,3316000,3316000,3316000,3316000,3923000,3923000,3923000,3923000,3923000,3923000,3923000,3923000,3923000
Turnover ratio,Consumer Goods,0.06%,0.06%,0.24%,0.11%,0.07%,0.28%,0.17%,0.13%,0.06%,0.05%,0.07%,0.04%,0.07%,0.17%,0.19%,0.2%,0.08%,0.11%,0.09%,0.05%,0.07%,0.05%,0.11%,0.17%,0.05%,0.07%,0.17%,0.1%,0.06%,0.14%,0.2%,0.24%,0.1%,0.1%,0.08%,0.18%,0.05%,0.19%,0.12%,0.09%,0.08%,0.11%,0.11%,0.19%,0.27%,0.07%,0.12%,0.15%,0.1%,0.13%,0.11%,0.14%,0.23%,0.14%,0.17%,0.11%,0.15%,0.1%,0.19%,0.17%,0.16%,0.37%,0.37%,0.22%,0.19%,0.26%,0.42%,0.4%,0.28%,0.38%,0.42%,0.36%,0.15%,0.46%,0.63%,0.48%,0.28%,0.27%,0.37%,0.28%,0.26%,0.46%,0.45%,0.41%,0.41%,0.42%,0.38%,0.29%,0.27%,0.44%,0.45%,0.55%,0.99%,0.74%,0.46%,0.55%,0.25%,0.44%,0.39%,0.35%,0.23%,0.28%,0.3%,0.26%,0.3%,0.33%,0.42%,0.75%,0.42%,0.38%,0.32%,0.46%,0.14%,0.32%,0.31%,0.47%,0.48%,0.32%,0.63%,0.46%,0.48%,0.67%,0.66%,0.31%,0.38%,0.67%,0.51%,0.66%,0.58%,0.37%,0.35%,0.41%,0.31%,0.44%,0.33%,0.3%,0.47%,1.25%,0.67%,0.27%,0.27%,0.45%,0.47%,0.43%,0.28%,0.53%,0.35%,0.53%,0.3%,0.33%,0.33%,0.22%,0.29%,0.25%,0.43%,0.31%,0.21%
Return monthly,Consumer Goods,,0.168474396,-0.293025175,-0.078947629,0.017864816,0.136842883,0.278656108,0.034479754,0.190480201,-0.020003301,-0.061222771,0.154345987,-0.098158079,-0.031577781,-0.032607452,0.011235512,-0.044449209,0.323258423,-0.107499807,0.030307741,0.019603351,-0.038458376,0.05999772,0.094339826,0.045221365,-0.066667293,-0.124997482,-0.061226369,0.021737797,0.15783946,0.047619541,0.163632046,0.078126063,-0.057970957,0.107695335,-0.013889781,0.105121345,-0.060488668,-0.020546782,0.111887927,-0.006291206,0.018989695,0.041774067,0.01851834,-0.030302743,0.112502155,0.011235824,0.255552599,0.113688817,-0.08118997,0.049870344,-0.04583336,-0.021834483,0.080355974,0.021509995,0.197479648,0,0.031579405,0.020407888,0.079998943,0.17163709,0.069518814,0.05999961,0.009433712,0.021027771,-0.06178413,-0.116278378,0.048571063,0.062670303,-0.025640344,0.081578085,0.138686701,0.092526959,0.188589434,-0.00999948,0.003366565,0.08557031,-0.05780482,-0.084798994,0.021683066,-0.037768869,-0.020561362,0.007633978,-0.176136271,0.02846857,-0.140909538,0.044973673,-0.078481293,-0.082417111,-0.041916352,-0.012309672,0.303999887,0.13445736,0.002703846,0.078651589,-0.002916734,0.051817863,0.050504489,-0.084615644,0.018908104,0.076288796,0.039846952,0.069869049,0.087250971,-0.000327418,0.114023769,0.055881764,-0.079052375,0.073619385,0.005428398,0.095481615,0.032425779,0.052763523,0.068973531,0.025666485,0.128267905,-0.021588509,0.1133607,0.157454226,0.008639891,0.047699913,-0.144962549,0.054344121,0.021684752,0.097142741,-0.047470316,0.094918434,0.080645562,0.000678101,-0.087593207,0.135384363,0.047120252,0.008847286,0.080827164,0.034434878,0.05738635,0.11511548,-0.009505582,0.096038023,0.101142833,0.104349415,-0.074283539,0.06318015,-0.007092285,0.062618239,-0.119285527,-0.060745766,0.010188942,0.102487499,-0.006667671,0.073939228,-0.044543304,-0.027040023,0.110445456,0.137504961,-0.020041924,0.0676902
