me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Consumer Goods,40425,40425,40425,40425,40425,40425,40425,56950,56950,56950,56950,56950,56950,56950,56950,56950,56950,56950,56950,63037,63037,63037,63037,63037,63037,63037,63037,63037,63037,63037,63037,104265,104265,104265,104265,104265,104265,104265,104265,104265,104265,104265,104265,193467,193467,193467,193467,193467,193467,193467,193467,193467,193467,193467,193467,216517,216517,216517,216517,216517,216517,216517,216517,216517,216517,216517,216517,274627,274627,274627,274627,274627,274627,274627,274627,274627,274627,274627,274627,285090,285090,285090,285090,285090,285090,285090,285090,285090,285090,285090,285090,356026,356026,356026,356026,356026,356026,356026,356026,356026,356026,356026,356026,267055,267055,267055,267055,267055,267055,267055,267055,267055,267055,267055,267055,429322,429322,429322,429322,429322,429322,429322,429322,429322,429322,429322,429322,445917,445917,445917,445917,445917,445917,445917,445917,445917,445917,445917,445917,405319,405319,405319,405319,405319,405319,405319,405319,405319,405319,405319,405319,,,,,,
Excess return,Consumer Goods,,-0.12530562,-0.068756932,0.092468746,-0.363697543,0.06695049,-0.159969651,-0.141703929,-0.095255959,-0.168439819,0.794868941,-0.1161828,-0.112274905,-0.148313259,-0.169687726,-0.103973451,-0.081066685,-0.1191862,-0.11562839,-0.102782416,0.005632813,-0.154483674,-0.086242321,-0.079094826,-0.096341773,-0.090588149,-0.029165458,0.102113671,-0.221921555,0.053908799,-0.100524625,-0.136193014,-0.086038601,0.045409344,-0.02699936,-0.115489429,-0.038073497,-0.026188215,0.028752281,-0.030880728,-0.085700371,-0.264295485,-0.070171142,-0.104877086,-0.070190285,0.026513039,-0.148427763,0.06108803,-0.05325338,-0.059002487,-0.090853535,-0.223125302,-0.169970423,-0.081756251,-0.123786105,-0.129366833,-0.048696637,-0.168105722,-0.051500292,-0.1194257,-0.051545325,-0.067552882,-0.174750495,-0.037932839,-0.191089113,-0.23964091,-0.215406304,-0.04239877,-0.04851668,-0.1229124,0.02554344,-0.1217802,-0.13957812,-0.0172946,-0.075607551,-0.096340263,-0.090786972,-0.1217164,-0.184488079,-0.123809866,-0.182889882,-0.132485796,-0.139487697,-0.151450318,-0.196706079,-0.27838611,-0.101346144,-0.091748369,-0.079005681,-0.30467564,-0.156652137,-0.299037588,0.01814851,-0.071509567,-0.05062963,-0.040868825,-0.123797563,-0.109542046,-0.250272319,-0.070994511,-0.077367158,0.075089506,-0.146851097,-0.10766451,-0.135722774,-0.124782726,-0.157433261,-0.036087847,-0.05802527,-0.13347351,-0.112944372,-0.064109551,-0.121246642,-0.166802477,-0.096132543,-0.107014843,-0.150881366,-0.12513215,-0.086800791,-0.036631634,-0.109382714,-0.142853442,-0.045684687,-0.206397109,-0.019970303,-0.118665918,-0.137106181,-0.098486475,-0.1183013,-0.157084552,-0.056857465,-0.128711766,-0.049169232,-0.121727387,-0.096758917,0.043004098,-0.133203204,-0.093353734,-0.0911003,-0.066057713,-0.089609993,-0.136788185,-0.032620153,-0.050686172,0.044992121,-0.141106267,-0.039498326,-0.127738213,-0.142901027,-0.110302547,0.088814696,-0.090347472,-0.119397448,0.107416476,-0.063226745,-0.071172078,0.000000197946
Risk premium,Consumer Goods,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Consumer Goods,0.4813,0.3446,0.171,0.1215,0.0123,0.2405,0.2879,0.293,0.3721,0.4356,0.4152,0.2156,0.2444,0.1306,0.1294,0.0515,0.0518,0.0474,0.0972,0.1182,0.1506,0.1484,0.1401,0.1211,0.1265,0.1073,0.3876,0.4019,0.4871,0.4715,0.4582,0.4587,0.425,0.4311,0.4676,0.5222,0.5367,0.5775,0.5849,0.582,0.5849,0.5904,0.5873,0.5335,0.5803,0.5962,0.6541,0.654,0.645,0.6767,0.8564,0.8273,0.6856,0.6827,0.669,0.8133,0.6769,0.687,0.6635,0.6639,0.6765,0.7476,0.7493,0.7892,0.8104,0.8914,0.8057,0.8228,0.7745,0.6748,0.6752,0.6854,0.6916,0.6756,0.5851,0.5236,0.5278,0.5828,0.6256,0.6521,0.8043,0.8781,0.8368,0.8193,0.9612,0.846,0.7655,0.7514,0.6965,0.6957,0.8851,0.8234,0.5501,0.4616,0.4689,0.4522,0.4453,0.5123,0.5078,0.5183,0.6462,0.6463,0.6283,0.6267,0.6439,0.6153,0.6259,0.6252,0.5851,0.6025,0.6023,0.5928,0.6468,0.6435,0.541,0.6482,0.621,0.7312,0.715,0.7046,0.6061,0.656,0.6926,0.695,0.4892,0.5049,0.5227,0.5327,0.5651,0.6075,0.6053,0.5536,0.5266,0.5193,0.4642,0.4507,0.4072,0.416,0.3881,0.3849,0.4208,0.4752,0.4908,0.5847,0.5177,0.4427,0.4136,0.4431,0.356,0.1047,0.0799,0.0701,0.0683,-0.0258,-0.0054,,
VO monthly avg,Consumer Goods,17.9,51.39,17.46,46.6,4.83,8.75,3.47,5.51,244.85,8,19.98,6,0.06,48.59,52.85,4.36,51.13,33.95,40.27,119.87,7.24,1.03,5.44,0.73,4.88,11.3,5.4,945.79,155.56,7.3,4.34,2,10.94,22.51,3.25,6.27,8.17,5.92,88.54,67.85,21.94,27.71,8.49,895.6,4.58,19.83,66.31,26.46,24.02,46.41,47.71,14.83,115.17,76.75,27.28,210.6,72.39,182.02,109.32,140.65,272.12,56.21,72.42,73.06,50.88,53.78,66.39,43.61,33.93,28.82,94.79,18.4,36.9,70.15,192.78,105.35,125.47,57.5,86.51,161.17,52.25,151.39,125.81,242.24,167.29,37.71,185.44,52.43,57.39,103.02,60.23,108.1,96.96,242.75,198.42,206.39,83.15,42.57,136.24,80.78,16.98,85.82,204.33,63.08,113.8,162.32,40.72,59.43,24.24,12.98,47.02,118.19,39.45,71.08,12.47,38.72,31.94,27.05,89.91,14.47,65.64,20.07,26.27,22.27,39.47,127.52,94.21,41.88,78.57,215.86,451.29,94.43,133.69,98.21,64.78,81.79,62.53,95.58,45.11,31.44,37.68,71.57,12.02,74,116.42,50.92,34.23,62.55,148.06,183.01,174.53,30.48,60.74,54.1,291.02,87.97,0
Total assets,Consumer Goods,172013,172013,172013,172013,172013,172013,172013,192224,192224,192224,192224,192224,192224,192224,192224,192224,192224,192224,192224,188376,188376,188376,188376,188376,188376,188376,188376,188376,188376,188376,188376,253116,253116,253116,253116,253116,253116,253116,253116,253116,253116,253116,253116,604813,604813,604813,604813,604813,604813,604813,604813,604813,604813,604813,604813,681794,681794,681794,681794,681794,681794,681794,681794,681794,681794,681794,681794,873836,873836,873836,873836,873836,873836,873836,873836,873836,873836,873836,873836,949339,949339,949339,949339,949339,949339,949339,949339,949339,949339,949339,949339,1129566,1129566,1129566,1129566,1129566,1129566,1129566,1129566,1129566,1129566,1129566,1129566,1111572,1111572,1111572,1111572,1111572,1111572,1111572,1111572,1111572,1111572,1111572,1111572,1214721,1214721,1214721,1214721,1214721,1214721,1214721,1214721,1214721,1214721,1214721,1214721,1736045,1736045,1736045,1736045,1736045,1736045,1736045,1736045,1736045,1736045,1736045,1736045,1777784,1777784,1777784,1777784,1777784,1777784,1777784,1777784,1777784,1777784,1777784,1777784,,,,,,
Net sales,Consumer Goods,215070,215070,215070,215070,215070,215070,215070,222405,222405,222405,222405,222405,222405,222405,222405,222405,222405,222405,222405,261879,261879,261879,261879,261879,261879,261879,261879,261879,261879,261879,261879,297503,297503,297503,297503,297503,297503,297503,297503,297503,297503,297503,297503,527031,527031,527031,527031,527031,527031,527031,527031,527031,527031,527031,527031,604795,604795,604795,604795,604795,604795,604795,604795,604795,604795,604795,604795,738307,738307,738307,738307,738307,738307,738307,738307,738307,738307,738307,738307,841597,841597,841597,841597,841597,841597,841597,841597,841597,841597,841597,841597,854886,854886,854886,854886,854886,854886,854886,854886,854886,854886,854886,854886,906271,906271,906271,906271,906271,906271,906271,906271,906271,906271,906271,906271,789171,789171,789171,789171,789171,789171,789171,789171,789171,789171,789171,789171,956944,956944,956944,956944,956944,956944,956944,956944,956944,956944,956944,956944,1335946,1335946,1335946,1335946,1335946,1335946,1335946,1335946,1335946,1335946,1335946,1335946,,,,,,
common equity,Consumer Goods,127754,127754,127754,127754,127754,127754,127754,132147,132147,132147,132147,132147,132147,132147,132147,132147,132147,132147,132147,120668,120668,120668,120668,120668,120668,120668,120668,120668,120668,120668,120668,148813,148813,148813,148813,148813,148813,148813,148813,148813,148813,148813,148813,232005,232005,232005,232005,232005,232005,232005,232005,232005,232005,232005,232005,271646,271646,271646,271646,271646,271646,271646,271646,271646,271646,271646,271646,320089,320089,320089,320089,320089,320089,320089,320089,320089,320089,320089,320089,410154,410154,410154,410154,410154,410154,410154,410154,410154,410154,410154,410154,501573,501573,501573,501573,501573,501573,501573,501573,501573,501573,501573,501573,618386,618386,618386,618386,618386,618386,618386,618386,618386,618386,618386,618386,694328,694328,694328,694328,694328,694328,694328,694328,694328,694328,694328,694328,1196779,1196779,1196779,1196779,1196779,1196779,1196779,1196779,1196779,1196779,1196779,1196779,1268563,1268563,1268563,1268563,1268563,1268563,1268563,1268563,1268563,1268563,1268563,1268563,,,,,,
Turnover ratio,Consumer Goods,0.01%,0.04%,0.01%,0.04%,0%,0.01%,0%,0%,0.19%,0.01%,0.02%,0%,0%,0.04%,0.04%,0%,0.04%,0.03%,0.03%,0.09%,0.01%,0%,0%,0%,0%,0.01%,0%,0.73%,0.12%,0.01%,0%,0%,0.01%,0.02%,0%,0%,0.01%,0%,0.07%,0.05%,0.02%,0.02%,0.01%,0.69%,0%,0.02%,0.05%,0.02%,0.02%,0.04%,0.04%,0.01%,0.09%,0.06%,0.02%,0.16%,0.06%,0.14%,0.08%,0.11%,0.21%,0.04%,0.05%,0.06%,0.04%,0.04%,0.05%,0.03%,0.03%,0.02%,0.07%,0.01%,0.03%,0.05%,0.14%,0.08%,0.09%,0.04%,0.07%,0.12%,0.04%,0.11%,0.09%,0.18%,0.13%,0.03%,0.14%,0.04%,0.04%,0.08%,0.05%,0.08%,0.07%,0.18%,0.15%,0.15%,0.06%,0.03%,0.1%,0.06%,0.01%,0.06%,0.15%,0.05%,0.09%,0.12%,0.03%,0.04%,0.02%,0.01%,0.04%,0.09%,0.03%,0.05%,0.01%,0.03%,0.02%,0.02%,0.07%,0.01%,0.05%,0.02%,0.02%,0.02%,0.03%,0.1%,0.07%,0.03%,0.06%,0.16%,0.34%,0.07%,0.1%,0.07%,0.05%,0.06%,0.05%,0.07%,0.03%,0.02%,0.03%,0.05%,0.01%,0.06%,0.09%,0.04%,0.03%,0.05%,0.11%,0.14%,0.13%,0.02%,0.05%,0.04%,0.22%,0.07%,0%
Return monthly,Consumer Goods,,0.02000418,0.058816068,0.222223246,-0.242422643,0.20000199,-0.033331951,-0.017244929,0.035086341,-0.033897019,0.926326541,0,0.018522295,-0.018185459,-0.037035526,0.031471049,0.039996715,0,0.00769521,0.015264184,0.127820613,-0.033334474,0.034483979,0.033334474,0.016127727,0.015871751,0.093753342,0.226333371,-0.093334255,0.179413299,0.022441975,-0.012194914,0.037036399,0.166668644,0.09305944,0.009709171,0.086538603,0.106194285,0.160000981,0.102485272,0.051248329,-0.125000285,0.071428758,0.033333414,0.070968615,0.168673639,-0.002619463,0.18919003,0.06818162,0.063829613,0.039999665,-0.084805402,-0.043477623,0.045453849,-0.001739105,0.000871067,0.074848063,-0.043724722,0.070900208,0,0.065574175,0.053845918,-0.054744595,0.086486761,-0.065933913,-0.10588271,-0.078947204,0.09523763,0.08695682,0,0.14843104,0,-0.01785732,0.1018182,0.039603749,0.013396537,0.022364428,0,-0.059375279,0.003322434,-0.049668982,0.003484504,-0.001219297,-0.014084418,-0.050000479,-0.13533811,0.039130356,0.050089831,0.065573819,-0.15384654,-0.009090837,-0.155963388,0.14130481,0.048571233,0.06241107,0.060869775,-0.016393663,0.008332854,-0.132230919,0.046558389,0.051643442,0.205356406,-0.018518197,0.01886759,-0.007407074,0.003731174,-0.027351561,0.093749753,0.06928603,-0.00801601,0.010100528,0.057936849,0.006451758,-0.038461977,0.020000457,0.013071757,-0.032258366,-0.00066655,0.040994209,0.089108166,0.015151586,-0.014925442,0.084849113,-0.078212109,0.093749297,-0.002857218,-0.021776081,0.013473625,0,-0.040462052,0.060226435,-0.014534966,0.061356568,-0.010561487,0.011235683,0.148148198,-0.029999604,0.005154266,0,0.025640987,0.002500407,-0.039900585,0.065000247,0.049999928,0.142857221,-0.049166167,0.051708474,-0.039722913,-0.048673027,-0.027906447,0.172248396,-0.004081172,-0.039344548,0.181741076,0.016483055,0.007927922,0.000000197946
