me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Consumer Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6626644,6626644,6626644,6626644,6626644,6626644,6626644,6626644,6626644,6626644,6626644,6626644,8247534,8247534,8247534,8247534,8247534,8247534,8247534,8247534,8247534,8247534,8247534,8247534,8814000,8814000,8814000,8814000,8814000,8814000,8814000,8814000,8814000,8814000,8814000,8814000,8136000,8136000,8136000,8136000,8136000,8136000,8136000,8136000,8136000,8136000,8136000,8136000,9772000,9772000,9772000,9772000,9772000,9772000,9772000,9772000,9772000
Excess return,Consumer Goods,,-0.232709541,-0.033822291,-0.083177988,-0.069155597,0.018826513,-0.143225086,-0.192718231,-0.044793811,-0.194165753,-0.07081157,-0.149272743,-0.202084022,-0.164830708,-0.154628215,-0.085684787,-0.151540669,-0.125698521,-0.152180163,-0.156171369,-0.1404641,-0.011285851,-0.071831838,-0.279555746,-0.050537292,-0.089333289,-0.17063285,0.066721569,-0.047461912,-0.1078834,0.059553023,0.075469138,-0.1041561,-0.047593247,-0.066942455,-0.072930355,0.068902064,-0.08113752,0.009083835,-0.06938482,-0.042119422,-0.138838345,-0.020176326,-0.094977463,-0.035694149,-0.058739541,-0.044460095,-0.003319302,0.016777463,-0.083358894,-0.039520458,-0.097072593,-0.117419374,-0.093933005,-0.102956501,0.068138316,-0.154606045,-0.194205104,-0.161505087,-0.103279345,-0.049230664,-0.071187634,-0.122184152,-0.10395949,-0.083753395,-0.138705645,-0.197109173,-0.024658812,-0.048261897,-0.090607887,-0.084855285,0.007294621,-0.028936762,0.011265851,-0.124159786,0.033818656,0.011286634,-0.070715784,-0.136625139,-0.128061374,-0.088808267,-0.071134078,-0.122459394,-0.115811952,-0.154085388,-0.295099523,-0.181651441,-0.257581198,-0.275848309,-0.231554098,-0.315765417,-0.151317207,0.038932331,-0.299932635,-0.102534893,-0.087292329,-0.000121607,-0.200107753,-0.170793982,-0.062158445,-0.056721772,-0.100794352,-0.170907479,-0.12539879,-0.056636991,-0.127273015,-0.074832085,-0.153975264,-0.102228957,-0.141350276,-0.121903061,-0.143535139,-0.130478012,-0.227505671,-0.155903753,-0.065637241,-0.086570704,-0.090769315,-0.096726314,-0.122834296,-0.063800866,-0.193362553,-0.169546785,-0.219893087,-0.111455539,-0.124696652,-0.080038572,-0.161174075,-0.114846842,-0.057685856,-0.145639656,-0.1126522,-0.099745222,-0.062823298,-0.132322384,-0.048149464,-0.080407079,-0.091700655,0.045991622,-0.140948993,-0.11459645,-0.069766338,0.016188873,-0.032647229,-0.066090416,-0.055595231,-0.122441791,-0.038056199,-0.059155465,-0.107414032,-0.016014419,-0.106385638,-0.134498274,-0.067958456,0.001614226,-0.166704738,0.022705664
Risk premium,Consumer Goods,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Consumer Goods,0.8413,0.5043,0.4233,0.5821,0.4719,0.6078,0.6183,0.6369,0.6364,0.8702,0.775,0.4358,0.4423,0.4167,0.4114,0.4096,0.4098,0.468,0.4928,0.4738,0.4407,0.4359,0.3771,0.3931,0.3881,0.4128,0.3096,0.3107,0.2533,0.1918,0.2473,0.2167,0.1247,0.1434,0.1593,0.3067,0.2974,0.3187,0.3224,0.3158,0.3179,0.1655,0.1614,0.2393,0.2449,0.242,0.292,0.2914,0.2693,0.1756,0.3404,0.4077,0.5763,0.5738,0.5994,0.6551,0.4924,0.5922,0.5075,0.5112,0.5245,0.5445,0.5236,0.5703,0.5761,0.6525,0.559,0.5724,0.562,0.5589,0.5554,0.5902,0.5737,0.5709,0.6243,0.6259,0.617,0.6495,0.5265,0.5168,0.7629,0.6527,0.6388,0.7409,1.0076,0.6772,0.8249,0.7661,0.7213,0.9039,0.8523,0.7991,0.8908,0.7665,0.7436,0.7138,0.7266,0.7153,0.6249,0.6317,0.6193,0.6229,0.6071,0.6179,0.6037,0.6215,0.6274,0.6411,0.5963,0.6593,0.6172,0.6541,0.668,0.6719,0.6913,0.5776,0.5752,0.6645,0.6677,0.6845,0.6986,0.6797,0.7047,0.7077,0.7112,0.685,0.7683,0.7405,0.659,0.5462,0.5465,0.5294,0.5674,0.6071,0.5677,0.5671,0.464,0.4524,0.4196,0.4108,0.3809,0.4517,0.47,0.3965,0.3378,0.4074,0.3663,0.3463,0.2803,0.2404,0.1731,0.1608,0.1999,0.3212,0.3844,0.3211,
VO monthly avg,Consumer Goods,59.2,20.14,89.51,46.29,43.1,99.49,39.97,38.14,44.35,67.86,66.46,20.05,11.18,14.81,25.88,55.37,75.5,22.68,79.54,65.78,24.78,90.42,93.97,51.17,84.26,52.79,452.04,14.92,176.32,142.26,61.16,280.13,67.83,76.2,104.2,33.14,115.02,404.29,117.62,120.9,121.05,148.17,196.32,38.91,50.82,97.83,107.54,92.21,150.5,115.3,158.69,76.31,99.3,87.72,98.67,166.28,306.98,120.37,160.19,142.04,112.96,193.75,113.76,209.97,164.7,244.25,431.5,255.06,77.92,52.64,78.72,177.81,160.27,130.19,136.46,192.48,197.52,324.49,172.34,187.41,329.47,729.65,180.44,201.67,169.85,815.44,728.31,277.27,687.63,613.89,548.45,111.83,121.28,225.22,245.73,339.75,357.05,111.32,58.03,54.78,19.98,3111.42,68.54,25.68,856.96,63.9,142.11,71.31,32.95,78.95,103.74,141.78,38,112.1,653,232.86,122.22,440.65,74.35,58.6,128.64,40.1,101.14,129.73,43.93,496.21,1202.21,265.02,108.06,252.75,317.66,291.76,135.02,66.44,150.71,120.1,239.64,281.21,411.5,84.27,116.47,244.39,115.54,240.33,94.97,131.28,199.72,80.2,178.63,127.2,263.83,165.86,171.2,83.17,138.55,206.56,310.81
Total assets,Consumer Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10033407,10033407,10033407,10033407,10033407,10033407,10033407,10033407,10033407,10033407,10033407,10033407,16167538,16167538,16167538,16167538,16167538,16167538,16167538,16167538,16167538,16167538,16167538,16167538,17261000,17261000,17261000,17261000,17261000,17261000,17261000,17261000,17261000,17261000,17261000,17261000,17251000,17251000,17251000,17251000,17251000,17251000,17251000,17251000,17251000,17251000,17251000,17251000,20294000,20294000,20294000,20294000,20294000,20294000,20294000,20294000,20294000
Net sales,Consumer Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5120811,5120811,5120811,5120811,5120811,5120811,5120811,5120811,5120811,5120811,5120811,5120811,5713743,5713743,5713743,5713743,5713743,5713743,5713743,5713743,5713743,5713743,5713743,5713743,9031000,9031000,9031000,9031000,9031000,9031000,9031000,9031000,9031000,9031000,9031000,9031000,9910000,9910000,9910000,9910000,9910000,9910000,9910000,9910000,9910000,9910000,9910000,9910000,10767000,10767000,10767000,10767000,10767000,10767000,10767000,10767000,10767000
common equity,Consumer Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2781857,2781857,2781857,2781857,2781857,2781857,2781857,2781857,2781857,2781857,2781857,2781857,7056059,7056059,7056059,7056059,7056059,7056059,7056059,7056059,7056059,7056059,7056059,7056059,7720000,7720000,7720000,7720000,7720000,7720000,7720000,7720000,7720000,7720000,7720000,7720000,8308000,8308000,8308000,8308000,8308000,8308000,8308000,8308000,8308000,8308000,8308000,8308000,9790000,9790000,9790000,9790000,9790000,9790000,9790000,9790000,9790000
Turnover ratio,Consumer Goods,0.03%,0.01%,0.05%,0.03%,0.02%,0.06%,0.02%,0.02%,0.03%,0.04%,0.04%,0.01%,0.01%,0.01%,0.01%,0.03%,0.04%,0.01%,0.04%,0.04%,0.01%,0.05%,0.04%,0.02%,0.04%,0.02%,0.21%,0.01%,0.08%,0.07%,0.03%,0.13%,0.03%,0.03%,0.05%,0.02%,0.05%,0.19%,0.05%,0.06%,0.06%,0.07%,0.09%,0.02%,0.02%,0.04%,0.05%,0.04%,0.07%,0.05%,0.07%,0.03%,0.05%,0.04%,0.04%,0.08%,0.14%,0.05%,0.07%,0.06%,0.05%,0.09%,0.05%,0.1%,0.07%,0.11%,0.2%,0.12%,0.04%,0.02%,0.04%,0.08%,0.07%,0.06%,0.06%,0.09%,0.09%,0.15%,0.08%,0.06%,0.11%,0.25%,0.06%,0.07%,0.06%,0.28%,0.25%,0.09%,0.24%,0.21%,0.19%,0.04%,0.04%,0.08%,0.08%,0.12%,0.12%,0.04%,0.02%,0.02%,0.01%,1.07%,0.02%,0.01%,0.29%,0.02%,0.05%,0.02%,0.01%,0.03%,0.04%,0.05%,0.01%,0.04%,0.22%,0.08%,0.04%,0.15%,0.03%,0.02%,0.04%,0.01%,0.01%,0.01%,0%,0.04%,0.1%,0.02%,0.01%,0.02%,0.03%,0.02%,0.01%,0.01%,0.01%,0.01%,0.02%,0.02%,0.03%,0.01%,0.01%,0.02%,0.01%,0.02%,0.01%,0.01%,0.02%,0.01%,0.02%,0.01%,0.02%,0.01%,0.01%,0.01%,0.01%,0.02%,0.03%
Return monthly,Consumer Goods,,-0.077338641,0.109645609,0.075594312,0.081074103,0.175017913,0.004227814,-0.046593531,0.102199389,-0.032243153,0.08331343,-0.019217343,-0.058819122,-0.016678608,-0.004210015,0.072320013,-0.007923269,0.019985479,-0.003933763,-0.015721969,0,0.127975849,0.063825462,-0.149990446,0.078413008,0.036373111,-0.05262805,0.185195669,0.066395988,0,0.169232923,0.184221238,0,0.055540953,0.033693445,0.038691745,0.178438264,0.03494058,0.123795035,0.04721058,0.078008278,-0.026311845,0.094591874,0.024698437,0.084334551,0.061106459,0.078535905,0.101938898,0.114543363,0.007903906,0.058824742,0.014812507,0.002187526,0.026416395,0.014705699,0.188409616,-0.042684845,-0.075796504,-0.048932587,0.006526255,0.058312836,0.037415866,-0.016397352,0.00666941,0.026640905,-0.019998145,-0.076192173,0.097202388,0.073824103,0.025002813,0.030484915,0.123077221,0.085356338,0.123782551,-0.006478886,0.150000356,0.130057634,0.055202716,-0.017755639,-0.009452974,0.041804433,0.050636022,0.003335006,0.016614748,-0.004456588,-0.162685923,-0.037432741,-0.114816898,-0.129706409,-0.067608398,-0.170270517,-0.009773907,0.183552731,-0.160643135,0.027811907,0.030927071,0.125004193,-0.069443853,-0.045375282,0.062538655,0.070594128,0.027998348,-0.043910179,0.00057891,0.069146109,0.001631485,0.055344115,-0.023135964,0.025787943,-0.012314376,0.002080539,-0.017626839,-0.001444012,-0.097375971,-0.030301853,0.050001559,0.029166896,0.029494185,0.028088786,0.001639204,0.066560934,-0.063941453,-0.038250685,-0.090907987,0.016250061,0.002458348,0.050764328,-0.036122575,0.009370158,0.055074744,-0.032260156,0,0.013350978,0.053874002,-0.017807284,0.064327836,0.026374921,0.009100545,0.139076422,-0.047618593,-0.02499975,0.025640762,0.112498873,0.056182271,0.020440984,0.034120969,-0.034214891,0.043860701,0.030303435,-0.016468832,0.073290881,-0.014405238,-0.046154574,0.028227144,0.105881426,-0.067375438,0.022705664
