Name,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Financials,158760,158760,158760,158760,158760,158760,158760,158760,158760,158760,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,64122,64122,64122,64122,64122,63154,63154,63154,63154,63154,63154,63154,63154,63154,63154,63154,63154,66732,66732,66732,66732,66732,66732,66732,66732,66732,66732,66732,66732,86981,86981,86981,86981,86981,86981,86981,86981,86981,86981,86981,86981,143874,143874,143874,143874,143874,143874,143874,143874,143874,143874,143874,143874,173319,173319,173319,173319,173319,173319,173319,173319,173319,173319,173319,173319,173470,173470,173470,173470,173470,173470,173470,173470,173470,173470,173470,173470,162897,162897,162897,162897,162897,162897,162897,162897,162897,162897,162897,162897,164728,164728,164728,164728,164728,164728,164728,164728,164728,164728,164728,164728,130878,130878,130878,130878,130878,130878,130878,130878,130878,130878,130878,130878,126100,126100,126100,126100,126100,126100,126100,126100,126100,126100,126100,126100,,,,,,,,,,
Excess return,Financials,,-0.133333333,-0.115384615,-0.043478261,-0.318181818,0,0,0.133333333,-0.470588235,1,-0.166666667,-0.333333333,-0.3,-0.571428571,2.333333333,-0.6,-0.25,0.666666667,1,-0.2,-0.25,0,-0.333333333,-0.25,3.333333333,-0.230769231,-0.1,-0.444444444,0,0,1.4,0.083333333,-0.615384615,4,-0.36,0,-0.25,0.666666667,-0.25,0.2,-0.055555556,0,-0.411764706,0.2,-0.416666667,0,0,0.142857143,0.5,-0.25,-0.666666667,1.333333333,-0.285714286,0,1.4,-0.166666667,1,0.1,0.136363636,-0.08,0.086956522,0,0,0.08,-0.037037037,-0.038461538,0.76,0.136363636,-0.18,0.219512195,0.399354839,0.500230521,-0.142901045,-0.08892076,0.512396694,0.169398907,0.172452158,0.852913266,-0.317525351,0.046525589,0.11114298,-0.152039236,-0.08021309,-0.138341883,0.249855963,-0.190381069,0,0,-0.158853672,0.01398917,-0.379394749,-0.166726425,0.320137694,-0.04041721,-0.368206522,0.082795699,0,-0.230387289,-0.1,0.111111111,-0.1,0,0.222222222,-0.090909091,0.26,-0.079365079,0.206340378,-0.185338866,0.157328806,-0.166259169,0,-0.272727273,0.125,0.333333333,0,-0.166666667,-0.04,-0.0625,0,0.222222222,-0.072727273,-0.019607843,0.359354839,0.029425724,-0.28538497,0,-0.16,-0.071428571,0.384615385,0,0,-0.314814815,0.297297297,-0.270833333,0.085714286,-0.210526316,0.1,0,-0.212121212,0.192307692,0.290322581,-0.275,0.103448276,-0.03125,0.129032258,0.314285714,-0.173913043,0.026315789,-0.230769231,0.133333333,0.529411765,-0.019230769,-0.019607843,-0.02,0.020408163,-0.1,-0.111111111
Risk premium,Financials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Financials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VO monthly avg,Financials,2,6.86,26.77,5.34,5.25,2.44,18.39,20.16,49.53,20.04,1.36,2.38,1.65,29.67,26.66,3.9,159.28,0.55,3.44,2.33,2.4,0.98,22.77,0.58,4.77,11.5,3.13,12.88,7.83,13,3.97,1.56,2.06,1.43,5.44,1.71,12.57,3.32,3.91,2.84,0,2.13,0.1,1.96,1.43,0.23,0.82,0.95,1.09,1.5,5.74,10.73,0.75,0,2.86,10.96,0.5,18.13,26,18.61,0.1,9.48,36.41,1.5,3.75,6.58,44.62,203.82,127.63,19.34,28.6,19.85,39.32,20.77,267.28,38.43,35.72,42.61,140.34,120.61,25.23,21.42,38.78,26.88,19.47,3.74,8.34,13.84,15.88,11.82,26.42,5.74,13.39,7.05,4.32,4.74,0,0.44,5.02,5.01,9.44,1.46,7.32,4.39,8.27,5.18,4,10.18,1.57,4.72,2.91,2.89,1.85,6.28,3,2.17,10.3,11.71,13.2,18.51,5.49,15.63,13.37,8.3,9.8,10.43,1.6,11.82,5.54,0,0,7.1,8.59,2.04,9.56,0.83,3.74,0.59,10.79,10.4,13.07,0.29,0.92,1.42,1.41,6.78,2.73,8.82,43,2.18,12.63,1.02,7.1,4.73,4.73,5.19,0.76
Total assets,Financials,180515,180515,180515,180515,180515,180515,180515,180515,180515,180515,84055,84055,84055,84055,84055,84055,84055,84055,84055,84055,84055,84055,97884,97884,97884,97884,97884,86331,86331,86331,86331,86331,86331,86331,86331,86331,86331,86331,86331,94853,94853,94853,94853,94853,94853,94853,94853,94853,94853,94853,94853,133340,133340,133340,133340,133340,133340,133340,133340,133340,133340,133340,133340,220358,220358,220358,220358,220358,220358,220358,220358,220358,220358,220358,220358,290821,290821,290821,290821,290821,290821,290821,290821,290821,290821,290821,290821,307422,307422,307422,307422,307422,307422,307422,307422,307422,307422,307422,307422,300522,300522,300522,300522,300522,300522,300522,300522,300522,300522,300522,300522,305505,305505,305505,305505,305505,305505,305505,305505,305505,305505,305505,305505,218457,218457,218457,218457,218457,218457,218457,218457,218457,218457,218457,218457,224224,224224,224224,224224,224224,224224,224224,224224,224224,224224,224224,224224,,,,,,,,,,
Net sales,Financials,92892,92892,92892,92892,92892,92892,92892,92892,92892,92892,95964,95964,95964,95964,95964,95964,95964,95964,95964,95964,95964,95964,96224,96224,96224,96224,96224,83181,83181,83181,83181,83181,83181,83181,83181,83181,83181,83181,83181,73785,73785,73785,73785,73785,73785,73785,73785,73785,73785,73785,73785,219315,219315,219315,219315,219315,219315,219315,219315,219315,219315,219315,219315,263816,263816,263816,263816,263816,263816,263816,263816,263816,263816,263816,263816,327629,327629,327629,327629,327629,327629,327629,327629,327629,327629,327629,327629,386372,386372,386372,386372,386372,386372,386372,386372,386372,386372,386372,386372,66415,66415,66415,66415,66415,66415,66415,66415,66415,66415,66415,66415,68068,68068,68068,68068,68068,68068,68068,68068,68068,68068,68068,68068,26386,26386,26386,26386,26386,26386,26386,26386,26386,26386,26386,26386,30849,30849,30849,30849,30849,30849,30849,30849,30849,30849,30849,30849,,,,,,,,,,
common equity,Financials,21755,21755,21755,21755,21755,21755,21755,21755,21755,21755,20369,20369,20369,20369,20369,20369,20369,20369,20369,20369,20369,20369,29875,29875,29875,29875,29875,23129,23129,23129,23129,23129,23129,23129,23129,23129,23129,23129,23129,28121,28121,28121,28121,28121,28121,28121,28121,28121,28121,28121,28121,46359,46359,46359,46359,46359,46359,46359,46359,46359,46359,46359,46359,76388,76388,76388,76388,76388,76388,76388,76388,76388,76388,76388,76388,117297,117297,117297,117297,117297,117297,117297,117297,117297,117297,117297,117297,133952,133952,133952,133952,133952,133952,133952,133952,133952,133952,133952,133952,122914,122914,122914,122914,122914,122914,122914,122914,122914,122914,122914,122914,123218,123218,123218,123218,123218,123218,123218,123218,123218,123218,123218,123218,87579,87579,87579,87579,87579,87579,87579,87579,87579,87579,87579,87579,98124,98124,98124,98124,98124,98124,98124,98124,98124,98124,98124,98124,,,,,,,,,,
Turnover ratio,Financials,0%,0.01%,0.04%,0.01%,0.01%,0%,0.03%,0.03%,0.07%,0.03%,0%,0%,0%,0.04%,0.04%,0.01%,0.22%,0%,0%,0%,0%,0%,0.03%,0%,0.01%,0.02%,0%,0.02%,0.01%,0.02%,0.01%,0%,0%,0%,0.01%,0%,0.02%,0%,0.01%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.01%,0.02%,0%,0%,0%,0.02%,0%,0.03%,0.04%,0.03%,0%,0.01%,0.05%,0%,0.01%,0.01%,0.06%,0.29%,0.18%,0.03%,0.04%,0.03%,0.06%,0.03%,0.38%,0.05%,0.05%,0.07%,0.22%,0.19%,0.04%,0.03%,0.06%,0.04%,0.03%,0.01%,0.01%,0.02%,0.03%,0.02%,0.05%,0.01%,0.02%,0.01%,0.01%,0.01%,0%,0%,0.01%,0.01%,0.02%,0%,0.01%,0.01%,0.01%,0.01%,0.01%,0.02%,0%,0.01%,0.01%,0.01%,0%,0.01%,0.01%,0%,0.02%,0.02%,0.02%,0.03%,0.01%,0.03%,0.02%,0.01%,0.02%,0.02%,0%,0.02%,0.01%,0%,0%,0.01%,0.02%,0%,0.02%,0%,0.01%,0%,0.02%,0.02%,0.02%,0%,0%,0%,0%,0.01%,0%,0.02%,0.08%,0%,0.02%,0%,0.01%,0.01%,0.01%,0.01%,0%
Return monthly,Financials,,-0.133333333,-0.115384615,-0.043478261,-0.318181818,0,0,0.133333333,-0.470588235,1,-0.166666667,-0.333333333,-0.3,-0.571428571,2.333333333,-0.6,-0.25,0.666666667,1,-0.2,-0.25,0,-0.333333333,-0.25,3.333333333,-0.230769231,-0.1,-0.444444444,0,0,1.4,0.083333333,-0.615384615,4,-0.36,0,-0.25,0.666666667,-0.25,0.2,-0.055555556,0,-0.411764706,0.2,-0.416666667,0,0,0.142857143,0.5,-0.25,-0.666666667,1.333333333,-0.285714286,0,1.4,-0.166666667,1,0.1,0.136363636,-0.08,0.086956522,0,0,0.08,-0.037037037,-0.038461538,0.76,0.136363636,-0.18,0.219512195,0.399354839,0.500230521,-0.142901045,-0.08892076,0.512396694,0.169398907,0.172452158,0.852913266,-0.317525351,0.046525589,0.11114298,-0.152039236,-0.08021309,-0.138341883,0.249855963,-0.190381069,0,0,-0.158853672,0.01398917,-0.379394749,-0.166726425,0.320137694,-0.04041721,-0.368206522,0.082795699,0,-0.230387289,-0.1,0.111111111,-0.1,0,0.222222222,-0.090909091,0.26,-0.079365079,0.206340378,-0.185338866,0.157328806,-0.166259169,0,-0.272727273,0.125,0.333333333,0,-0.166666667,-0.04,-0.0625,0,0.222222222,-0.072727273,-0.019607843,0.359354839,0.029425724,-0.28538497,0,-0.16,-0.071428571,0.384615385,0,0,-0.314814815,0.297297297,-0.270833333,0.085714286,-0.210526316,0.1,0,-0.212121212,0.192307692,0.290322581,-0.275,0.103448276,-0.03125,0.129032258,0.314285714,-0.173913043,0.026315789,-0.230769231,0.133333333,0.529411765,-0.019230769,-0.019607843,-0.02,0.020408163,-0.1,-0.111111111
