me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Industrials,330302,330302,330302,330302,424753,424753,424753,424753,424753,424753,424753,424753,424753,424753,424753,424753,470959,470959,470959,470959,470959,470959,470959,470959,470959,470959,470959,470959,461934,461934,461934,461934,461934,461934,461934,461934,461934,461934,461934,461934,444588,444588,444588,444588,444588,444588,444588,444588,444588,444588,444588,444588,1759305,1759305,1759305,1759305,1759305,1759305,1759305,1759305,1759305,1759305,1759305,1759305,2037738,2037738,2037738,2037738,2037738,2037738,2037738,2037738,2037738,2037738,2037738,2037738,4063701,4063701,4063701,4063701,4063701,4063701,4063701,4063701,4063701,4063701,4063701,4063701,4611302,4611302,4611302,4611302,4611302,4611302,4611302,4611302,4611302,4611302,4611302,4611302,4253999,4253999,4253999,4253999,4253999,4253999,4253999,4253999,4253999,4253999,4253999,4253999,4964078,4964078,4964078,4964078,4964078,4964078,4964078,4964078,4964078,4964078,4964078,4964078,6262771,6262771,6262771,6262771,6262771,6262771,6262771,6262771,6262771,6262771,6262771,6262771,8948460,8948460,8948460,8948460,8948460,8948460,8948460,8948460,8948460,8948460,8948460,8948460,9644554,9644554,9644554,9644554,9644554,9644554,9644554,9644554,9644554
Excess return,Industrials,,-0.1567821,-0.1470904,-0.094346236,-0.09763863,-0.1489716,-0.047524718,-0.16996943,-0.135779813,-0.179044363,-0.155074977,-0.09798991,-0.148227404,-0.13781463,-0.169164605,-0.125579059,0.145822285,-0.13066642,-0.118948237,-0.163794761,-0.116871095,-0.013544627,-0.049066756,0.123543261,-0.231821754,-0.126034,-0.056530518,-0.182337858,-0.056991251,-0.058072789,0.004891676,-0.240316257,-0.038444942,-0.10520622,-0.042299246,-0.038738485,-0.135381199,-0.020835694,0.030178126,-0.14590222,-0.064049428,-0.151615349,-0.044476464,-0.1361504,-0.079207598,-0.017849143,-0.061450166,0.021044735,-0.145093855,0.000883206,-0.136429222,-0.071825111,0.001489978,-0.107977706,-0.094320707,-0.077185052,-0.102338584,-0.12168329,-0.139907475,-0.197072238,-0.043872985,0.074213928,-0.111606009,-0.009429305,-0.080297994,-0.130847881,-0.180316899,-0.068981496,-0.00817647,-0.097657497,-0.028711628,-0.01997512,0.110316245,-0.147780581,-0.064944949,-0.19369209,-0.123277856,0.01387744,-0.234784279,-0.179695382,-0.1569782,-0.099183247,-0.118111102,-0.132499348,-0.159281014,-0.285944751,-0.158691084,-0.121687998,-0.089104801,-0.106940654,-0.165231324,-0.213078492,-0.016240628,-0.211240664,-0.215251824,-0.192639434,-0.050863935,-0.125834949,-0.329720517,-0.070833918,-0.062168732,-0.114973267,-0.127501972,-0.051309409,-0.196596473,-0.119204938,-0.095932078,-0.047258092,-0.119442866,-0.149191377,-0.147836737,0.036506888,-0.138375722,-0.102484624,-0.091720981,-0.094153502,-0.099065004,-0.10678089,0.055022753,0.02274578,-0.1168042,-0.141780916,-0.113634757,-0.0907068,-0.126921434,-0.128677994,-0.1084837,-0.006806166,-0.185665008,-0.036051106,-0.064686523,-0.044700408,-0.128623869,0.030984721,-0.066801786,0.008488305,-0.069316293,-0.103583305,0.00474201,0.005705186,-0.101594458,-0.074654514,-0.146942974,-0.07169424,-0.043163241,0.042974263,-0.109918616,-0.018752276,-0.147127654,-0.083560631,-0.134366498,-0.144743746,-0.084081162,-0.119208508,-0.077443418,0.053569617,0.081966618
Risk premium,Industrials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Industrials,0.5671,0.5267,0.4808,0.41,0.4444,0.4932,0.528,0.5271,0.5589,0.5415,0.5297,0.4558,0.4542,0.4636,0.4488,0.4239,0.4238,0.428,0.4513,0.487,0.4318,0.4246,0.4134,0.4248,0.4337,0.418,0.5095,0.5034,0.5052,0.4772,0.4228,0.4375,0.4044,0.4206,0.4358,0.4802,0.496,0.5229,0.539,0.5303,0.5313,0.4685,0.4612,0.5008,0.5306,0.5337,0.4957,0.4966,0.4732,0.4703,0.3631,0.3228,0.2414,0.2378,0.299,0.2598,0.1986,0.2152,0.2555,0.2856,0.4442,0.4437,0.4759,0.5183,0.5274,0.5528,0.5231,0.5484,0.5176,0.512,0.5096,0.5269,0.5607,0.5833,0.5525,0.8557,0.804,0.9003,0.9549,0.9564,1.1814,1.16,1.0587,0.9326,1.1145,0.8238,0.7434,0.749,0.7559,0.8159,0.8526,0.797,0.7578,0.7748,0.7482,0.6946,0.6839,0.7697,0.8232,0.8349,0.7757,0.7727,0.7594,0.7457,0.7335,0.7382,0.7527,0.7568,0.7183,0.7951,0.8609,0.8555,0.8218,0.8118,0.765,0.7674,0.7458,0.7495,0.7187,0.6962,0.4834,0.4672,0.4693,0.4736,0.5163,0.5246,0.5074,0.5709,0.5129,0.4982,0.4998,0.5268,0.5655,0.4347,0.3947,0.3866,0.4212,0.4352,0.5228,0.5112,0.5912,0.4596,0.4577,0.5239,0.5458,0.5961,0.5853,0.6489,0.5732,0.6091,0.5426,0.5406,0.5872,0.6162,0.523,0.3728,
VO monthly avg,Industrials,15.1,10.92,37.46,9.51,87.84,5.43,16.06,12.45,116.43,46.58,0.48,30.58,12.29,40.45,112.58,110.16,29.03,34.72,16.47,4.6,4.3,2.08,2.37,8.43,1.25,10.49,4.39,200.34,0.88,23.43,855.8,9.71,11.63,5.39,4.28,11.72,39.51,1.9,29.77,10.68,1.41,10.09,108.88,27.81,28.58,9.9,120.97,7.94,97.95,23.83,12.38,9.53,13.88,31.18,256.36,47.7,20.5,13.35,30.34,247.7,14.64,50.38,10.59,64.93,50.93,55.53,40.62,2.83,76.49,20.6,8.1,16.03,15.62,106.9,37.16,37.3,50.7,34.76,41.98,84.68,28.08,22.43,12.19,24.76,23.45,112.26,54.16,40.48,89.09,31.65,21.84,48.74,201.4,38.41,32.11,59.48,26.93,11.36,57.53,18.77,16.16,111.35,5.81,12.48,16.87,51.05,38.96,23.46,12.65,20.38,144.56,43.01,5.73,74.31,43.99,33.31,23.59,66.14,29.95,79.96,80.48,28.33,52.29,81.72,39.11,39.58,70.83,70.01,26.51,35.65,51.41,65.76,27.28,40.16,46.95,65.36,18.7,20.42,53.45,32.87,42.45,23.5,47.41,83.33,38.47,40.28,47.85,50.32,24.62,38.58,46.42,18.39,29.2,32.33,31.31,55.59,19.93
Total assets,Industrials,673756,673756,673756,673756,793530,793530,793530,793530,793530,793530,793530,793530,793530,793530,793530,793530,947639,947639,947639,947639,947639,947639,947639,947639,947639,947639,947639,947639,939503,939503,939503,939503,939503,939503,939503,939503,939503,939503,939503,939503,949799,949799,949799,949799,949799,949799,949799,949799,949799,949799,949799,949799,2477836,2477836,2477836,2477836,2477836,2477836,2477836,2477836,2477836,2477836,2477836,2477836,2968584,2968584,2968584,2968584,2968584,2968584,2968584,2968584,2968584,2968584,2968584,2968584,5181439,5181439,5181439,5181439,5181439,5181439,5181439,5181439,5181439,5181439,5181439,5181439,5947553,5947553,5947553,5947553,5947553,5947553,5947553,5947553,5947553,5947553,5947553,5947553,5867262,5867262,5867262,5867262,5867262,5867262,5867262,5867262,5867262,5867262,5867262,5867262,6818927,6818927,6818927,6818927,6818927,6818927,6818927,6818927,6818927,6818927,6818927,6818927,8274429,8274429,8274429,8274429,8274429,8274429,8274429,8274429,8274429,8274429,8274429,8274429,12043672,12043672,12043672,12043672,12043672,12043672,12043672,12043672,12043672,12043672,12043672,12043672,13203574,13203574,13203574,13203574,13203574,13203574,13203574,13203574,13203574
Net sales,Industrials,1057384,1057384,1057384,1057384,1352311,1352311,1352311,1352311,1352311,1352311,1352311,1352311,1352311,1352311,1352311,1352311,1907317,1907317,1907317,1907317,1907317,1907317,1907317,1907317,1907317,1907317,1907317,1907317,2069163,2069163,2069163,2069163,2069163,2069163,2069163,2069163,2069163,2069163,2069163,2069163,1937593,1937593,1937593,1937593,1937593,1937593,1937593,1937593,1937593,1937593,1937593,1937593,1913204,1913204,1913204,1913204,1913204,1913204,1913204,1913204,1913204,1913204,1913204,1913204,2663398,2663398,2663398,2663398,2663398,2663398,2663398,2663398,2663398,2663398,2663398,2663398,3335496,3335496,3335496,3335496,3335496,3335496,3335496,3335496,3335496,3335496,3335496,3335496,4523535,4523535,4523535,4523535,4523535,4523535,4523535,4523535,4523535,4523535,4523535,4523535,3968872,3968872,3968872,3968872,3968872,3968872,3968872,3968872,3968872,3968872,3968872,3968872,4533801,4533801,4533801,4533801,4533801,4533801,4533801,4533801,4533801,4533801,4533801,4533801,5599464,5599464,5599464,5599464,5599464,5599464,5599464,5599464,5599464,5599464,5599464,5599464,7557899,7557899,7557899,7557899,7557899,7557899,7557899,7557899,7557899,7557899,7557899,7557899,10464511,10464511,10464511,10464511,10464511,10464511,10464511,10464511,10464511
common equity,Industrials,255112,255112,255112,255112,260375,260375,260375,260375,260375,260375,260375,260375,260375,260375,260375,260375,332413,332413,332413,332413,332413,332413,332413,332413,332413,332413,332413,332413,306651,306651,306651,306651,306651,306651,306651,306651,306651,306651,306651,306651,348880,348880,348880,348880,348880,348880,348880,348880,348880,348880,348880,348880,716296,716296,716296,716296,716296,716296,716296,716296,716296,716296,716296,716296,886161,886161,886161,886161,886161,886161,886161,886161,886161,886161,886161,886161,1025591,1025591,1025591,1025591,1025591,1025591,1025591,1025591,1025591,1025591,1025591,1025591,1206055,1206055,1206055,1206055,1206055,1206055,1206055,1206055,1206055,1206055,1206055,1206055,1442966,1442966,1442966,1442966,1442966,1442966,1442966,1442966,1442966,1442966,1442966,1442966,1611265,1611265,1611265,1611265,1611265,1611265,1611265,1611265,1611265,1611265,1611265,1611265,1952337,1952337,1952337,1952337,1952337,1952337,1952337,1952337,1952337,1952337,1952337,1952337,1940077,1940077,1940077,1940077,1940077,1940077,1940077,1940077,1940077,1940077,1940077,1940077,2327073,2327073,2327073,2327073,2327073,2327073,2327073,2327073,2327073
Turnover ratio,Industrials,0.02%,0.01%,0.05%,0.01%,0.11%,0.01%,0.02%,0.02%,0.14%,0.06%,0%,0.04%,0.02%,0.05%,0.15%,0.15%,0.04%,0.05%,0.02%,0.01%,0.01%,0%,0%,0.01%,0%,0.01%,0.01%,0.26%,0%,0.03%,1.15%,0.01%,0.02%,0.01%,0.01%,0.02%,0.06%,0%,0.05%,0.02%,0%,0.02%,0.16%,0.04%,0.05%,0.02%,0.19%,0.01%,0.15%,0.04%,0.02%,0.01%,0.02%,0.05%,0.44%,0.06%,0.03%,0.02%,0.04%,0.33%,0.02%,0.07%,0.01%,0.09%,0.07%,0.07%,0.05%,0%,0.1%,0.03%,0.01%,0.02%,0.02%,0.14%,0.05%,0.05%,0.07%,0.05%,0.06%,0.11%,0.04%,0.03%,0.02%,0.03%,0.03%,0.15%,0.07%,0.05%,0.12%,0.04%,0.03%,0.06%,0.27%,0.05%,0.04%,0.08%,0.04%,0.02%,0.08%,0.02%,0.02%,0.15%,0.01%,0.02%,0.02%,0.07%,0.05%,0.03%,0.02%,0.03%,0.19%,0.06%,0.01%,0.1%,0.06%,0.04%,0.03%,0.09%,0.04%,0.11%,0.11%,0.04%,0.07%,0.11%,0.05%,0.05%,0.09%,0.09%,0.04%,0.05%,0.07%,0.09%,0.04%,0.05%,0.06%,0.09%,0.03%,0.03%,0.07%,0.04%,0.06%,0.03%,0.06%,0.11%,0.05%,0.05%,0.06%,0.07%,0.03%,0.05%,0.06%,0.02%,0.04%,0.04%,0.04%,0.07%,0.03%
Return monthly,Industrials,,0,0,0.053583764,0.05085857,0,0.094239282,-0.03076213,0.006330887,-0.037829863,-0.016403877,0.03332549,-0.004212804,0.01329217,-0.016390205,0.033326641,0.290321685,0.01249758,0.026683663,-0.022513761,0.023032305,0.125005173,0.088877444,0.255105661,-0.099998654,0,0.074067982,-0.051723658,0.072736349,0.067790811,0.125628076,-0.117653757,0.083332258,0.01539158,0.075756154,0.083814115,-0.013333199,0.108107006,0.158535126,-0.01579332,0.069522472,-0.019999849,0.089179136,0,0.058820202,0.120373957,0.074378934,0.139230535,-0.034482255,0.110712106,-0.036653922,0.034711289,0.099998178,-0.008796306,0.004416293,0.018182348,-0.008926784,-0.02702569,-0.043210975,-0.101479438,0.058611615,0.176467028,-0.008824309,0.097923595,0.027028206,-0.018421481,-0.061661599,0.051367704,0.11111233,0.014998503,0.083743172,0.09181958,0.223790345,-0.034482681,0.048212551,-0.06303299,0.007274144,0.15559634,-0.088925579,-0.033392182,0,0.054546753,0.034136998,0.012004452,-0.002917514,-0.144295351,-0.019606884,0.019999002,0.059216899,0.051461046,-0.019717524,-0.071667492,0.120000772,-0.071428264,-0.084615224,-0.075629634,0.071571765,0.008256151,-0.191808917,0.066664782,0.075000368,0.023256833,0.009090228,0.082719691,-0.062635973,0.017051662,0.042138022,0.090870308,0.016260034,-0.011600077,-0.008500037,0.175103388,0.000347678,0.036458776,0.038524019,0.033442698,0.027420396,0.01883761,0.183050853,0.14795638,0,-0.025747316,0.002831143,0.02353,-0.011494534,-0.011628194,0.0058825,0.107560534,-0.070652308,0.073685494,0.045750877,0.067787992,-0.015647369,0.136820821,0.036814314,0.109594105,0.034769307,-0.003865705,0.10432841,0.105360786,0.001251142,0.021250286,-0.051407874,0.02516146,0.056472159,0.144578563,-0.007894716,0.082228424,-0.039216054,0.030612669,-0.021782698,-0.028835946,0.028662438,-0.004437908,0.035555582,0.156156017,0.081966618
