me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Industrials,3684500,3684500,3684500,3684500,3684500,3684500,3684500,3715800,3715800,3715800,3715800,3715800,3715800,3715800,3715800,3715800,3715800,3715800,3715800,3578300,3578300,3578300,3578300,3578300,3578300,3578300,3578300,3578300,3578300,3578300,3578300,3363700,3363700,3363700,3363700,3363700,3363700,3363700,3363700,3363700,3363700,3363700,3363700,4103000,4103000,4103000,4103000,4103000,4103000,4103000,4103000,4103000,4103000,4103000,4103000,7139200,7139200,7139200,7139200,7139200,7139200,7139200,7139200,7139200,7139200,7139200,7139200,9180200,9180200,9180200,9180200,9180200,9180200,9180200,9180200,9180200,9180200,9180200,9180200,15616000,15616000,15616000,15616000,15616000,15616000,15616000,15616000,15616000,15616000,15616000,15616000,16555000,16555000,16555000,16555000,16555000,16555000,16555000,16555000,16555000,16555000,16555000,16555000,14431600,14431600,14431600,14431600,14431600,14431600,14431600,14431600,14431600,14431600,14431600,14431600,13769300,13769300,13769300,13769300,13769300,13769300,13769300,13769300,13769300,13769300,13769300,13769300,14705200,14705200,14705200,14705200,14705200,14705200,14705200,14705200,14705200,14705200,14705200,14705200,15176700,15176700,15176700,15176700,15176700,15176700,15176700,15176700,15176700,15176700,15176700,15176700,,,,,,
Excess return,Industrials,,-0.04008226,0.022173037,-0.068334752,-0.03703787,-0.111707505,-0.064522827,-0.134768247,0.019892929,-0.204098956,-0.083406128,-0.120202736,-0.218396658,-0.236264276,-0.154671847,-0.08727222,0.029944895,-0.081812488,-0.160323497,-0.172688761,0.028471619,-0.127141455,0.097024183,-0.183513694,-0.11143111,-0.165146955,-0.150699989,-0.242283355,-0.162417326,-0.034660815,-0.181069896,0.016398075,-0.128398305,-0.112515134,-0.194428423,-0.125152888,0.006685152,-0.112351978,-0.165433586,-0.204659557,-0.125483705,-0.091150955,-0.216240833,-0.174911887,-0.167689516,-0.201250982,0.119043611,-0.083579658,-0.202005072,-0.067480422,-0.064405463,-0.229102909,-0.084372269,-0.120030269,-0.076920057,-0.044574615,-0.036574793,0.101128759,-0.124694278,-0.140891369,-0.057670674,-0.033528219,-0.033028409,0.098843162,-0.131615133,-0.220376706,-0.097576943,-0.143592288,0.017077985,-0.04665004,0.058953845,-0.115605712,-0.111174729,0.041337496,0.002554403,-0.10094912,-0.051053606,-0.047025443,-0.208179254,0.034929388,-0.164326527,0.047851657,-0.038182718,-0.196507326,-0.127481717,-0.347445883,-0.020661609,-0.205855986,-0.245611709,-0.191272894,-0.16455781,-0.046441644,-0.061155145,-0.240402088,-0.454596524,-0.400571806,-0.167495862,-0.255643382,-0.296528497,-0.062171181,0.048215501,-0.110372541,-0.143197763,-0.197893896,0.015597355,-0.064398633,-0.171792057,-0.295912461,-0.172113126,-0.285714012,-0.160171557,-0.016268889,-0.172459836,-0.136359423,-0.210604978,-0.063663977,-0.160261687,-0.052832096,-0.160962946,-0.251309361,-0.100485988,-0.367131054,-0.335930201,-0.076841292,-0.186505351,-0.017128061,-0.07089392,-0.105440755,-0.234625381,-0.194124862,-0.19917241,-0.09134474,-0.101396048,-0.073343802,-0.033162552,-0.035711983,-0.100854246,-0.173226198,-0.176846939,-0.145598579,-0.160293838,-0.074004533,-0.071343177,-0.129227553,0.080185265,-0.052297938,-0.100872575,-0.148312516,-0.167145349,-0.061584535,0.004507174,-0.156404557,-0.003641145,-0.044042424,0.001076407,-0.173128645,-0.065853504
Risk premium,Industrials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Industrials,1.2043,1.1163,0.9687,0.7339,0.5992,0.6167,0.6703,0.7086,0.7156,0.6931,0.6585,0.6999,0.7132,0.6194,0.5965,0.5707,0.5703,0.5671,0.5822,0.5737,0.5603,0.543,0.5196,0.4924,0.5203,0.5389,0.635,0.6429,0.6501,0.6773,0.7094,0.6612,0.6335,0.5384,0.5608,0.7224,0.7013,0.723,0.7335,0.7324,0.7276,0.803,0.7944,0.6748,0.6358,0.6308,0.6562,0.6572,0.6498,0.6639,0.6227,0.5717,0.3955,0.3962,0.3597,0.3606,0.5727,0.7407,0.6755,0.6676,0.6794,0.5676,0.6551,0.6482,0.7445,0.6965,0.7649,0.7986,0.8338,1.0162,1.0168,0.9837,0.9719,0.959,0.849,1.083,1.0625,1.1293,1.1233,1.1551,1.0695,1.0295,1.0783,1.3034,1.5347,1.4449,1.3847,1.2841,1.2547,1.248,0.9727,0.9336,0.8887,1.1352,1.1103,1.0866,1.107,1.1118,1.0849,1.1126,1.0394,1.0153,0.9248,0.9499,0.8852,0.853,0.8343,0.857,0.845,0.7694,0.8221,0.8424,0.8359,0.8398,0.9793,1.0699,1.0855,0.8946,0.8977,0.902,0.9172,0.8689,0.8395,0.8578,0.8431,0.7715,0.8846,0.8525,0.8706,0.8046,0.8094,0.7815,0.7295,0.6306,0.5794,0.5788,0.6467,0.6082,0.5113,0.4953,0.3303,0.3303,0.3178,0.3307,0.1335,0.2624,0.2926,0.4355,0.4863,0.3668,0.3138,0.3307,0.2705,0.4741,0.5247,0.4875,
VO monthly avg,Industrials,138,964.39,565.41,335.9,187.51,759.27,327.54,522.05,1264.55,440.68,1254.86,805.99,814.08,515.81,707.18,925.09,448.67,884.87,479.67,884.84,508.03,537.61,1221.67,909.83,334.05,344.02,543.25,460.73,567.72,295.31,800.34,1139.55,510.44,575.64,611.03,1092.62,612.43,1193.72,625.78,466.88,474.45,1183.74,571.97,860.98,720.25,805.6,1648.31,844.16,431.75,1295.95,1056.94,905.87,1453.05,1135.93,1387.06,1597.25,1255.24,2761.44,1604.96,1486.8,1196.56,1681.97,1591.97,2399.55,1386.34,1058.97,1265.21,573.74,1463.59,1787.93,720.52,1041.84,845.74,795.77,1208.93,841.21,907.08,1847.3,1379.97,1468.6,1767.99,1612.18,1727.74,1525.85,1065.8,2171.84,2376.6,1437.13,1243.19,1968.3,1620.47,1421.45,1908.05,1926.83,3818.52,3719.38,2543.38,1868.68,2618.93,1900.71,1699.22,1886.51,1452.95,1377.28,1932.26,2348.33,2399.63,1552.89,1463.67,1557.2,1765.4,1973.7,1826.78,1460.81,879.71,1516.52,1494.58,1591.3,1476.06,1847,1172.5,2349.36,2695.33,1431.55,1128.8,4959.13,1898.19,1372.64,1626.92,818,2416.63,1036.98,960.95,2087.15,2022.89,1572.9,2182.43,949.14,1041.83,1204.86,1329.64,780.37,955.73,979.75,684.1,1258.52,1270.42,1800.71,1428.88,1283.19,2254.69,1515.78,867.12,1241.41,935.9,1483,671.72
Total assets,Industrials,5674900,5674900,5674900,5674900,5674900,5674900,5674900,6372600,6372600,6372600,6372600,6372600,6372600,6372600,6372600,6372600,6372600,6372600,6372600,6151100,6151100,6151100,6151100,6151100,6151100,6151100,6151100,6151100,6151100,6151100,6151100,6024500,6024500,6024500,6024500,6024500,6024500,6024500,6024500,6024500,6024500,6024500,6024500,7162400,7162400,7162400,7162400,7162400,7162400,7162400,7162400,7162400,7162400,7162400,7162400,10333600,10333600,10333600,10333600,10333600,10333600,10333600,10333600,10333600,10333600,10333600,10333600,12995000,12995000,12995000,12995000,12995000,12995000,12995000,12995000,12995000,12995000,12995000,12995000,21440700,21440700,21440700,21440700,21440700,21440700,21440700,21440700,21440700,21440700,21440700,21440700,23188500,23188500,23188500,23188500,23188500,23188500,23188500,23188500,23188500,23188500,23188500,23188500,21608900,21608900,21608900,21608900,21608900,21608900,21608900,21608900,21608900,21608900,21608900,21608900,19090700,19090700,19090700,19090700,19090700,19090700,19090700,19090700,19090700,19090700,19090700,19090700,21807300,21807300,21807300,21807300,21807300,21807300,21807300,21807300,21807300,21807300,21807300,21807300,23875100,23875100,23875100,23875100,23875100,23875100,23875100,23875100,23875100,23875100,23875100,23875100,,,,,,
Net sales,Industrials,8535000,8535000,8535000,8535000,8535000,8535000,8535000,9027400,9027400,9027400,9027400,9027400,9027400,9027400,9027400,9027400,9027400,9027400,9027400,10111300,10111300,10111300,10111300,10111300,10111300,10111300,10111300,10111300,10111300,10111300,10111300,8424000,8424000,8424000,8424000,8424000,8424000,8424000,8424000,8424000,8424000,8424000,8424000,10693800,10693800,10693800,10693800,10693800,10693800,10693800,10693800,10693800,10693800,10693800,10693800,11919500,11919500,11919500,11919500,11919500,11919500,11919500,11919500,11919500,11919500,11919500,11919500,17873800,17873800,17873800,17873800,17873800,17873800,17873800,17873800,17873800,17873800,17873800,17873800,27896200,27896200,27896200,27896200,27896200,27896200,27896200,27896200,27896200,27896200,27896200,27896200,33762400,33762400,33762400,33762400,33762400,33762400,33762400,33762400,33762400,33762400,33762400,33762400,31962400,31962400,31962400,31962400,31962400,31962400,31962400,31962400,31962400,31962400,31962400,31962400,30534800,30534800,30534800,30534800,30534800,30534800,30534800,30534800,30534800,30534800,30534800,30534800,35405900,35405900,35405900,35405900,35405900,35405900,35405900,35405900,35405900,35405900,35405900,35405900,34574900,34574900,34574900,34574900,34574900,34574900,34574900,34574900,34574900,34574900,34574900,34574900,,,,,,
common equity,Industrials,1981800,1981800,1981800,1981800,1981800,1981800,1981800,2647500,2647500,2647500,2647500,2647500,2647500,2647500,2647500,2647500,2647500,2647500,2647500,2559400,2559400,2559400,2559400,2559400,2559400,2559400,2559400,2559400,2559400,2559400,2559400,2606800,2606800,2606800,2606800,2606800,2606800,2606800,2606800,2606800,2606800,2606800,2606800,2967300,2967300,2967300,2967300,2967300,2967300,2967300,2967300,2967300,2967300,2967300,2967300,3085800,3085800,3085800,3085800,3085800,3085800,3085800,3085800,3085800,3085800,3085800,3085800,3637000,3637000,3637000,3637000,3637000,3637000,3637000,3637000,3637000,3637000,3637000,3637000,4864600,4864600,4864600,4864600,4864600,4864600,4864600,4864600,4864600,4864600,4864600,4864600,5580500,5580500,5580500,5580500,5580500,5580500,5580500,5580500,5580500,5580500,5580500,5580500,6203300,6203300,6203300,6203300,6203300,6203300,6203300,6203300,6203300,6203300,6203300,6203300,4221100,4221100,4221100,4221100,4221100,4221100,4221100,4221100,4221100,4221100,4221100,4221100,5887400,5887400,5887400,5887400,5887400,5887400,5887400,5887400,5887400,5887400,5887400,5887400,7040900,7040900,7040900,7040900,7040900,7040900,7040900,7040900,7040900,7040900,7040900,7040900,,,,,,
Turnover ratio,Industrials,0.04%,0.28%,0.17%,0.1%,0.06%,0.23%,0.1%,0.16%,0.38%,0.13%,0.38%,0.24%,0.25%,0.16%,0.21%,0.28%,0.14%,0.27%,0.14%,0.27%,0.15%,0.16%,0.37%,0.27%,0.1%,0.1%,0.16%,0.14%,0.17%,0.09%,0.24%,0.34%,0.15%,0.17%,0.18%,0.33%,0.18%,0.36%,0.19%,0.14%,0.14%,0.36%,0.17%,0.26%,0.22%,0.24%,0.5%,0.25%,0.13%,0.39%,0.32%,0.27%,0.44%,0.34%,0.42%,0.48%,0.38%,0.83%,0.48%,0.45%,0.36%,0.51%,0.48%,0.72%,0.42%,0.32%,0.38%,0.17%,0.44%,0.54%,0.22%,0.31%,0.25%,0.24%,0.36%,0.25%,0.27%,0.56%,0.42%,0.44%,0.53%,0.49%,0.52%,0.46%,0.32%,0.65%,0.72%,0.43%,0.37%,0.59%,0.49%,0.43%,0.57%,0.58%,1.15%,1.12%,0.77%,0.56%,0.79%,0.57%,0.51%,0.57%,0.44%,0.41%,0.58%,0.71%,0.72%,0.47%,0.44%,0.47%,0.53%,0.59%,0.55%,0.44%,0.27%,0.46%,0.45%,0.48%,0.44%,0.56%,0.35%,0.71%,0.81%,0.43%,0.34%,1.49%,0.57%,0.41%,0.49%,0.25%,0.73%,0.31%,0.29%,0.63%,0.61%,0.35%,0.49%,0.21%,0.23%,0.27%,0.3%,0.18%,0.21%,0.22%,0.15%,0.28%,0.29%,0.4%,0.32%,0.29%,0.51%,0.34%,0.19%,0.28%,0.21%,0.33%,0.15%
Return monthly,Industrials,,0.15384464,0.200001137,0.100000948,0.12121173,0.045044595,0.086206073,0.015873553,0.171875729,-0.053333656,0.063379372,0.026490964,-0.058065058,-0.075342076,0.007407653,0.08088188,0.183673795,0.070114812,-0.006444897,-0.025945661,0.176470519,0.018867545,0.241658983,-0.047692494,0.02584779,-0.031496255,-0.012194989,-0.102880655,-0.023561026,0.103809085,-0.042277696,0.153153675,0.007812195,0.015504066,-0.068498023,0.012658312,0.141667052,0.029197022,-0.024823086,-0.061818357,0.020455095,0.061538045,-0.061593633,-0.027799487,-0.023034116,-0.056910582,0.264984211,0.044723942,-0.080267672,0.054545278,0.051724637,-0.106885809,0.023844231,-0.010869669,0.025641043,0.057143185,0.080405307,0.228892859,-0.001537778,-0.021232569,0.059631526,0.076530581,0.081042891,0.214379762,-0.010611633,-0.098897206,0.036311757,-0.007480488,0.156287385,0.09777056,0.203362245,0.024967388,0.028204971,0.178304496,0.134391403,0.04402988,0.095783894,0.109120457,-0.051711354,0.193750688,-0.014398027,0.193360157,0.115300182,-0.028643126,0.055354383,-0.166667183,0.158824491,-0.030457686,-0.065865609,-0.005648894,-0.01147771,0.103575156,0.083332955,-0.077884488,-0.301147624,-0.258866006,-0.018404862,-0.099999982,-0.142129797,0.092822619,0.201997701,0.043141359,0.003814637,-0.051000196,0.159114955,0.079090367,-0.028581157,-0.151471461,-0.028428126,-0.149741812,-0.023279257,0.121502311,-0.032848136,0.004347977,-0.066859078,0.082989723,-0.012375187,0.081927704,-0.021657846,-0.113133361,0.043647612,-0.225790354,-0.196141701,0.061600108,-0.050490051,0.115476439,0.06723588,0.026666745,-0.097077581,-0.065085062,-0.06923021,0.03718976,0.021912452,0.044833998,0.082089648,0.077502417,0.017437854,-0.062609598,-0.077985039,-0.046944679,-0.073884938,0.013754367,0.015378223,-0.044543453,0.153845765,0.028283262,-0.017288775,-0.060776016,-0.064708449,0.037323865,0.102676574,-0.053720457,0.089150355,0.061775876,0.114182507,-0.063316145,-0.065853504
