me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Industrials,12854,22033,22033,22033,22033,22033,22033,22033,22033,22033,22033,22033,22033,17404,17404,17404,17404,17404,17404,17404,17404,17404,17404,17404,17404,82924,82924,82924,82924,82924,82924,82924,82924,82924,82924,82924,82924,82924,82924,82924,82924,82924,82924,106054,106054,106054,106054,106054,106054,106054,106054,106054,106054,106054,106054,107594,107594,107594,107594,107594,107594,107594,107594,107594,107594,107594,107594,123393,123393,123393,123393,123393,123393,123393,123393,123393,123393,123393,123393,91427,91427,91427,91427,91427,91427,91427,91427,91427,91427,91427,91427,81383,81383,81383,81383,81383,81383,81383,81383,81383,81383,81383,81383,74060,74060,74060,74060,74060,74060,74060,74060,74060,74060,74060,74060,78851,78851,78851,78851,78851,78851,78851,78851,78851,78851,78851,78851,95577,95577,95577,95577,95577,95577,95577,95577,95577,95577,95577,95577,83299,83299,83299,83299,83299,83299,83299,83299,83299,83299,83299,83299,,,,,,
Excess return,Industrials,,-0.132330098,-0.110587569,-0.180490575,-0.009784686,-0.08345099,-0.138401154,-0.045278157,0.009437027,-0.036310977,-0.221661691,-0.04246368,-0.089152893,-0.203639335,0.002096257,-0.144119326,-0.078142962,-0.192828316,-0.107226625,-0.125711827,-0.144635285,-0.159083627,-0.046323531,-0.111396856,-0.029737414,-0.090194342,-0.101301182,-0.046226178,-0.096390157,-0.177570885,-0.1108454,-0.060335214,-0.098815858,-0.1183739,0.02111141,-0.026196081,-0.028442732,-0.211202264,-0.06870358,-0.120298446,-0.033664975,-0.139965926,-0.078660957,-0.049695991,-0.014963503,-0.091372868,-0.078243716,-0.134659001,0.043982786,-0.068402199,-0.165024886,-0.09560938,-0.088404803,-0.067188436,-0.099786877,-0.063903362,-0.1075427,-0.087755747,-0.132158338,-0.094044907,-0.036609983,-0.029873125,-0.061624337,-0.090732544,-0.094546446,-0.11646451,-0.127075913,-0.097974942,-0.1131463,-0.101897167,-0.133115831,-0.100513999,-0.096058039,-0.087891291,-0.088073925,-0.165074634,-0.096156659,-0.093720006,-0.107417699,-0.110539642,-0.192113317,-0.101347448,-0.113619586,-0.17967766,-0.18542794,-0.382820746,-0.119125768,-0.211885582,-0.109075361,-0.214600117,-0.117236153,-0.211768933,-0.062077651,0.035822802,-0.234287307,-0.068025824,-0.072254976,0.024889386,-0.091990059,-0.153094049,-0.209698311,-0.034079223,-0.06163554,-0.096151113,0.122312335,-0.142936225,-0.139289906,-0.066439357,-0.034349534,-0.186640256,-0.118238364,-0.019990367,-0.064967098,-0.16656595,-0.130377656,-0.070924506,-0.177916204,0.026474213,-0.025520793,-0.075653131,-0.121528745,-0.095104146,-0.100269402,-0.099630464,-0.190461379,-0.056309915,-0.104494152,-0.077575249,-0.206708246,-0.1501611,-0.105934356,-0.087154375,-0.181101262,-0.099667347,-0.12971567,-0.150171687,-0.101352392,-0.200623622,-0.13616965,-0.154514785,0.001612127,-0.120112437,-0.12156452,-0.079413641,-0.110839673,-0.074779829,-0.089455023,-0.044482302,-0.111352791,-0.095668922,-0.163422446,-0.072633066,-0.1180356,-0.127086286,-0.15124466,-0.116392329,-0.050064291
Risk premium,Industrials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Industrials,0.514,0.2754,0.3084,0.53,0.5791,0.6742,0.588,0.6122,0.5002,0.4183,0.4416,0.406,0.4188,0.5038,0.4968,0.3876,0.3899,0.3953,0.4189,0.3791,0.4049,0.3978,0.4021,0.4354,0.433,0.437,0.3279,0.3335,0.2307,0.2571,0.2658,0.2279,0.3213,0.3853,0.3432,0.3513,0.2972,0.2413,0.2535,0.2402,0.2501,0.1992,0.2067,0.2793,0.2792,0.2913,0.2879,0.2866,0.2869,0.2379,0.2946,0.2977,0.4594,0.4581,0.4549,0.4505,0.4229,0.3702,0.3572,0.3967,0.4747,0.4286,0.4105,0.4596,0.4606,0.482,0.43,0.4233,0.4201,0.4546,0.4548,0.4879,0.4925,0.5226,0.4897,0.4994,0.4932,0.486,0.4581,0.5013,0.5095,0.4497,0.5456,0.4004,0.7952,0.8205,0.8595,0.9151,0.8979,0.7957,0.7909,0.78,0.3946,0.5034,0.5045,0.4978,0.4476,0.4107,0.38,0.3652,0.4232,0.4115,0.423,0.4684,0.4752,0.4602,0.4553,0.4543,0.3896,0.3891,0.398,0.3924,0.4374,0.4451,0.4036,0.6119,0.6619,0.5455,0.5427,0.528,0.6576,0.8054,0.7987,0.7891,0.8162,0.7961,0.8798,0.8403,0.8346,0.791,0.7928,0.8024,0.7403,0.6996,0.7203,0.7261,0.7513,0.7415,0.6863,0.7087,0.5311,0.4567,0.4614,0.4559,0.5175,0.4836,0.4882,0.5661,0.5595,0.613,0.6679,0.6677,0.6712,0.7149,0.6985,0.6328,
VO monthly avg,Industrials,0,1.8,3.85,4.01,1.02,6.57,27.17,169.75,51.75,28.69,20.43,31.02,9.86,34.33,42.79,21.32,20.2,11.06,6.13,10.78,4.17,22.41,23.15,29.4,15.99,23.59,62.21,34.57,19.17,22.67,8.42,10.88,17.52,15.9,17.39,8.12,74.62,28.04,8.69,24.1,9.92,9.57,15.72,20.16,15.35,9.24,20.79,18.58,26.7,22.48,38.14,40.23,46.02,15.8,13.41,18.16,29.72,60.52,62.7,37.83,64.4,27.76,22.28,24.75,14.35,57.99,102.47,60.63,38.79,91.63,55.56,49.61,28.12,26.89,53.52,54.32,259.18,23.93,31.81,22.42,10.01,58.16,33.41,27.02,41.59,63.97,49.46,131.3,72.18,90.97,66.02,42.45,33.69,11.9,27.3,19.06,8.93,18.6,62.91,73.81,9.98,30.23,43.01,6.5,17.42,30.27,75.14,6.96,5.42,22,17.13,12.24,91.53,32.7,32.92,20.35,6.61,9.78,35.03,36.77,30.11,38.74,28.71,9.9,18.99,5.1,12.99,36.54,11.78,13.8,114.67,15.48,185.55,165.82,38.3,30.6,96.41,60.71,41.37,93,26.15,57.29,61.88,36.45,41.63,20.07,27.11,33.29,14.84,81.74,63.19,38.42,37.2,38.17,23.35,56.54,57.82
Total assets,Industrials,76942,102483,102483,102483,102483,102483,102483,102483,102483,102483,102483,102483,102483,119220,119220,119220,119220,119220,119220,119220,119220,119220,119220,119220,119220,225207,225207,225207,225207,225207,225207,225207,225207,225207,225207,225207,225207,225207,225207,225207,225207,225207,225207,283770,283770,283770,283770,283770,283770,283770,283770,283770,283770,283770,283770,317478,317478,317478,317478,317478,317478,317478,317478,317478,317478,317478,317478,371677,371677,371677,371677,371677,371677,371677,371677,371677,371677,371677,371677,357096,357096,357096,357096,357096,357096,357096,357096,357096,357096,357096,357096,383734,383734,383734,383734,383734,383734,383734,383734,383734,383734,383734,383734,422130,422130,422130,422130,422130,422130,422130,422130,422130,422130,422130,422130,486396,486396,486396,486396,486396,486396,486396,486396,486396,486396,486396,486396,529785,529785,529785,529785,529785,529785,529785,529785,529785,529785,529785,529785,507643,507643,507643,507643,507643,507643,507643,507643,507643,507643,507643,507643,,,,,,
Net sales,Industrials,91961,113630,113630,113630,113630,113630,113630,113630,113630,113630,113630,113630,113630,142598,142598,142598,142598,142598,142598,142598,142598,142598,142598,142598,142598,244443,244443,244443,244443,244443,244443,244443,244443,244443,244443,244443,244443,244443,244443,244443,244443,244443,244443,352482,352482,352482,352482,352482,352482,352482,352482,352482,352482,352482,352482,417820,417820,417820,417820,417820,417820,417820,417820,417820,417820,417820,417820,427150,427150,427150,427150,427150,427150,427150,427150,427150,427150,427150,427150,405684,405684,405684,405684,405684,405684,405684,405684,405684,405684,405684,405684,457995,457995,457995,457995,457995,457995,457995,457995,457995,457995,457995,457995,518201,518201,518201,518201,518201,518201,518201,518201,518201,518201,518201,518201,591151,591151,591151,591151,591151,591151,591151,591151,591151,591151,591151,591151,645756,645756,645756,645756,645756,645756,645756,645756,645756,645756,645756,645756,650401,650401,650401,650401,650401,650401,650401,650401,650401,650401,650401,650401,,,,,,
common equity,Industrials,64088,80450,80450,80450,80450,80450,80450,80450,80450,80450,80450,80450,80450,101816,101816,101816,101816,101816,101816,101816,101816,101816,101816,101816,101816,137658,137658,137658,137658,137658,137658,137658,137658,137658,137658,137658,137658,137658,137658,137658,137658,137658,137658,168867,168867,168867,168867,168867,168867,168867,168867,168867,168867,168867,168867,201315,201315,201315,201315,201315,201315,201315,201315,201315,201315,201315,201315,243482,243482,243482,243482,243482,243482,243482,243482,243482,243482,243482,243482,259564,259564,259564,259564,259564,259564,259564,259564,259564,259564,259564,259564,295976,295976,295976,295976,295976,295976,295976,295976,295976,295976,295976,295976,339360,339360,339360,339360,339360,339360,339360,339360,339360,339360,339360,339360,394577,394577,394577,394577,394577,394577,394577,394577,394577,394577,394577,394577,420592,420592,420592,420592,420592,420592,420592,420592,420592,420592,420592,420592,424344,424344,424344,424344,424344,424344,424344,424344,424344,424344,424344,424344,,,,,,
Turnover ratio,Industrials,0%,0.01%,0.01%,0.01%,0%,0.01%,0.03%,0.2%,0.06%,0.03%,0.02%,0.04%,0.01%,0.04%,0.05%,0.02%,0.02%,0.01%,0.01%,0.01%,0%,0.03%,0.03%,0.03%,0.02%,0.03%,0.07%,0.04%,0.02%,0.03%,0.01%,0.01%,0.02%,0.02%,0.02%,0.01%,0.09%,0.03%,0.01%,0.03%,0.01%,0.01%,0.02%,0.02%,0.02%,0.01%,0.02%,0.02%,0.03%,0.03%,0.04%,0.05%,0.05%,0.02%,0.02%,0.02%,0.03%,0.07%,0.07%,0.04%,0.07%,0.03%,0.03%,0.03%,0.02%,0.07%,0.12%,0.07%,0.04%,0.1%,0.06%,0.06%,0.03%,0.03%,0.06%,0.06%,0.29%,0.03%,0.04%,0.03%,0.01%,0.07%,0.04%,0.03%,0.05%,0.07%,0.06%,0.15%,0.08%,0.1%,0.07%,0.05%,0.04%,0.01%,0.03%,0.02%,0.01%,0.02%,0.07%,0.08%,0.01%,0.03%,0.05%,0.01%,0.02%,0.03%,0.08%,0.01%,0.01%,0.02%,0.02%,0.01%,0.1%,0.04%,0.04%,0.02%,0.01%,0.01%,0.04%,0.04%,0.03%,0.04%,0.03%,0.01%,0.02%,0.01%,0.01%,0.04%,0.01%,0.02%,0.13%,0.02%,0.21%,0.19%,0.04%,0.03%,0.11%,0.07%,0.05%,0.11%,0.03%,0.06%,0.07%,0.04%,0.05%,0.02%,0.03%,0.04%,0.02%,0.09%,0.07%,0.04%,0.04%,0.04%,0.03%,0.06%,0.07%
Return monthly,Industrials,,0.008620102,0.025641631,-0.025000575,0.147198614,0.07692361,0.007142846,0.099290443,0.147849627,0.097141923,-0.088540891,0.08571432,0.052631507,-0.049999935,0.157894657,0.012499474,0.064220738,-0.051724416,0.036364075,0.008771473,-0.006426585,-0.022222227,0.090908769,0.020833344,0.102041586,0.037036658,0.017856518,0.073684322,0.016043943,-0.065573585,0,0.049122486,0.017726042,0,0.13333301,0.088235819,0.081080868,-0.100000364,0.04166692,-0.008465846,0.082191325,-0.025316326,0.038961143,0.072499909,0.107226097,0.031579032,0.044493984,-0.029703201,0.142857486,0.026785501,-0.069565086,0.00934572,0.023837397,0.045871864,0.008771823,0.043478138,0,0.016666853,-0.029054738,0.008547193,0.067796117,0.071428675,0.037037163,0.012922256,0.008571354,-0.00849851,-0.014285913,0.014492958,0,0.007142633,-0.024113431,0.008823701,0.013119461,0.021582509,0.021127175,-0.056862434,0.014814941,0.021897994,0.007142601,0.007092258,-0.077464817,0.007633652,0.006303214,-0.06870246,-0.04918034,-0.241379246,0.027272732,-0.059734282,0.048192339,-0.057471017,0.024390547,-0.071428933,0.051282149,0.158537002,-0.119003807,0.036585576,0.035293824,0.136363486,0.017999941,-0.045186449,-0.094736711,0.081395277,0.05376346,0.020408087,0.239999935,-0.024193625,-0.019956006,0.052631543,0.080645266,-0.074626956,-0.008064364,0.089430833,0.049539102,-0.05072465,-0.022900856,0.046875194,-0.056716504,0.139240713,0.091419307,0.038960869,0.006250055,0.042236054,0.036948698,0.034482836,-0.056140779,0.077844385,0.033333248,0.053763651,-0.071428446,-0.0219781,0.022962044,0.042696825,-0.057112362,0.022857453,-0.00558677,-0.027677387,0.023529508,-0.081609122,-0.02628275,-0.042416685,0.100671427,-0.024390337,-0.02579632,0.013158059,-0.012987173,0.019736971,0.006451577,0.051281998,-0.004304291,0.018750078,-0.042944746,0.051282034,0,-0.006097586,-0.02718916,0.002574071,-0.050064291
