me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Consumer Goods,156357,156357,156357,129536,129536,129536,129536,129536,129536,129536,129536,129536,129536,129536,129536,139029,139029,139029,139029,139029,139029,139029,139029,139029,139029,139029,139029,96238,96238,96238,96238,96238,96238,96238,96238,96238,96238,96238,96238,132032,132032,132032,132032,132032,132032,132032,132032,132032,132032,132032,132032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excess return,Consumer Goods,,-0.227592432,-0.289855255,0.503590527,-0.2611762,0.093911114,0.050446474,-0.313434231,-0.08679538,-0.1222326,-0.272660983,-0.031484248,-0.169754077,-0.093777571,-0.05775037,-0.055999237,0.056752446,-0.09969717,-0.146986264,-0.190534392,-0.104995887,0.056450162,0.006302865,-0.136796215,-0.321042816,-0.039818433,-0.1435009,-0.2689387,-0.1343203,-0.1276276,-0.055368429,0.014006613,-0.194818722,-0.1393592,0.16304412,0.221411549,-0.260418174,-0.270785373,-0.084654924,-0.080024472,-0.150028961,0.048533746,-0.042742899,0.146245036,0.088057057,-0.405302541,0.194149342,0.075089967,0.067032357,-0.1082476,-0.0910498,-0.120819182,-0.113927358,-0.185274329,0.011824332,-0.171272397,0.417021,-0.004962412,-0.0864716,-0.176765927,-0.051903369,0.016393102,-0.101064723,-0.012821462,-0.069169542,-0.0776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risk premium,Consumer Goods,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Consumer Goods,1.0616,0.8571,0.2409,0.1868,0.2941,0.2267,0.2917,0.3163,0.2916,0.2402,0.3047,0.2513,0.2282,0.2146,0.2108,-0.0339,-0.034,0.018,0.1977,0.103,-0.0159,-0.0249,-0.0622,0.1007,0.0955,0.1077,0.7143,0.7149,0.5781,0.5052,0.519,0.4907,0.5717,0.7184,0.7355,0.7187,0.6558,0.6441,0.639,0.6425,0.6494,0.4951,0.5343,0.7215,0.5701,0.5279,0.4985,0.4973,0.5106,0.4452,0.2246,0.2805,0.2125,0.212,0.1055,0.0216,0.033,-0.1503,0.0932,0.086,0.1886,0.2536,0.2574,0.1792,0.2825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VO monthly avg,Consumer Goods,76.2,26.4,17.83,10.35,28.8,25.99,5.13,6.1,19.72,5.28,37.87,6.81,5.95,3.6,2.98,1.82,25,12.06,0.59,84.53,0.88,10.46,11.08,20.48,3.83,4.41,40.62,0.7,0,0.36,9.96,10.02,51.39,0,5.49,2.03,2.74,3.6,1.38,3.06,5.51,25.86,0.4,9.32,4.1,37.85,2.98,4.32,1.77,0.01,0,27.09,0.88,0.22,1.02,7.27,3.9,2.14,0.72,0.67,0.44,1.24,2.54,3.98,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total assets,Consumer Goods,321287,321287,321287,370351,370351,370351,370351,370351,370351,370351,370351,370351,370351,370351,370351,364168,364168,364168,364168,364168,364168,364168,364168,364168,364168,364168,364168,339488,339488,339488,339488,339488,339488,339488,339488,339488,339488,339488,339488,376303,376303,376303,376303,376303,376303,376303,376303,376303,376303,376303,376303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net sales,Consumer Goods,531421,531421,531421,633764,633764,633764,633764,633764,633764,633764,633764,633764,633764,633764,633764,644385,644385,644385,644385,644385,644385,644385,644385,644385,644385,644385,644385,593380,593380,593380,593380,593380,593380,593380,593380,593380,593380,593380,593380,723969,723969,723969,723969,723969,723969,723969,723969,723969,723969,723969,723969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
common equity,Consumer Goods,162980,162980,162980,237562,237562,237562,237562,237562,237562,237562,237562,237562,237562,237562,237562,222983,222983,222983,222983,222983,222983,222983,222983,222983,222983,222983,222983,243250,243250,243250,243250,243250,243250,243250,243250,243250,243250,243250,243250,244271,244271,244271,244271,244271,244271,244271,244271,244271,244271,244271,244271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnover ratio,Consumer Goods,0.26%,0.09%,0.06%,0.04%,0.1%,0.09%,0.02%,0.02%,0.07%,0.02%,0.13%,0.02%,0.02%,0.01%,0.01%,0.01%,0.09%,0.04%,0%,0.29%,0%,0.04%,0.04%,0.08%,0.01%,0.02%,0.15%,0%,0%,0%,0.04%,0.04%,0.19%,0%,0.02%,0.01%,0.01%,0.01%,0.01%,0.01%,0.02%,0.1%,0%,0.03%,0.02%,0.14%,0.01%,0.02%,0.01%,0%,0%,0.11%,0%,0%,0%,0.03%,0.02%,0.01%,0%,0%,0%,0%,0.01%,0.02%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Return monthly,Consumer Goods,,-0.049995132,-0.157878555,0.637458927,-0.1221479,0.226093214,0.177323574,-0.187507331,0.03847542,0,-0.148164883,0.086947652,-0.039977477,0.041642229,0.08003003,0.074065063,0.172410446,0.01763683,-0.017331164,-0.073445392,0.006702413,0.166681462,0.114284265,-0.025652115,-0.210526316,0.066666667,0,-0.125,0,0,0.071428571,0.140020713,-0.062501622,0,0.29998062,0.358989649,-0.128302774,-0.134207073,0.050002076,0.057153028,-0.009016761,0.181825046,0.095518001,0.296299536,0.228573357,-0.267444841,0.330154842,0.193319867,0.180000157,0,0,-0.016947682,-0.017239858,-0.087718329,0.098370832,-0.090911597,0.5,0.066668688,0,-0.093747927,0.034478431,0.106669902,-0.012048523,0.073168138,0.022727958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
