me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Consumer Goods,1476697,1476697,1476697,1476697,1476697,1476697,1476697,1522981,1522981,1522981,1522981,1522981,1522981,1522981,1522981,1522981,1522981,1522981,1522981,1445489,1445489,1445489,1445489,1445489,1445489,1445489,1445489,1445489,1445489,1445489,1445489,1330381,1330381,1330381,1330381,1330381,1330381,1330381,1330381,1330381,1330381,1330381,1330381,1169218,1169218,1169218,1169218,1169218,1169218,1169218,1169218,1169218,1169218,1169218,1169218,1302323,1302323,1302323,1302323,1302323,1302323,1302323,1302323,1302323,1302323,1302323,1302323,1463488,1463488,1463488,1463488,1463488,1463488,1463488,1463488,1463488,1463488,1463488,1463488,1510338,1510338,1510338,1510338,1510338,1510338,1510338,1510338,1510338,1510338,1510338,1510338,1176808,1176808,1176808,1176808,1176808,1176808,1176808,1176808,1176808,902827,902827,902827,902827,902827,902827,902827,902827,902827,902827,902827,902827,823227,823227,823227,823227,823227,823227,823227,823227,823227,823227,823227,823227,984884,984884,984884,984884,984884,984884,984884,984884,984884,984884,984884,984884,1021960,1021960,1021960,1021960,1021960,1021960,1021960,1021960,1021960,1021960,1021960,1021960,6978679,6978679,6978679,6978679,6978679,6978679,6978679,6978679,6978679
Excess return,Consumer Goods,,-0.325635385,-0.146094257,-0.219554021,-0.15116037,-0.1724265,-0.148778384,-0.182300034,-0.060957616,-0.375513716,-0.119487891,-0.081861207,-0.026019843,-0.107771513,-0.233708581,-0.194599623,-0.284870754,0.007263842,-0.315980444,-0.020722143,-0.115443583,0.03755293,-0.150317557,0.184103321,-0.1467037,-0.180966624,-0.2213944,-0.1446632,-0.222104419,-0.150495265,-0.101489893,-0.116030274,-0.154654221,-0.196956901,-0.149120563,-0.097005076,-0.143769986,-0.111180909,-0.100218748,-0.246180227,-0.224899167,-0.039020644,-0.219429783,-0.158952614,-0.172496924,0.316711734,0.024251948,-0.145210237,-0.042542024,-0.191528726,0.145920949,-0.314112914,-0.234593311,0.103026363,-0.268444411,-0.128569881,-0.015733854,-0.1585018,-0.1630481,-0.069005733,-0.042438286,-0.011860921,-0.149912,-0.060160407,-0.052857874,-0.179073513,-0.103885548,-0.1620741,-0.185920007,-0.174646943,0.031105823,-0.151388551,-0.160887063,-0.146973501,-0.151531876,-0.163367907,-0.13111302,-0.1342219,-0.1292897,0.191291606,-0.48907926,-0.087535839,-0.1510889,-0.141300577,-0.210628609,-0.1023374,-0.343419299,0.023203502,-0.223053357,-0.125365325,-0.361978876,-0.352617652,-0.293869529,-0.354676856,-0.540899329,-0.039849553,-0.234971168,-0.1433647,-0.400343208,0.001879643,-0.1539838,-0.072012439,-0.047634003,-0.256215657,-0.094548135,0.045607706,-0.226249882,-0.210306125,-0.330989716,-0.071734897,-0.128299188,-0.232738131,-0.092523093,0.116297469,-0.02592959,-0.264377815,0.103242796,0.092890692,-0.0927418,-0.020843369,0.201716192,0.010223532,-0.164150199,-0.0561508,-0.078614202,-0.011360949,-0.055247,-0.111730961,-0.119456699,0.06754056,-0.160410745,-0.006766735,-0.0568624,-0.101473635,0.242728936,0.142596689,0.057173506,-0.111315433,0.020695432,-0.12872599,-0.104615826,-0.087369808,-0.041292567,-0.071007326,-0.0514908,-0.073124938,-0.097134633,-0.133170259,-0.123929119,0.716034054,-0.1613521,-0.048812106,-0.17788943,-0.07380471,-0.164593163,-0.29682407,-0.010336888
Risk premium,Consumer Goods,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Consumer Goods,0.8119,0.8104,0.8177,0.8568,0.8474,0.8655,0.9221,0.9333,1.0353,1.0854,1.0188,0.7528,0.7455,0.7915,0.7788,0.8635,0.86,0.9259,0.7135,0.7376,0.6784,0.6815,0.7122,0.6546,0.6699,0.6948,0.7135,0.7264,0.6303,0.6238,0.6137,0.5729,0.4521,0.4114,0.4001,0.2669,0.2739,0.3002,0.3262,0.3525,0.3275,0.4753,0.4718,0.4936,0.6998,0.6683,0.6009,0.6,0.5957,0.6489,0.7928,0.7831,1.2514,1.244,1.2291,1.2278,1.1109,1.2286,1.3087,1.3095,1.3336,1.2309,1.224,1.1616,1.199,1.144,1.2506,1.2107,1.0762,1.3087,1.3109,1.3148,1.2928,1.2197,1.0604,0.7849,0.7916,0.7813,0.6919,0.889,1.0559,1.0713,1.0403,0.9176,0.8257,0.1998,0.0187,-0.1159,-0.1128,0.1547,0.4929,0.5215,0.614,0.899,0.9109,0.8814,0.8502,0.9169,1.0201,1.0281,1.0426,0.9758,0.8947,0.9228,0.9009,0.8743,0.8835,0.8665,0.8655,1.1092,1.1031,1.1297,0.9696,0.9383,0.7629,0.5417,0.6274,0.1676,0.1586,0.2596,-0.263,-0.4668,-0.4449,-0.4484,-0.6287,-0.5718,-0.431,-0.4048,-0.4088,-0.4104,-0.4081,-0.3044,-0.3252,-0.2378,-0.2988,-0.2752,-0.004,0.0313,0.4454,0.4252,0.1656,0.2075,0.1847,-0.2268,-0.2184,-0.0875,-0.0803,-0.0608,1.4883,1.3997,1.3167,1.2995,1.4999,2.1028,2.1492,2.4317,
VO monthly avg,Consumer Goods,10.8,10.26,8.61,35.14,2.32,6.04,1.9,18.77,20.28,2048.51,8.61,2.54,58.22,7.85,11.49,39.74,2.59,124.87,0.37,5.31,44.17,53.13,58.62,27.78,3.79,3.15,6.74,0.7,6.27,1.97,5.75,9.89,1.77,13.51,19.8,6.47,5.09,150.83,1.34,33.82,34.85,8.78,18.11,16.4,9.26,37.13,87.93,30.12,7.85,2.13,15.74,12.19,4.04,208.67,170.4,6.92,18.01,10.63,21.65,5.13,10.26,221.86,10.02,5.07,8.24,1.3,26.11,0.3,1.42,4.69,8.68,73.48,7.23,1.55,1.15,52.14,1.43,1.05,47.05,3.31,2.83,3.49,8.31,1.14,5.15,2.18,3.99,9.23,1.31,4.95,2.6,7.8,8.64,33.78,25.06,27.25,10.4,41.34,84.51,10.81,29.19,41.34,45.65,16.53,2.58,8.58,2.14,14.09,9.31,14.33,28.13,32.45,31.54,827.94,8.21,109.74,413.04,61.29,15.93,36.88,16.15,14.54,90.75,30.48,18.36,79.01,107.93,24.2,63.89,30.56,111.62,24.51,15.19,8.99,507.73,57.53,30.24,524.17,112.68,12.55,45.65,7.7,11.17,134.59,6.72,24.48,24.93,1.24,6.87,364.68,29.3,52.63,31.45,33.91,107.99,344.01,245.79
Total assets,Consumer Goods,2449823,2449823,2449823,2449823,2449823,2449823,2449823,2550470,2550470,2550470,2550470,2550470,2550470,2550470,2550470,2550470,2550470,2550470,2550470,2565941,2565941,2565941,2565941,2565941,2565941,2565941,2565941,2565941,2565941,2565941,2565941,2503049,2503049,2503049,2503049,2503049,2503049,2503049,2503049,2503049,2503049,2503049,2503049,2489756,2489756,2489756,2489756,2489756,2489756,2489756,2489756,2489756,2489756,2489756,2489756,2673112,2673112,2673112,2673112,2673112,2673112,2673112,2673112,2673112,2673112,2673112,2673112,3011387,3011387,3011387,3011387,3011387,3011387,3011387,3011387,3011387,3011387,3011387,3011387,2907177,2907177,2907177,2907177,2907177,2907177,2907177,2907177,2907177,2907177,2907177,2907177,2586221,2586221,2586221,2586221,2586221,2586221,2586221,2586221,2586221,2194776,2194776,2194776,2194776,2194776,2194776,2194776,2194776,2194776,2194776,2194776,2194776,2077819,2077819,2077819,2077819,2077819,2077819,2077819,2077819,2077819,2077819,2077819,2077819,2396529,2396529,2396529,2396529,2396529,2396529,2396529,2396529,2396529,2396529,2396529,2396529,2482546,2482546,2482546,2482546,2482546,2482546,2482546,2482546,2482546,2482546,2482546,2482546,10926726,10926726,10926726,10926726,10926726,10926726,10926726,10926726,10926726
Net sales,Consumer Goods,2550245,2550245,2550245,2550245,2550245,2550245,2550245,3564173,3564173,3564173,3564173,3564173,3564173,3564173,3564173,3564173,3564173,3564173,3564173,4031047,4031047,4031047,4031047,4031047,4031047,4031047,4031047,4031047,4031047,4031047,4031047,3793586,3793586,3793586,3793586,3793586,3793586,3793586,3793586,3793586,3793586,3793586,3793586,3745145,3745145,3745145,3745145,3745145,3745145,3745145,3745145,3745145,3745145,3745145,3745145,3686322,3686322,3686322,3686322,3686322,3686322,3686322,3686322,3686322,3686322,3686322,3686322,3793357,3793357,3793357,3793357,3793357,3793357,3793357,3793357,3793357,3793357,3793357,3793357,3867565,3867565,3867565,3867565,3867565,3867565,3867565,3867565,3867565,3867565,3867565,3867565,3844126,3844126,3844126,3844126,3844126,3844126,3844126,3844126,3844126,2586923,2586923,2586923,2586923,2586923,2586923,2586923,2586923,2586923,2586923,2586923,2586923,2420604,2420604,2420604,2420604,2420604,2420604,2420604,2420604,2420604,2420604,2420604,2420604,2506794,2506794,2506794,2506794,2506794,2506794,2506794,2506794,2506794,2506794,2506794,2506794,2513486,2513486,2513486,2513486,2513486,2513486,2513486,2513486,2513486,2513486,2513486,2513486,3387121,3387121,3387121,3387121,3387121,3387121,3387121,3387121,3387121
common equity,Consumer Goods,560497,560497,560497,560497,560497,560497,560497,658445,658445,658445,658445,658445,658445,658445,658445,658445,658445,658445,658445,786543,786543,786543,786543,786543,786543,786543,786543,786543,786543,786543,786543,874008,874008,874008,874008,874008,874008,874008,874008,874008,874008,874008,874008,1317325,1317325,1317325,1317325,1317325,1317325,1317325,1317325,1317325,1317325,1317325,1317325,1367593,1367593,1367593,1367593,1367593,1367593,1367593,1367593,1367593,1367593,1367593,1367593,1541093,1541093,1541093,1541093,1541093,1541093,1541093,1541093,1541093,1541093,1541093,1541093,1390233,1390233,1390233,1390233,1390233,1390233,1390233,1390233,1390233,1390233,1390233,1390233,1408949,1408949,1408949,1408949,1408949,1408949,1408949,1408949,1408949,1291348,1291348,1291348,1291348,1291348,1291348,1291348,1291348,1291348,1291348,1291348,1291348,1253982,1253982,1253982,1253982,1253982,1253982,1253982,1253982,1253982,1253982,1253982,1253982,1411645,1411645,1411645,1411645,1411645,1411645,1411645,1411645,1411645,1411645,1411645,1411645,1460586,1460586,1460586,1460586,1460586,1460586,1460586,1460586,1460586,1460586,1460586,1460586,2717969,2717969,2717969,2717969,2717969,2717969,2717969,2717969,2717969
Turnover ratio,Consumer Goods,0.04%,0.04%,0.03%,0.13%,0.01%,0.02%,0.01%,0.07%,0.07%,7.56%,0.03%,0.01%,0.21%,0.03%,0.04%,0.15%,0.01%,0.46%,0%,0.02%,0.16%,0.2%,0.22%,0.1%,0.01%,0.01%,0.02%,0%,0.02%,0.01%,0.02%,0.04%,0.01%,0.05%,0.07%,0.02%,0.02%,0.56%,0%,0.12%,0.13%,0.03%,0.07%,0.06%,0.03%,0.14%,0.32%,0.11%,0.03%,0.01%,0.06%,0.04%,0.01%,0.77%,0.66%,0.03%,0.07%,0.04%,0.08%,0.02%,0.04%,0.93%,0.04%,0.02%,0.03%,0.01%,0.11%,0%,0.01%,0.02%,0.04%,0.32%,0.03%,0.01%,0%,0.23%,0.01%,0%,0.2%,0.01%,0.01%,0.02%,0.04%,0%,0.02%,0.01%,0.02%,0.04%,0.01%,0.02%,0.01%,0.03%,0.04%,0.02%,0%,0%,0%,0.01%,0.01%,0%,0%,0.01%,0.01%,0%,0%,0%,0%,0%,0%,0%,0%,0.01%,0%,0.13%,0%,0.02%,0.06%,0.01%,0%,0.01%,0%,0%,0.01%,0%,0%,0.01%,0.02%,0%,0.01%,0%,0.02%,0%,0%,0%,0.08%,0.01%,0%,0.08%,0.02%,0%,0.01%,0%,0%,0.02%,0%,0%,0%,0%,0%,0.06%,0%,0.01%,0%,0.01%,0.02%,0.05%,0.04%
Return monthly,Consumer Goods,,-0.150980185,0.022220843,-0.043475621,0.02272583,0,0.017813916,-0.017502134,0.111166284,-0.200033516,0.049996509,0.068165193,0.136346657,0.063992987,-0.060144181,-0.007999123,-0.112890754,0.181795542,-0.153829944,0.136346657,0.039995617,0.19228743,0.006451043,0.330143121,0,-0.037494224,-0.0779439,0,-0.084495519,-0.015395865,0.031273207,0.015162426,-0.029871921,-0.076938701,-0.033314263,0.012109624,-0.035714286,0.003731691,0.014731852,-0.127272727,-0.104166667,0.093023256,-0.085106383,-0.023255814,-0.023809524,0.463414634,0.166708648,-0.020510237,0.075787076,-0.070448026,0.272767349,-0.178577614,-0.072455111,0.265598363,-0.111111111,0.027781519,0.135152846,0,0,0.091092767,0.116078514,0.139985779,0,0.087720393,0.096779126,-0.029401513,0.060602252,0,-0.031439407,-0.011798843,0.194042523,0.010043849,-0.001290663,0.006417599,-0.006376676,-0.037169207,-0.00134222,0,0,0.333348606,-0.34000756,0.060606061,0,0.002258223,-0.072459509,0,-0.249991199,0.110401802,-0.129459757,-0.008619225,-0.239126176,-0.228563152,-0.166687529,-0.207039856,-0.400012629,0.088928647,-0.102058568,0,-0.250026908,0.151549943,0,0.079012961,0.097482097,-0.111029257,0.049958565,0.190438606,-0.079939382,-0.065266625,-0.186013216,0.085644703,0.026296112,-0.076867031,0.055511707,0.263210369,0.10418311,-0.151000715,0.222268996,0.181849492,0,0.076861431,0.271497192,0.067415132,-0.105278899,0,-0.035322302,0.036615651,0,-0.058833361,-0.062511099,0.12003536,-0.107171045,0.053356065,0,-0.038005035,0.302654536,0.202009089,0.134471506,-0.037043533,0.115405632,-0.03448839,-0.028583026,-0.007347308,0.037043533,-0.021445726,0,-0.014587438,-0.037043533,-0.076900659,0.041633781,0.880015154,0,0.114906394,-0.00764573,0.13462169,0.050856437,-0.06452697,-0.010336888
