me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Basic Materials,227201,227201,227201,227201,227201,227201,227201,255589,255589,255589,255589,255589,255589,255589,255589,255589,255589,255589,255589,281929,281929,281929,281929,281929,281929,281929,281929,281929,281929,281929,281929,341811,341811,341811,341811,341811,341811,341811,341811,341811,341811,341811,341811,368662,368662,368662,368662,368662,368662,368662,368662,368662,368662,368662,368662,425818,425818,425818,425818,425818,425818,425818,425818,425818,425818,425818,425818,367964,367964,367964,367964,367964,367964,367964,367964,367964,367964,367964,367964,441402,441402,441402,441402,441402,441402,441402,441402,441402,441402,441402,441402,382644,382644,382644,382644,382644,382644,382644,382644,382644,382644,382644,382644,632882,632882,632882,632882,632882,632882,632882,632882,632882,632882,632882,632882,565406,565406,565406,565406,565406,565406,565406,565406,565406,565406,565406,565406,512480,512480,512480,512480,512480,512480,512480,512480,512480,512480,512480,512480,513063,513063,513063,513063,513063,513063,513063,513063,513063,513063,513063,513063,,,,,,
Excess return,Basic Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038528183,0.216336981,0.432230189,-0.381251797,0.00140199,0.00034077,-0.088490595,0.048820477,-0.065448971,0.101148835,-0.065650118,-0.11885029,0.157793914,-0.085921982,0.106953693,-0.062274738,-0.079110835,-0.029296472,0.059222648,-0.045547352,-0.14148744,0.03648815,0.036225417,-0.143714534,0.109005924,-0.070208285,0.076713413,-0.180014949,-0.089837256,-0.135079217,-0.16684448,-0.10383115,-0.037042883,-0.085884525,-0.183622908,-0.22016259,-0.021961529,0.199860411,-0.149686326,-0.188453202,-0.117905408,-0.188133552,-0.636049411,-0.255892381,-0.615125333,-0.694390674,-0.090954839,-0.166784561,-0.166393886,-0.260187978,-0.064513879,0.00815547,0.025698899,-0.476123235,-0.098987945,-0.144020232,-0.207823254,-0.212127721,0.040113519,-0.064870248,-0.255150162,-0.260117764,-0.092509285,-0.154208874,-0.44490991,-0.118008162,-0.404731929,-0.165378549,0.076201486,-0.096870845,-0.264318996,-0.127196683,-0.090269583,-0.018410063,-0.346251758,-0.083767049,-0.176155354,-0.258768143,-0.236367289,-0.242927848,-0.285665558,-0.162137778,-0.240457715,-0.228800989,-0.117158066,-0.288830695,-0.066330569,-0.237954979,-0.538372207,-0.544297311,-0.315309813,-0.186531217,0.019219922,-0.15244758,-0.019733072,-0.00454315,0.059299842,-0.281040761,-0.280071231,-0.315845815,-0.083178352,-0.234563791,-0.024607287,-0.126406943,-0.026517241,-0.36826665,-0.116574635,-0.06366965
Risk premium,Basic Materials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Basic Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1667,-5.4366,0.7963,0.7567,0.7647,0.5931,0.5685,0.3827,0.2075,0.2211,0.0987,0.3503,0.4467,0.5224,0.5178,0.5592,0.5591,0.4853,0.4758,0.4952,0.5084,0.5058,0.4832,0.4666,0.5202,0.9065,0.372,0.3941,0.4789,0.6117,0.6302,0.7912,1.0298,1.0669,1.2047,0.8802,1.2672,1.1773,1.171,1.1625,1.1337,1.7181,1.7527,1.9064,2.1019,2.093,2.1118,2.0629,1.9173,1.8606,1.8903,1.8806,1.9193,1.833,1.8312,1.8457,1.7945,1.8296,1.8462,1.9319,1.8738,1.8731,1.8949,1.9676,1.9373,1.5974,1.4179,1.4647,1.1061,1.1372,1.1188,1.2231,1.2317,1.2879,1.305,0.9886,1.0436,1.0849,1.096,1.1805,1.0353,1.028,0.9938,1.0071,0.9126,0.8501,0.8476,0.9503,1.0348,1.5275,1.5275,1.2318,1.1758,1.2492,1.3364,1.6691,1.5899,1.5637,1.5805,1.5866,1.4137,1.5236,1.5386,1.6156,1.7894,1.6773,1.7222,
VO monthly avg,Basic Materials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.62,23.81,41.02,46.53,4.34,37.11,11.1,84.23,38.39,37.48,13.33,100.13,15.45,61.84,62.25,43.89,135.84,114.68,17.91,27.49,24.46,124.11,177.74,167.6,38.49,80.64,75.96,120.7,62.69,120.1,140.17,88.35,43.85,64.48,65.63,17.9,24.59,63.83,68.02,101.81,63.25,21.06,41.69,39.6,68.64,31.93,79.61,65.24,26.05,16.75,24.72,20.31,32.59,29.18,32.97,59.46,30.26,20.22,18.18,35.35,16.66,23.95,16.84,21.75,23.81,24.7,42.45,283.34,211.79,87.25,82.68,107.82,56.36,189.87,148.66,23.14,22.13,95.05,79.38,41.59,87.3,138.45,476.07,563.15,194.79,622.21,667.99,394.15,136.91,632.8,5467.68,1949.04,826.88,1224.29,978.56,707.18,459.13,862.89,475.79,856.48,754.66,390.15,1083.3,944.34,524.87,784.38,528.37,368.77,307.78
Total assets,Basic Materials,420515,420515,420515,420515,420515,420515,420515,472274,472274,472274,472274,472274,472274,472274,472274,472274,472274,472274,472274,544075,544075,544075,544075,544075,544075,544075,544075,544075,544075,544075,544075,676713,676713,676713,676713,676713,676713,676713,676713,676713,676713,676713,676713,720713,720713,720713,720713,720713,720713,720713,720713,720713,720713,720713,720713,955922,955922,955922,955922,955922,955922,955922,955922,955922,955922,955922,955922,1112470,1112470,1112470,1112470,1112470,1112470,1112470,1112470,1112470,1112470,1112470,1112470,1010419,1010419,1010419,1010419,1010419,1010419,1010419,1010419,1010419,1010419,1010419,1010419,1136167,1136167,1136167,1136167,1136167,1136167,1136167,1136167,1136167,1136167,1136167,1136167,1609968,1609968,1609968,1609968,1609968,1609968,1609968,1609968,1609968,1609968,1609968,1609968,1359704,1359704,1359704,1359704,1359704,1359704,1359704,1359704,1359704,1359704,1359704,1359704,1173563,1173563,1173563,1173563,1173563,1173563,1173563,1173563,1173563,1173563,1173563,1173563,836824,836824,836824,836824,836824,836824,836824,836824,836824,836824,836824,836824,,,,,,
Net sales,Basic Materials,176751,176751,176751,176751,176751,176751,176751,168682,168682,168682,168682,168682,168682,168682,168682,168682,168682,168682,168682,179867,179867,179867,179867,179867,179867,179867,179867,179867,179867,179867,179867,244217,244217,244217,244217,244217,244217,244217,244217,244217,244217,244217,244217,277855,277855,277855,277855,277855,277855,277855,277855,277855,277855,277855,277855,576192,576192,576192,576192,576192,576192,576192,576192,576192,576192,576192,576192,871056,871056,871056,871056,871056,871056,871056,871056,871056,871056,871056,871056,985604,985604,985604,985604,985604,985604,985604,985604,985604,985604,985604,985604,403129,403129,403129,403129,403129,403129,403129,403129,403129,403129,403129,403129,520077,520077,520077,520077,520077,520077,520077,520077,520077,520077,520077,520077,667105,667105,667105,667105,667105,667105,667105,667105,667105,667105,667105,667105,468274,468274,468274,468274,468274,468274,468274,468274,468274,468274,468274,468274,362881,362881,362881,362881,362881,362881,362881,362881,362881,362881,362881,362881,,,,,,
common equity,Basic Materials,185833,185833,185833,185833,185833,185833,185833,214377,214377,214377,214377,214377,214377,214377,214377,214377,214377,214377,214377,256812,256812,256812,256812,256812,256812,256812,256812,256812,256812,256812,256812,321714,321714,321714,321714,321714,321714,321714,321714,321714,321714,321714,321714,309250,309250,309250,309250,309250,309250,309250,309250,309250,309250,309250,309250,424742,424742,424742,424742,424742,424742,424742,424742,424742,424742,424742,424742,536874,536874,536874,536874,536874,536874,536874,536874,536874,536874,536874,536874,531815,531815,531815,531815,531815,531815,531815,531815,531815,531815,531815,531815,753523,753523,753523,753523,753523,753523,753523,753523,753523,753523,753523,753523,977085,977085,977085,977085,977085,977085,977085,977085,977085,977085,977085,977085,794297,794297,794297,794297,794297,794297,794297,794297,794297,794297,794297,794297,654945,654945,654945,654945,654945,654945,654945,654945,654945,654945,654945,654945,317584,317584,317584,317584,317584,317584,317584,317584,317584,317584,317584,317584,,,,,,
Turnover ratio,Basic Materials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01%,0.03%,0.05%,0.06%,0.01%,0.04%,0.01%,0.1%,0.05%,0.05%,0.02%,0.12%,0.02%,0.07%,0.08%,0.05%,0.16%,0.14%,0.02%,0.03%,0.03%,0.15%,0.21%,0.2%,0.05%,0.1%,0.09%,0.14%,0.07%,0.14%,0.16%,0.1%,0.05%,0.08%,0.08%,0.01%,0.01%,0.02%,0.03%,0.04%,0.02%,0.01%,0.02%,0.02%,0.03%,0.01%,0.02%,0.02%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0%,0%,0.01%,0%,0.01%,0%,0%,0.01%,0.01%,0.01%,0.06%,0.05%,0.02%,0.02%,0.02%,0.01%,0.04%,0.03%,0.01%,0%,0.02%,0.02%,0.01%,0.02%,0.03%,0.1%,0.12%,0.04%,0.13%,0.14%,0.08%,0.03%,0.13%,1.16%,0.41%,0.18%,0.26%,0.2%,0.15%,0.09%,0.18%,0.1%,0.18%,0.16%,0.08%,0.22%,0.19%,0.11%,0.16%,0.11%,0.08%,0.06%
Return monthly,Basic Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038528183,-0.049268819,0.568597089,-0.250279697,0.13377809,0.11760607,0.026324905,0.153830577,0.028723529,0.195678135,0.018167982,-0.02228139,0.260236014,0.019789218,0.214275093,0.047054862,0.033712465,0.086977428,0.174998048,0.072330248,-0.02905824,0.14870355,0.145267017,-0.036168734,0.218328524,0.065251215,0.176899413,-0.075286649,0.025333444,-0.010842117,-0.04109188,0.02856445,0.108484517,0.066880175,-0.021976808,-0.07855999,0.147622071,0.366280311,0.018586674,-0.014515702,0.060517692,0.011906748,-0.434429311,-0.047289181,-0.391705633,-0.479031674,0.115338561,0.042528139,0.039996014,-0.056920178,0.139475021,0.21493327,0.236164799,-0.271894235,0.103427655,0.060008868,-0.005019754,-0.006212921,0.246874119,0.147289452,-0.049600762,-0.057012464,0.111569415,0.056699926,-0.23506001,0.064678038,-0.236154229,0.006397551,0.224285786,0.057522755,-0.112484596,0.036208617,0.073927517,0.149627637,-0.179636758,0.061414751,-0.026408554,-0.108019443,-0.088919289,-0.085856348,-0.142091658,-0.018423778,-0.098548315,-0.088003689,0.018785734,-0.156524395,0.063818231,-0.100536079,-0.400879807,-0.381414811,-0.151627313,-0.043327817,0.160245322,-0.00704798,0.128310128,0.16586015,0.223513542,-0.117377661,-0.120399731,-0.144090015,0.081684748,-0.060176991,0.154174513,0.051125857,0.162164959,-0.18254675,0.071023965,-0.06366965
