me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Fincials,1203235,1203235,1203235,1203235,1203235,1203235,1203235,1066273,1066273,1066273,1066273,1066273,1066273,1066273,1066273,1066273,1066273,1066273,1066273,797902,797902,797902,797902,797902,797902,797902,797902,797902,797902,797902,797902,753810,753810,753810,753810,753810,753810,753810,753810,753810,753810,753810,753810,907302,907302,907302,907302,907302,907302,907302,907302,907302,907302,907302,907302,1484869,1484869,1484869,1484869,1484869,1484869,1484869,1484869,1484869,1484869,1484869,1484869,1948627,1948627,1948627,1948627,1948627,1948627,1948627,1948627,1948627,1948627,1948627,1948627,3310709,3310709,3310709,3310709,3310709,3310709,3310709,3310709,3310709,3310709,3310709,3310709,1455458,1455458,1455458,1455458,1455458,1455458,1455458,1455458,1455458,1455458,1455458,1455458,1336565,1336565,1336565,1336565,1336565,1336565,1336565,1336565,1336565,1336565,1336565,1336565,408823,408823,408823,408823,408823,408823,408823,408823,408823,408823,408823,408823,316920,316920,316920,316920,316920,316920,316920,316920,316920,316920,316920,316920,316920,316920,316920,316920,316920,316920,316920,316920,316920,316920,316920,,,,,,,
Excess return,Fincials,,-0.106114443,-0.255933295,-0.597999419,0.00445003,-0.374315834,-0.0000453902,-0.24092215,-0.28770207,-0.250961853,-0.185973986,-0.086088998,-0.220835657,-0.126947644,-0.302989599,-0.28923067,-0.122197884,-0.137744467,-0.245537347,-0.232181408,-0.283753326,-0.06257961,-0.087249439,-0.130733247,0.071816679,-0.286106086,-0.18750534,-0.152096993,-0.133415439,-0.071736277,-0.04299885,0.008416556,-0.177520715,-0.137141077,-0.101883375,-0.15167258,-0.11617052,-0.090081448,-0.079826511,-0.055101765,-0.082101967,-0.153408196,-0.161684545,-0.127298606,-0.137549,0.014627232,-0.130983869,-0.1248512,-0.139835639,-0.172875598,-0.170927089,-0.072125976,-0.143729783,-0.07566113,-0.104076294,-0.047617624,-0.083981947,-0.007060288,-0.154828068,-0.097086634,-0.055274769,-0.008834347,-0.044984041,-0.183002792,-0.061689299,-0.236614177,-0.233299362,-0.074108082,-0.081418613,-0.121760645,-0.080379565,-0.040935249,-0.040581931,-0.041883435,-0.106699298,-0.129881542,-0.061765016,-0.203378935,-0.126438117,-0.162106188,-0.192848585,-0.147512114,-0.069126083,-0.154028453,-0.123388069,-0.355132804,-0.096162701,-0.091617861,-0.246737653,-0.2396891,-0.327999789,-0.0865285,-0.105257668,-0.250400376,-0.225128236,-0.22669132,-0.025231192,-0.249709419,-0.164546973,-0.058127864,-0.098339497,-0.143469155,-0.154857714,-0.079563196,0.179761488,-0.165112018,0.022083754,-0.145154714,-0.141803507,-0.072493351,-0.028701705,-0.062422405,-0.135705283,-0.207755435,-0.211994369,-0.007864608,0.017232955,-0.09815892,-0.069425044,0.094831522,-0.015646173,-0.087304759,-0.124029946,-0.099223194,-0.1198558,-0.125058494,-0.097579907,-0.083746279,-0.101161018,-0.14560194,-0.120576694,-0.083124402,-0.07430223,-0.120471731,-0.098761573,-0.101205737,-0.113204948,-0.125619582,-0.063232391,-0.09904935,-0.096757436,-0.115261183,-0.096219853,-0.061490846,-0.017988364,0.277220975,0.115497997,-0.23295523,-0.0584944,-0.0758,0,0,0,0,0,0,0
Risk premium,Fincials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Fincials,1.0103,1.0352,1.2274,1.4017,1.4317,1.4248,1.3545,1.3106,1.2029,1.2066,1.186,1.042,1.0703,1.0417,1.0403,1.0491,1.0475,1.0327,0.9339,0.8637,0.8115,0.8041,0.7778,0.6671,0.7033,0.7092,0.3303,0.3293,0.4297,0.4253,0.4698,0.4877,0.4748,0.4417,0.3911,0.4319,0.4511,0.5027,0.5049,0.4936,0.4876,0.3957,0.3949,0.4651,0.523,0.5258,0.6007,0.6024,0.5214,0.451,0.4024,0.4264,0.459,0.4589,0.4334,0.4436,0.5414,0.6411,0.6485,0.672,0.7397,0.7046,0.6532,0.7117,0.7726,0.7699,0.7457,0.7543,0.7057,0.75,0.7479,0.7212,0.6904,0.7319,0.7365,0.773,0.8046,0.7908,0.8034,0.8404,0.7254,0.6903,0.7247,0.4789,0.8272,0.8824,0.8853,0.7559,0.7284,0.9157,0.7462,0.7195,0.7699,0.7687,0.7408,0.707,0.7281,0.6811,0.6987,0.7087,0.6884,0.6852,0.7043,0.7629,0.7658,0.8153,0.8125,0.8234,0.7481,0.7749,0.7978,0.8322,0.8271,0.84,0.9221,0.8125,0.7817,0.7327,0.637,0.6454,0.4649,0.4749,0.4893,0.4873,0.5866,0.6019,0.6892,0.617,0.6678,0.4726,0.4708,0.4935,0.4665,0.4402,0.4558,0.434,0.3837,0.2942,0.2799,0.2681,0.2576,0.3884,0.3933,0.2661,-0.3029,-0.4666,-0.4256,-0.431,-0.2112,,,,,,,,
VO monthly avg,Fincials,161.1,1441.45,1169.28,2683.78,1383.64,1872.54,3684.21,1625.28,2581.46,1835.56,1958.38,4182.87,7272.4,2557.23,3942.68,1685.16,1418.08,2876.87,767.6,1699.78,497.44,824.39,1734.12,1572.21,1617.28,596.49,4175.59,724.77,1696.95,4367.51,215.06,604.8,2105.2,1673.1,921.01,1769.09,1135.49,2193.03,1431.27,1750.25,1009.44,1700.67,2415.5,1025.03,363.72,2373.48,1411.14,1925.08,15007.08,1156.1,2682.14,2088.03,2242.94,9898.8,1184.32,1317.96,1762.77,8983.3,5746.28,5394.38,3800.56,3044.01,6135.53,5170.6,5135.07,3151.71,2786.38,6805.57,8858.65,8654.53,9312.09,8926.26,5496.32,5985.16,3126.05,16063.35,7939.43,6194.62,7450.61,4138.76,3236.22,9291.29,9461.46,12238.42,3485.73,3510.45,3916.46,9917.09,1405.08,1441.75,1682.6,3539.26,3459.13,1250.7,1033.21,1456.32,948.39,2177.81,1575.2,3233.95,1878.42,2772.96,1866.03,1003.1,1154.98,5168.34,2869.4,2674.13,886.76,1334.37,1417.55,2039.94,2564.05,2288.82,5460.98,1433.59,4826.94,2588.21,3642.02,2986.85,1389.98,809.1,319.94,649.09,776.08,412.75,473.58,1088.2,1192.96,235.87,139.69,202.71,234.25,10786.94,990.59,784.95,454.78,400.01,2629.37,102.57,162.52,1016.37,479.51,590.22,1895.95,2057,353.67,857.48,158.16,205.66,0,0,0,0,0,0,0
Total assets,Fincials,2130201,2130201,2130201,2130201,2130201,2130201,2130201,1948880,1948880,1948880,1948880,1948880,1948880,1948880,1948880,1948880,1948880,1948880,1948880,1767380,1767380,1767380,1767380,1767380,1767380,1767380,1767380,1767380,1767380,1767380,1767380,1757882,1757882,1757882,1757882,1757882,1757882,1757882,1757882,1757882,1757882,1757882,1757882,3517487,3517487,3517487,3517487,3517487,3517487,3517487,3517487,3517487,3517487,3517487,3517487,6278679,6278679,6278679,6278679,6278679,6278679,6278679,6278679,6278679,6278679,6278679,6278679,7949117,7949117,7949117,7949117,7949117,7949117,7949117,7949117,7949117,7949117,7949117,7949117,7254197,7254197,7254197,7254197,7254197,7254197,7254197,7254197,7254197,7254197,7254197,7254197,7031465,7031465,7031465,7031465,7031465,7031465,7031465,7031465,7031465,7031465,7031465,7031465,7337351,7337351,7337351,7337351,7337351,7337351,7337351,7337351,7337351,7337351,7337351,7337351,2766146,2766146,2766146,2766146,2766146,2766146,2766146,2766146,2766146,2766146,2766146,2766146,2416144,2416144,2416144,2416144,2416144,2416144,2416144,2416144,2416144,2416144,2416144,2416144,2416144,2416144,2416144,2416144,2416144,2416144,2416144,2416144,2416144,2416144,2416144,,,,,,,
Net sales,Fincials,5559588,5559588,5559588,5559588,5559588,5559588,5559588,2911107,2911107,2911107,2911107,2911107,2911107,2911107,2911107,2911107,2911107,2911107,2911107,3189576,3189576,3189576,3189576,3189576,3189576,3189576,3189576,3189576,3189576,3189576,3189576,3487126,3487126,3487126,3487126,3487126,3487126,3487126,3487126,3487126,3487126,3487126,3487126,3221310,3221310,3221310,3221310,3221310,3221310,3221310,3221310,3221310,3221310,3221310,3221310,3102432,3102432,3102432,3102432,3102432,3102432,3102432,3102432,3102432,3102432,3102432,3102432,3461586,3461586,3461586,3461586,3461586,3461586,3461586,3461586,3461586,3461586,3461586,3461586,3538918,3538918,3538918,3538918,3538918,3538918,3538918,3538918,3538918,3538918,3538918,3538918,3745662,3745662,3745662,3745662,3745662,3745662,3745662,3745662,3745662,3745662,3745662,3745662,4111948,4111948,4111948,4111948,4111948,4111948,4111948,4111948,4111948,4111948,4111948,4111948,1886411,1886411,1886411,1886411,1886411,1886411,1886411,1886411,1886411,1886411,1886411,1886411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
common equity,Fincials,905787,905787,905787,905787,905787,905787,905787,863017,863017,863017,863017,863017,863017,863017,863017,863017,863017,863017,863017,938236,938236,938236,938236,938236,938236,938236,938236,938236,938236,938236,938236,1003458,1003458,1003458,1003458,1003458,1003458,1003458,1003458,1003458,1003458,1003458,1003458,2609110,2609110,2609110,2609110,2609110,2609110,2609110,2609110,2609110,2609110,2609110,2609110,4576215,4576215,4576215,4576215,4576215,4576215,4576215,4576215,4576215,4576215,4576215,4576215,5689211,5689211,5689211,5689211,5689211,5689211,5689211,5689211,5689211,5689211,5689211,5689211,3820080,3820080,3820080,3820080,3820080,3820080,3820080,3820080,3820080,3820080,3820080,3820080,3839709,3839709,3839709,3839709,3839709,3839709,3839709,3839709,3839709,3839709,3839709,3839709,4724845,4724845,4724845,4724845,4724845,4724845,4724845,4724845,4724845,4724845,4724845,4724845,2159965,2159965,2159965,2159965,2159965,2159965,2159965,2159965,2159965,2159965,2159965,2159965,1922235,1922235,1922235,1922235,1922235,1922235,1922235,1922235,1922235,1922235,1922235,1922235,1922235,1922235,1922235,1922235,1922235,1922235,1922235,1922235,1922235,1922235,1922235,,,,,,,
Turnover ratio,Fincials,0.09%,0.77%,0.62%,1.43%,0.74%,0.97%,1.9%,0.84%,1.33%,0.95%,1.01%,2.16%,3.75%,1.32%,2.04%,0.87%,0.73%,1.48%,0.4%,0.88%,0.26%,0.43%,0.9%,0.81%,0.83%,0.31%,2.16%,0.37%,0.88%,2.25%,0.11%,0.31%,1.09%,0.86%,0.48%,0.91%,0.59%,1.13%,0.74%,0.9%,0.52%,0.88%,1.25%,0.53%,0.19%,1.23%,0.73%,0.99%,3.67%,0.28%,0.66%,0.51%,0.55%,2.42%,0.29%,0.32%,0.43%,2.2%,1.4%,1.32%,0.86%,0.69%,1.38%,1.17%,1.16%,0.71%,0.63%,1.54%,2%,1.95%,2.1%,2.01%,1.24%,1.35%,0.71%,3.63%,1.79%,1.4%,1.68%,0.93%,0.73%,2.1%,2.14%,2.76%,0.79%,0.79%,0.88%,2.24%,0.32%,0.33%,0.38%,0.8%,0.78%,0.28%,0.23%,0.33%,0.21%,0.49%,0.36%,0.73%,0.42%,0.63%,0.42%,0.23%,0.26%,1.17%,0.65%,0.6%,0.2%,0.3%,0.32%,0.46%,0.58%,0.52%,1.23%,0.32%,1.09%,0.57%,0.64%,0.53%,0.25%,0.14%,0.06%,0.11%,0.14%,0.07%,0.08%,0.19%,0.21%,0.04%,0.02%,0.04%,0.04%,1.91%,0.18%,0.14%,0.08%,0.07%,0.47%,0.02%,0.03%,0.2%,0.09%,0.11%,0.36%,0.4%,0.07%,0.16%,0.03%,0.04%,0%,0%,0%,0%,0%,0%,0%
Return monthly,Fincials,,0.082703157,-0.061807095,-0.387592319,0.21514713,-0.166653434,0.19378811,-0.05235435,-0.10501937,-0.067846053,-0.005955986,0.082157002,-0.038006757,0.060579456,-0.112950699,-0.09093737,0.061594616,0.043515633,-0.069501647,-0.067168308,-0.119928826,0.09987869,0.073651961,0.016094053,0.220624579,-0.141726486,-0.06819644,-0.032451093,-0.008444339,0.050857623,0.08069855,0.134241656,-0.051308315,-0.015213977,0.013355925,-0.03216288,0.00304878,0.037588652,0.046382189,0.072695035,0.048716833,-0.026379096,-0.032205845,0.006602694,0,0.152352632,0.011460231,0,-0.026187439,-0.064262598,-0.068675889,0.040937224,-0.031512783,0.03744957,0.003127906,0.059329176,0.031026253,0.114429012,-0.033372568,0.022849366,0.065826331,0.109855453,0.068967559,-0.063465692,0.061084501,-0.110510477,-0.100620262,0.059212818,0.049720487,0.005889355,0.047088135,0.083100351,0.081063269,0.080776265,0.018050202,-0.004432542,0.068824784,-0.068558535,0.009876083,-0.023110988,-0.064598385,-0.023373214,0.062080017,-0.038107753,0.014875531,-0.209791604,0.051861199,0.050503839,-0.100148453,-0.075,-0.189189189,0.05,0.031746032,-0.110972276,-0.094957836,-0.10890032,0.099989108,-0.121200119,-0.034478873,0.071420236,0.033329703,-0.010751555,-0.021736814,0.055549504,0.315756888,-0.023998118,0.163921254,-0.002830514,-0.004223207,0.063825349,0.106659695,0.074706195,0.003352017,-0.067035435,-0.071852069,0.122572892,0.145980055,0.02640118,0.053455956,0.216841722,0.099992527,0.029213941,-0.006304046,0.015876706,0,-0.003138794,0.028239693,0.033524721,0.023610382,-0.03747814,-0.011966294,0.027266098,0.03243727,-0.014289131,0.008703827,0.002886263,-0.011481848,-0.034784982,0.021051309,-0.01470905,-0.014928636,-0.023841983,-0.004741953,0.019123454,0.028178936,0.311875175,0.153835197,-0.20000823,0,0,0,0,0,0,0,0,0
