me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Consumer Goods,1473400,1473400,1473400,1473400,1473400,1473400,1473400,1849700,1849700,1849700,1849700,1849700,1849700,1849700,1849700,1849700,1849700,1849700,1849700,2042800,2042800,2042800,2042800,2042800,2042800,2042800,2042800,2042800,2042800,2042800,2042800,2246800,2246800,2246800,2246800,2246800,2246800,2246800,2246800,2246800,2246800,2246800,2246800,1413100,1413100,1413100,1413100,1413100,1413100,1413100,1413100,1413100,1413100,1413100,1413100,1979200,1979200,1979200,1979200,1979200,1979200,1979200,1979200,1979200,1979200,1979200,1979200,2044700,2044700,2044700,2044700,2044700,2044700,2044700,2044700,2044700,2044700,2044700,2044700,2682100,2682100,2682100,2682100,2682100,2682100,2682100,2682100,2682100,2682100,2682100,2682100,2790100,2790100,2790100,2790100,2790100,2790100,2790100,2790100,2790100,2790100,2790100,2790100,2624000,2624000,2624000,2624000,2624000,2624000,2624000,2624000,2624000,2624000,2624000,2624000,2418000,2418000,2418000,2418000,2418000,2418000,2418000,2418000,2418000,2418000,2418000,2418000,1885400,1885400,1885400,1885400,1885400,1885400,1885400,1885400,1885400,1885400,1885400,1885400,2845800,2845800,2845800,2845800,2845800,2845800,2845800,2845800,2845800,2845800,2845800,2845800,,,,,,
Excess return,Consumer Goods,,-0.157936866,-0.091550016,-0.236073039,-0.088850167,-0.139785844,-0.059838888,-0.121326984,-0.053123976,-0.136633504,-0.002036787,-0.029688372,-0.258670976,-0.188529692,-0.20544385,0.04136217,-0.096526561,-0.163381088,-0.126903562,-0.188003568,-0.070652907,-0.142911892,-0.105019381,-0.074854048,-0.134075855,-0.226318576,-0.173551631,-0.164892107,-0.107983944,-0.014442766,-0.099427131,-0.070789542,-0.145024447,-0.073258877,-0.051536702,-0.174574433,-0.093713956,-0.071020207,-0.208287364,-0.11267159,-0.088180048,-0.197972718,-0.105590053,-0.098894963,-0.074914903,-0.124116724,-0.005671833,-0.093873449,-0.160342267,-0.084315744,0.112572832,-0.241656735,-0.157954646,-0.160710545,-0.055986021,-0.014399513,-0.12093222,-0.069977261,-0.118746095,-0.093839726,-0.127903443,0.04532744,-0.180475788,-0.119795143,-0.10005487,-0.224518919,-0.242701246,-0.064564209,-0.056588411,-0.144420845,-0.028183885,-0.051795971,-0.09621002,-0.173949277,-0.054611744,-0.115134649,-0.040075969,-0.147609105,-0.259136727,-0.193863212,-0.112487542,-0.046357083,-0.108862982,-0.202269042,-0.175299616,-0.364843027,-0.072157614,-0.253786745,-0.226051179,-0.213449906,-0.265294186,-0.05629977,-0.052152004,-0.126742342,-0.095580801,0.108440602,-0.007526594,-0.19977827,-0.089908491,-0.231939602,-0.16547165,-0.060220065,-0.153062094,-0.004939233,-0.120378554,-0.097419508,-0.026721182,-0.198956515,-0.037427262,-0.10234596,-0.079136518,-0.00630967,-0.106963592,-0.147506743,-0.166444761,0.016911028,-0.1158573,-0.030288407,-0.095093557,-0.097088149,-0.056113579,-0.151825514,-0.137763019,-0.138205453,-0.120712011,-0.174232273,-0.100898413,-0.105980746,-0.128357382,-0.12617489,-0.037831094,-0.087265723,-0.070872526,-0.090355916,-0.0766461,-0.074073329,-0.073194701,-0.112823905,-0.088264586,0.067095946,-0.131029402,-0.078468877,-0.100092021,-0.092260006,-0.060163527,-0.185044672,-0.083814382,-0.108649674,-0.099708748,-0.0514042,-0.064069746,-0.143481029,-0.146056619,-0.006050021,-0.086159394,-0.122978671,-0.004510976
Risk premium,Consumer Goods,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Consumer Goods,0.7303,0.7634,0.7946,0.8798,0.7558,0.6165,0.6383,0.6484,0.6467,0.6291,0.645,0.548,0.5566,0.4598,0.4568,0.4487,0.4499,0.4603,0.5067,0.481,0.4794,0.4825,0.5034,0.5379,0.5753,0.5907,0.5564,0.5544,0.6069,0.6278,0.6337,0.603,0.5774,0.5621,0.5203,0.6636,0.6678,0.7077,0.6894,0.6758,0.6799,0.6978,0.7019,0.6987,0.69,0.6679,0.6573,0.658,0.6012,0.6174,0.6556,0.6981,0.5407,0.5429,0.5766,0.6461,0.6463,0.6932,0.6779,0.6257,0.6936,0.7466,0.7221,0.7727,0.8118,0.8679,0.7969,0.8131,0.8201,0.9171,0.9147,0.9049,0.9216,0.8541,0.7722,0.9347,0.9386,1.0297,1.0044,0.9785,1.0662,1.0918,1.1434,1.0305,1.2583,1.1682,1.2575,1.2026,1.186,1.2558,0.9697,0.9291,0.757,0.6514,0.6589,0.6846,0.7041,0.643,0.4766,0.4687,0.4997,0.5061,0.5585,0.5547,0.5263,0.555,0.5308,0.5423,0.4743,0.4255,0.4307,0.4509,0.4444,0.4581,0.5545,0.5565,0.5771,0.6395,0.6568,0.6727,0.7332,0.9616,0.9661,0.9602,1.0289,0.9942,0.9561,0.9669,0.9512,0.9514,0.9528,0.9067,0.9044,0.9003,0.8731,0.8693,0.843,0.8013,0.7735,0.7564,0.7405,0.6645,0.6519,0.6175,0.5154,0.5305,0.5284,0.5161,0.5287,0.4946,0.4548,0.4416,0.4417,0.2902,0.3224,0.3306,
VO monthly avg,Consumer Goods,67.3,830.9,364.75,1489.54,1044,810.8,846.08,671.8,830.58,1541.49,1071.36,702.95,616.13,909.15,1772.78,883.18,537.44,978.83,859.07,1300.9,785.92,842.27,1185.26,976.75,943.02,778.03,2036.85,2082.74,1993.66,1992.15,1085.52,899.77,877.03,1014.08,1399.35,1526.82,1086.44,1329.4,1079.65,1386.26,1183.4,1578.73,1801.26,1971.54,1484.31,1052.96,1634.49,1748.81,1093.25,1845.13,2623.57,2313.4,1662.08,1225.31,1195.57,810.21,1122.57,1116.37,833.05,671.8,562.9,966.52,547.59,1417.6,729.82,680.23,711.09,1243.65,668.31,1056.23,452.75,582.73,281.66,362.02,732.48,1138.73,493.69,961.68,1242.1,1167.99,705.26,1566.12,1155.45,1417.56,520.68,673.67,624.57,924.49,780.81,1639.4,1090.75,963.97,530.2,1264.59,997.75,1905.57,635.67,1069.5,421.31,1927,563.07,642.34,1121.27,687.67,959.14,621.88,801.58,1656.8,490.68,325.51,550.26,845.74,537.21,900.23,506.9,519.5,890.42,451.93,214.03,333.15,435.3,713.49,733.53,502.02,753.04,982.94,1348.12,865.3,884.48,1047.48,1046.86,806.43,1350.01,1432.13,897.16,1454.81,1084.96,1505.61,1152.15,946.1,684.79,874.79,811.28,686.89,432.34,1599.75,621.63,720.49,808.87,747.34,747.72,615.19,510.32,567.67,547.81,969.6,399.74
Total assets,Consumer Goods,4146300,4146300,4146300,4146300,4146300,4146300,4146300,5123000,5123000,5123000,5123000,5123000,5123000,5123000,5123000,5123000,5123000,5123000,5123000,5498000,5498000,5498000,5498000,5498000,5498000,5498000,5498000,5498000,5498000,5498000,5498000,5802100,5802100,5802100,5802100,5802100,5802100,5802100,5802100,5802100,5802100,5802100,5802100,3576600,3576600,3576600,3576600,3576600,3576600,3576600,3576600,3576600,3576600,3576600,3576600,4310600,4310600,4310600,4310600,4310600,4310600,4310600,4310600,4310600,4310600,4310600,4310600,4706700,4706700,4706700,4706700,4706700,4706700,4706700,4706700,4706700,4706700,4706700,4706700,5183400,5183400,5183400,5183400,5183400,5183400,5183400,5183400,5183400,5183400,5183400,5183400,5442700,5442700,5442700,5442700,5442700,5442700,5442700,5442700,5442700,5442700,5442700,5442700,5558300,5558300,5558300,5558300,5558300,5558300,5558300,5558300,5558300,5558300,5558300,5558300,5317100,5317100,5317100,5317100,5317100,5317100,5317100,5317100,5317100,5317100,5317100,5317100,5482700,5482700,5482700,5482700,5482700,5482700,5482700,5482700,5482700,5482700,5482700,5482700,6523400,6523400,6523400,6523400,6523400,6523400,6523400,6523400,6523400,6523400,6523400,6523400,,,,,,
Net sales,Consumer Goods,5059200,5059200,5059200,5059200,5059200,5059200,5059200,5779600,5779600,5779600,5779600,5779600,5779600,5779600,5779600,5779600,5779600,5779600,5779600,6564200,6564200,6564200,6564200,6564200,6564200,6564200,6564200,6564200,6564200,6564200,6564200,7028400,7028400,7028400,7028400,7028400,7028400,7028400,7028400,7028400,7028400,7028400,7028400,4790400,4790400,4790400,4790400,4790400,4790400,4790400,4790400,4790400,4790400,4790400,4790400,5406600,5406600,5406600,5406600,5406600,5406600,5406600,5406600,5406600,5406600,5406600,5406600,6332400,6332400,6332400,6332400,6332400,6332400,6332400,6332400,6332400,6332400,6332400,6332400,6660600,6660600,6660600,6660600,6660600,6660600,6660600,6660600,6660600,6660600,6660600,6660600,7462400,7462400,7462400,7462400,7462400,7462400,7462400,7462400,7462400,7462400,7462400,7462400,7630900,7630900,7630900,7630900,7630900,7630900,7630900,7630900,7630900,7630900,7630900,7630900,7686300,7686300,7686300,7686300,7686300,7686300,7686300,7686300,7686300,7686300,7686300,7686300,8287100,8287100,8287100,8287100,8287100,8287100,8287100,8287100,8287100,8287100,8287100,8287100,9218300,9218300,9218300,9218300,9218300,9218300,9218300,9218300,9218300,9218300,9218300,9218300,,,,,,
common equity,Consumer Goods,2329800,2329800,2329800,2329800,2329800,2329800,2329800,2746700,2746700,2746700,2746700,2746700,2746700,2746700,2746700,2746700,2746700,2746700,2746700,3057200,3057200,3057200,3057200,3057200,3057200,3057200,3057200,3057200,3057200,3057200,3057200,3122500,3122500,3122500,3122500,3122500,3122500,3122500,3122500,3122500,3122500,3122500,3122500,2166300,2166300,2166300,2166300,2166300,2166300,2166300,2166300,2166300,2166300,2166300,2166300,2339900,2339900,2339900,2339900,2339900,2339900,2339900,2339900,2339900,2339900,2339900,2339900,2680300,2680300,2680300,2680300,2680300,2680300,2680300,2680300,2680300,2680300,2680300,2680300,2518800,2518800,2518800,2518800,2518800,2518800,2518800,2518800,2518800,2518800,2518800,2518800,2675900,2675900,2675900,2675900,2675900,2675900,2675900,2675900,2675900,2675900,2675900,2675900,2954100,2954100,2954100,2954100,2954100,2954100,2954100,2954100,2954100,2954100,2954100,2954100,2918900,2918900,2918900,2918900,2918900,2918900,2918900,2918900,2918900,2918900,2918900,2918900,3617800,3617800,3617800,3617800,3617800,3617800,3617800,3617800,3617800,3617800,3617800,3617800,3677600,3677600,3677600,3677600,3677600,3677600,3677600,3677600,3677600,3677600,3677600,3677600,,,,,,
Turnover ratio,Consumer Goods,0.02%,0.22%,0.1%,0.39%,0.27%,0.24%,0.26%,0.2%,0.25%,0.46%,0.32%,0.21%,0.18%,0.27%,0.53%,0.27%,0.16%,0.29%,0.26%,0.39%,0.23%,0.25%,0.35%,0.29%,0.28%,0.23%,0.61%,0.62%,0.59%,0.59%,0.32%,0.27%,0.26%,0.3%,0.41%,0.45%,0.32%,0.39%,0.32%,0.41%,0.35%,0.46%,0.53%,0.58%,0.44%,0.31%,0.48%,0.51%,0.32%,0.54%,0.83%,0.73%,0.53%,0.39%,0.38%,0.26%,0.36%,0.35%,0.26%,0.21%,0.18%,0.31%,0.17%,0.45%,0.23%,0.22%,0.22%,0.39%,0.21%,0.33%,0.14%,0.18%,0.09%,0.11%,0.23%,0.36%,0.16%,0.28%,0.36%,0.34%,0.21%,0.46%,0.34%,0.41%,0.15%,0.2%,0.18%,0.27%,0.23%,0.48%,0.32%,0.28%,0.15%,0.37%,0.29%,0.56%,0.19%,0.31%,0.12%,0.56%,0.16%,0.19%,0.33%,0.2%,0.28%,0.18%,0.23%,0.48%,0.14%,0.1%,0.16%,0.25%,0.16%,0.26%,0.15%,0.15%,0.26%,0.13%,0.06%,0.1%,0.12%,0.2%,0.21%,0.14%,0.22%,0.28%,0.39%,0.25%,0.26%,0.31%,0.31%,0.24%,0.39%,0.42%,0.26%,0.43%,0.32%,0.44%,0.34%,0.28%,0.2%,0.26%,0.24%,0.2%,0.13%,0.47%,0.18%,0.21%,0.24%,0.22%,0.22%,0.18%,0.15%,0.17%,0.16%,0.28%,0.12%
Return monthly,Consumer Goods,,0.013757334,0.075309784,-0.058545639,0.079265233,0.016953656,0.088874012,0.025522216,0.094518124,0.010099796,0.143898213,0.107435628,-0.108205176,-0.037662292,-0.05216545,0.20183027,0.049617139,-0.018182188,0.022218538,-0.047100568,0.072249293,-0.000714392,0.038594819,0.063833652,0.006668045,-0.089404476,-0.039998431,-0.031064907,0.028150756,0.120908634,0.034595969,0.062299458,-0.012348247,0.056253423,0.071842198,-0.040467633,0.039157444,0.069564893,-0.070455164,0.02660381,0.054753652,-0.051911318,0.043229647,0.049723137,0.073155097,0.022560976,0.140338067,0.034480551,-0.041666667,0.034780456,0.230775632,-0.111476435,-0.040590546,-0.042307845,0.060239779,0.105304787,0.00068468,0.054794339,0.004561605,0.023179374,-0.009706643,0.16666324,-0.062183488,0.003584957,0.02518853,-0.092241219,-0.106796546,0.072461091,0.081757889,-0.006243545,0.109792215,0.083812729,0.04000078,-0.043590977,0.072386856,0.020501451,0.098955831,0.002261995,-0.110159527,-0.046167712,0.037233058,0.103076317,0.048721218,-0.051597542,-0.009876716,-0.201496427,0.099314886,-0.083522945,-0.050633179,-0.027334506,-0.112403086,0.09343353,0.084038996,0.005295858,0.029429899,0.224820402,0.116181706,-0.07366927,0.026167309,-0.117511502,-0.04569055,0.061214235,-0.029126594,0.117056867,0.000528346,0.027295492,0.097369218,-0.074341615,0.082903638,0.01196054,0.033097582,0.10679703,0.007983608,-0.030846443,-0.049461261,0.131220528,0,0.088400093,0.029034843,0.026641951,0.076428021,-0.004644714,0.010001281,0.006687147,0.027008689,-0.027597673,0.041735887,0.033333954,0.014268218,0.01211331,0.101145306,0.049156377,0.063454674,0.044812984,0.0571092,0.057442571,0.057464299,0.009957995,0.027115914,0.182199146,-0.018777902,0.030344623,0.007677679,0.010492494,0.037556673,-0.087573172,0.014624818,-0.016035374,0.005399352,0.0555556,0.042982654,-0.033810229,-0.042479519,0.088182579,0.014201806,-0.023050871,-0.004510976
Def tax,Consumer Goods,50500,50500,50500,50500,50500,50500,50500,-26900,-26900,-26900,-26900,-26900,-26900,-26900,-26900,-26900,-26900,-26900,-26900,15100,15100,15100,15100,15100,15100,15100,15100,15100,15100,15100,15100,81000,81000,81000,81000,81000,81000,81000,81000,81000,81000,81000,81000,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,29300,29300,29300,29300,29300,29300,29300,29300,29300,29300,29300,29300,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,64900,64900,64900,64900,64900,64900,64900,64900,64900,64900,64900,64900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,53600,53600,53600,53600,53600,53600,53600,53600,53600,53600,53600,53600,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,194900,194900,194900,194900,194900,194900,194900,194900,194900,194900,194900,194900,,,,,,
Price monthly,Consumer Goods,4.27,4.33,4.65,4.38,4.73,4.81,5.23,5.37,5.87,5.85,6.46,7.16,6.38,6.14,5.82,7,7.34,7.21,7.37,7.02,7.53,7.52,7.53,8.01,8.06,7.34,7.05,6.83,7.02,7.87,8.14,8.65,8.54,9.02,9.24,8.86,9.21,9.85,9.16,9.26,9.77,9.26,9.67,10.15,10.89,11.13,12.39,12.82,12.28,12.71,15.25,13.55,13,12.45,13.2,14.59,14.6,15.4,15.1,15.45,15.3,17.85,16.74,16.8,17.02,15.45,13.8,14.8,16.01,15.91,17.3,18.75,19.5,18.65,20,20.11,22.1,22.15,19.71,18.8,19.5,21.51,22.1,20.25,20.05,16.01,17.6,15.8,15,14.59,12.95,14.16,15.35,14.95,15.39,18.85,21.04,19.49,20,17.29,16.5,17.51,17,18.99,19,19,20.85,19.3,20.9,21.15,21.85,23.8,23.99,23.25,22.1,25,25,27.21,28,28,30.14,30,30.3,29.99,30.8,29.95,31.2,32.24,32.7,32.33,35.6,37.35,39.72,41.5,43.87,46.39,48.2,48.68,50,59.11,58,59.76,57.18,57.78,59.95,54.7,55.5,53.71,54,57,59.45,57.44,55,59.85,59,57.64,57.38
MV monthly,Consumer Goods,3033.34,3075.1,3306.68,3113.06,3359.83,2979.52,3244.36,3327.13,3661.68,3645.04,4030.85,4463.92,3980.88,3830.98,3631.1,4363.98,4588.2,4504.77,4604.88,4387.98,4738.88,4735.52,4738.88,5041.36,5074.97,4621.25,4436.39,4305.44,4426.62,4961.86,5133.54,5453.33,5386.01,5733.24,5868.93,5631.46,5851.98,6259.07,5818.05,5885.89,6208.18,5894.77,6149.59,6455.37,6927.63,7083.92,7904.86,8177.44,7836.71,8109.29,4809.63,4273.48,4100.02,3926.55,4163.09,4601.48,4604.63,4856.94,4767.37,4884.52,4837.1,5643.28,5292.35,5311.32,5380.87,4884.52,4362.87,4679.02,5061.56,5029.95,5469.39,5927.82,6164.93,5896.2,6323.01,6357.78,6986.92,7589.43,6753.39,6441.59,6681.44,7370.14,7572.29,6938.41,6869.88,5485.63,6030.42,5413.68,5139.57,4999.09,4437.16,4851.75,5259.49,5122.43,5273.2,6458.72,7209.1,6678.01,6852.75,5924.2,5653.52,5999.59,5824.84,6506.69,6510.12,6510.12,7144,6612.91,7161.13,7246.79,7486.63,8174.86,8240.13,7985.95,7590.94,8587.04,8587.04,9349.24,9766.75,9775.02,10522.11,10473.23,10577.96,10469.74,10752.52,10455.77,10892.16,10965.55,11122.01,10996.16,12180.36,12779.11,13589.99,14199.01,15009.89,15872.1,16491.38,16655.61,17107.24,20224.18,19844.4,20446.58,19667.22,19873.6,20619.98,18814.22,19089.38,18473.71,18573.45,19605.31,20448,19756.65,18917.41,20585.58,20351.35,19882.23,19792.55
NOSH,Consumer Goods,379642,379642,379642,379642,379642,331058,331058,331058,331058,332880,333128,333128,333128,333128,333128,333128,333687,333687,333687,333687,336091,336091,336091,336091,336091,336091,336091,336626,336626,336626,336626,336626,336626,339245,339245,339245,339245,339245,339245,339245,339245,339756,339756,339756,339756,339756,340727,340727,340727,340727,315386,315386,315386,315386,315386,315386,315386,315386,315720,316150,316150,316150,316150,316150,316150,316150,316150,316150,316150,316150,316150,316150,316150,316150,316150,316150,316150,342638,342638,342638,342638,342638,342638,342638,342638,342638,342638,342638,342638,342638,342638,342638,342638,342638,342638,342638,342638,342638,342638,342638,342638,342638,342638,342638,342638,342638,342638,342638,342638,342638,342638,343482,343482,343482,343482,343482,343482,343482,348813,349108,349108,349108,349108,349108,349108,349108,349108,340123,340123,340123,342145,342145,342145,342145,342145,342145,342145,342145,342145,342145,342145,342145,343953,343953,343953,343953,343953,343953,343953,343953,343953,343953,343953,343953,344938,344938,344938
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market value,,,,,,,,,,,,2152006.88,2385196.48,2125356.64,2045405.92,1938804.96,2331896,2449262.58,2405883.27,2459273.19,2342482.74,2530765.23,2527404.32,2530765.23,2692088.91,2708893.46,2466907.94,2369441.55,2299155.58,2363114.52,2649246.62,2740135.64,2911814.9,2874786.04,3059989.9,3134623.8,3005710.7,3124446.45,3341563.25,3107484.2,3141408.7,3314423.65,3146140.56,3285440.52,3448523.4,3699942.84,3781484.28,4221607.53,4368120.14,4184127.56,4330640.17,4809636.5,4273480.3,4100018,3926555.7,4163095.2,4601481.74,4604635.6,4856944.4,4767372,4884517.5,4837095,5643277.5,5292351,5311320,5380873,4884517.5,4362870,4679020,5061561.5,5029946.5,5469395,5927812.5,6164925,5896197.5,6323000,6357776.5,6986915,7589431.7,6753394.98,6441594.4,6681441,7370143.38,7572299.8,6938419.5,6869891.9,5485634.38,6030428.8,5413680.4,5139570,4999088.42,4437162.1,4851754.08,5259493.3,5122438.1,5273198.82,6458726.3,7209103.52,6678014.62,6852760,5924211.02,5653527,5999591.38,5824846,6506695.62,6510122,6510122,7144002.3,6612913.4,7161134.2,7246793.7,7486640.3,8174871.6,8240133.18,7985956.5,7590952.2,8587050,8587050,9346145.22,9766764,9775024,10522115.12,10473240,10577972.4,10469748.92,10752526.4,10455784.6,10892169.6,10965565.52,11122022.1,10996176.59,12180362,12779115.75,13589999.4,14199017.5,15009901.15,15872106.55,16491389,16655618.6,17107250,20224190.95,19844410,20446585.2,19667232.54,19873604.34,20619982.35,18814229.1,19089391.5,18473715.63,18573462,19605321,20448005.85,19756660.32,18917415,20585587.05,20351342,19882226.32,19792542.44
Debt equity,,,,,,,,,,,,0.684663238623103,0.617726888478386,0.693248357602703,0.72034601327447,0.7599526669253,0.631846360215035,0.601568819950697,0.612415414485176,0.599120100195131,0.62899076046127,0.582195449239675,0.582969645315792,0.730885653901607,0.687087262656566,0.682824934724454,0.749805037313229,0.780648081401291,0.804512759419265,0.782738197554641,0.698198493879743,0.675039575778081,0.635239554547234,0.643421797053112,0.604479119359185,0.651689047980813,0.67963959405674,0.653811813609415,0.611330639933271,0.65738065538676,0.650281512240034,0.616336417947054,0.649303475493797,0.621773545302229,0.592369476164784,0.552116637564055,0.540211157508765,0.532214324527699,0.514363142035741,0.536981716685521,0.518814750660755,0.467145490100967,0.525754149375627,0.547997594156904,0.572206323216044,0.539694600306042,0.488277499934184,0.487943063290394,0.462595371690893,0.296410684964379,0.289301860419171,0.292138153168379,0.250404131287182,0.26700798945497,0.266054389492631,0.26261537858262,0.289301860419171,0.323892300251898,0.302007685370013,0.279182619829869,0.280937381739547,0.361868177376108,0.333883704992356,0.321042024031111,0.33567396614513,0.313015973430334,0.311303802516493,0.283272374145098,0.260783689508662,0.293067413628456,0.307253123543451,0.296223524236763,0.268542943868753,0.270023645920622,0.294692472831889,0.297632048620736,0.372737200177749,0.339063782661691,0.377691302205427,0.39783483832305,0.409014569900326,0.460812554042143,0.421435210087977,0.388763685657704,0.39916538962179,0.508628650569257,0.415267635663707,0.372043485373616,0.40163134593437,0.391389746613043,0.452735392264943,0.474411814076416,0.447047112065155,0.46045852542711,0.412206157570346,0.411989206961098,0.411989206961098,0.39055138602069,0.421916911841005,0.389617052561311,0.385011650048766,0.372677180710819,0.341301996718823,0.338598896286285,0.349375807393892,0.367555996466425,0.32491950087632,0.32491950087632,0.298529493638662,0.268666264486374,0.268439238614657,0.249379518288334,0.25054328937368,0.248062662746218,0.250626831650897,0.24403567146787,0.250961558638077,0.240907009013154,0.239294543926085,0.235928320984005,0.238628397654716,0.198516267414712,0.189214969744679,0.177924952667768,0.170293472770211,0.161093665830038,0.152342727311139,0.146621973443231,0.145176235003364,0.141343582399275,0.119559788867599,0.121847915861444,0.118259356090424,0.0958650382643007,0.0948695550009123,0.0914355777806958,0.100211387348313,0.0987668988820309,0.102058515880706,0.101510423850976,0.0961677699640827,0.0922045902094653,0.0954311087735501,0.0996647797809584,0.0915883523467454,0.139833530388315,0.143132864207332,0.143781427203043
