me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70767,70767,70767,70767,70767,70767,70767,70767,70767,70767,70767,70767,83322,83322,83322,83322,83322,83322,83322,83322,83322,83322,83322,83322,260738,260738,260738,260738,260738,260738,260738,260738,260738,260738,260738,260738,327827,327827,327827,327827,327827,327827,327827,327827,327827,327827,327827,327827,140694,140694,140694,140694,140694,140694,140694,140694,140694,140694,140694,140694,99794,99794,99794,99794,99794,99794,99794,99794,99794,99794,99794,99794,55479,55479,55479,55479,55479,55479,55479,55479,55479,55479,55479,55479,117547,117547,117547,117547,117547,117547,117547,117547,117547,117547,117547,117547,76334,76334,76334,76334,76334,76334,76334,76334,76334,76334,76334,76334,,,,
Excess return,Industrials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65012409,0.032180083,-0.0018,-0.355830704,-0.500058671,-0.412459233,-0.264762211,-0.169231294,-0.185556351,-0.136077954,-0.095221914,-0.198752643,-0.188910092,-0.172707918,-0.305783455,-0.4810514,-0.043885507,-0.223927286,-0.188262303,-0.429542144,-0.360894439,-0.3558798,-0.077677158,-0.220740709,-0.202677956,-0.149501437,-0.212564283,0.098547756,-0.092282186,0.0216166,-0.010477171,-0.24874941,-0.1144719,-0.1178676,-0.279460273,-0.1189814,0.01222282,-0.058346614,-0.1171832,-0.159758895,-0.024093383,-0.157526495,-0.1048663,-0.180807806,-0.003550858,-0.117787555,-0.125006146,-0.068197459,-0.161006077,-0.083483515,-0.1196706,-0.007219222,-0.151189742,-0.173036346,-0.058543679,-0.136435409,-0.138348037,-0.146321074,-0.140842598,-0.1018143,-0.121727337,-0.1038336,-0.136720697,-0.254940513,-0.052481105,0.029774872,-0.0861839,-0.013958788,-0.109606854,-0.0900027,-0.039452473,-0.038764902,0.12881648,-0.13320594,-0.013488118,0.165993,-0.020254833,-0.109112386,-0.022908756,-0.055660576,0.217165947,0.063583045
Risk premium,Industrials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.2804,-3.6004,-1.4852,3.008,4.0611,5.0071,3.0421,2.2709,2.1316,1.8191,1.6612,0.5818,0.7315,0.6485,0.5442,0.9763,0.7678,0.7806,0.7528,0.9967,0.9573,0.9146,0.8846,0.9312,0.4223,0.4256,0.3361,0.298,0.3519,0.3885,0.3618,0.3299,0.3439,0.3813,0.4352,0.4495,0.5378,0.5339,0.46,0.4664,0.6148,0.6774,0.6745,0.4201,0.3776,0.3544,0.2119,0.3033,0.3231,0.3187,0.6465,0.5662,0.6353,0.6102,0.5504,0.6212,0.6194,0.6343,0.486,0.3573,0.3661,0.3794,0.4172,0.349,0.1648,0.1965,0.1518,0.3053,0.299,0.3746,0.3929,0.3289,0.2744,0.3078,0.425,0.1456,0.089,0.0805,0.1339,0.1755,-0.0058,-0.0341,
VO monthly avg,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2263.13,668.99,308.17,778.61,1160.87,401.09,291.21,943.08,586.02,1226.59,301.25,2080.73,568.44,71.07,660.84,151,1281.6,421.96,208.25,121.67,128.89,519.52,1666.77,1702.55,108.2,58.51,22.37,18.13,1004.54,288.8,2424.6,194.78,160.49,591.19,312.66,916.89,891.08,171.67,1194.22,564.98,450.87,224.82,74.55,77.38,107.78,288.19,307.4,295.81,160.86,310.45,918.24,506.53,414.03,71.7,58.38,79.2,17.49,54.88,54.6,163.68,85.38,103.9,31.79,229.91,219.4,103.41,14.65,226.58,96.03,58.71,126.93,128.87,457.43,137.55,97.45,45.36,18.87,534.52,295.25,153.88,86.08,692.15,340.92
Total assets,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72698,72698,72698,72698,72698,72698,72698,72698,72698,72698,72698,72698,103044,103044,103044,103044,103044,103044,103044,103044,103044,103044,103044,103044,648538,648538,648538,648538,648538,648538,648538,648538,648538,648538,648538,648538,836235,836235,836235,836235,836235,836235,836235,836235,836235,836235,836235,836235,683501,683501,683501,683501,683501,683501,683501,683501,683501,683501,683501,683501,645499,645499,645499,645499,645499,645499,645499,645499,645499,645499,645499,645499,572589,572589,572589,572589,572589,572589,572589,572589,572589,572589,572589,572589,480040,480040,480040,480040,480040,480040,480040,480040,480040,480040,480040,480040,441020,441020,441020,441020,441020,441020,441020,441020,441020,441020,441020,441020,,,,
Net sales,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146733,146733,146733,146733,146733,146733,146733,146733,146733,146733,146733,146733,175851,175851,175851,175851,175851,175851,175851,175851,175851,175851,175851,175851,279015,279015,279015,279015,279015,279015,279015,279015,279015,279015,279015,279015,715131,715131,715131,715131,715131,715131,715131,715131,715131,715131,715131,715131,580519,580519,580519,580519,580519,580519,580519,580519,580519,580519,580519,580519,401943,401943,401943,401943,401943,401943,401943,401943,401943,401943,401943,401943,387102,387102,387102,387102,387102,387102,387102,387102,387102,387102,387102,387102,417531,417531,417531,417531,417531,417531,417531,417531,417531,417531,417531,417531,502709,502709,502709,502709,502709,502709,502709,502709,502709,502709,502709,502709,,,,
common equity,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,387800,387800,387800,387800,387800,387800,387800,387800,387800,387800,387800,387800,508408,508408,508408,508408,508408,508408,508408,508408,508408,508408,508408,508408,542807,542807,542807,542807,542807,542807,542807,542807,542807,542807,542807,542807,545705,545705,545705,545705,545705,545705,545705,545705,545705,545705,545705,545705,517110,517110,517110,517110,517110,517110,517110,517110,517110,517110,517110,517110,362494,362494,362494,362494,362494,362494,362494,362494,362494,362494,362494,362494,364896,364896,364896,364896,364896,364896,364896,364896,364896,364896,364896,364896,,,,
Turnover ratio,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69%,0.2%,0.09%,0.24%,0.35%,0.12%,0.08%,0.25%,0.14%,0.29%,0.07%,0.49%,0.13%,0.02%,0.16%,0.04%,0.3%,0.1%,0.05%,0.03%,0.03%,0.12%,0.39%,0.39%,0.03%,0.01%,0.01%,0%,0.23%,0.07%,0.56%,0.05%,0.04%,0.14%,0.07%,0.21%,0.21%,0.04%,0.28%,0.13%,0.1%,0.05%,0.02%,0.02%,0.02%,0.07%,0.07%,0.07%,0.04%,0.07%,0.22%,0.12%,0.1%,0.02%,0.01%,0.02%,0%,0.01%,0.01%,0.04%,0.02%,0.03%,0.01%,0.06%,0.06%,0.03%,0%,0.06%,0.02%,0.01%,0.03%,0.03%,0.12%,0.03%,0.02%,0.01%,0%,0.14%,0.07%,0.04%,0.02%,0.18%,0.09%
Return monthly,Industrials,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.50004889,0.018512483,0.272704,-0.014281404,-0.098561371,-0.138256933,-0.041045511,0.050609506,0.014796949,0.054727646,0.031181486,-0.060418143,-0.053554592,-0.037723318,-0.137276555,-0.34088,0.096492293,-0.088000886,-0.034470203,-0.285732244,-0.230024639,-0.2208,0.066588442,-0.108085809,-0.090965156,-0.040027137,-0.104240283,0.209467456,0.019243314,0.13216,0.100056529,-0.13643371,0,0,-0.163641773,0,0.13055852,0.057583386,0,-0.038976495,0.097832817,-0.035532995,0,-0.074269006,0.100126342,-0.018087855,-0.019298246,0.039057841,-0.056527977,0.040145985,0,0.115204678,-0.034347142,-0.055661146,0.058941921,-0.018463209,-0.019087137,-0.038353074,-0.039882698,0,-0.021075137,0,-0.042433697,-0.177908113,0.027348395,0.104938272,0,0.071578212,-0.022157054,0,0.045318227,0.043672298,0.20830788,-0.03463094,0.071484682,0.25,0.066666667,-0.024926686,0.064097744,0.024024024,0.294117647,0.063583045
