me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Fincials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,110,110,110,110,110,110,110,110,110,110,110,17701,17701,17701,17701,17701,17701,17701,17701,17701,17701,17701,17701,238,238,238,238,238,238,238,238,238,238,238,238,48023,48023,48023,48023,48023,48023,48023,48023,48023,48023,48023,48023,131,131,131,131,131,131,131,131,131,131,131,131,98,98,98,98,98,98,98,98,98,98,98,98,,,,,,,,,,,,
Excess return,Fincials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.116961926,-0.327872636,-0.358687652,-0.10483378,-0.423759061,-0.518425377,0.034814266,0.221363671,-0.153629305,-0.125692877,-0.10077733,-0.243937529,-0.166037247,-0.042153998,-0.117236013,-0.150480188,-0.131925054,-0.269642132,-0.12839972,-0.110183191,-0.31238653,-0.199729638,-0.137040145,-0.139208301,-0.17788427,-0.20977102,-0.187328598,-0.112660105,-0.144800688,-0.09896481,-0.016174284,-0.1714032,-0.152708359,-0.234140035,-0.141791918,-0.285969695,-0.129705736,-0.114706726,-0.130692161,-0.063889382,-0.107899523,-0.220133886,0.095644279,-0.221231546,-0.123137841,-0.256680642,-0.064984414,-0.17445336,-0.101344045,-0.002217357,-0.135484125,-0.029247992,-0.007860674,-0.196977617,-0.121915379,-0.151576657,-0.092812643,-0.128569399,-0.09903632,0.061471113,-0.043277937,-0.188693859,0.011569073,0.151971786
Risk premium,Fincials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Fincials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.9488,-0.0427,0.5958,0.5381,0.7123,1.4137,1.7112,1.4934,1.4756,1.4027,1.3789,1.3807,1.4177,1.4264,1.4269,1.392,1.39,1.3612,1.3559,1.3715,1.3633,1.322,1.2964,1.2414,1.2908,1.2757,1.257,0.7754,0.6143,0.5861,0.6212,0.7064,0.7617,0.726,0.7967,0.7738,0.616,0.6158,0.5622,0.6082,0.5646,0.4516,0.4344,0.3202,0.2849,0.2615,0.2424,0.2119,0.3135,0.2987,0.2775,0.3373,0.3917,0.4384,0.4663,0.5017,0.4307,0.4019,0.4359,0.476,0.4496,0.3583,0.4836,
VO monthly avg,Fincials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6603.45,139.48,254.99,116.32,32.58,99.73,75.32,131.61,296.55,485.82,130.24,111.75,87.58,517.47,421.67,412.19,236.69,341.75,370.12,387.21,267,327.39,287.99,302.61,116.24,127.69,294.63,314.48,125.81,250.94,262.15,520.96,209.77,269.45,171.5,116.94,525.55,318.61,240.63,546.97,152.58,227.83,723.55,323.53,180.53,359.01,256.93,246.21,232.52,1231.91,364.39,159.82,173.44,595.56,542.93,626.3,440.46,747.51,1893.45,428.48,233.7,407.46,278.47,322.91,122.28
Total assets,Fincials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86335,86335,86335,86335,86335,86335,86335,86335,86335,86335,86335,86335,127115,127115,127115,127115,127115,127115,127115,127115,127115,127115,127115,127115,199358,199358,199358,199358,199358,199358,199358,199358,199358,199358,199358,199358,328596,328596,328596,328596,328596,328596,328596,328596,328596,328596,328596,328596,235450,235450,235450,235450,235450,235450,235450,235450,235450,235450,235450,235450,246933,246933,246933,246933,246933,246933,246933,246933,246933,246933,246933,246933,,,,,,,,,,,,
Net sales,Fincials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-20535,-20535,-20535,-20535,-20535,-20535,-20535,-20535,-20535,-20535,-20535,-20535,42455,42455,42455,42455,42455,42455,42455,42455,42455,42455,42455,42455,126989,126989,126989,126989,126989,126989,126989,126989,126989,126989,126989,126989,-85490,-85490,-85490,-85490,-85490,-85490,-85490,-85490,-85490,-85490,-85490,-85490,-20909,-20909,-20909,-20909,-20909,-20909,-20909,-20909,-20909,-20909,-20909,-20909,,,,,,,,,,,,
common equity,Fincials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86224,86224,86224,86224,86224,86224,86224,86224,86224,86224,86224,86224,109413,109413,109413,109413,109413,109413,109413,109413,109413,109413,109413,109413,199120,199120,199120,199120,199120,199120,199120,199120,199120,199120,199120,199120,280573,280573,280573,280573,280573,280573,280573,280573,280573,280573,280573,280573,235319,235319,235319,235319,235319,235319,235319,235319,235319,235319,235319,235319,246835,246835,246835,246835,246835,246835,246835,246835,246835,246835,246835,246835,,,,,,,,,,,,
Turnover ratio,Fincials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9%,0.08%,0.15%,0.07%,0.01%,0.04%,0.03%,0.05%,0.12%,0.2%,0.05%,0.05%,0.04%,0.11%,0.09%,0.09%,0.05%,0.07%,0.08%,0.08%,0.06%,0.07%,0.06%,0.06%,0.02%,0.03%,0.06%,0.07%,0.03%,0.05%,0.06%,0.11%,0.04%,0.06%,0.04%,0.02%,0.11%,0.07%,0.05%,0.11%,0.03%,0.05%,0.15%,0.07%,0.04%,0.08%,0.03%,0.03%,0.03%,0.16%,0.05%,0.02%,0.02%,0.08%,0.07%,0.08%,0.06%,0.1%,0.25%,0.06%,0.03%,0.05%,0.04%,0.04%,0.02%
Return monthly,Fincials,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,-0.116961926,-0.247062736,-0.247902252,0.00841652,-0.293284161,-0.343312277,0.227519866,0.403747871,0.028883495,0.051427223,0.07314337,-0.069203429,0.013027853,0.138359202,0.063108687,0.027665812,0.043144946,-0.098786532,0.04172198,0.063171309,-0.13869863,-0.034393638,0.023883055,0.018499899,-0.01816387,-0.04665192,-0.026787598,0.022540095,-0.019499788,0.02485949,0.107361316,-0.044,-0.020721259,-0.106002035,-0.013199818,-0.154520295,-0.012547736,0.003038674,-0.015973561,0.051777218,0.006120277,-0.112933086,0.199761479,-0.123508946,-0.032889141,-0.173556142,0.017736786,-0.09550366,-0.014643545,0.083300743,-0.054151625,0.057251908,0.080866426,-0.104208417,-0.032438479,-0.048169557,0.010121457,-0.024849699,0.01027538,0.167209113,0.060996863,-0.086070959,0.121135873,0.151971786
