me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Industrials,1643600,1643600,1643600,1643600,1643600,1643600,1643600,1643600,1643600,1643600,2104200,2104200,2104200,2104200,2104200,2104200,2104200,2104200,2104200,2104200,2104200,2104200,2327000,2327000,2327000,2327000,2327000,2327000,2327000,2327000,2327000,2327000,2327000,2327000,2055100,2055100,2055100,2055100,2055100,2055100,2055100,2055100,2055100,2055100,2055100,2055100,2518200,2518200,2518200,2518200,2518200,2518200,2518200,2518200,2518200,2518200,2518200,2518200,3871200,3871200,3871200,3871200,3871200,3871200,3871200,3871200,3871200,3871200,3871200,3871200,2322500,2322500,2322500,2322500,2322500,2322500,2322500,2322500,2322500,2322500,2322500,2322500,3947500,3947500,3947500,3947500,3947500,3947500,3947500,3947500,3947500,3947500,3947500,3947500,3607200,3607200,3607200,3607200,3607200,3607200,3607200,3607200,3607200,3607200,3607200,3607200,3441400,3441400,3441400,3441400,3441400,3441400,3441400,3441400,3441400,3441400,3441400,3441400,2138500,2138500,2138500,2138500,2138500,2138500,2138500,2138500,2138500,2138500,2138500,2138500,2089500,2089500,2089500,2089500,2089500,2089500,2089500,2089500,2089500,2089500,2089500,2089500,2450400,2450400,2450400,2450400,2450400,2450400,2450400,2450400,2450400,2450400,2450400,2450400,,,
Excess return,Industrials,,-0.077051763,-0.159387116,-0.211118698,-0.111637371,-0.027760347,-0.032590819,-0.237268659,-0.11665157,-0.21429253,-0.117347768,0.038001615,-0.200789181,-0.171892453,-0.182227974,-0.165140804,-0.148339734,-0.135491141,-0.188048769,-0.156345574,-0.146927996,-0.169613895,-0.099749856,-0.128749766,-0.161875864,-0.16183342,-0.206798916,-0.146875015,-0.18293431,-0.114971923,-0.05286751,-0.119979433,-0.14516219,-0.166567181,-0.062881292,-0.017932188,-0.035109999,-0.026972328,-0.060920673,-0.135606395,-0.09019888,-0.188877242,-0.132770039,-0.144982931,-0.063347113,-0.092313783,0.033234278,-0.059109544,-0.043059452,-0.146856798,-0.091117535,-0.118772662,-0.1179626,-0.087763735,-0.101582268,-0.031289168,-0.054577586,-0.102483895,-0.016819473,-0.001193363,-0.076529957,0.076080071,-0.047572725,-0.03769359,-0.010754852,-0.247315308,-0.111332784,-0.099477915,-0.036682439,-0.180033044,0.035562412,-0.113718768,-0.068461393,-0.053961224,-0.222791508,-0.072039871,-0.134699104,-0.204244415,-0.117387966,-0.193017984,-0.217628384,-0.156663163,-0.003987545,-0.172323546,-0.234946864,-0.260571521,-0.215628749,-0.16252397,-0.159843173,-0.170850802,-0.238103529,-0.057405922,-0.011521015,-0.137756579,-0.266847625,-0.16988001,-0.013256281,-0.151597608,-0.33860057,-0.144329272,0.020110709,-0.15252191,-0.049160516,-0.056862613,-0.04072513,-0.026322421,-0.140138613,-0.140356427,-0.066046468,-0.133497326,-0.14466713,-0.077341038,-0.131166931,-0.175696713,-0.076357939,-0.101018098,-0.157736701,-0.046637596,-0.097655671,-0.149385078,-0.049754519,-0.1356715,-0.219577896,-0.107413813,-0.066685828,-0.154816439,-0.111172138,-0.152424813,-0.134945207,-0.130259554,-0.059428825,-0.12988433,-0.119846485,-0.050648662,-0.055587174,-0.119237047,-0.096467865,-0.178930895,-0.108605908,0.055551048,-0.229070997,-0.153755287,-0.013045822,-0.154412413,-0.088415113,-0.086812115,-0.049079703,-0.140718819,-0.086110823,-0.194665084,-0.12565731,-0.140735401,-0.086333754,-0.038642143,-0.136024324,-0.128543103,-0.003346771
Risk premium,Industrials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Industrials,0.7541,0.7264,0.7319,0.689,0.6763,0.7336,0.7682,0.7609,0.7801,0.7759,0.8301,0.7917,0.7998,0.753,0.7457,0.7817,0.7818,0.7645,0.7097,0.6839,0.6703,0.6657,0.7033,0.679,0.6967,0.7123,0.7007,0.7067,0.6157,0.5929,0.5883,0.5733,0.5552,0.569,0.4418,0.5344,0.5446,0.5614,0.5633,0.5535,0.5498,0.5776,0.5746,0.6083,0.6216,0.5983,0.5999,0.5993,0.5591,0.4978,0.4978,0.4724,0.5502,0.5484,0.5878,0.5589,0.5018,0.4528,0.4511,0.4363,0.5302,0.4834,0.4918,0.509,0.6028,0.5775,0.5599,0.5712,0.5799,0.6889,0.6899,0.6981,0.6693,0.714,0.7054,0.7967,0.8305,0.8201,0.8395,0.8823,0.9977,1.2541,1.1929,1.2001,1.2933,0.986,0.926,0.8037,0.7983,0.8718,0.6631,0.6006,0.4679,0.5755,0.5662,0.562,0.5727,0.6983,0.6328,0.662,0.6311,0.6216,0.6465,0.6637,0.6287,0.618,0.6183,0.6174,0.583,0.6762,0.6797,0.6885,0.6772,0.6687,0.72,0.8074,0.8199,0.7438,0.746,0.7575,0.5077,0.5683,0.5683,0.5795,0.7506,0.7419,0.7459,0.7258,0.7224,0.7836,0.7825,0.7575,0.7454,0.7478,0.7409,0.7427,0.7538,0.7975,0.8962,0.8604,0.832,0.8849,0.8588,0.8286,0.7783,0.7777,0.7875,0.7306,0.4836,0.5211,0.4701,0.4723,0.5021,0.3964,0.4166,0.3863,
VO monthly avg,Industrials,33.3,219.7,542.91,170.05,136.58,144.24,208.64,400.03,214.97,238.75,151.03,483,290.87,375.05,432.68,328.37,147.91,235.45,294.89,377.88,231.36,257.44,316.01,165.61,333.52,376.89,157.87,383.72,260.29,326.02,251.15,213.96,314.9,457.78,626.54,459.84,493.54,618.21,301.47,232.65,201.25,333.99,348.19,187.48,203.81,294.32,327.91,528.87,296.87,224.79,173.61,205.38,296.69,265.61,245.28,386.56,640.84,570.51,715.88,498.14,404.58,490.16,341.23,437.65,591.18,532.86,546.63,328.17,403.64,680.21,377.56,394.72,379.65,539.59,1013.57,891.94,1009.06,773.5,586.91,588.43,453.87,535.85,516.8,625.01,377.28,314.13,493.75,728.08,399.67,530.21,373.85,367.25,423.94,561.44,439.21,455.9,309.2,324.39,429.28,428.27,342.82,407.74,438.95,410.02,384.47,480.81,438.11,551.29,514.28,989.37,622.9,621.31,393.58,579.86,408.04,264.09,254.5,388.49,389.98,356.7,573.85,694.44,678.51,455.4,328.18,289.49,332.28,211.08,238.67,342.32,317.85,234.13,397.2,392,298.46,341.46,264.06,315.82,665.54,334.95,224.64,213.81,317.18,275.08,228.14,290.26,293.35,387.75,214.2,331.26,474.74,217.61,273.28,336.89,292.89,247.11,191.86
Total assets,Industrials,2513300,2513300,2513300,2513300,2513300,2513300,2513300,2513300,2513300,2513300,3272400,3272400,3272400,3272400,3272400,3272400,3272400,3272400,3272400,3272400,3272400,3272400,3595700,3595700,3595700,3595700,3595700,3595700,3595700,3595700,3595700,3595700,3595700,3595700,3020900,3020900,3020900,3020900,3020900,3020900,3020900,3020900,3020900,3020900,3020900,3020900,3998900,3998900,3998900,3998900,3998900,3998900,3998900,3998900,3998900,3998900,3998900,3998900,5570600,5570600,5570600,5570600,5570600,5570600,5570600,5570600,5570600,5570600,5570600,5570600,4792000,4792000,4792000,4792000,4792000,4792000,4792000,4792000,4792000,4792000,4792000,4792000,7628500,7628500,7628500,7628500,7628500,7628500,7628500,7628500,7628500,7628500,7628500,7628500,7650900,7650900,7650900,7650900,7650900,7650900,7650900,7650900,7650900,7650900,7650900,7650900,7900400,7900400,7900400,7900400,7900400,7900400,7900400,7900400,7900400,7900400,7900400,7900400,6062500,6062500,6062500,6062500,6062500,6062500,6062500,6062500,6062500,6062500,6062500,6062500,6588000,6588000,6588000,6588000,6588000,6588000,6588000,6588000,6588000,6588000,6588000,6588000,7387700,7387700,7387700,7387700,7387700,7387700,7387700,7387700,7387700,7387700,7387700,7387700,,,
Net sales,Industrials,4229800,4229800,4229800,4229800,4229800,4229800,4229800,4229800,4229800,4229800,5062900,5062900,5062900,5062900,5062900,5062900,5062900,5062900,5062900,5062900,5062900,5062900,6103900,6103900,6103900,6103900,6103900,6103900,6103900,6103900,6103900,6103900,6103900,6103900,6247300,6247300,6247300,6247300,6247300,6247300,6247300,6247300,6247300,6247300,6247300,6247300,7036900,7036900,7036900,7036900,7036900,7036900,7036900,7036900,7036900,7036900,7036900,7036900,8236400,8236400,8236400,8236400,8236400,8236400,8236400,8236400,8236400,8236400,8236400,8236400,9574400,9574400,9574400,9574400,9574400,9574400,9574400,9574400,9574400,9574400,9574400,9574400,10921100,10921100,10921100,10921100,10921100,10921100,10921100,10921100,10921100,10921100,10921100,10921100,10270800,10270800,10270800,10270800,10270800,10270800,10270800,10270800,10270800,10270800,10270800,10270800,10679900,10679900,10679900,10679900,10679900,10679900,10679900,10679900,10679900,10679900,10679900,10679900,10922700,10922700,10922700,10922700,10922700,10922700,10922700,10922700,10922700,10922700,10922700,10922700,11662200,11662200,11662200,11662200,11662200,11662200,11662200,11662200,11662200,11662200,11662200,11662200,11350600,11350600,11350600,11350600,11350600,11350600,11350600,11350600,11350600,11350600,11350600,11350600,,,
common equity,Industrials,747000,747000,747000,747000,747000,747000,747000,747000,747000,747000,1064000,1064000,1064000,1064000,1064000,1064000,1064000,1064000,1064000,1064000,1064000,1064000,1146800,1146800,1146800,1146800,1146800,1146800,1146800,1146800,1146800,1146800,1146800,1146800,925400,925400,925400,925400,925400,925400,925400,925400,925400,925400,925400,925400,1437500,1437500,1437500,1437500,1437500,1437500,1437500,1437500,1437500,1437500,1437500,1437500,1660500,1660500,1660500,1660500,1660500,1660500,1660500,1660500,1660500,1660500,1660500,1660500,2454400,2454400,2454400,2454400,2454400,2454400,2454400,2454400,2454400,2454400,2454400,2454400,3659600,3659600,3659600,3659600,3659600,3659600,3659600,3659600,3659600,3659600,3659600,3659600,4016300,4016300,4016300,4016300,4016300,4016300,4016300,4016300,4016300,4016300,4016300,4016300,4420400,4420400,4420400,4420400,4420400,4420400,4420400,4420400,4420400,4420400,4420400,4420400,3868100,3868100,3868100,3868100,3868100,3868100,3868100,3868100,3868100,3868100,3868100,3868100,4441700,4441700,4441700,4441700,4441700,4441700,4441700,4441700,4441700,4441700,4441700,4441700,4877900,4877900,4877900,4877900,4877900,4877900,4877900,4877900,4877900,4877900,4877900,4877900,,,
Turnover ratio,Industrials,0.02%,0.11%,0.27%,0.08%,0.07%,0.07%,0.1%,0.2%,0.11%,0.12%,0.07%,0.24%,0.14%,0.18%,0.21%,0.16%,0.07%,0.12%,0.14%,0.18%,0.11%,0.13%,0.15%,0.08%,0.16%,0.18%,0.08%,0.19%,0.13%,0.16%,0.12%,0.1%,0.15%,0.22%,0.3%,0.22%,0.24%,0.3%,0.15%,0.11%,0.1%,0.16%,0.17%,0.09%,0.1%,0.16%,0.17%,0.28%,0.15%,0.12%,0.09%,0.11%,0.15%,0.14%,0.13%,0.2%,0.33%,0.3%,0.37%,0.26%,0.21%,0.25%,0.18%,0.23%,0.3%,0.27%,0.28%,0.17%,0.21%,0.35%,0.19%,0.2%,0.19%,0.28%,0.52%,0.46%,0.52%,0.4%,0.3%,0.3%,0.23%,0.27%,0.26%,0.32%,0.19%,0.16%,0.25%,0.37%,0.2%,0.27%,0.19%,0.19%,0.22%,0.29%,0.22%,0.23%,0.16%,0.16%,0.22%,0.22%,0.17%,0.21%,0.22%,0.21%,0.2%,0.24%,0.22%,0.28%,0.26%,0.5%,0.32%,0.31%,0.2%,0.29%,0.21%,0.13%,0.13%,0.2%,0.2%,0.18%,0.29%,0.35%,0.34%,0.23%,0.17%,0.15%,0.17%,0.11%,0.12%,0.17%,0.16%,0.12%,0.2%,0.2%,0.15%,0.17%,0.13%,0.16%,0.33%,0.17%,0.11%,0.11%,0.16%,0.14%,0.11%,0.14%,0.15%,0.19%,0.11%,0.16%,0.24%,0.11%,0.14%,0.17%,0.15%,0.12%,0.1%
Return monthly,Industrials,,0.092311437,0.003522584,-0.045611698,0.051469529,0.136356453,0.124305781,-0.083331959,0.03939473,-0.05831083,0.040248532,0.190478715,-0.035001781,-0.002553453,-0.010748874,0.016306296,0.018713666,0.028872359,-0.026137669,-0.002659874,0.008000904,-0.015874795,0.056458044,0.018827234,-0.013483764,-0.01725852,-0.064154816,-0.003452915,-0.04624521,0.018180777,0.07829539,0.011238467,-0.01388459,-0.036620181,0.055552108,0.108035012,0.089999801,0.104395872,0.068967227,-0.004035895,0.04453852,-0.050388442,0.008029761,-0.002060031,0.080413687,0.049979117,0.175627978,0.065546356,0.072963848,-0.035295398,0.017143865,-0.002811462,0,0.030985465,0.015349132,0.082921532,0.057935814,0.007142505,0.092199827,0.103893537,0.031372643,0.180834271,0.056210675,0.06907341,0.101321548,-0.133332808,0.009640916,0.022307685,0.086531261,-0.056232344,0.159376112,0.008861532,0.051854507,0.067570776,-0.100001308,0.054902229,-0.002477604,-0.067578115,0.021200534,-0.051383084,-0.072223284,0.002995137,0.156715155,-0.010967246,-0.067318964,-0.108703521,-0.065040749,-0.01739087,-0.008850273,-0.008927402,-0.104528229,0.071631878,0.106456685,-0.010500079,-0.147677025,-0.06122401,0.102173819,-0.022004708,-0.21268417,-0.017723272,0.148170009,-0.02381111,0.080318984,0.072000487,0.08663297,0.102361579,-0.010535713,-0.011010227,0.061132532,-0.003396726,-0.01674603,0.050734462,-0.001553331,-0.045768613,0.051052061,0.029098102,-0.026583001,0.078621804,0.032092329,-0.020312578,0.068580581,-0.0132686,-0.096874996,0.013494687,0.063501972,-0.024076739,0.018219562,-0.028299413,-0.006734007,-0.002542754,0.068818675,-0.00286183,0.004463715,0.074912738,0.069839526,0.004303053,0.028571535,-0.056388395,0.014504692,0.177206248,-0.111054997,-0.031056587,0.107758578,-0.038360613,0.025867787,0.026232985,0.065682797,-0.034591019,0.016155977,-0.086035784,-0.01764101,-0.029130501,0.021048546,0.062281057,-0.029728524,-0.025106203,-0.003346771
