me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,167248,167248,167248,167248,167248,167248,167248,167248,167248,167248,167248,167248,190358,190358,190358,190358,190358,190358,190358,190358,190358,190358,190358,190358,295203,295203,295203,295203,295203,295203,295203,295203,295203,295203,295203,295203,435197,435197,435197,435197,435197,435197,435197,435197,435197,435197,435197,435197,901369,901369,901369,901369,901369,901369,901369,901369,901369,901369,901369,901369,1568799,1568799,1568799,1568799,1568799,1568799,1568799,1568799,1568799,1568799,1568799,1568799,1521146,1521146,1521146,1521146,1521146,1521146,1521146,1521146,1521146,1521146,1521146,1521146,1421472,1421472,1421472,1421472,1421472,1421472,1421472,1421472,1421472,1421472,1421472,1421472,1639734,1639734,1639734,1639734,1639734,1639734,1639734,1639734,1639734,1639734,1639734,1639734,1875455,1875455,1875455,1875455,1875455,1875455,1875455,1875455,1875455,1875455,1875455,1875455,2075416,2075416,2075416,2075416,2075416,2075416,2075416,2075416,2075416,2075416
Excess return,Industrials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308522114,-0.280621945,-0.465614708,-0.383048251,-0.2933417,-0.116519164,-0.113179466,-0.135509637,0.182749756,-0.332487837,-0.117741733,-0.222873051,-0.068390674,-0.096455849,-0.334436227,-0.136552672,-0.063718409,-0.359869928,-0.328522854,-0.318298665,-0.102540382,-0.371194253,-0.095171364,-0.143271744,0.081268757,-0.152991579,0.159556749,-0.218559848,-0.101417578,-0.126102915,-0.169661087,-0.155120551,-0.117352998,-0.187795015,-0.125675072,-0.108116959,-0.115222205,-0.19914323,-0.211106822,0.038406102,-0.252759539,0.069750682,-0.026951775,-0.18748839,-0.111918121,-0.20046884,-0.243090119,-0.182672948,-0.068090673,-0.221859478,-0.262630813,-0.211463004,-0.315098522,-0.156177779,-0.165672683,-0.197177251,-0.054142706,-0.165597022,-0.042956132,-0.27244741,-0.052598852,-0.181411525,-0.144752509,-0.12442557,-0.058044583,-0.061868356,-0.024482975,-0.116035186,-0.080468906,-0.021594996,-0.092252573,-0.086049011,-0.177294927,0.01535838,-0.078842306,-0.10195338,-0.096450203,-0.099428167,-0.11746787,-0.1411172,-0.074667295
Risk premium,Industrials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6079,5.4772,5.5657,5.822,3.3459,2.6134,2.3227,0.4773,1.4575,0.6811,0.8224,0.8165,0.8101,1.0538,0.956,0.9539,1.125,1.2018,1.1574,1.1551,1.212,1.0955,0.9853,1.0154,0.8356,0.7901,0.6882,0.6892,0.6322,0.6084,0.6019,0.7022,0.6559,0.672,0.658,0.6377,0.587,0.6042,0.7164,0.6392,0.7293,0.6255,0.6318,0.6264,0.6472,0.6862,0.7012,0.7203,1.0693,1.1108,1.3857,1.4128,1.3188,1.2593,1.2552,1.167,1.1439,1.2045,1.2347,1.2719,1.2636,1.2234,1.0442,1.0593,0.8211,0.8077,0.8006,0.8381,0.8577,0.88,0.8592,0.8296,0.9672,0.7849,0.6848,0.6834,0.6847,0.8244,0.8311,0.9844,
VO monthly avg,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755.66,438.72,529.65,334.15,427.6,423.46,152.51,308.57,180.19,333.66,351.65,760.09,260.2,214.72,265.04,111.98,162.59,261.67,117.54,477.2,337.43,263.22,198.67,699.11,239.51,207.28,306.22,367.17,136.94,190.05,507.35,422.7,363.52,294.26,171.22,307.58,259.08,506.18,251.79,499.8,454,414.09,858.53,401.86,354.17,342.99,319.25,477.77,537.07,253.7,170.86,557.5,136.97,1046.66,568,240.25,445.47,159.46,95.99,191.1,261.74,100.03,434.57,147.24,157.54,106.69,249.02,144.42,172.71,87.92,86.85,142.83,200.18,168.4,319.19,201.24,217.46,385.02,411.95,248.24,191.15,143.3
Total assets,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,246404,246404,246404,246404,246404,246404,246404,246404,246404,246404,246404,246404,316180,316180,316180,316180,316180,316180,316180,316180,316180,316180,316180,316180,448462,448462,448462,448462,448462,448462,448462,448462,448462,448462,448462,448462,742484,742484,742484,742484,742484,742484,742484,742484,742484,742484,742484,742484,2037898,2037898,2037898,2037898,2037898,2037898,2037898,2037898,2037898,2037898,2037898,2037898,3424738,3424738,3424738,3424738,3424738,3424738,3424738,3424738,3424738,3424738,3424738,3424738,3790842,3790842,3790842,3790842,3790842,3790842,3790842,3790842,3790842,3790842,3790842,3790842,3966085,3966085,3966085,3966085,3966085,3966085,3966085,3966085,3966085,3966085,3966085,3966085,4368614,4368614,4368614,4368614,4368614,4368614,4368614,4368614,4368614,4368614,4368614,4368614,4834045,4834045,4834045,4834045,4834045,4834045,4834045,4834045,4834045,4834045,4834045,4834045,5316453,5316453,5316453,5316453,5316453,5316453,5316453,5316453,5316453,5316453
Net sales,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,710106,710106,710106,710106,710106,710106,710106,710106,710106,710106,710106,710106,608532,608532,608532,608532,608532,608532,608532,608532,608532,608532,608532,608532,633706,633706,633706,633706,633706,633706,633706,633706,633706,633706,633706,633706,1190860,1190860,1190860,1190860,1190860,1190860,1190860,1190860,1190860,1190860,1190860,1190860,2135778,2135778,2135778,2135778,2135778,2135778,2135778,2135778,2135778,2135778,2135778,2135778,4162780,4162780,4162780,4162780,4162780,4162780,4162780,4162780,4162780,4162780,4162780,4162780,4582883,4582883,4582883,4582883,4582883,4582883,4582883,4582883,4582883,4582883,4582883,4582883,4545974,4545974,4545974,4545974,4545974,4545974,4545974,4545974,4545974,4545974,4545974,4545974,5032625,5032625,5032625,5032625,5032625,5032625,5032625,5032625,5032625,5032625,5032625,5032625,5635519,5635519,5635519,5635519,5635519,5635519,5635519,5635519,5635519,5635519,5635519,5635519,6325012,6325012,6325012,6325012,6325012,6325012,6325012,6325012,6325012,6325012
common equity,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,57270,57270,57270,57270,57270,57270,57270,57270,57270,57270,57270,57270,90924,90924,90924,90924,90924,90924,90924,90924,90924,90924,90924,90924,103414,103414,103414,103414,103414,103414,103414,103414,103414,103414,103414,103414,305770,305770,305770,305770,305770,305770,305770,305770,305770,305770,305770,305770,1133743,1133743,1133743,1133743,1133743,1133743,1133743,1133743,1133743,1133743,1133743,1133743,1848982,1848982,1848982,1848982,1848982,1848982,1848982,1848982,1848982,1848982,1848982,1848982,2265352,2265352,2265352,2265352,2265352,2265352,2265352,2265352,2265352,2265352,2265352,2265352,2535337,2535337,2535337,2535337,2535337,2535337,2535337,2535337,2535337,2535337,2535337,2535337,2709412,2709412,2709412,2709412,2709412,2709412,2709412,2709412,2709412,2709412,2709412,2709412,2919559,2919559,2919559,2919559,2919559,2919559,2919559,2919559,2919559,2919559,2919559,2919559,3186425,3186425,3186425,3186425,3186425,3186425,3186425,3186425,3186425,3186425
Turnover ratio,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47%,0.27%,0.33%,0.21%,0.26%,0.26%,0.09%,0.19%,0.11%,0.21%,0.22%,0.44%,0.15%,0.12%,0.15%,0.06%,0.09%,0.15%,0.07%,0.27%,0.19%,0.15%,0.11%,0.38%,0.13%,0.11%,0.17%,0.2%,0.07%,0.1%,0.28%,0.23%,0.2%,0.16%,0.09%,0.17%,0.14%,0.28%,0.14%,0.27%,0.25%,0.23%,0.47%,0.22%,0.19%,0.19%,0.17%,0.26%,0.29%,0.14%,0.09%,0.3%,0.07%,0.57%,0.31%,0.13%,0.24%,0.09%,0.05%,0.1%,0.14%,0.05%,0.24%,0.08%,0.09%,0.06%,0.13%,0.08%,0.09%,0.05%,0.05%,0.08%,0.11%,0.09%,0.17%,0.11%,0.12%,0.21%,0.22%,0.13%,0.1%,0.08%
Return monthly,Industrials,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.308522114,0.149441655,-0.029275608,0.069787749,0,0.128775036,0.118700634,-0.019689737,0.360722256,-0.199828537,0.026319467,-0.076933551,0.083345626,0.076933551,-0.182408227,0.014743028,0.095656591,-0.193156528,-0.172106654,-0.172277365,0.053165618,-0.216577753,0.052952536,0.005598456,0.222211557,-0.013665279,0.291663349,-0.088090248,0.026161022,0.001976285,-0.041091387,-0.020431951,0.014418702,-0.057959015,0.000878928,0.016758141,0.008708795,-0.07327863,-0.083923622,0.157925702,-0.127313639,0.187557182,0.095601625,-0.06667519,0.015205479,-0.07063824,-0.112014519,-0.052894048,0.082175227,-0.067879078,-0.092931713,-0.044056604,-0.149314122,0.001508121,-0.007645083,-0.044356251,0.095272994,-0.011263522,0.113579968,-0.11556771,0.104557948,-0.032037325,-0.012317909,0.00976033,0.059284717,0.055966744,0.092654825,0.000615114,0.038816194,0.097895004,0.027027027,0.026315789,-0.044561327,0.14060708,0.042700094,0.02295082,0.022435897,0.028459033,0.01494143,0,-0.074667295
