me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Technology,71360,71360,71360,71360,71360,71360,71360,77951,77951,77951,77951,77951,77951,77951,77951,77951,77951,77951,77951,139476,139476,139476,139476,139476,139476,139476,139476,139476,139476,139476,139476,139476,139476,139476,139476,139476,139476,139476,139476,139476,139476,139476,139476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excess return,Technology,,-0.013644685,-0.24675168,-0.260470607,-0.219193034,-0.15066666,-0.102495075,-0.194917973,-0.042666348,-0.29286012,-0.237235408,-0.10070285,-0.229202262,-0.158324471,-0.262579597,-0.186843716,-0.1725255,-0.171236573,-0.275738981,-0.137682244,-0.105848193,-0.168095521,-0.219686767,0.10969775,-0.197558085,-0.165491324,-0.126458711,-0.046049488,-0.123458693,0.031667148,-0.174349553,0.022104907,0.082803718,-0.210794309,0.1037332,-0.405361117,-0.020076696,0.148299532,-0.077745267,-0.212826788,-0.250596349,-0.020651084,-0.170487914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risk premium,Technology,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Technology,1.6189,1.6791,1.5504,1.4026,1.4551,1.4738,1.4389,1.46,1.3855,1.4866,1.404,1.1721,1.1356,1.0453,1.0576,0.9651,0.9658,0.9222,0.833,0.6987,0.685,0.6919,0.6527,0.5639,0.5701,0.563,0.5428,0.5419,0.632,0.6595,0.7002,0.7191,0.7414,0.8408,0.8836,1.0619,1.1451,1.2244,1.2372,1.2553,1.2697,1.4438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VO monthly avg,Technology,90.6,334.18,310.1,220.51,282.82,296.4,369.34,317.27,401.34,1092.97,812.35,154.22,304.1,136.86,519.76,160.74,197.9,237.11,121.2,159,109.28,301.76,179.48,82,32.26,81.1,91.71,292.94,275.8,311.73,161.34,93.89,126.94,80.72,338.42,391.24,797.18,369.62,279.1,260.34,169.81,558.26,749.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total assets,Technology,382015,382015,382015,382015,382015,382015,382015,499681,499681,499681,499681,499681,499681,499681,499681,499681,499681,499681,499681,663596,663596,663596,663596,663596,663596,663596,663596,663596,663596,663596,663596,663596,663596,663596,663596,663596,663596,663596,663596,663596,663596,663596,663596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net sales,Technology,557445,557445,557445,557445,557445,557445,557445,525585,525585,525585,525585,525585,525585,525585,525585,525585,525585,525585,525585,691484,691484,691484,691484,691484,691484,691484,691484,691484,691484,691484,691484,691484,691484,691484,691484,691484,691484,691484,691484,691484,691484,691484,691484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
common equity,Technology,309075,309075,309075,309075,309075,309075,309075,418455,418455,418455,418455,418455,418455,418455,418455,418455,418455,418455,418455,524120,524120,524120,524120,524120,524120,524120,524120,524120,524120,524120,524120,524120,524120,524120,524120,524120,524120,524120,524120,524120,524120,524120,524120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnover ratio,Technology,0.04%,0.15%,0.14%,0.1%,0.13%,0.13%,0.16%,0.14%,0.17%,0.48%,0.35%,0.07%,0.13%,0.06%,0.23%,0.07%,0.09%,0.1%,0.05%,0.07%,0.05%,0.13%,0.08%,0.04%,0.01%,0.03%,0.04%,0.13%,0.12%,0.13%,0.07%,0.04%,0.05%,0.03%,0.14%,0.17%,0.34%,0.16%,0.12%,0.11%,0.07%,0.24%,0.32%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Return monthly,Technology,,0.215738615,-0.03227648,-0.050006807,-0.007021734,0.06008274,0.096655625,0.003062027,0.151520152,-0.09210432,-0.043483408,0.07573945,-0.042259462,0.029429429,-0.071450797,0.006157584,0.0061199,0.003062027,-0.106059981,0.016935856,0.050006807,-0.012705821,-0.066666667,0.25002345,-0.057141785,-0.030322324,0.006237689,0.086990212,0.014257307,0.169015648,-0.036136953,0.162508207,0.225811918,-0.063723909,0.25,-0.246161417,0.142864604,0.321436732,0.094598333,-0.037042888,-0.070505249,0.172408316,-0.065887914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
