me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72297,72297,72297,72297,72297,72297,72297,72297,72297,72297,72297,72297,67582,67582,67582,67582,67582,67582,67582,67582,67582,67582,67582,67582,38218,38218,38218,38218,38218,38218,38218,38218,38218,38218,38218,38218,43092,43092,43092,43092,43092,43092,43092,43092,43092,43092,43092,43092,43092,43092,43092,43092,43092,43092,85692,85692,85692,85692,85692,85692,85692,85692,85692,85692,85692,85692,60280,60280,60280,60280,60280,60280,60280,60280,60280,60280,60280,60280,87924,87924,87924,87924,87924,87924,87924,87924,87924,87924,87924,87924,88328,88328,88328,88328,88328,88328,88328,88328,88328,88328,88328,88328,88328,88328,88328,88328,88328,88328,88328,88328,88328,88328,88328,,,,,
Excess return,Industrials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1364,-0.688047031,-0.267020891,-0.2403733,-0.135155115,-0.39158528,-0.2782405,-0.0225616,-0.105525647,-0.5169586,0.894874344,-0.256371317,1.598729966,-0.0381732,0.276781787,-0.022055238,-0.169500818,-0.054784,-0.109203135,-0.0503704,-0.270953662,-0.0498051,0.119205861,-0.075316446,-0.302162026,0.201937511,-0.111884742,-0.107254315,-0.271024821,-0.0473986,-0.06930428,-0.0311964,-0.258105084,-0.0619356,-0.404563486,-0.240829379,-0.0420695,-0.0544342,-0.100360706,-0.360946544,0.187665667,-0.271413721,0.219432648,-0.236733028,-0.198794732,-0.095063611,0.803377306,-0.350497132,-0.165496322,0.148930639,0.244642288,0.0287154,0.3011954,0.105400582,0.0446217,0.072769,-0.262793113,0.0552907,2.0803377,-0.540852363,-0.3435399,0.0961056,0.770462308,0.594689255,-0.274001455,0.850952906,0.186493025,0.202052344,-0.232015017,0,0,0,0,0
Risk premium,Industrials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4269,9.1726,-0.0485,-0.0304,-0.2873,-0.3435,-0.4565,-0.3768,-0.4634,-1.8578,-1.3561,-0.6006,-0.6082,-0.6536,-0.5296,-0.5618,-0.5681,-0.532,-0.5225,-0.6092,-0.6078,-0.6023,-0.5956,-0.6309,-0.6072,-0.675,-0.6699,-0.7832,-0.7065,-0.6278,-0.6079,-0.8072,-0.0791,-0.2788,-0.773,-0.6682,-0.6235,-0.5066,-0.5761,-0.6592,-0.6524,-0.9787,-0.8445,-0.7272,-0.7369,-1.3928,-1.6349,-1.6462,-1.8099,-1.6049,-1.5968,-1.7058,-1.6658,-1.7693,-1.8559,-2.213,-2.1942,-1.9189,-2.3379,-2.5261,-2.7827,-2.5612,-2.6448,-2.5284,-2.9586,-2.2861,-2.1888,-2.6858,,,,,,
VO monthly avg,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.91,391.12,94.29,149.22,49.55,13.56,36,42.22,27.71,25.33,31.21,2.92,17.65,466.41,2.7,241.87,61.98,19.05,0,20.49,0,1.03,0,0.74,0.01,3.83,1.36,1.97,0.88,3.92,1.05,2,3.69,3.69,0,8.33,6.1,26.78,2.39,10.69,1.78,2.77,14.1,1.91,19.91,4.06,9.85,1.73,5.34,9.1,98.08,3,20.82,29.66,6.3,16.69,7.58,6.19,6.83,0.18,1.7,68.13,13.76,136.85,17.45,6.43,7.71,3.76,2.9,30.3,0,0,0,0,0
Total assets,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69765,69765,69765,69765,69765,69765,69765,69765,69765,69765,69765,69765,71959,71959,71959,71959,71959,71959,71959,71959,71959,71959,71959,71959,54807,54807,54807,54807,54807,54807,54807,54807,54807,54807,54807,54807,83964,83964,83964,83964,83964,83964,83964,83964,83964,83964,83964,83964,83964,83964,83964,83964,83964,83964,114473,114473,114473,114473,114473,114473,114473,114473,114473,114473,114473,114473,120918,120918,120918,120918,120918,120918,120918,120918,120918,120918,120918,120918,108861,108861,108861,108861,108861,108861,108861,108861,108861,108861,108861,108861,112705,112705,112705,112705,112705,112705,112705,112705,112705,112705,112705,112705,112705,112705,112705,112705,112705,112705,112705,112705,112705,112705,112705,,,,,
Net sales,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11146,11146,11146,11146,11146,11146,11146,11146,11146,11146,11146,11146,174700,174700,174700,174700,174700,174700,174700,174700,174700,174700,174700,174700,209471,209471,209471,209471,209471,209471,209471,209471,209471,209471,209471,209471,75764,75764,75764,75764,75764,75764,75764,75764,75764,75764,75764,75764,75764,75764,75764,75764,75764,75764,83076,83076,83076,83076,83076,83076,83076,83076,83076,83076,83076,83076,126795,126795,126795,126795,126795,126795,126795,126795,126795,126795,126795,126795,99689,99689,99689,99689,99689,99689,99689,99689,99689,99689,99689,99689,106049,106049,106049,106049,106049,106049,106049,106049,106049,106049,106049,106049,106049,106049,106049,106049,106049,106049,106049,106049,106049,106049,106049,,,,,
common equity,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2532,-2532,-2532,-2532,-2532,-2532,-2532,-2532,-2532,-2532,-2532,-2532,4377,4377,4377,4377,4377,4377,4377,4377,4377,4377,4377,4377,16589,16589,16589,16589,16589,16589,16589,16589,16589,16589,16589,16589,40872,40872,40872,40872,40872,40872,40872,40872,40872,40872,40872,40872,40872,40872,40872,40872,40872,40872,28781,28781,28781,28781,28781,28781,28781,28781,28781,28781,28781,28781,21895,21895,21895,21895,21895,21895,21895,21895,21895,21895,21895,21895,20937,20937,20937,20937,20937,20937,20937,20937,20937,20937,20937,20937,24377,24377,24377,24377,24377,24377,24377,24377,24377,24377,24377,24377,24377,24377,24377,24377,24377,24377,24377,24377,24377,24377,24377,,,,,
Turnover ratio,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19%,0.05%,0.07%,0.02%,0.01%,0.02%,0.02%,0.01%,0.01%,0.02%,0%,0.01%,0.23%,0%,0.12%,0.03%,0.01%,0%,0.01%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.01%,0%,0.01%,0%,0%,0.01%,0%,0.01%,0%,0%,0%,0%,0%,0.05%,0%,0.01%,0.01%,0%,0.01%,0%,0%,0%,0%,0%,0.03%,0.01%,0.07%,0.01%,0%,0%,0%,0%,0.01%,0%,0%,0%,0%,0%
Return monthly,Industrials,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.1364,-0.024023231,-0.180326391,-0.1500385,-0.058755015,-0.31252578,-0.2,0.0455,-0.043519847,-0.5455,0.900440044,-0.210709117,1.633663366,0,0.329016987,0.028601362,-0.120391118,0,-0.052570635,0,-0.222195062,0,0.171433061,-0.024413146,-0.249965626,0.249862511,-0.066588442,-0.071495915,-0.230834321,0,-0.01980198,0,-0.183838384,0,-0.374862486,-0.200175979,0,0,-0.050055006,-0.315576144,0.230964467,-0.250171821,0.250229148,-0.200146628,-0.166819432,-0.100110011,0.778728606,-0.375257732,-0.200220022,0.125171939,0.222493888,0,0.273,0.071484682,0,0,-0.333577713,0,2,-0.633296663,-0.455,0,0.667889908,0.500550055,-0.400293255,0.778728606,0.124398625,0.111246944,-0.150165017,0,0,0,0,0
