me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Fincials,327576,327576,327576,327576,327576,327576,327576,412847,412847,412847,412847,412847,412847,412847,412847,412847,412847,412847,412847,606585,606585,606585,606585,606585,606585,606585,606585,606585,606585,606585,606585,728754,728754,728754,728754,728754,728754,728754,728754,728754,728754,728754,728754,1499153,1499153,1499153,1499153,1499153,1499153,1499153,1499153,1499153,1499153,1499153,1499153,1819948,1819948,1819948,1819948,1819948,1819948,1819948,1819948,1819948,1819948,1819948,1819948,2905535,2905535,2905535,2905535,2905535,2905535,2905535,2905535,2905535,2905535,2905535,2905535,7404068,7404068,7404068,7404068,7404068,7404068,7404068,7404068,7404068,7404068,7404068,7404068,6054366,6054366,6054366,6054366,6054366,6054366,6054366,6054366,6054366,6054366,6054366,6054366,5648903,5648903,5648903,5648903,5648903,5648903,5648903,5648903,5648903,5648903,5648903,5648903,5648903,5648903,5648903,5648903,5648903,5648903,5648903,5648903,5648903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excess return,Fincials,,-0.139148619,-0.185923549,-0.198078986,-0.192677774,-0.063974359,-0.124810445,-0.122853535,-0.11092971,-0.186381698,-0.118033289,-0.1311957,-0.248399157,-0.107610301,-0.182002614,-0.207408556,-0.106546626,-0.154184226,-0.140321,-0.07156449,-0.14030571,-0.1175436,-0.128756516,-0.079724764,-0.025988842,-0.058059436,-0.085478248,-0.01694216,-0.140491708,-0.112814244,-0.018719975,-0.091026668,-0.106486135,-0.0994802,0.012892151,-0.069720887,-0.06515865,-0.176652793,-0.081207892,-0.043970605,-0.116731841,-0.120425315,-0.1163936,-0.06940333,-0.072883932,-0.064249683,-0.120096747,-0.020863558,-0.083966673,-0.093034304,-0.002459874,-0.126969548,-0.099522491,-0.077900194,-0.087336912,0.049362732,-0.067811563,-0.100955037,-0.17898442,-0.122667447,0.022393643,-0.010533978,-0.101786821,-0.125778137,-0.147203127,-0.185806836,-0.232537917,-0.154369268,-0.036129355,-0.179081082,-0.064960196,-0.058628923,-0.109805477,-0.070780151,-0.058487083,-0.173591566,-0.06240551,0.002178736,-0.24856274,-0.06439015,-0.143635427,-0.055096021,-0.101843475,-0.137017962,-0.153513766,-0.22329697,-0.133883344,-0.208162738,-0.173462293,-0.194398656,-0.239906175,0.118459894,-0.08007702,-0.235337204,-0.178089209,0.046081755,-0.055791485,-0.160041214,-0.135064304,-0.063999051,-0.12666279,-0.14714101,-0.111291171,-0.052070373,-0.079869893,-0.028385552,-0.108573998,-0.095630967,-0.103520863,-0.117264512,-0.050585498,-0.090813969,-0.100800724,-0.152080447,-0.127760548,-0.027094241,-0.085916173,-0.077351282,-0.099432298,-0.103760077,-0.11461707,-0.134794958,-0.130021168,-0.072869751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risk premium,Fincials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Fincials,0.5371,0.5291,0.5888,0.576,0.6209,0.5822,0.5576,0.5604,0.6156,0.6278,0.5922,0.4539,0.4604,0.4817,0.4788,0.4756,0.4757,0.4459,0.367,0.3326,0.3486,0.3469,0.3608,0.3108,0.288,0.2806,0.1742,0.1872,0.1822,0.1707,0.1784,0.1654,0.0483,0.0854,0.0597,0.1508,0.1293,0.139,0.1482,0.1688,0.1714,0.1815,0.1872,0.213,0.2323,0.2436,0.3164,0.3163,0.3459,0.3852,0.5223,0.4851,0.6509,0.6518,0.6764,0.6951,0.662,0.7549,0.7776,0.8623,0.9376,0.9405,0.9088,0.8653,0.8864,0.9056,0.9206,0.9429,0.9465,0.905,0.903,0.904,0.8993,0.8597,0.8222,0.9042,0.9022,0.9845,0.9497,0.9432,1.0688,0.9648,0.9289,0.6334,0.75,0.6768,0.7735,0.7623,0.7471,0.864,0.4269,0.3666,0.5767,0.5915,0.5926,0.5885,0.5967,0.5682,0.5653,0.5632,0.5188,0.5063,0.5322,0.5375,0.5206,0.5196,0.5217,0.5204,0.4918,0.519,0.4732,0.4853,0.4766,0.4802,0.6444,0.5228,0.4945,0.435,0.4464,0.4373,0.4081,0.4231,0.4349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VO monthly avg,Fincials,0,80.36,69.84,94.63,33.64,68.83,110.24,77.31,40.66,45.48,33.09,19.36,16.12,21.72,22.18,258.71,221.32,568.14,1127.91,186.6,84,249.98,80.51,297.68,984.87,783.25,338.47,574.81,172.73,401,272,295.17,123.58,215.67,893.33,246.67,484.6,477.77,773.69,320.61,259.77,332.15,163.19,221.34,233.32,231.64,792.18,961.65,486.74,186.74,408.55,410.17,377.71,316.94,476.2,198.67,474.3,357.17,385.55,537.07,439.72,455.53,277.93,143.05,124.24,770.75,568.63,241.29,324.25,460.83,660.01,316.82,146.56,517.92,207.43,253.6,1046.66,524.01,366.35,802.45,837.13,713.68,680.48,640.91,272.89,422.08,517.54,541.73,521.07,756,1916.65,379.53,332.96,445.19,630.66,557.25,1094.83,266.58,728.39,910.83,727.2,1032.27,703.48,404.6,652.11,1012.33,812.8,554.14,343.68,684.57,736.21,689.8,355.42,573.63,321.23,391.7,626.14,487.41,475.06,512.7,324.27,510.79,293.2,1149.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total assets,Fincials,809263,809263,809263,809263,809263,809263,809263,1424944,1424944,1424944,1424944,1424944,1424944,1424944,1424944,1424944,1424944,1424944,1424944,1603974,1603974,1603974,1603974,1603974,1603974,1603974,1603974,1603974,1603974,1603974,1603974,1727958,1727958,1727958,1727958,1727958,1727958,1727958,1727958,1727958,1727958,1727958,1727958,2820266,2820266,2820266,2820266,2820266,2820266,2820266,2820266,2820266,2820266,2820266,2820266,4049629,4049629,4049629,4049629,4049629,4049629,4049629,4049629,4049629,4049629,4049629,4049629,5869044,5869044,5869044,5869044,5869044,5869044,5869044,5869044,5869044,5869044,5869044,5869044,13480730,13480730,13480730,13480730,13480730,13480730,13480730,13480730,13480730,13480730,13480730,13480730,11863031,11863031,11863031,11863031,11863031,11863031,11863031,11863031,11863031,11863031,11863031,11863031,11961029,11961029,11961029,11961029,11961029,11961029,11961029,11961029,11961029,11961029,11961029,11961029,11961029,11961029,11961029,11961029,11961029,11961029,11961029,11961029,11961029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net sales,Fincials,136530,136530,136530,136530,136530,136530,136530,166135,166135,166135,166135,166135,166135,166135,166135,166135,166135,166135,166135,238514,238514,238514,238514,238514,238514,238514,238514,238514,238514,238514,238514,291907,291907,291907,291907,291907,291907,291907,291907,291907,291907,291907,291907,355408,355408,355408,355408,355408,355408,355408,355408,355408,355408,355408,355408,511732,511732,511732,511732,511732,511732,511732,511732,511732,511732,511732,511732,694653,694653,694653,694653,694653,694653,694653,694653,694653,694653,694653,694653,639165,639165,639165,639165,639165,639165,639165,639165,639165,639165,639165,639165,1304109,1304109,1304109,1304109,1304109,1304109,1304109,1304109,1304109,1304109,1304109,1304109,1460303,1460303,1460303,1460303,1460303,1460303,1460303,1460303,1460303,1460303,1460303,1460303,1460303,1460303,1460303,1460303,1460303,1460303,1460303,1460303,1460303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
common equity,Fincials,452784,452784,452784,452784,452784,452784,452784,921137,921137,921137,921137,921137,921137,921137,921137,921137,921137,921137,921137,940253,940253,940253,940253,940253,940253,940253,940253,940253,940253,940253,940253,970375,970375,970375,970375,970375,970375,970375,970375,970375,970375,970375,970375,1311774,1311774,1311774,1311774,1311774,1311774,1311774,1311774,1311774,1311774,1311774,1311774,2228042,2228042,2228042,2228042,2228042,2228042,2228042,2228042,2228042,2228042,2228042,2228042,2741038,2741038,2741038,2741038,2741038,2741038,2741038,2741038,2741038,2741038,2741038,2741038,5821623,5821623,5821623,5821623,5821623,5821623,5821623,5821623,5821623,5821623,5821623,5821623,5808665,5808665,5808665,5808665,5808665,5808665,5808665,5808665,5808665,5808665,5808665,5808665,6312126,6312126,6312126,6312126,6312126,6312126,6312126,6312126,6312126,6312126,6312126,6312126,6312126,6312126,6312126,6312126,6312126,6312126,6312126,6312126,6312126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnover ratio,Fincials,0%,0.1%,0.09%,0.12%,0.04%,0.08%,0.14%,0.09%,0.05%,0.06%,0.04%,0.02%,0.02%,0.03%,0.03%,0.32%,0.27%,0.31%,0.62%,0.1%,0.05%,0.14%,0.04%,0.16%,0.54%,0.43%,0.19%,0.32%,0.09%,0.22%,0.15%,0.16%,0.07%,0.12%,0.49%,0.14%,0.27%,0.26%,0.43%,0.18%,0.14%,0.18%,0.09%,0.12%,0.13%,0.13%,0.44%,0.53%,0.27%,0.1%,0.22%,0.23%,0.21%,0.17%,0.25%,0.09%,0.21%,0.19%,0.2%,0.27%,0.22%,0.23%,0.14%,0.07%,0.05%,0.32%,0.23%,0.1%,0.13%,0.19%,0.27%,0.13%,0.06%,0.21%,0.08%,0.1%,0.42%,0.17%,0.12%,0.26%,0.27%,0.26%,0.25%,0.22%,0.09%,0.14%,0.17%,0.18%,0.18%,0.25%,0.45%,0.09%,0.08%,0.1%,0.15%,0.13%,0.26%,0.06%,0.17%,0.21%,0.17%,0.23%,0.16%,0.09%,0.15%,0.23%,0.18%,0.13%,0.08%,0.16%,0.17%,0.16%,0.08%,0.13%,0.07%,0.09%,0.14%,0.11%,0.11%,0.12%,0.07%,0.12%,0.07%,0.26%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Return monthly,Fincials,,0.017784681,-0.032029149,-0.039690986,-0.033061074,0.090604241,0.018818355,0.018451665,0.03475309,-0.039730298,0.024575311,0,-0.103993957,0.044636799,-0.027338214,-0.045245756,0.041222474,-0.009892526,0,0.05998931,-0.00564391,0.0161111,0.005873884,0.044655636,0.096655158,0.059318364,0.023996352,0.09375144,-0.031113108,-0.006260144,0.086619225,0.014493532,-0.007143235,0,0.107253251,0.032079513,0.03378725,-0.071895793,0.022528708,0.063363795,-0.005833641,-0.006890815,0,0.04861567,0.046350968,0.055697117,0.004436453,0.085963342,0.018625027,0.011433296,0.107345026,-0.010208248,0.024784209,0.047363206,0.035176288,0.172154032,0.054794437,0.027703663,-0.04939562,0.009257453,0.155962443,0.123017522,0.028267579,0.003435763,-0.017259927,-0.051154036,-0.088840117,-0.009166568,0.110180145,-0.041666082,0.072278804,0.076923077,0.025000423,0.059930949,0.071661517,-0.039876966,0.07433309,0.149202236,-0.10303164,0.08108145,0.006248973,0.086336379,0.042227225,-0.011363762,-0.020113766,-0.09090857,0.007097156,-0.065637838,-0.025694993,-0.032966656,-0.121211475,0.232755694,0.04475508,-0.107072704,-0.057255409,0.156407255,0.061150615,-0.038644614,-0.013400404,0.056382549,-0.00567839,-0.02569411,0.010987429,0.068842127,0.040677907,0.094099248,0.014943102,0.027604233,0.017912537,0.002932488,0.064326102,0.024459931,0.016175076,-0.034027847,-0.005113348,0.085092159,0.024737327,0.028453718,0.011440902,0.005139823,-0.00255677,-0.021539658,-0.015722468,0.011530249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
