Name,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Financials,3216841,3216841,3216841,3216841,3216841,3216841,3216841,3216841,3216841,3216841,4470927,4470927,4470927,4470927,4470927,4470927,4470927,4470927,4470927,4470927,4470927,4470927,3626038,3626038,3626038,3626038,3626038,3626038,3626038,3626038,3626038,3626038,3626038,3626038,4658754,4658754,4658754,4658754,4658754,4658754,4658754,4658754,4658754,4658754,4658754,4658754,4512000,4512000,4512000,4512000,4512000,4512000,4512000,4512000,4512000,4512000,4512000,4512000,5320000,5320000,5320000,5320000,5320000,5320000,5320000,5320000,5320000,5320000,5320000,5320000,8644000,8644000,8644000,8644000,8644000,8644000,8644000,8644000,8644000,8644000,8644000,8644000,16587000,16587000,16587000,16587000,16587000,16587000,16587000,16587000,16587000,16587000,16587000,16587000,21101000,21101000,21101000,21101000,21101000,21101000,21101000,21101000,21101000,21101000,21101000,21101000,25914000,25914000,25914000,25914000,25914000,25914000,25914000,25914000,25914000,25914000,25914000,25914000,35963000,35963000,35963000,35963000,35963000,35963000,35963000,35963000,35963000,35963000,35963000,35963000,47487000,47487000,47487000,47487000,47487000,47487000,47487000,47487000,47487000,47487000,47487000,47487000,56650000,56650000,56650000,56650000,56650000,56650000,56650000,56650000,56650000,56650000,56650000,56650000,,,
Excess return,Financials,,0.105362635,-0.152203018,-0.091474694,-0.033431511,-0.20682258,-0.044240921,-0.254044772,-0.154281296,-0.190268982,-0.016784405,-0.207137913,-0.065068917,-0.288491087,-0.379747158,-0.259778182,0.258023801,-0.226475235,-0.28566542,-0.186732216,-0.166219967,-0.241489448,-0.095284892,-0.073243287,-0.144644482,-0.03936565,-0.084220188,-0.226943358,-0.184129219,-0.012287187,-0.08259292,0.002483054,-0.101422858,-0.1330529,0.002922595,0.016350105,0.013546283,-0.120422779,-0.021418506,-0.04607662,-0.264963835,-0.058261038,-0.106448065,-0.168118889,-0.131336716,-0.05437496,-0.054110247,0.0671576,-0.001385178,-0.21725506,-0.092775291,-0.176968368,-0.158870886,-0.111608316,0.042829493,-0.05448,-0.067414237,-0.077989496,-0.185944865,0.004452998,0.003849144,0.027438032,-0.105264882,-0.086062884,-0.017403949,-0.28687679,-0.145692209,-0.268965497,-0.12708812,-0.280918465,0.093983737,-0.120402015,-0.089236131,-0.132437244,-0.196889903,-0.063809812,-0.042995727,-0.248222066,-0.194202201,-0.066595973,-0.227108483,-0.186706327,-0.0288082,-0.210379507,-0.203142109,-0.352485567,-0.063407374,-0.333050317,-0.197717726,-0.273307017,-0.143385658,0.027380902,-0.139404,-0.225184088,-0.07017368,-0.090651736,-0.138848631,-0.110681691,-0.336857803,0.060363698,-0.061639984,-0.175154564,-0.033682583,-0.054019657,-0.169661642,-0.112005751,-0.09060722,-0.196522073,-0.063677883,-0.128323425,-0.080575614,0.02561393,-0.130917188,-0.246153595,-0.145288919,-0.025501803,-0.166521889,-0.037299947,-0.145771938,-0.170384012,-0.016296751,-0.200387889,-0.160648687,-0.081781563,-0.143936181,-0.227059327,-0.166929108,-0.175094097,-0.104335414,-0.223673703,-0.108619768,-0.140482055,-0.138990789,-0.085260571,-0.071888644,-0.130950278,-0.169038866,-0.203452668,-0.107612902,-0.124140393,-0.232449814,-0.100685158,-0.232233417,-0.028817642,-0.054253455,-0.151247643,-0.177779425,-0.054643375,-0.126085124,-0.507685071,-0.035549305,-0.184226609,0.057460369,-0.028438228,-0.038304177,-0.06170338,-0.029055823
Risk premium,Financials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Financials,1.0357,0.9644,0.792,0.8971,0.8915,0.7729,0.7076,0.7019,0.6553,0.619,0.5511,0.5709,0.5884,0.5279,0.5359,0.5378,0.5389,0.6922,0.6431,0.7058,0.6856,0.6783,0.6433,0.5001,0.4621,0.447,0.4702,0.4748,0.5737,0.5503,0.5906,0.6016,0.5548,0.6183,0.7049,0.6804,0.6601,0.7744,0.7785,0.8057,0.8237,0.8016,0.7923,0.7392,0.7528,0.7445,0.7871,0.787,0.8538,0.8744,0.8189,0.8022,0.7243,0.729,0.6909,0.6888,0.6469,0.6445,0.7459,0.7521,0.8556,0.8924,0.8734,0.7877,0.934,0.9598,1.0809,1.07,1.0775,1.1043,1.1041,1.1139,1.0887,1.1091,1.1153,1.3474,1.3787,1.4021,1.3704,1.39,1.5225,1.5927,1.5277,1.4638,1.5542,1.5249,1.6201,1.5153,1.4804,1.4142,0.9005,0.909,0.808,0.6713,0.6703,0.6641,0.6508,0.7687,0.8125,0.8236,0.7547,0.7314,0.7412,0.7332,0.707,0.7109,0.6988,0.6942,0.6447,0.5894,0.6125,0.622,0.6756,0.6829,0.8322,0.8406,0.8601,1.0378,1.0402,1.0555,0.9941,0.8845,0.8662,0.8718,1.1533,1.1518,1.2028,1.2028,1.2195,1.164,1.1636,1.1555,1.1872,1.1262,1.1044,1.0906,1.05,1.0481,1.0164,0.9829,0.9089,0.8041,0.8361,0.7324,0.6672,0.7186,0.733,0.7346,-0.0816,-0.1034,-0.1267,-0.0965,-0.1726,-0.3945,-0.3775,-0.5883,
VO monthly avg,Financials,527.8,1849.26,1118.03,2560.88,2351.99,2124.19,12185.87,2018.96,2655.28,2205.09,1714.48,1751.29,3019.46,3173.2,2631.65,2421.62,2966.5,2129.45,2482.09,1832.2,3334.87,1044.82,2020.26,2936.71,1940.57,1236.81,2899.27,1730.21,3349.23,6623.73,1499.34,1736.83,1420.65,1357.53,3444.75,5031.78,3734.84,4152.4,2890.29,2159.86,1805.23,2507.49,1189.67,1640.46,1529.16,2770.79,1845.39,2519.59,1970.05,2951,2098.69,2744.1,1102.49,1533.54,1737,1911.26,2299.85,1879.69,1348.69,1481.73,2884.36,2365.37,2406.98,2980.98,2843.35,3331.08,4585.33,2696.82,3927.2,3720.81,3768.57,2516.61,2994.01,2024.44,3264.91,2956.5,2438.01,2018.68,1975.62,3146.67,3554.72,2781.38,4612.23,3109.87,2247.4,3302.65,5056.91,6060.16,4048.24,6159.97,6580.24,6182.49,5329.87,4926.3,5489.51,5704.19,3324.63,5026.5,4967.76,6379.4,5523.61,6427.02,3972.61,3852.52,3780.71,3279.49,3735.43,4463.88,3588.92,4855.03,3636.77,6208.52,3243.74,7646.21,4312.83,2950.96,4651.87,2905.02,3437.91,3446.89,3723.59,4701.2,5934.07,3236.01,3359.59,5326.02,4362.53,3024.3,4725.82,4369,5741.03,4185.09,4019.25,7280.82,5581.94,4046.49,3657.28,3858.39,6534.84,3414.01,3933.13,7018.55,6385.64,7846.09,4300.84,5239.06,9752.69,5509.53,4297,15103.46,10071.99,6020.77,8381.89,3996.02,5611.77,9871.72,5178.98
Total assets,Financials,5330126,5330126,5330126,5330126,5330126,5330126,5330126,5330126,5330126,5330126,6960439,6960439,6960439,6960439,6960439,6960439,6960439,6960439,6960439,6960439,6960439,6960439,6419330,6419330,6419330,6419330,6419330,6419330,6419330,6419330,6419330,6419330,6419330,6419330,7299288,7299288,7299288,7299288,7299288,7299288,7299288,7299288,7299288,7299288,7299288,7299288,7216000,7216000,7216000,7216000,7216000,7216000,7216000,7216000,7216000,7216000,7216000,7216000,8010000,8010000,8010000,8010000,8010000,8010000,8010000,8010000,8010000,8010000,8010000,8010000,11609000,11609000,11609000,11609000,11609000,11609000,11609000,11609000,11609000,11609000,11609000,11609000,28999000,28999000,28999000,28999000,28999000,28999000,28999000,28999000,28999000,28999000,28999000,28999000,33758000,33758000,33758000,33758000,33758000,33758000,33758000,33758000,33758000,33758000,33758000,33758000,38793000,38793000,38793000,38793000,38793000,38793000,38793000,38793000,38793000,38793000,38793000,38793000,49928000,49928000,49928000,49928000,49928000,49928000,49928000,49928000,49928000,49928000,49928000,49928000,62920000,62920000,62920000,62920000,62920000,62920000,62920000,62920000,62920000,62920000,62920000,62920000,66454000,66454000,66454000,66454000,66454000,66454000,66454000,66454000,66454000,66454000,66454000,66454000,,,
Net sales,Financials,2314807,2314807,2314807,2314807,2314807,2314807,2314807,2314807,2314807,2314807,2647606,2647606,2647606,2647606,2647606,2647606,2647606,2647606,2647606,2647606,2647606,2647606,3008861,3008861,3008861,3008861,3008861,3008861,3008861,3008861,3008861,3008861,3008861,3008861,3192200,3192200,3192200,3192200,3192200,3192200,3192200,3192200,3192200,3192200,3192200,3192200,3539000,3539000,3539000,3539000,3539000,3539000,3539000,3539000,3539000,3539000,3539000,3539000,4082000,4082000,4082000,4082000,4082000,4082000,4082000,4082000,4082000,4082000,4082000,4082000,4825000,4825000,4825000,4825000,4825000,4825000,4825000,4825000,4825000,4825000,4825000,4825000,10149000,10149000,10149000,10149000,10149000,10149000,10149000,10149000,10149000,10149000,10149000,10149000,12411000,12411000,12411000,12411000,12411000,12411000,12411000,12411000,12411000,12411000,12411000,12411000,13114000,13114000,13114000,13114000,13114000,13114000,13114000,13114000,13114000,13114000,13114000,13114000,15622000,15622000,15622000,15622000,15622000,15622000,15622000,15622000,15622000,15622000,15622000,15622000,19391000,19391000,19391000,19391000,19391000,19391000,19391000,19391000,19391000,19391000,19391000,19391000,22326000,22326000,22326000,22326000,22326000,22326000,22326000,22326000,22326000,22326000,22326000,22326000,,,
common equity,Financials,2054511,2054511,2054511,2054511,2054511,2054511,2054511,2054511,2054511,2054511,2433522,2433522,2433522,2433522,2433522,2433522,2433522,2433522,2433522,2433522,2433522,2433522,2788751,2788751,2788751,2788751,2788751,2788751,2788751,2788751,2788751,2788751,2788751,2788751,2640534,2640534,2640534,2640534,2640534,2640534,2640534,2640534,2640534,2640534,2640534,2640534,2211000,2211000,2211000,2211000,2211000,2211000,2211000,2211000,2211000,2211000,2211000,2211000,2207000,2207000,2207000,2207000,2207000,2207000,2207000,2207000,2207000,2207000,2207000,2207000,2482000,2482000,2482000,2482000,2482000,2482000,2482000,2482000,2482000,2482000,2482000,2482000,11929000,11929000,11929000,11929000,11929000,11929000,11929000,11929000,11929000,11929000,11929000,11929000,12174000,12174000,12174000,12174000,12174000,12174000,12174000,12174000,12174000,12174000,12174000,12174000,12396000,12396000,12396000,12396000,12396000,12396000,12396000,12396000,12396000,12396000,12396000,12396000,13246000,13246000,13246000,13246000,13246000,13246000,13246000,13246000,13246000,13246000,13246000,13246000,14303000,14303000,14303000,14303000,14303000,14303000,14303000,14303000,14303000,14303000,14303000,14303000,8674000,8674000,8674000,8674000,8674000,8674000,8674000,8674000,8674000,8674000,8674000,8674000,,,
Turnover ratio,Financials,0.08%,0.3%,0.18%,0.41%,0.38%,0.34%,2.37%,0.39%,0.52%,0.43%,0.33%,0.34%,0.59%,0.62%,0.51%,0.47%,0.58%,0.43%,0.5%,0.37%,0.67%,0.21%,0.41%,0.59%,0.39%,0.25%,0.58%,0.35%,0.67%,1.33%,0.3%,0.35%,0.29%,0.27%,0.69%,1.01%,0.75%,0.84%,0.58%,0.43%,0.38%,0.53%,0.25%,0.34%,0.32%,0.58%,0.39%,0.53%,0.41%,0.62%,0.44%,0.58%,0.23%,0.32%,0.36%,0.4%,0.48%,0.38%,0.27%,0.3%,0.58%,0.47%,0.48%,0.6%,0.57%,0.67%,0.92%,0.54%,0.79%,0.75%,0.76%,0.51%,0.6%,0.41%,0.66%,0.59%,0.49%,0.41%,0.4%,0.63%,0.71%,0.56%,0.93%,0.62%,0.45%,0.42%,0.64%,0.76%,0.51%,0.78%,0.83%,0.78%,0.67%,0.62%,0.68%,0.71%,0.41%,0.63%,0.62%,0.79%,0.69%,0.8%,0.49%,0.48%,0.47%,0.41%,0.46%,0.56%,0.45%,0.6%,0.45%,0.77%,0.4%,0.95%,0.54%,0.37%,0.58%,0.36%,0.43%,0.43%,0.46%,0.58%,0.74%,0.4%,0.42%,0.66%,0.54%,0.38%,0.59%,0.54%,0.71%,0.52%,0.5%,0.91%,0.69%,0.5%,0.45%,0.48%,0.81%,0.42%,0.49%,0.87%,0.79%,0.98%,0.53%,0.65%,1.2%,0.68%,0.53%,1.86%,1.23%,0.74%,1.03%,0.49%,0.69%,0.66%,0.35%
Return monthly,Financials,,0.289719835,0.014492982,0.087142606,0.143232989,-0.04022988,0.108837879,-0.103825072,-0.006097396,-0.044171982,0.123234895,-0.068571213,0.087400283,-0.133333387,-0.221485458,-0.093696782,0.409774501,-0.066666635,-0.12795012,-0.031666816,-0.010327167,-0.086956548,0.057143008,0.063063013,-0.011032182,0.08849535,0.043902412,-0.098130958,-0.050086119,0.118181713,0.04871488,0.135483854,0.029829542,0,0.137931295,0.151515305,0.145932583,0.024364421,0.122026994,0.10138248,-0.112970735,0.094339762,0.048066835,-0.016949289,0.020689684,0.09712854,0.100077053,0.2036386,0.133204222,-0.08196786,0.035715409,-0.040229768,-0.029939986,0.018518684,0.166256193,0.0679144,0.054240463,0.043714004,-0.058353165,0.129435298,0.132251944,0.157959232,0.022559318,0.038262216,0.115538051,-0.14880939,0.008104491,-0.115755497,0.02747438,-0.130947565,0.243892037,0.028373685,0.057501969,0.013986056,-0.048276003,0.097826388,0.123762373,-0.074889766,-0.022167001,0.107024027,-0.048640983,-0.005716227,0.1529869,-0.032410107,-0.019077509,-0.166666867,0.130908926,-0.143086417,-0.003752526,-0.077212417,0.005145842,0.175847902,0,-0.091892188,0.05555522,0.024436564,-0.018498231,0.023346409,-0.199620303,0.197150498,0.074206116,-0.039526364,0.101763017,0.079221943,-0.037370642,0.022530949,0.04406718,-0.062337473,0.067388217,-0.003691225,0.043111886,0.14949993,-0.001404388,-0.115330895,-0.010810319,0.106705997,-0.032835589,0.106481453,0.002510662,-0.022537512,0.132681549,-0.058064389,-0.019178087,0.057541837,0.011621719,-0.070495927,-0.008752708,-0.020917697,0.055193086,-0.071991703,0.043637032,0.011614445,0.013152811,0.064140029,0.076438556,0.014507522,-0.025338866,-0.065122368,0.023070298,0.005232307,-0.109589114,0.016923142,-0.112859117,0.081173558,0.053030145,-0.041925843,-0.066450425,0.051736425,-0.059425924,-0.438399271,0.034868595,-0.108456109,0.122336569,0.022658272,0.017963323,-0.01966628,-0.029055823
