me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Consumer Goods,256558,256558,256558,256558,281147,281147,281147,281147,281147,281147,281147,281147,281147,281147,281147,281147,275808,275808,275808,275808,275808,275808,275808,275808,275808,275808,275808,275808,204058,204058,204058,204058,204058,204058,204058,204058,204058,204058,204058,204058,198085,198085,198085,198085,198085,198085,198085,198085,198085,198085,198085,198085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excess return,Consumer Goods,,-0.076769462,0.005087855,-0.045406341,-0.24274118,0.108810269,-0.226110833,-0.12906345,-0.176513614,-0.29794893,-0.13905007,0.143709057,-0.220430111,-0.099109065,-0.159200136,-0.124369503,0.080181761,-0.020922276,-0.157670288,-0.071317431,-0.1477595,-0.052262123,-0.191125204,-0.05453079,-0.062005379,-0.152847978,-0.132053402,-0.1420361,-0.026831689,-0.008835758,-0.158414239,-0.199128578,-0.107184697,-0.144522759,-0.103848663,-0.055109383,-0.069530963,-0.048231456,-0.154060591,-0.17229803,-0.045298736,-0.116827086,-0.064550292,-0.163427122,-0.178781871,-0.1314002,-0.02332779,-0.024741792,-0.176000991,0.001321055,-0.204586688,-0.077930308,-0.081386847,-0.092113048,-0.042414654,-0.084332221,0,-0.0811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risk premium,Consumer Goods,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Consumer Goods,0.579,0.699,0.6252,0.5031,0.5297,0.6599,0.7266,0.7038,0.7743,0.7328,0.8517,0.8138,0.8121,0.8645,0.8502,0.7577,0.7557,0.7233,0.6208,0.5973,0.5565,0.5669,0.5672,0.501,0.5201,0.5261,0.6947,0.6847,0.6356,0.6398,0.5965,0.6113,0.5534,0.5144,0.3559,0.4486,0.4631,0.4505,0.4586,0.4442,0.4264,0.5028,0.4943,0.4668,0.4561,0.4254,0.4736,0.4746,0.453,0.4067,0.3882,0.4398,0.1901,0.1908,0.2187,,0.1714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VO monthly avg,Consumer Goods,0,2.41,6.94,2.26,0.03,1.83,7.53,2.59,15.67,5.35,1.26,2.97,19.88,1.39,0.97,0.13,10.31,8.48,6.85,67.87,1.04,2.54,1.33,2.56,1.1,1.68,2.14,1.82,3.47,6.47,71.64,78.74,18.45,6.63,9.43,13.25,15.27,6.21,28.09,41.77,2.7,8.39,10.45,0.53,9.56,4.38,7.5,13.61,1.8,5.08,1.72,201.04,12.99,6.23,29.94,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total assets,Consumer Goods,412619,412619,412619,412619,481141,481141,481141,481141,481141,481141,481141,481141,481141,481141,481141,481141,540944,540944,540944,540944,540944,540944,540944,540944,540944,540944,540944,540944,526673,526673,526673,526673,526673,526673,526673,526673,526673,526673,526673,526673,574055,574055,574055,574055,574055,574055,574055,574055,574055,574055,574055,574055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net sales,Consumer Goods,699552,699552,699552,699552,756002,756002,756002,756002,756002,756002,756002,756002,756002,756002,756002,756002,1001787,1001787,1001787,1001787,1001787,1001787,1001787,1001787,1001787,1001787,1001787,1001787,1009305,1009305,1009305,1009305,1009305,1009305,1009305,1009305,1009305,1009305,1009305,1009305,1048087,1048087,1048087,1048087,1048087,1048087,1048087,1048087,1048087,1048087,1048087,1048087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
common equity,Consumer Goods,156061,156061,156061,156061,199994,199994,199994,199994,199994,199994,199994,199994,199994,199994,199994,199994,265136,265136,265136,265136,265136,265136,265136,265136,265136,265136,265136,265136,322615,322615,322615,322615,322615,322615,322615,322615,322615,322615,322615,322615,375970,375970,375970,375970,375970,375970,375970,375970,375970,375970,375970,375970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnover ratio,Consumer Goods,0%,0%,0.01%,0%,0%,0%,0.01%,0%,0.01%,0.01%,0%,0%,0.02%,0%,0%,0%,0.01%,0.01%,0.01%,0.06%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.01%,0.06%,0.07%,0.02%,0.01%,0.01%,0.01%,0.01%,0.01%,0.02%,0.04%,0%,0.01%,0.01%,0%,0.01%,0%,0.01%,0.01%,0%,0%,0%,0.18%,0.01%,0.01%,0.03%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Return monthly,Consumer Goods,,0.090867538,0.161275455,0.108388959,-0.08887008,0.268283969,-0.071835033,0.02127595,-0.020832714,-0.14468253,0.01990703,0.297578457,-0.053867811,0.077254435,0.018862464,0.055565597,0.245590861,0.140845624,-0.001359888,0.076912469,0,0.095252577,-0.043491604,0.08183221,0.075260921,-0.020003678,0.010212698,0,0.111111111,0.127271642,-0.026734739,-0.065516678,0.023979503,-0.018015559,0.009173037,0.065452417,0.050444337,0.076150044,-0.030768791,-0.04761343,0.081664464,0.016949314,0.071190608,-0.029418722,-0.045447571,0,0.11110901,0.092058008,-0.066661991,0.107143155,-0.103230088,0.035977092,0.013889453,0.004107352,0.051263446,-0.005332221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
