me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Consumer Goods,57755,57755,57755,57755,59091,59091,59091,59091,59091,59091,59091,59091,59091,59091,59091,59091,67488,67488,67488,67488,67488,67488,67488,67488,67488,67488,67488,67488,82955,82955,82955,82955,82955,82955,82955,82955,82955,82955,82955,82955,97956,97956,97956,97956,97956,97956,97956,97956,97956,97956,97956,97956,94474,94474,94474,94474,94474,94474,94474,94474,94474,94474,94474,94474,98212,98212,98212,98212,98212,98212,98212,98212,98212,98212,98212,98212,113131,113131,113131,113131,113131,113131,113131,113131,113131,113131,113131,113131,179601,179601,179601,179601,179601,179601,179601,179601,179601,179601,179601,179601,189064,189064,189064,189064,189064,189064,189064,189064,189064,189064,189064,189064,160229,160229,160229,160229,160229,160229,160229,160229,160229,160229,160229,160229,227261,227261,227261,227261,227261,227261,227261,227261,227261,227261,227261,227261,221245,221245,221245,221245,221245,221245,221245,221245,221245,221245,221245,221245,,,,,,,,,
Excess return,Consumer Goods,,-0.1487118,-0.1411873,-0.143289435,-0.095128017,0.117139926,-0.051090258,-0.075282078,-0.037995808,-0.244981652,-0.1374615,-0.085548855,-0.056581223,-0.076165932,-0.1639128,-0.189999538,-0.040080385,-0.14516549,-0.119130227,-0.106297448,-0.198600344,-0.095583417,-0.197371944,-0.001580302,-0.104789762,-0.164601441,-0.159846175,-0.161189463,-0.176869368,-0.1107347,-0.1288067,-0.118925641,0.166530282,-0.201551945,0.055662635,-0.115240706,-0.021156257,-0.162025834,-0.028517566,-0.241118404,-0.118081332,-0.126808415,-0.1557623,-0.15123454,-0.192477539,-0.159481931,-0.126891033,-0.131945,-0.146802628,-0.101147941,-0.212137841,-0.193025982,-0.1897606,-0.017891117,-0.10441103,-0.135186047,-0.081027545,-0.087233104,-0.135902325,-0.080932672,0.045729121,0.24293573,-0.092436647,-0.114827105,-0.1216839,0.057758986,-0.1354952,-0.039535823,-0.086029348,-0.185563137,-0.109489382,-0.236771146,0.008686683,-0.128381246,-0.185609496,-0.064142018,-0.1332673,-0.126642275,-0.147188,-0.164370271,-0.139947932,-0.147345214,-0.101103788,-0.1024009,-0.1043696,-0.08700778,-0.098649484,-0.08730226,-0.105390225,-0.144025723,-0.099095707,-0.1194303,-0.1151679,-0.1177813,-0.123155723,-0.087813248,-0.08360076,-0.124979481,-0.135773208,-0.066834145,-0.114878109,-0.1172007,-0.228721412,0.020340059,-0.053916986,-0.112920012,-0.021602996,-0.160318782,-0.1236636,-0.113858069,-0.095881714,-0.265626045,-0.252400151,-0.207810501,-0.042542934,-0.151639472,0.059071385,-0.151130848,-0.2309781,0.035210943,0.007891208,-0.200192476,-0.165841759,-0.163581085,-0.022537558,-0.138670974,0.08744935,-0.07055328,-0.137518938,-0.013334647,-0.114333636,-0.012905289,-0.147866384,-0.113526783,0.209298328,-0.182902538,-0.0805236,-0.07172109,-0.068654541,-0.057047495,-0.0899684,-0.071004187,-0.052482859,-0.036496683,0.022138507,-0.152538162,-0.068015025,-0.106069664,-0.098477411,-0.10199682,-0.097017495,0.034193522,-0.125091153,-0.028844809,-0.092593856,-0.089371669,-0.057009829
Risk premium,Consumer Goods,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Consumer Goods,0.4162,0.3986,0.3871,0.389,0.4419,0.4248,0.3584,0.3833,0.4663,0.518,0.5105,0.6629,0.6533,0.6573,0.6256,0.6151,0.6157,0.5978,0.578,0.5931,0.5695,0.5784,0.5627,0.5898,0.6151,0.6249,0.6638,0.6726,0.5438,0.5747,0.5509,0.6059,0.5695,0.6473,0.6832,0.6978,0.6686,0.6921,0.7178,0.7131,0.7171,0.8213,0.8121,0.7779,0.7516,0.737,0.7145,0.715,0.695,0.648,0.7037,0.7035,0.8962,0.8969,0.885,0.749,0.7249,0.574,0.515,0.6562,0.9979,0.8898,0.8687,0.906,0.7553,0.7615,0.7904,0.7902,0.8251,0.8756,0.8803,0.8867,0.884,0.9616,0.9129,0.8397,0.8471,0.8569,0.976,0.9795,1.0919,1.0786,1.0405,0.2643,0.2892,0.304,0.2883,0.4394,0.4312,0.4133,0.4685,0.4481,0.4233,0.4251,0.4531,0.4095,0.4167,0.4387,0.4365,0.4347,0.4185,0.4389,0.4995,0.5063,0.5037,0.5314,0.5237,0.5212,0.5272,0.5557,0.4764,0.4759,0.5133,0.4971,0.4668,0.442,0.41,0.3986,0.3687,0.4174,0.4486,0.4077,0.4218,0.4214,0.3646,0.2573,0.0553,0.055,0.0195,-0.0758,-0.0697,-0.0207,-0.0271,0.132,0.1897,0.1587,0.0472,0.0752,0.2838,0.2813,0.3868,0.5604,0.576,0.4816,0.3068,0.3464,0.3289,0.312,0.2804,0.4014,0.4255,0.4184,0.5251,0.6953,0.6801,0.6276,
VO monthly avg,Consumer Goods,0,10.04,8.04,0.47,2.25,2.85,1.51,6.17,4.93,2.37,0.27,2.58,5.88,3.85,2.35,1.9,0.53,1.35,1.83,0.59,0.98,1.85,1.21,4.26,0.15,0.24,0.58,4.9,2.06,4.61,12.95,1.26,8.09,1.6,7.58,14.48,12.8,24.74,8.55,4.51,2.79,1.65,1.22,0.67,1.78,3.25,1.91,0.21,0.24,0,0.76,3.11,1.9,2.12,5.34,9.7,1.64,3.13,0.67,1.08,11.32,8.87,6.98,4.31,2.68,8.28,4.99,2.33,4.08,0.45,0.47,0.68,0.4,0.88,0.19,0.79,1.85,7.01,2.11,2.86,0.8,1.16,3.43,2.36,0.87,0.87,0.82,1.67,1.4,0.24,1.02,0.47,0.07,8.74,0.76,0.45,0.75,0.53,1.44,1.23,1.31,0.21,9.11,1.27,0.35,0.88,0.7,0.56,0.41,0.18,3,0.2,0.91,0.6,0.06,1.55,0.66,0.49,0.2,4.74,0.42,1.72,1.53,1.89,0.34,0.42,6.33,6.36,0.59,0.39,0.01,0.63,4.43,1.59,1.1,5.72,0.35,1.66,0.14,0.6,0.79,1.19,1.27,1.03,0.85,0.59,0.34,1.22,0.49,2.25,0.8,0.79,1.92,1.59,0.68,0.48,2.16
Total assets,Consumer Goods,244319,244319,244319,244319,261387,261387,261387,261387,261387,261387,261387,261387,261387,261387,261387,261387,290292,290292,290292,290292,290292,290292,290292,290292,290292,290292,290292,290292,313681,313681,313681,313681,313681,313681,313681,313681,313681,313681,313681,313681,323447,323447,323447,323447,323447,323447,323447,323447,323447,323447,323447,323447,338042,338042,338042,338042,338042,338042,338042,338042,338042,338042,338042,338042,355510,355510,355510,355510,355510,355510,355510,355510,355510,355510,355510,355510,401485,401485,401485,401485,401485,401485,401485,401485,401485,401485,401485,401485,521696,521696,521696,521696,521696,521696,521696,521696,521696,521696,521696,521696,530769,530769,530769,530769,530769,530769,530769,530769,530769,530769,530769,530769,599285,599285,599285,599285,599285,599285,599285,599285,599285,599285,599285,599285,730856,730856,730856,730856,730856,730856,730856,730856,730856,730856,730856,730856,803443,803443,803443,803443,803443,803443,803443,803443,803443,803443,803443,803443,,,,,,,,,
Net sales,Consumer Goods,126751,126751,126751,126751,139472,139472,139472,139472,139472,139472,139472,139472,139472,139472,139472,139472,179957,179957,179957,179957,179957,179957,179957,179957,179957,179957,179957,179957,181984,181984,181984,181984,181984,181984,181984,181984,181984,181984,181984,181984,173443,173443,173443,173443,173443,173443,173443,173443,173443,173443,173443,173443,201469,201469,201469,201469,201469,201469,201469,201469,201469,201469,201469,201469,211670,211670,211670,211670,211670,211670,211670,211670,211670,211670,211670,211670,246879,246879,246879,246879,246879,246879,246879,246879,246879,246879,246879,246879,307368,307368,307368,307368,307368,307368,307368,307368,307368,307368,307368,307368,305883,305883,305883,305883,305883,305883,305883,305883,305883,305883,305883,305883,298303,298303,298303,298303,298303,298303,298303,298303,298303,298303,298303,298303,361964,361964,361964,361964,361964,361964,361964,361964,361964,361964,361964,361964,387526,387526,387526,387526,387526,387526,387526,387526,387526,387526,387526,387526,,,,,,,,,
common equity,Consumer Goods,186564,186564,186564,186564,202296,202296,202296,202296,202296,202296,202296,202296,202296,202296,202296,202296,222804,222804,222804,222804,222804,222804,222804,222804,222804,222804,222804,222804,230726,230726,230726,230726,230726,230726,230726,230726,230726,230726,230726,230726,225491,225491,225491,225491,225491,225491,225491,225491,225491,225491,225491,225491,243568,243568,243568,243568,243568,243568,243568,243568,243568,243568,243568,243568,257298,257298,257298,257298,257298,257298,257298,257298,257298,257298,257298,257298,288354,288354,288354,288354,288354,288354,288354,288354,288354,288354,288354,288354,342151,342151,342151,342151,342151,342151,342151,342151,342151,342151,342151,342151,342151,342151,342151,342151,342151,342151,342151,342151,342151,342151,342151,342151,439124,439124,439124,439124,439124,439124,439124,439124,439124,439124,439124,439124,499740,499740,499740,499740,499740,499740,499740,499740,499740,499740,499740,499740,578650,578650,578650,578650,578650,578650,578650,578650,578650,578650,578650,578650,,,,,,,,,
Turnover ratio,Consumer Goods,0%,0.08%,0.07%,0%,0.02%,0.02%,0.01%,0.05%,0.04%,0.02%,0%,0.02%,0.05%,0.03%,0.02%,0.02%,0%,0.01%,0.02%,0%,0.01%,0.02%,0.01%,0.04%,0%,0%,0%,0.04%,0.02%,0.04%,0.11%,0.01%,0.07%,0.01%,0.06%,0.12%,0.11%,0.2%,0.07%,0.04%,0.02%,0.01%,0.01%,0.01%,0.01%,0.03%,0.02%,0%,0%,0%,0.01%,0.03%,0.02%,0.02%,0.04%,0.08%,0.01%,0.03%,0.01%,0.01%,0.09%,0.07%,0.06%,0.04%,0.02%,0.07%,0.04%,0.02%,0.03%,0%,0%,0.01%,0%,0.01%,0%,0.01%,0.01%,0.06%,0.02%,0.02%,0.01%,0.01%,0.03%,0.02%,0.01%,0.01%,0.01%,0.01%,0.01%,0%,0.01%,0%,0%,0.07%,0.01%,0%,0.01%,0%,0.01%,0.01%,0.01%,0%,0.07%,0.01%,0%,0.01%,0.01%,0%,0%,0%,0.02%,0%,0.01%,0%,0%,0.01%,0.01%,0%,0%,0.04%,0%,0.01%,0.01%,0.02%,0%,0%,0.05%,0.05%,0%,0%,0%,0.01%,0.04%,0.01%,0.01%,0.05%,0%,0.01%,0%,0%,0.01%,0.01%,0.01%,0.01%,0.01%,0%,0%,0.01%,0%,0.02%,0.01%,0.01%,0.02%,0.01%,0.01%,0%,0.02%
Return monthly,Consumer Goods,,0,0,0.003317565,0.053211683,0.261802326,0.079988942,0.054865822,0.098281092,-0.105247652,0,0.058813845,0.099976677,0.087143968,0,-0.019048238,0.116508715,0.00869591,0.034483773,0.041667852,-0.050021844,0.052655783,-0.050021844,0.140377098,0.038461538,-0.025532741,-0.019526775,-0.019915663,-0.044709968,0.0212714,0,0.014346059,0.298708782,-0.066672045,0.189304235,0.021020694,0.111765543,-0.022423534,0.111103834,-0.099493104,0.027195968,0.027033485,0,0.00237316,-0.040526739,-0.008450931,0.022722467,0,-0.022217628,0.019876059,-0.090904741,-0.062505482,-0.05,0.122813583,0.03124397,-0.008999047,0.045541155,0.030028896,-0.022857325,0.038007928,0.183096821,0.37329313,0.035091453,0.016950895,0,0.183333486,0,0.096046777,0.052631952,-0.050000337,0.026319518,-0.102309046,0.142528683,0.008749554,-0.049746796,0.065509082,0,0.012342425,0,-0.016611771,0.011391768,0.001256586,0.049997712,0,0,0.02189422,0.011763416,0.03487994,0.022475375,-0.010987823,0.022219793,0,0,0,-0.011110423,0.011235252,0.02200134,-0.011741381,-0.022223708,0.045451955,-0.000212609,0,-0.108502912,0.139286959,0.065566114,0.010308188,0.102040104,-0.037033182,0,0.008651031,0.019231486,-0.150944345,-0.133112251,-0.088693201,0.068915466,-0.044543472,0.164401385,-0.047619048,-0.125,0.142857143,0.122503008,-0.087907376,-0.052368359,-0.052632885,0.083332242,-0.038461074,0.17333325,0.01131172,-0.053590438,0.060239953,-0.039774736,0.065090611,-0.072223684,-0.026760783,0.299999428,-0.096154438,0,0.00531651,0.015874859,0.028124405,0,0.031251013,0.050505141,0.057694117,0.106716907,-0.066664962,0.017855675,-0.026313664,-0.009012211,-0.00090862,0.008189005,0.142402722,-0.016259853,0.090909091,0.030302444,0.029267131,-0.057009829
