me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Basic Materials,26780046,26780046,26780046,26780046,26780046,26780046,26780046,26780046,26780046,26780046,31957280,31957280,31957280,31957280,31957280,31957280,31957280,31957280,31957280,31957280,31957280,31957280,26637031,26637031,26637031,26637031,26637031,26637031,26637031,26637031,26637031,26637031,26637031,26637031,25478407,25478407,25478407,25478407,25478407,25478407,25478407,25478407,25478407,25478407,25478407,23885255,23885255,23885255,23885255,23885255,23885255,23885255,23885255,23885255,23885255,23885255,23885255,23885255,31498467,31498467,31498467,31498467,31498467,31498467,31498467,31498467,31498467,31498467,31498467,31498467,30731127,30731127,30731127,30731127,30731127,30731127,30731127,30731127,30731127,30731127,30731127,30731127,37207183,37207183,37207183,37207183,37207183,37207183,37207183,37207183,37207183,37207183,37207183,37207183,40933333,40933333,40933333,40933333,40933333,40933333,40933333,40933333,40933333,40933333,40933333,40933333,36488474,36488474,36488474,36488474,36488474,36488474,36488474,36488474,36488474,36488474,36488474,36488474,38738642,38738642,38738642,38738642,38738642,38738642,38738642,38738642,38738642,38738642,38738642,38738642,37308842,37308842,37308842,37308842,37308842,37308842,37308842,37308842,37308842,37308842,37308842,37308842,45036107,45036107,45036107,45036107,45036107,45036107,45036107,45036107,45036107,45036107,45036107,45036107,,,
Excess return,Basic Materials,,-0.127478842,-0.116931709,-0.200561217,-0.016480194,-0.100229949,-0.265894976,-0.146008498,0.007375299,-0.254158231,-0.038034204,0.043706944,-0.062675677,-0.071397943,-0.03515093,-0.218790876,-0.300676584,-0.098369672,-0.164678726,-0.336931014,-0.145630514,-0.227355357,-0.191032211,-0.168442012,-0.228753744,-0.11532411,-0.229538441,-0.354195986,-0.191487602,-0.07888072,-0.244113577,-0.167413235,-0.125841744,-0.175501738,-0.196959336,-0.210254779,-0.038981824,-0.078505488,-0.196718252,-0.192064021,-0.076954705,-0.178258926,-0.117975225,-0.213353126,-0.100561951,-0.176283224,-0.185855272,-0.235087189,-0.073519186,-0.188970977,-0.085698633,-0.161715621,-0.340158201,-0.046318559,0.00105034,-0.201973795,-0.127298936,-0.043260229,-0.266810951,-0.067170728,-0.056191695,-0.014132688,-0.170178808,0.035820411,-0.206031315,-0.184352082,-0.088571363,-0.045127954,-0.208727722,-0.058259084,-0.103144394,-0.05086048,-0.113997752,-0.288225222,-0.135885269,-0.06135659,0.010843732,-0.090409992,-0.189056381,-0.267603107,-0.171895954,-0.206014451,-0.197899324,-0.191900863,-0.07636716,-0.349064247,0.067510774,-0.230192671,-0.065896779,-0.120388073,-0.304504467,-0.33848412,-0.14499433,-0.174376203,-0.410874514,-0.150704626,-0.115368553,-0.28569148,-0.593707217,-0.20385467,0.077665599,0.031860392,-0.346119388,-0.071257176,0.03036794,-0.241185639,-0.153406489,-0.073289083,-0.079042364,-0.251825354,-0.273580269,-0.073945967,-0.206737737,-0.245375262,-0.136897439,-0.007619666,-0.17929108,-0.146605396,-0.209359397,-0.177673966,-0.165818225,-0.094160741,-0.142344576,-0.190485784,-0.145965607,-0.129559821,-0.202718828,-0.260296495,-0.268773613,-0.251053889,-0.161646271,-0.082969828,-0.165910467,-0.049288906,-0.107427902,-0.051514108,-0.134234509,-0.149424206,-0.1060565,-0.200812195,-0.157089793,-0.100896549,-0.075565797,0.06290658,-0.054820867,-0.1129342,-0.214125333,-0.115267158,-0.181445786,-0.17890825,-0.165611455,-0.045080562,-0.183871132,-0.093277168,0.04355131,-0.079942713,0.062965898
Risk premium,Basic Materials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Basic Materials,1.497,1.4699,1.3765,0.9974,0.944,0.9322,0.8889,0.9261,0.9342,1.0037,1.0596,1.1048,1.0916,1.0377,1.0331,1.0591,1.0581,1.064,1.1004,1.1295,1.1058,1.1093,1.0976,1.1438,1.1196,1.1306,1.2276,1.2295,1.1232,1.1616,1.134,1.0951,1.0862,0.995,0.908,0.9098,0.9304,0.8781,0.8794,0.8527,0.8392,0.7945,0.7854,0.7809,0.7611,0.7668,0.6826,0.6819,0.7432,0.7515,0.6015,0.7701,0.755,0.7624,0.6992,0.7045,0.7715,0.9366,0.8641,0.8739,0.919,0.9035,0.9774,1.0748,1.054,1.1444,1.038,1.0101,1.0165,1.126,1.1231,1.1334,1.1306,1.1323,1.1474,0.9171,0.9045,0.9383,1.1287,1.1384,1.0927,0.894,0.9479,0.7069,0.9716,1.2123,1.1179,1.1979,1.2074,1.2619,1.3493,1.4092,1.0656,1.176,1.1488,1.1947,1.2084,1.403,1.2146,1.2616,1.3143,1.3394,1.3242,1.3576,1.4267,1.4051,1.4168,1.4597,1.4348,1.4011,1.3996,1.3838,1.3576,1.3395,1.3632,1.597,1.5387,1.505,1.4965,1.4558,1.0042,1.1751,1.1865,1.2072,0.9789,1.0025,1.0689,1.0423,1.0846,0.9416,0.9466,0.9098,0.9208,0.871,0.8182,0.8084,0.7712,0.8185,0.6255,0.6134,0.5899,0.6469,0.7244,0.8287,0.9212,0.966,0.9586,0.9982,0.7898,0.7548,0.6996,0.6849,0.5837,0.781,0.7475,0.6846,
VO monthly avg,Basic Materials,930.5,2231.51,1351.64,1739.61,740.73,1008.87,1406.68,1128.5,1056.35,873.07,788.81,1036.8,1334.57,1093.45,916.39,907.67,862.13,1321.3,996.24,1196.68,1510.89,1436.81,1046.91,830.07,956.08,2015.92,1284.29,1574.68,1261.51,1394.68,2285.4,1855.07,1417.97,1896.1,1742.15,2267.85,2398.79,2728.77,1831.61,1643.41,2292.89,1783.98,1444.55,1708.02,1444.72,1775.48,1035.88,3542.67,1097.52,1220.15,2499.94,1188.64,1270.96,1834.14,1575.4,1015.9,1059.55,1415.74,1652.08,1308.27,1050.49,1964.16,1815.69,2943.68,1302.56,1683.6,1187.48,1098.43,1371.45,1244.09,1675.83,1772.22,920.24,1437.19,1519.78,1883,1126.78,1281.83,1614.11,1346.14,1759.25,1588.8,1289.4,1160.87,1278.51,1743.04,1865.46,1865.71,1195.98,1298.15,1715.87,1411.53,1422.49,1368.02,2205.01,2568.11,1632.42,1506.77,2567.77,2622.44,958.64,2032.05,1245.71,1116.94,1416.72,1337.13,2044.87,2163.03,1320.54,1619.88,826.62,1256.2,1485.67,1969.14,1899.52,2529.54,2866.36,1637.66,1209.61,1741.49,1313.02,1359.71,2153.23,1277.28,1896.62,2093.85,2309.94,2611.57,2393.92,1330.17,1321.46,1377.59,919.95,2882.65,2297.57,1795.83,978.18,1099,1060.86,824.49,1108.12,1479.38,1044.56,1505.49,825.7,1297.03,1418.53,1030.68,1406.88,1991.21,1569.26,988.27,888.38,1192.25,1480.27,1633.23,748.13
Total assets,Basic Materials,40196884,40196884,40196884,40196884,40196884,40196884,40196884,40196884,40196884,40196884,48747500,48747500,48747500,48747500,48747500,48747500,48747500,48747500,48747500,48747500,48747500,48747500,40122201,40122201,40122201,40122201,40122201,40122201,40122201,40122201,40122201,40122201,40122201,40122201,39087148,39087148,39087148,39087148,39087148,39087148,39087148,39087148,39087148,39087148,39087148,35773814,35773814,35773814,35773814,35773814,35773814,35773814,35773814,35773814,35773814,35773814,35773814,35773814,42197231,42197231,42197231,42197231,42197231,42197231,42197231,42197231,42197231,42197231,42197231,42197231,43166642,43166642,43166642,43166642,43166642,43166642,43166642,43166642,43166642,43166642,43166642,43166642,50537742,50537742,50537742,50537742,50537742,50537742,50537742,50537742,50537742,50537742,50537742,50537742,54369867,54369867,54369867,54369867,54369867,54369867,54369867,54369867,54369867,54369867,54369867,54369867,49696813,49696813,49696813,49696813,49696813,49696813,49696813,49696813,49696813,49696813,49696813,49696813,50704309,50704309,50704309,50704309,50704309,50704309,50704309,50704309,50704309,50704309,50704309,50704309,49983376,49983376,49983376,49983376,49983376,49983376,49983376,49983376,49983376,49983376,49983376,49983376,56508231,56508231,56508231,56508231,56508231,56508231,56508231,56508231,56508231,56508231,56508231,56508231,,,
Net sales,Basic Materials,33293762,33293762,33293762,33293762,33293762,33293762,33293762,33293762,33293762,33293762,39301050,39301050,39301050,39301050,39301050,39301050,39301050,39301050,39301050,39301050,39301050,39301050,34353524,34353524,34353524,34353524,34353524,34353524,34353524,34353524,34353524,34353524,34353524,34353524,31062345,31062345,31062345,31062345,31062345,31062345,31062345,31062345,31062345,31062345,31062345,31061571,31061571,31061571,31061571,31061571,31061571,31061571,31061571,31061571,31061571,31061571,31061571,31061571,32633230,32633230,32633230,32633230,32633230,32633230,32633230,32633230,32633230,32633230,32633230,32633230,37847859,37847859,37847859,37847859,37847859,37847859,37847859,37847859,37847859,37847859,37847859,37847859,43708079,43708079,43708079,43708079,43708079,43708079,43708079,43708079,43708079,43708079,43708079,43708079,46952335,46952335,46952335,46952335,46952335,46952335,46952335,46952335,46952335,46952335,46952335,46952335,49044799,49044799,49044799,49044799,49044799,49044799,49044799,49044799,49044799,49044799,49044799,49044799,50611252,50611252,50611252,50611252,50611252,50611252,50611252,50611252,50611252,50611252,50611252,50611252,51004492,51004492,51004492,51004492,51004492,51004492,51004492,51004492,51004492,51004492,51004492,51004492,55255069,55255069,55255069,55255069,55255069,55255069,55255069,55255069,55255069,55255069,55255069,55255069,,,
common equity,Basic Materials,13390023,13390023,13390023,13390023,13390023,13390023,13390023,13390023,13390023,13390023,16769140,16769140,16769140,16769140,16769140,16769140,16769140,16769140,16769140,16769140,16769140,16769140,13485170,13485170,13485170,13485170,13485170,13485170,13485170,13485170,13485170,13485170,13485170,13485170,13608741,13608741,13608741,13608741,13608741,13608741,13608741,13608741,13608741,13608741,13608741,11888559,11888559,11888559,11888559,11888559,11888559,11888559,11888559,11888559,11888559,11888559,11888559,11888559,10698764,10698764,10698764,10698764,10698764,10698764,10698764,10698764,10698764,10698764,10698764,10698764,12435514,12435514,12435514,12435514,12435514,12435514,12435514,12435514,12435514,12435514,12435514,12435514,13330559,13330559,13330559,13330559,13330559,13330559,13330559,13330559,13330559,13330559,13330559,13330559,13436534,13436534,13436534,13436534,13436534,13436534,13436534,13436534,13436534,13436534,13436534,13436534,13208340,13208340,13208340,13208340,13208340,13208340,13208340,13208340,13208340,13208340,13208340,13208340,11965666,11965666,11965666,11965666,11965666,11965666,11965666,11965666,11965666,11965666,11965666,11965666,12674534,12674534,12674534,12674534,12674534,12674534,12674534,12674534,12674534,12674534,12674534,12674534,11472124,11472124,11472124,11472124,11472124,11472124,11472124,11472124,11472124,11472124,11472124,11472124,,,
Turnover ratio,Basic Materials,0.39%,0.93%,0.57%,0.73%,0.31%,0.42%,0.59%,0.47%,0.44%,0.37%,0.33%,0.43%,0.56%,0.46%,0.38%,0.38%,0.36%,0.55%,0.42%,0.5%,0.63%,0.6%,0.44%,0.35%,0.4%,0.84%,0.54%,0.66%,0.53%,0.58%,0.96%,0.78%,0.59%,0.79%,0.73%,0.95%,1%,1.14%,0.77%,0.69%,0.96%,0.75%,0.6%,0.71%,0.6%,0.74%,0.43%,1.48%,0.46%,0.51%,1.05%,0.5%,0.53%,0.77%,0.66%,0.42%,0.44%,0.59%,0.69%,0.55%,0.44%,0.82%,0.76%,1.23%,0.54%,0.7%,0.5%,0.46%,0.57%,0.52%,0.7%,0.74%,0.38%,0.6%,0.64%,0.79%,0.47%,0.54%,0.68%,0.56%,0.74%,0.66%,0.54%,0.49%,0.53%,0.73%,0.78%,0.78%,0.5%,0.54%,0.72%,0.59%,0.6%,0.57%,0.92%,0.49%,0.31%,0.28%,0.48%,0.49%,0.18%,0.38%,0.23%,0.21%,0.26%,0.25%,0.38%,0.4%,0.25%,0.3%,0.15%,0.23%,0.28%,0.37%,0.35%,0.47%,0.53%,0.3%,0.23%,0.32%,0.24%,0.25%,0.4%,0.24%,0.35%,0.39%,0.43%,0.49%,0.45%,0.25%,0.25%,0.26%,0.17%,0.54%,0.43%,0.33%,0.18%,0.2%,0.2%,0.15%,0.2%,0.27%,0.19%,0.28%,0.15%,0.24%,0.26%,0.19%,0.26%,0.37%,0.29%,0.18%,0.16%,0.22%,0.27%,0.3%,0.14%
Return monthly,Basic Materials,,0.088724858,0.086587791,-0.015625017,0.163491806,0.076398651,-0.101394276,0.018335802,0.173129899,-0.083825131,0.134020596,0.215909344,0.121495123,0.115877157,0.15443437,-0.019867576,-0.116216284,0.084862328,0.021846474,-0.155172514,0.036734886,-0.045669457,-0.009983411,0.008417388,-0.053718944,0.05560369,-0.053699641,-0.177837486,-0.022826002,0.09010008,-0.078571577,-0.003321935,0.038888856,-0.018716738,-0.049155336,-0.060637379,0.110433376,0.072814812,-0.046916052,-0.041643921,0.076014895,-0.026105426,0.036104975,-0.059556426,0.051987349,-0.023374824,-0.038251472,-0.105227489,0.054102414,-0.061426477,0.029095867,-0.026999321,-0.209293201,0.085912641,0.12499994,-0.078590295,0.002205564,0.096845571,-0.131772651,0.065484972,0.076205305,0.117087812,-0.035802608,0.178232811,-0.065529315,-0.034654882,0.062522637,0.104308346,-0.058008222,0.093078916,0.047960906,0.09914372,0.035380048,-0.140340322,0.014750931,0.07317071,0.147727232,0.053702908,-0.032248281,-0.109833907,-0.020505854,-0.069042451,-0.052631624,-0.061616163,0.07099364,-0.182939347,0.230188474,-0.060224971,0.110869421,0.066111627,-0.127698567,-0.15850452,0.01063847,-0.009288203,-0.255000114,-0.002188526,0.040110647,-0.11170248,-0.431137417,-0.03947387,0.248766499,0.205792592,-0.173944788,0.101321624,0.20800004,-0.062914339,0.026501911,0.109122017,0.101800036,-0.076056054,-0.100305469,0.097933433,-0.034258937,-0.073186762,0.031034161,0.172241334,-0.00285298,0.026609604,-0.032329897,-0.004608566,-0.016203625,0.066470559,0.019304924,-0.030032184,-0.001394907,0.017597679,-0.052978128,-0.116231595,-0.117743813,-0.113383089,-0.023060471,0.053647572,-0.030550067,0.084034094,0.022868698,0.076165092,-0.008098909,-0.025558706,0,-0.094717995,-0.054326093,0.006808151,0.036771403,0.17896468,0.068464733,0.0119738,-0.088583533,0.007719442,-0.059888386,-0.05555585,-0.043136655,0.079918138,-0.071348032,0.031875832,0.17069381,0.042287087,0.062965898
