me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Fincials,43228,43228,43228,43228,43228,43228,43228,43244,43244,43244,43244,43244,43244,43244,43244,43244,43244,43244,43244,36726,36726,36726,36726,36726,36726,36726,36726,36726,36726,36726,36726,31703,31703,31703,31703,31703,31703,31703,31703,31703,31703,31703,31703,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,1097,1097,1097,1097,1097,1097,1097,1097,1097,1097,1097,1097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excess return,Fincials,,-0.1861464,-0.357229615,0.100566439,-0.542468938,-0.1289124,0.194727819,-0.640031174,-0.1334734,-0.1292949,-0.1297944,-0.1311516,-0.1517951,-0.14458,-0.1453404,0.350386803,-0.404076432,0.061332381,0.171412244,-0.367481345,-0.056986095,-0.134039,-0.628717398,-0.415188359,-0.519005861,0.1993525,-0.404113242,-0.5015787,-0.1549465,-0.149287,-0.632819785,-0.184371,1.740655571,-0.5863269,1.251515715,-0.495090477,-0.013032542,-0.884486439,-0.277352,-0.2786566,-0.2801729,-0.806660985,-0.3235565,-0.3600398,0.603489071,-0.791338285,1.669141371,-0.4269,0,-0.761696685,0.672391071,-0.3007906,-0.950955385,1.473186771,0.227615,-0.769584461,1.6812145,-0.68065842,-0.2330474,0.122485361,1.040434869,-0.4272987,0.934214086,-0.455964391,-0.260787322,-0.396888432,0.065964581,-0.036001795,-0.061048826,-0.354389216,-0.068000528,-0.003289497,-0.467411745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risk premium,Fincials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Fincials,0.8689,0.9928,0.6648,0.3979,0.3564,0.1748,0.4992,0.5162,0.4218,0.3523,0.3888,0.4532,0.5777,0.36,0.3308,0.3245,0.3198,0.0601,0.2915,0.3493,0.2969,0.353,0.3013,0.4112,0.2685,0.3325,1.003,0.9949,0.9055,0.849,0.8551,1.417,1.6543,2.4163,2.7466,3.1424,2.8541,2.9536,2.904,2.8882,2.8583,3.4875,3.4755,4.0546,3.6998,3.2046,2.6577,,2.9591,3.1214,3.0458,3.4062,6.0763,6.0919,5.595,4.6507,3.4585,2.4858,2.4198,3.135,2.5544,1.6349,1.2515,0.9786,1.0992,0.8438,0.4707,0.3908,0.7613,2.2369,2.2403,2.0048,,,,,,,,,,,,,,,,,,,,,,-1.4772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VO monthly avg,Fincials,3,14.24,21.94,11.43,4.94,25.14,14.18,8.28,5.05,18.78,4.87,3.1,3.4,81.38,21.27,4.66,138.26,69.65,15.26,3.75,27.96,13.06,3.15,7.81,1.35,3.13,100.78,16.07,21.6,50.63,99.01,15.85,45.48,10.13,63,17.17,29.23,47.07,6.6,2.92,7.03,2.66,0.63,4.6,11.63,10.42,20.48,0,0,22.05,16.43,4.76,35.13,15.45,21.3,35.6,80.05,72.2,123.3,8.71,102.95,152.48,88.56,105.03,30.37,55.33,43.36,16.05,14.11,22.29,8.45,9.8,19.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total assets,Fincials,50204,50204,50204,50204,50204,50204,50204,45124,45124,45124,45124,45124,45124,45124,45124,45124,45124,45124,45124,37861,37861,37861,37861,37861,37861,37861,37861,37861,37861,37861,37861,23380,23380,23380,23380,23380,23380,23380,23380,23380,23380,23380,23380,10799,10799,10799,10799,10799,10799,10799,10799,10799,10799,10799,10799,250,250,250,250,250,250,250,250,250,250,250,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net sales,Fincials,12789,12789,12789,12789,12789,12789,12789,148505,148505,148505,148505,148505,148505,148505,148505,148505,148505,148505,148505,141489,141489,141489,141489,141489,141489,141489,141489,141489,141489,141489,141489,127903,127903,127903,127903,127903,127903,127903,127903,127903,127903,127903,127903,113983,113983,113983,113983,113983,113983,113983,113983,113983,113983,113983,113983,3370,3370,3370,3370,3370,3370,3370,3370,3370,3370,3370,3370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
common equity,Fincials,6937,6937,6937,6937,6937,6937,6937,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,-8369,-8369,-8369,-8369,-8369,-8369,-8369,-8369,-8369,-8369,-8369,-8369,-4444,-4444,-4444,-4444,-4444,-4444,-4444,-4444,-4444,-4444,-4444,-4444,-847,-847,-847,-847,-847,-847,-847,-847,-847,-847,-847,-847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnover ratio,Fincials,0%,0.01%,0.01%,0.01%,0%,0.02%,0.01%,0.01%,0%,0.01%,0%,0%,0%,0.05%,0.01%,0%,0.17%,0.08%,0.02%,0%,0.03%,0.02%,0%,0.01%,0%,0%,0.12%,0.02%,0.03%,0.06%,0.12%,0.02%,0.06%,0.01%,0.08%,0.02%,0.04%,0.06%,0.01%,0%,0.01%,0%,0%,0.01%,0.01%,0.01%,0.02%,0%,0%,0.03%,0.02%,0.01%,0.04%,0.02%,0.03%,0.04%,0.1%,0.09%,0.15%,0.01%,0.13%,0.19%,0.11%,0.13%,0.04%,0.07%,0.05%,0.02%,0.02%,0.03%,0.01%,0.01%,0.02%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Return monthly,Fincials,,0,-0.198547215,0.247734139,-0.399515738,0,0.334677419,-0.501510574,0,0,0,0,0,0,0,0.503030303,-0.266129032,0.181318681,0.306976744,-0.234875445,0.074418605,0,-0.497835498,-0.284482759,-0.397590361,0.32,-0.242424242,-0.34,0,0,-0.484848485,0,1.941176471,-0.34,1.515151515,-0.204819277,0.257575758,-0.602409639,0,0,0,-0.484848485,0,0,0.941176471,-0.484848485,1.941176471,-0.34,0,-0.484848485,0.941176471,0,-0.484848485,1.941176471,0.66,-0.397590361,1.98,-0.44295302,0,0.397590361,1.275862069,-0.25,1.085858586,-0.319612591,-0.117437722,-0.266129032,0.181318681,0.074418605,0.073593074,-0.133064516,0.153488372,0.201612903,-0.389261745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
