Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Industrials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;239157;239157;239157;239157;239157;239157;239157;239157;356043;356043;356043;356043;356043;356043;356043;356043;356043;356043;356043;356043;251325;251325;251325;251325;251325;251325;251325;251325;251325;251325;251325;251325;360772;360772;360772;360772;360772;360772;360772;360772;360772;360772;360772;360772;577309;577309;577309;577309;577309;577309;577309;577309;577309;577309;577309;577309;723965;723965;723965;723965;723965;723965;723965;723965;723965;723965;723965;723965;NA;NA;NA;NA;NA;NA;NA;NA
Excess return;Industrials;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,047419669;-0,143224098;0,006823623;0,266259294;-0,16903635;-0,017864504;-0,07061291;-0,162196856;-0,280960396;-0,1115598;-0,13254885;-0,188995929;0,001549226;-0,215617568;-0,1378986;-0,216765847;-0,202364185;-0,139311378;-0,253137811;0,099468192;-0,156399578;0,088017906;0,161192861;-0,048971867;-0,180177187;-0,063257296;-0,1289619;-0,002749941;-0,172724047;-0,105934163;-0,1335889;-0,191445857;-0,185034344;-0,219221659;-0,111511409;-0,036175633;-0,125344488;-0,08726504;0,090865416;-0,157055131;-0,184630138;-0,115945786;-0,239097817;-0,108143032;-0,121616535;-0,027588469;-0,179052691;-0,194700733;-0,055645352;-0,038807869;-0,093502768;0,053959692;0,028064349;0,01660224;-0,003407643;-0,188536362;0,124793918;0,282231118;-0,238614945;0,001378836;-0,15522779;-0,147824541;0,038605474;-0,032531848;-0,165145405;-0,047130408;-0,198729438;-0,12443749;-0,336186893;-0,144358937;-0,176624421;-0,174940638;-0,239439147;-0,214788585;-0,09594742
Risk premium;Industrials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Industrials;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9474;0,5124;-0,5751;-0,6173;-0,5452;-0,5545;-0,6056;-0,276;-0,1026;-0,1054;0,169;0,0973;0,055;0,0454;0,0722;0,1545;0,168;0,1429;0,3485;0,3505;0,4919;0,5462;0,548;0,5201;0,5149;0,5294;0,6113;0,7423;0,7487;0,7559;0,7403;0,7492;0,6851;0,6618;0,6926;0,8873;0,8642;0,9346;0,8229;0,9734;0,9688;0,9549;0,7883;0,7948;0,5434;0,4825;0,5604;0,6554;0,6612;0,6463;0,8525;0,9139;0,8398;0,8602;0,864;0,8403;1,2509;1,2042;1,3249;1,2868;1,244;1,1471;1,1263;1,2412;1,2265;1,3628;1,0909;1,3072;1,245;1,2234;1,0624;1,1423;1,2073;1,0717
VO monthly avg;Industrials; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 187.57 ; 253.59 ; 117.96 ; 59.46 ; 299.10 ; 125.64 ; 90.57 ; 106.27 ; 105.87 ; 44.92 ; 73.49 ; 245.90 ; 40.00 ; 38.48 ; 16.84 ; 29.13 ; 50.55 ; 70.63 ; 45.88 ; 77.19 ; 63.79 ; 37.44 ; 70.70 ; 416.29 ; 188.74 ; 516.45 ; 73.22 ; 35.53 ; 50.92 ; 98.46 ; 64.85 ; 41.80 ; 424.53 ; 22.43 ; 68.88 ; 1327.97 ; 624.01 ; 226.83 ; 200.35 ; 51.99 ; 206.03 ; 166.88 ; 101.88 ; 103.40 ; 45.84 ; 61.19 ; 152.12 ; 138.37 ; 56.83 ; 323.29 ; 205.21 ; 115.44 ; 288.56 ; 214.72 ; 603.59 ; 253.86 ; 329.27 ; 702.97 ; 413.81 ; 237.97 ; 403.56 ; 595.74 ; 531.31 ; 912.20 ; 1065.45 ; 636.57 ; 456.84 ; 1027.43 ; 994.18 ; 887.69 ; 845.80 ; 771.39 ; 300.24 ; 858.97 ; 643.78 ; 691.09 
Total assets;Industrials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;474426;474426;474426;474426;474426;474426;474426;474426;741727;741727;741727;741727;741727;741727;741727;741727;741727;741727;741727;741727;768579;768579;768579;768579;768579;768579;768579;768579;768579;768579;768579;768579;956851;956851;956851;956851;956851;956851;956851;956851;956851;956851;956851;956851;1337759;1337759;1337759;1337759;1337759;1337759;1337759;1337759;1337759;1337759;1337759;1337759;1682432;1682432;1682432;1682432;1682432;1682432;1682432;1682432;1682432;1682432;1682432;1682432;NA;NA;NA;NA;NA;NA;NA;NA
Net sales;Industrials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;701942;701942;701942;701942;701942;701942;701942;701942;976846;976846;976846;976846;976846;976846;976846;976846;976846;976846;976846;976846;1156477;1156477;1156477;1156477;1156477;1156477;1156477;1156477;1156477;1156477;1156477;1156477;1316055;1316055;1316055;1316055;1316055;1316055;1316055;1316055;1316055;1316055;1316055;1316055;1711252;1711252;1711252;1711252;1711252;1711252;1711252;1711252;1711252;1711252;1711252;1711252;1996053;1996053;1996053;1996053;1996053;1996053;1996053;1996053;1996053;1996053;1996053;1996053;NA;NA;NA;NA;NA;NA;NA;NA
common equity;Industrials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;235268;235268;235268;235268;235268;235268;235268;235268;385684;385684;385684;385684;385684;385684;385684;385684;385684;385684;385684;385684;517254;517254;517254;517254;517254;517254;517254;517254;517254;517254;517254;517254;597443;597443;597443;597443;597443;597443;597443;597443;597443;597443;597443;597443;762902;762902;762902;762902;762902;762902;762902;762902;762902;762902;762902;762902;958467;958467;958467;958467;958467;958467;958467;958467;958467;958467;958467;958467;NA;NA;NA;NA;NA;NA;NA;NA
Turnover ratio;Industrials;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0,08%;0,11%;0,05%;0,03%;0,13%;0,05%;0,04%;0,05%;0,05%;0,02%;0,03%;0,10%;0,02%;0,02%;0,01%;0,01%;0,02%;0,03%;0,02%;0,03%;0,03%;0,02%;0,03%;0,17%;0,08%;0,21%;0,03%;0,01%;0,02%;0,04%;0,02%;0,01%;0,14%;0,01%;0,02%;0,44%;0,21%;0,07%;0,07%;0,02%;0,07%;0,05%;0,03%;0,03%;0,02%;0,02%;0,05%;0,05%;0,02%;0,11%;0,07%;0,04%;0,10%;0,07%;0,20%;0,08%;0,11%;0,23%;0,14%;0,08%;0,13%;0,20%;0,18%;0,30%;0,35%;0,21%;0,15%;0,34%;0,33%;0,29%;0,28%;0,25%;0,10%;0,28%;0,21%;0,23%
Return monthly;Industrials;;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0,047419669;-0,025192898;0,056742323;0,317119394;-0,11113395;0,041701996;-0,00806571;-0,072584856;-0,195624196;-0,027;-0,03340185;-0,091866029;0,088514226;-0,139507368;-0,054;-0,121432347;-0,105730185;-0,045408678;-0,142882311;0,211099692;-0,036659878;0,209478506;0,283466861;0,073544433;-0,057088487;0,060544904;0;0,131514959;-0,040455947;0,026387537;0;-0,056446257;-0,059823044;-0,098278259;0,011622391;0,098124267;0,011850112;0,05296476;0,229058116;-0,009130931;-0,036695738;0,028612914;-0,106534917;0,025929368;-0,004982335;0,081209031;-0,061047491;-0,075060533;0,064960248;0,081209031;0,037554732;0,189985392;0,159721749;0,14754484;0,128574357;-0,063297462;0,270250618;0,425545718;-0,089546245;0,149397236;-0,01015579;-0,011707241;0,174812374;0,109713752;-0,022725905;0,098825992;-0,058202738;0,03371611;-0,179351893;0,014565263;-0,033943221;-0,027025738;-0,083329247;-0,068171485;-0,09594742
