Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Financials;1915400;2058100;2058100;2058100;2058100;2058100;2058100;2058100;2058100;2058100;2058100;2058100;2058100;2182300;2182300;2182300;2182300;2182300;2182300;2182300;2182300;2182300;2182300;2182300;2182300;2340100;2340100;2340100;2340100;2340100;2340100;2340100;2340100;2340100;2340100;2340100;2340100;2707700;2707700;2707700;2707700;2707700;2707700;2707700;2707700;2707700;2707700;2707700;2707700;4365200;4365200;4365200;4365200;4365200;4365200;4365200;4365200;4365200;4365200;4365200;4365200;4026900;4026900;4026900;4026900;4026900;4026900;4026900;4026900;4026900;4026900;4026900;4026900;4472700;4472700;4472700;4472700;4472700;4472700;4472700;4472700;4472700;4472700;4472700;4472700;5552700;5552700;5552700;5552700;5552700;5552700;5552700;5552700;5552700;5552700;5552700;5552700;4633900;4633900;4633900;4633900;4633900;4633900;4633900;4633900;4633900;4633900;4633900;4633900;3633900;3633900;3633900;3633900;3633900;3633900;3633900;3633900;3633900;3633900;3633900;3633900;4454300;4454300;4454300;4454300;4454300;4454300;4454300;4454300;4454300;4454300;4454300;4454300;4585500;4585500;4585500;4585500;4585500;4585500;4585500;4585500;4585500;4585500;4585500;4585500;4588500;4588500;4588500;4588500;4588500;4588500;4588500;4588500;4588500;4588500;4588500;4588500
Excess return;Financials;;-0,087544386;-0,156439548;-0,117939139;-0,121261149;-0,134711558;-0,149542224;-0,150108531;-0,049314461;-0,157487193;-0,115195667;-0,015295061;0,000320509;-0,193750104;-0,04155379;-0,18263491;-0,150993444;-0,194343444;-0,102696694;-0,176108164;-0,05655122;-0,222521323;-0,188607584;-0,172892048;-0,234401419;-0,194174191;-0,1773375;-0,179015605;-0,19137643;0,091845181;-0,22617486;-0,173624808;-0,126559439;-0,206380044;-0,136109348;-0,17717002;-0,042725736;-0,094616231;-0,084217251;-0,158848796;-0,12373122;-0,192096415;-0,196566404;-0,116893161;-0,055419874;-0,200420427;-0,169406615;-0,128665452;-0,055349257;-0,105841261;-0,143168485;-0,105441994;-0,14705713;-0,028627073;-0,15762604;-0,152961214;-0,104065592;-0,109802756;-0,14149901;-0,131819133;-0,112183223;-0,048817087;-0,072499952;-0,05601853;-0,086413407;-0,073934768;-0,022968527;-0,078361117;-0,043424783;0,029313711;-0,047282908;-0,136503666;-0,07522463;-0,158304959;-0,158518908;-0,076699921;-0,140916434;-0,100350384;-0,169408939;-0,189816345;0,054113444;-0,183747393;-0,103239243;-0,131966622;-0,188444852;-0,069828581;-0,152000549;-0,061786587;-0,166239777;-0,193508929;-0,112469599;-0,070748875;-0,082687968;-0,119544675;-0,310972746;-0,334446752;-0,272346273;-0,32657224;-0,228371411;-0,016607993;-0,104166638;-0,183109857;-0,050553721;0,013548708;0,032624552;-0,250721895;-0,114479732;-0,150437149;-0,104983227;-0,192521964;-0,133211043;-0,111697166;-0,147883184;-0,267625758;-0,16463664;-0,032731982;-0,20188626;-0,043177723;-0,092871721;-0,129923173;-0,162940553;-0,147063053;-0,0911997;-0,193722229;-0,069810199;-0,133902451;-0,196952165;-0,202295899;-0,217253112;-0,084595437;-0,079242097;-0,148300906;-0,198255997;-0,109766105;-0,138531915;-0,126775384;-0,127376329;-0,062822374;-0,088802113;-0,122246008;-0,00545899;-0,147126612;-0,034244011;-0,049874988;-0,133159911;-0,078484007;-0,226522769;-0,077689924;-0,057648544;-0,049350101;-0,210076231;-0,064388619;-0,183053666;-0,061366459;-0,077015384;-0,172080156;0,019619949
Risk premium;Financials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Financials;0,4694;0,4761;0,4434;0,418;0,4147;0,4233;0,4449;0,4652;0,4907;0,5348;0,5871;0,6811;0,6884;0,6712;0,6773;0,7145;0,7159;0,6642;0,6393;0,6794;0,6938;0,6992;0,6945;0,72;0,7311;0,7338;0,8303;0,8367;0,9646;0,9904;0,9622;0,9416;0,9998;0,9499;0,9295;0,8996;0,9037;0,8708;0,8712;0,863;0,8704;1,0499;1,0556;1,0375;0,999;0,9936;0,9462;0,9454;0,9426;0,9321;0,9802;0,9419;0,6954;0,6922;0,6639;0,6314;0,5931;0,645;0,5815;0,5512;0,5834;0,5436;0,5584;0,5724;0,53;0,5076;0,4454;0,4572;0,4632;0,4681;0,4701;0,4863;0,4996;0,5278;0,5495;0,4033;0,4087;0,4588;0,5517;0,4758;0,4621;0,407;0,4351;0,5642;0,4697;0,3505;0,2736;0,2685;0,2384;0,2322;0,2214;0,1827;0,1775;0,3897;0,3666;0,3233;0,378;0,4198;0,4947;0,5032;0,4622;0,448;0,5403;0,5646;0,573;0,5817;0,5875;0,589;0,6247;0,6786;0,7064;0,7159;0,7692;0,7641;0,8844;1,0559;1,0864;1,0555;1,0278;1,001;0,8721;0,8475;0,8619;0,8617;1,1453;1,1493;1,1174;1,0873;0,9595;0,9499;0,9488;0,9615;0,9398;0,9845;0,9646;0,9606;0,8578;0,8595;0,7435;0,7669;0,6699;0,6961;0,7174;0,7856;0,8049;0,8694;0,8471;0,7651;0,8101;0,8452;0,8141;0,801;0,9398;1,0255;1,0352;1,0262
VO monthly avg;Financials; 152.90 ; 242.68 ; 480.76 ; 889.68 ; 310.16 ; 304.24 ; 733.92 ; 513.95 ; 243.49 ; 390.41 ; 239.20 ; 304.17 ; 337.78 ; 222.71 ; 288.38 ; 403.39 ; 323.71 ; 438.70 ; 462.15 ; 482.89 ; 542.70 ; 399.37 ; 286.72 ; 872.83 ; 607.51 ; 746.88 ; 463.16 ; 448.36 ; 400.58 ; 582.89 ; 411.73 ; 337.15 ; 359.34 ; 779.40 ; 525.13 ; 711.58 ; 385.20 ; 408.87 ; 412.87 ; 358.78 ; 380.20 ; 544.10 ; 543.99 ; 458.54 ; 575.89 ; 367.23 ; 445.70 ; 319.86 ; 191.18 ; 315.73 ; 232.72 ; 266.69 ; 290.34 ; 247.53 ; 419.83 ; 580.48 ; 644.89 ; 472.43 ; 575.32 ; 354.54 ; 376.51 ; 517.84 ; 570.19 ; 663.64 ; 388.45 ; 558.98 ; 932.63 ; 427.37 ; 530.81 ; 590.77 ; 669.58 ; 607.61 ; 456.23 ; 639.85 ; 657.78 ; 980.63 ; 621.37 ; 738.10 ; 689.52 ; 1119.55 ; 765.62 ; 739.46 ; 973.87 ; 1168.30 ; 677.57 ; 1848.41 ; 1274.64 ; 997.27 ; 634.42 ; 1291.37 ; 765.34 ; 1094.50 ; 2673.96 ; 1662.51 ; 1308.03 ; 1028.29 ; 803.47 ; 2378.49 ; 1852.50 ; 2441.38 ; 1354.42 ; 2378.73 ; 1934.51 ; 1714.60 ; 1586.89 ; 2951.54 ; 2603.79 ; 1637.00 ; 1047.95 ; 1261.21 ; 1566.11 ; 1976.69 ; 1101.56 ; 2227.12 ; 1216.90 ; 1684.39 ; 1516.76 ; 941.81 ; 1364.18 ; 2096.00 ; 1544.15 ; 1405.13 ; 2039.94 ; 1461.32 ; 1467.19 ; 767.70 ; 1182.34 ; 998.81 ; 1252.50 ; 1440.39 ; 746.21 ; 809.06 ; 961.40 ; 969.13 ; 788.88 ; 950.44 ; 469.72 ; 647.73 ; 1160.53 ; 634.22 ; 753.91 ; 992.08 ; 592.19 ; 631.39 ; 461.79 ; 580.83 ; 732.61 ; 1012.09 ; 806.86 ; 980.68 ; 1339.26 ; 753.39 ; 981.70 ; 739.20 ; 825.61 ; 1003.00 ; 656.56 
Total assets;Financials;4266400;4438900;4438900;4438900;4438900;4438900;4438900;4438900;4438900;4438900;4438900;4438900;4438900;4840200;4840200;4840200;4840200;4840200;4840200;4840200;4840200;4840200;4840200;4840200;4840200;5201700;5201700;5201700;5201700;5201700;5201700;5201700;5201700;5201700;5201700;5201700;5201700;5951700;5951700;5951700;5951700;5951700;5951700;5951700;5951700;5951700;5951700;5951700;5951700;7289200;7289200;7289200;7289200;7289200;7289200;7289200;7289200;7289200;7289200;7289200;7289200;8750200;8750200;8750200;8750200;8750200;8750200;8750200;8750200;8750200;8750200;8750200;8750200;9172500;9172500;9172500;9172500;9172500;9172500;9172500;9172500;9172500;9172500;9172500;9172500;7530900;7530900;7530900;7530900;7530900;7530900;7530900;7530900;7530900;7530900;7530900;7530900;7048300;7048300;7048300;7048300;7048300;7048300;7048300;7048300;7048300;7048300;7048300;7048300;5927200;5927200;5927200;5927200;5927200;5927200;5927200;5927200;5927200;5927200;5927200;5927200;7399900;7399900;7399900;7399900;7399900;7399900;7399900;7399900;7399900;7399900;7399900;7399900;7591700;7591700;7591700;7591700;7591700;7591700;7591700;7591700;7591700;7591700;7591700;7591700;8209600;8209600;8209600;8209600;8209600;8209600;8209600;8209600;8209600;8209600;8209600;8209600
Net sales;Financials;324200;314700;314700;314700;314700;314700;314700;314700;314700;314700;314700;314700;314700;336400;336400;336400;336400;336400;336400;336400;336400;336400;336400;336400;336400;361200;361200;361200;361200;361200;361200;361200;361200;361200;361200;361200;361200;374900;374900;374900;374900;374900;374900;374900;374900;374900;374900;374900;374900;431300;431300;431300;431300;431300;431300;431300;431300;431300;431300;431300;431300;527900;527900;527900;527900;527900;527900;527900;527900;527900;527900;527900;527900;548700;548700;548700;548700;548700;548700;548700;548700;548700;548700;548700;548700;607900;607900;607900;607900;607900;607900;607900;607900;607900;607900;607900;607900;572600;572600;572600;572600;572600;572600;572600;572600;572600;572600;572600;572600;420300;420300;420300;420300;420300;420300;420300;420300;420300;420300;420300;420300;524400;524400;524400;524400;524400;524400;524400;524400;524400;524400;524400;524400;532000;532000;532000;532000;532000;532000;532000;532000;532000;532000;532000;532000;369500;369500;369500;369500;369500;369500;369500;369500;369500;369500;369500;369500
common equity;Financials;2337100;2380800;2380800;2380800;2380800;2380800;2380800;2380800;2380800;2380800;2380800;2380800;2380800;2657900;2657900;2657900;2657900;2657900;2657900;2657900;2657900;2657900;2657900;2657900;2657900;2861600;2861600;2861600;2861600;2861600;2861600;2861600;2861600;2861600;2861600;2861600;2861600;3244000;3244000;3244000;3244000;3244000;3244000;3244000;3244000;3244000;3244000;3244000;3244000;2924000;2924000;2924000;2924000;2924000;2924000;2924000;2924000;2924000;2924000;2924000;2924000;4723300;4723300;4723300;4723300;4723300;4723300;4723300;4723300;4723300;4723300;4723300;4723300;4497900;4497900;4497900;4497900;4497900;4497900;4497900;4497900;4497900;4497900;4497900;4497900;1950400;1950400;1950400;1950400;1950400;1950400;1950400;1950400;1950400;1950400;1950400;1950400;2414400;2414400;2414400;2414400;2414400;2414400;2414400;2414400;2414400;2414400;2414400;2414400;2273400;2273400;2273400;2273400;2273400;2273400;2273400;2273400;2273400;2273400;2273400;2273400;2922100;2922100;2922100;2922100;2922100;2922100;2922100;2922100;2922100;2922100;2922100;2922100;2977000;2977000;2977000;2977000;2977000;2977000;2977000;2977000;2977000;2977000;2977000;2977000;3518800;3518800;3518800;3518800;3518800;3518800;3518800;3518800;3518800;3518800;3518800;3518800
Turnover ratio;Financials;0,05%;0,08%;0,16%;0,30%;0,10%;0,11%;0,26%;0,18%;0,09%;0,14%;0,09%;0,11%;0,12%;0,08%;0,10%;0,14%;0,11%;0,15%;0,16%;0,17%;0,19%;0,14%;0,10%;0,28%;0,19%;0,24%;0,15%;0,14%;0,13%;0,19%;0,13%;0,11%;0,12%;0,25%;0,17%;0,23%;0,12%;0,12%;0,12%;0,11%;0,11%;0,16%;0,16%;0,14%;0,17%;0,11%;0,13%;0,10%;0,06%;0,10%;0,07%;0,08%;0,09%;0,08%;0,13%;0,18%;0,20%;0,15%;0,18%;0,11%;0,12%;0,15%;0,17%;0,20%;0,12%;0,17%;0,28%;0,13%;0,16%;0,17%;0,20%;0,17%;0,13%;0,18%;0,18%;0,27%;0,17%;0,20%;0,19%;0,31%;0,21%;0,20%;0,27%;0,32%;0,19%;0,51%;0,35%;0,28%;0,18%;0,36%;0,21%;0,30%;0,74%;0,46%;0,36%;0,28%;0,22%;0,65%;0,51%;0,67%;0,29%;0,42%;0,34%;0,30%;0,28%;0,52%;0,42%;0,26%;0,17%;0,20%;0,25%;0,32%;0,18%;0,36%;0,20%;0,27%;0,24%;0,15%;0,22%;0,33%;0,22%;0,16%;0,24%;0,17%;0,17%;0,09%;0,14%;0,12%;0,15%;0,17%;0,09%;0,09%;0,11%;0,11%;0,09%;0,11%;0,05%;0,07%;0,13%;0,07%;0,09%;0,11%;0,07%;0,07%;0,05%;0,07%;0,08%;0,11%;0,08%;0,10%;0,14%;0,08%;0,10%;0,08%;0,09%;0,10%;0,07%
Return monthly;Financials;;0,066049914;-0,011705348;0,030494861;0,025364951;0,009856342;-0,013013524;-0,014800931;0,088499639;-0,016694793;0,027091633;0,130214239;0,159089709;-0,029564504;0,12561611;-0,00542141;0,011908256;-0,036298844;0,054779206;-0,022705964;0,09985818;-0,066671723;-0,032954084;-0,022732048;-0,083842119;-0,048244791;-0,0265286;-0,027403505;-0,03270663;0,250040381;-0,07145626;-0,019204008;0,032727961;-0,052436344;0,013049152;-0,02819522;0,105007364;0,056244169;0,065068349;-0,007779796;0,03120398;-0,023852715;-0,025463604;0,053069339;0,112117126;-0,033223627;-0,005196015;0,017794748;0,084834543;0,033081039;-0,004515885;0,040097706;-0,01994693;0,099181527;-0,03590034;-0,034183014;0,014199708;0,011932244;-0,02426451;-0,019493533;-0,000929023;0,059729713;0,035479248;0,05474267;0,021076593;0,035644032;0,090791673;0,036242483;0,072436817;0,139204011;0,062683392;-0,027266766;0,03440017;-0,048503559;-0,045550408;0,025457979;-0,035268334;0,013554016;-0,048951839;-0,073790945;0,165775744;-0,077456393;0,009722057;-0,010672022;-0,072703752;0,042002919;-0,042513749;0,049628913;-0,050520577;-0,071880329;-0,006721399;0,031961225;0,016994532;-0,003993575;-0,204376946;-0,240828852;-0,169182273;-0,21452484;-0,111155311;0,099993607;0,013251962;-0,065335857;0,072235179;0,136168508;0,156473552;-0,124324795;0,013182768;-0,022880149;0,024822873;-0,062270164;-0,003607843;0,018104534;-0,012473584;-0,131687458;-0,02686944;0,113039718;-0,05394306;0,101718777;0,054629679;0,014489827;-0,021648253;-0,007070553;0,05;-0,055035129;0,085243701;0,022503449;-0,044155965;-0,055395999;-0,074104612;0,053598263;0,059482303;-0,008426406;-0,061698597;0,030707395;0,000987885;0,010492416;0,004215071;0,063626126;0,024688387;-0,006481308;0,10234471;-0,036322312;0,077652189;0,063467812;-0,017201211;0,040338193;-0,108005469;0,030611376;0,065187756;0,079697499;-0,080387931;0,067924381;-0,048096266;0,079190041;0,068252216;-0,028329556;0,019619949
