Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Technology;51471;51471;51471;51471;51471;51471;51471;51471;51471;51471;23920;23920;23920;23920;23920;23920;23920;23920;23920;23920;23920;23920;20906;20906;20906;20906;20906;20906;20906;20906;20906;20906;20906;20906;27140;27140;27140;27140;27140;27140;27140;27140;27140;27140;27140;27140;42904;42904;42904;42904;42904;42904;42904;42904;42904;42904;42904;42904;64491;64491;64491;64491;64491;64491;64491;64491;64491;64491;64491;64491;68096;68096;68096;68096;68096;68096;68096;68096;68096;68096;68096;68096;80674;80674;80674;80674;80674;80674;80674;80674;80674;80674;80674;80674;74481;74481;74481;74481;74481;74481;74481;74481;74481;74481;74481;74481;79208;79208;79208;79208;79208;79208;79208;79208;79208;79208;79208;79208;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excess return;Technology;;-0,199943438;-0,1748608;-0,6227186;-0,067103786;-0,151529374;-0,4029331;-0,177827143;-0,230644667;-0,306253943;-0,196315333;0,231334719;-0,264502176;-0,13276413;-0,277004177;-0,287832133;-0,026424636;-0,1713492;-0,259120177;-0,255471733;-0,264397791;-0,0914925;-0,064878789;-0,093727667;-0,286540369;-0,457195211;0,017542705;-0,306934592;-0,265038639;0,087966184;-0,13729315;-0,182890284;-0,1615239;-0,094467453;0,002862416;-0,1542479;-0,098434751;-0,127518753;-0,118999153;-0,1614136;-0,081218603;-0,246447623;-0,156540814;-0,012682912;-0,1201511;-0,109447904;-0,042829412;-0,194640628;0,029835304;-0,28981737;-0,095212593;-0,193577629;-0,1162112;-0,042086;-0,087432286;-0,157183045;0,174637286;-0,089118625;-0,132417091;0,019000938;-0,059980132;-0,000833984;0,002742981;-0,109914821;-0,003603164;-0,0970985;-0,200748236;-0,032770504;-0,06978572;0,059693557;-0,18477387;-0,040349421;-0,147610872;0,037809595;0,000375458;-0,061032885;0,01159164;0,201309127;-0,205090062;-0,041236797;-0,140953368;0,064677828;-0,209831051;-0,03746642;-0,181066;-0,367897254;-0,070553785;-0,209135374;-0,072394547;-0,163851769;-0,344221773;-0,186611461;-0,126889346;-0,30337185;-0,313205304;-0,034520874;0,024698007;-0,311431702;-0,296086875;-0,111583405;-0,182947239;-0,147258;-0,058331369;-0,004827444;-0,235833155;0,195983858;-0,198077174;-0,087858578;-0,097887183;-0,047464066;-0,213745451;-0,110476308;-0,197022457;-0,116643116;-0,139128256;-0,149494808;-0,1201035;-0,047260429;-0,108215792;-0,054174257;-0,076937757;-0,130009405;-0,139744464;-0,190413595;-0,006163001;-0,046167597;-0,063786793;-0,063023922;-0,096465858;-0,134292399;-0,069364427;-0,057834829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Risk premium;Technology;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Technology;0,6042;0,6013;0,9216;0,9622;0,9665;0,9408;0,9037;0,8799;0,906;0,8936;1,114;1,1162;1,1642;1,2133;1,1997;1,1476;1,147;1,1234;1,0317;0,9768;0,9649;0,9475;1,0173;1,147;1,2192;1,1386;0,9322;0,9407;1,0634;1,0577;1,032;1,0545;1,0353;1,0586;0,835;0,9833;0,9882;1,0431;1,0529;1,0272;1,0259;1,0678;1,0886;1,144;1,1397;1,1375;1,0041;1,0026;0,8308;0,9444;0,8535;0,7707;0,5224;0,522;0,4887;0,5195;0,479;0,4186;0,3921;0,3925;0,431;0,3579;0,3073;0,3473;0,3348;0,3095;0,2908;0,2908;0,2613;0,3364;0,3354;0,3538;0,2866;0,2885;0,1855;-0,0173;-0,1028;0,0639;0,1943;0,2406;0,328;0,1218;0,1368;0,1489;0,6412;0,7518;0,9253;0,9406;0,9337;1,1276;1,0539;1,0603;1,0769;1,103;1,1067;1,1487;1,1817;1,1805;1,0666;1,0588;0,9456;0,916;0,9596;0,9437;0,9607;0,9254;0,9483;0,952;0,8647;0,8805;0,8209;0,8074;0,7487;0,7483;0,7167;0,6334;0,6445;0,4977;0,4972;0,4981;0,2011;0,2595;0,3095;0,3039;0,3683;0,3622;0,1578;0,1966;0,3047;0,3758;0,3771;;;;;;;;;;;;;;;;;;;;;;;;;
VO monthly avg;Technology; 0.30 ; 36.69 ; 31.53 ; 66.87 ; 75.73 ; 17.88 ; 100.73 ; 64.26 ; 288.70 ; 614.03 ; 817.85 ; 243.92 ; 348.00 ; 457.31 ; 856.87 ; 335.32 ; 269.56 ; 324.39 ; 381.48 ; 101.32 ; 79.31 ; 138.82 ; 20.86 ; 215.75 ; 89.16 ; 99.20 ; 50.89 ; 441.72 ; 118.81 ; 23.68 ; 259.87 ; 35.70 ; 12.50 ; 87.71 ; 71.36 ; 128.18 ; 1004.38 ; 24.01 ; 85.43 ; 39.38 ; 25.54 ; 31.31 ; 25.24 ; 335.54 ; 12.63 ; 34.58 ; 26.15 ; 23.17 ; 322.34 ; 5.52 ; 57.92 ; 24.45 ; 75.14 ; 137.94 ; 70.50 ; 154.36 ; 313.25 ; 146.03 ; 321.29 ; 482.22 ; 42.28 ; 60.84 ; 70.93 ; 482.32 ; 178.61 ; 284.02 ; 664.86 ; 406.04 ; 277.39 ; 162.46 ; 104.24 ; 104.55 ; 118.01 ; 318.12 ; 181.06 ; 110.95 ; 47.09 ; 147.89 ; 50.48 ; 97.87 ; 93.30 ; 53.48 ; 123.16 ; 105.17 ; 122.37 ; 100.43 ; 30.05 ; 89.11 ; 58.16 ; 96.59 ; 156.62 ; 230.55 ; 193.63 ; 117.45 ; 32.11 ; 36.91 ; 43.05 ; 70.77 ; 67.60 ; 53.78 ; 142.00 ; 309.01 ; 348.47 ; 329.79 ; 21.90 ; 55.27 ; 94.27 ; 326.79 ; 134.09 ; 273.13 ; 83.51 ; 454.85 ; 190.20 ; 828.82 ; 311.39 ; 245.62 ; 171.74 ; 509.71 ; 61.83 ; 575.24 ; 47.50 ; 91.41 ; 241.86 ; 173.57 ; 68.42 ; 366.01 ; 62.25 ; 41.52 ; 39.28 ; 538.40 ; 84.52 ; 740.54 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 
Total assets;Technology;221531;221531;221531;221531;221531;221531;221531;221531;221531;221531;175388;175388;175388;175388;175388;175388;175388;175388;175388;175388;175388;175388;196005;196005;196005;196005;196005;196005;196005;196005;196005;196005;196005;196005;204451;204451;204451;204451;204451;204451;204451;204451;204451;204451;204451;204451;237954;237954;237954;237954;237954;237954;237954;237954;237954;237954;237954;237954;261968;261968;261968;261968;261968;261968;261968;261968;261968;261968;261968;261968;308535;308535;308535;308535;308535;308535;308535;308535;308535;308535;308535;308535;295970;295970;295970;295970;295970;295970;295970;295970;295970;295970;295970;295970;313405;313405;313405;313405;313405;313405;313405;313405;313405;313405;313405;313405;342675;342675;342675;342675;342675;342675;342675;342675;342675;342675;342675;342675;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Net sales;Technology;455737;455737;455737;455737;455737;455737;455737;455737;455737;455737;445430;445430;445430;445430;445430;445430;445430;445430;445430;445430;445430;445430;344927;344927;344927;344927;344927;344927;344927;344927;344927;344927;344927;344927;365934;365934;365934;365934;365934;365934;365934;365934;365934;365934;365934;365934;533444;533444;533444;533444;533444;533444;533444;533444;533444;533444;533444;533444;635404;635404;635404;635404;635404;635404;635404;635404;635404;635404;635404;635404;792265;792265;792265;792265;792265;792265;792265;792265;792265;792265;792265;792265;916348;916348;916348;916348;916348;916348;916348;916348;916348;916348;916348;916348;926953;926953;926953;926953;926953;926953;926953;926953;926953;926953;926953;926953;1021219;1021219;1021219;1021219;1021219;1021219;1021219;1021219;1021219;1021219;1021219;1021219;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
common equity;Technology;158842;158842;158842;158842;158842;158842;158842;158842;158842;158842;151468;151468;151468;151468;151468;151468;151468;151468;151468;151468;151468;151468;175099;175099;175099;175099;175099;175099;175099;175099;175099;175099;175099;175099;177311;177311;177311;177311;177311;177311;177311;177311;177311;177311;177311;177311;195050;195050;195050;195050;195050;195050;195050;195050;195050;195050;195050;195050;197477;197477;197477;197477;197477;197477;197477;197477;197477;197477;197477;197477;240439;240439;240439;240439;240439;240439;240439;240439;240439;240439;240439;240439;215296;215296;215296;215296;215296;215296;215296;215296;215296;215296;215296;215296;238924;238924;238924;238924;238924;238924;238924;238924;238924;238924;238924;238924;263085;263085;263085;263085;263085;263085;263085;263085;263085;263085;263085;263085;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turnover ratio;Technology;0,00%;0,01%;0,01%;0,02%;0,02%;0,00%;0,02%;0,02%;0,07%;0,14%;0,21%;0,06%;0,09%;0,12%;0,22%;0,09%;0,07%;0,09%;0,10%;0,03%;0,02%;0,04%;0,01%;0,06%;0,02%;0,03%;0,01%;0,12%;0,03%;0,01%;0,07%;0,01%;0,00%;0,02%;0,02%;0,03%;0,25%;0,01%;0,02%;0,01%;0,01%;0,01%;0,01%;0,08%;0,00%;0,01%;0,01%;0,01%;0,08%;0,00%;0,01%;0,01%;0,02%;0,03%;0,02%;0,04%;0,08%;0,04%;0,08%;0,12%;0,01%;0,02%;0,02%;0,12%;0,04%;0,07%;0,17%;0,10%;0,07%;0,04%;0,03%;0,03%;0,03%;0,08%;0,05%;0,03%;0,01%;0,04%;0,01%;0,02%;0,02%;0,01%;0,03%;0,03%;0,03%;0,02%;0,01%;0,02%;0,01%;0,02%;0,04%;0,06%;0,05%;0,03%;0,01%;0,01%;0,01%;0,02%;0,02%;0,02%;0,04%;0,09%;0,10%;0,09%;0,01%;0,02%;0,03%;0,09%;0,04%;0,08%;0,02%;0,13%;0,05%;0,24%;0,09%;0,07%;0,05%;0,15%;0,02%;0,16%;0,01%;0,03%;0,07%;0,05%;0,02%;0,10%;0,02%;0,01%;0,01%;0,15%;0,02%;0,21%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Return monthly;Technology;;-0,038461538;0;-0,44;0,114285714;0,025641026;-0,2375;-0,016393443;-0,066666667;-0,142857143;-0,020833333;0,404255319;-0,075757576;0,06557377;-0,076923077;-0,083333333;0,163636364;0,015625;-0,076923077;-0,083333333;-0,090909091;0,08;0,111111111;0,083333333;-0,105230769;-0,285763411;0,174771305;-0,148770492;-0,100144439;0,250401284;0,02182285;-0,021356784;0;0,066324347;0,146067416;0;0,054621849;0,034196547;0,041733547;0;0,083513097;-0,077076223;0,016640986;0,163989088;0,05625;0,066814596;0,125028888;-0,044576828;0,162975704;-0,15012017;0,035457907;-0,058823529;0;0,075;0,023255814;-0,045454545;0,285714286;0,018353175;-0,027114791;0,121328438;0,041672868;0,096013716;0,094902881;-0,013334921;0,091589236;0;-0,096727836;0,071349896;0,03335618;0,161286757;-0,08329367;0,060539979;-0,051405072;0,132535095;0,090411958;0,014627215;0,08501524;0,290334827;-0,107149162;0,059971003;-0,037739368;0,153001228;-0,115662651;0,05766428;-0,0545204;-0,230783854;0,079990115;-0,055377574;0,087128553;0,014187031;-0,186026073;-0,028612561;0,029455354;-0,14288285;-0,159983204;0,111097226;0,178495107;-0,151460202;-0,142841075;0,040020995;-0,035074439;0;0,090873431;0,141675656;-0,087559055;0,344034058;-0,047684274;0,062567422;0,047038917;0,095507434;-0,076928751;0,025089892;-0,062904357;0,018299784;-0,011926156;-0,030340608;0;0,062494671;0,005857808;0,058556043;0,022081543;-0,027060905;-0,033345964;-0,086867895;0,099939899;0,060651003;0,028554607;0,027761878;0,005430242;-0,032266999;0,033342873;0,021465171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
