Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Industrials;175948;113437;113437;113437;113437;113437;113437;113437;113437;113437;113437;113437;113437;191134;191134;191134;191134;191134;191134;191134;191134;191134;191134;191134;191134;196056;196056;196056;196056;196056;196056;196056;196056;196056;196056;196056;196056;238124;238124;238124;238124;238124;238124;238124;238124;238124;238124;238124;238124;280627;280627;280627;280627;280627;280627;280627;280627;280627;280627;280627;280627;322418;322418;322418;322418;322418;322418;322418;322418;322418;322418;322418;322418;NA;NA;538719;538719;538719;538719;538719;538719;538719;538719;538719;538719;538719;538719;756919;756919;756919;756919;756919;756919;756919;756919;756919;756919;756919;756919;617822;617822;617822;617822;617822;617822;617822;617822;617822;617822;617822;617822;731410;731410;731410;731410;731410;731410;731410;731410;731410;731410;731410;731410;1341678;1341678;1341678;1341678;1341678;1341678;1341678;1341678;1341678;1341678;1341678;1341678;2154808;2154808;2154808;2154808;2154808;2154808;2154808;2154808;2154808;2154808;2154808;2154808;2496280;2496280;2496280;2496280;2496280;2496280;2496280;2496280;2496280;2496280
Excess return;Industrials;;-0,221484164;-0,290145014;-0,276435212;-0,183483176;-0,053936995;-0,094786588;-0,196533613;-0,102708404;-0,265795698;-0,223363088;-0,30433522;-0,232917516;-0,204101688;-0,213537426;-0,115259058;-0,139032811;-0,046336012;-0,196751069;-0,204139561;-0,447956696;-0,169831194;-0,108467418;-0,1238323;-0,11319007;-0,043733976;-0,072420481;-0,1094588;-0,078536288;-0,014504397;-0,013342489;-0,17370483;-0,002079659;-0,087480763;0,0565219;-0,023613704;-0,0679665;-0,110973568;0,040716812;-0,093312316;-0,165879945;-0,197500272;-0,068951069;-0,117569252;-0,004853975;-0,070065454;-0,117661303;-0,117285726;-0,101246599;0,029590108;-0,090651012;-0,177236809;-0,110799129;-0,183493931;-0,041224882;-0,029798419;0,048059802;-0,108946;-0,16605258;-0,102121772;0,023366191;-0,1108967;-0,134457972;0,057115122;-0,104084098;-0,169040203;-0,264591935;-0,092215429;-0,073085312;-0,130143314;-0,002958615;-0,039781805;-0,029571704;-0,13220369;0,025001956;-0,118247395;-0,027693168;-0,126730097;-0,163645251;-0,127236695;-0,153309506;-0,102166033;-0,005830242;-0,279861185;-0,090034046;-0,282902055;-0,131864494;-0,31508547;-0,102861265;-0,11651016;-0,31843642;-0,138551857;-0,071939923;-0,193638883;-0,290301376;-0,104257593;-0,19656154;-0,122040854;-0,231658883;-0,299233346;0,101230311;-0,039508304;-0,089742886;-0,035377103;-0,139298834;-0,006113868;-0,156083107;-0,218157861;-0,086375761;-0,090162724;-0,076971219;-0,169966289;-0,077913733;-0,101300388;-0,122751995;-0,063288828;-0,045136123;-0,182428392;0,020184588;-0,00722935;-0,187560075;-0,108921404;-0,10585849;-0,065820275;-0,110626277;-0,065884402;-0,042836351;-0,082854882;-0,080593715;-0,175242988;-0,051467905;-0,088665626;-0,0930811;-0,05298277;-0,021295361;-0,144038806;-0,115251777;-0,086261111;-0,090972205;-0,093699539;-0,086800491;-0,043919091;-0,019045965;-0,136741963;-0,072307324;-0,071751765;-0,084899028;-0,150611804;-0,179273107;-0,054936462;-0,17600643;-0,066562745;-0,059952985;-0,144095386;-0,068394942;-0,199037898;0,01875029
Risk premium;Industrials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Industrials;1,0717;1,0417;1,0055;0,9635;0,9674;0,9352;0,9204;0,934;0,9147;0,7795;0,653;0,6889;0,6867;0,7106;0,7078;0,654;0,651;0,6547;0,6278;0,4927;0,4714;0,464;0,4162;0,3021;0,265;0,2454;0,1739;0,1676;0,2596;0,2421;0,2156;0,2251;0,1528;0,2637;0,3767;0,4815;0,473;0,5067;0,5008;0,5131;0,4968;0,3805;0,3743;0,5789;0,5839;0,5856;0,5344;0,5347;0,5629;0,5584;0,5874;0,6033;0,4788;0,4785;0,5734;0,5418;0,4764;0,442;0,4627;0,5404;0,543;0,5809;0,648;0,6095;0,6191;0,6667;0,5693;0,5762;0,5637;0,6207;0,6188;0,6288;0,6719;0,6453;0,5887;0,8;0,8053;0,8317;0,8603;0,8662;1,0137;1,0029;1,1473;1,097;1,2223;0,9786;0,9989;1,0233;1,0343;1,2012;1,0297;1,0301;0,8734;0,9297;0,9185;0,889;0,8714;0,8606;0,6477;0,6921;0,7264;0,7174;0,7059;0,7029;0,6579;0,642;0,6121;0,642;0,5967;0,6137;0,5451;0,5304;0,4642;0,4651;0,4991;0,4587;0,4;0,2366;0,2249;0,1789;-0,0373;0,1251;0,1265;0,146;0,0111;0,0064;-0,0508;-0,0449;0,0837;0,2007;0,1987;0,1914;0,2497;0,3116;0,3388;0,3393;0,3496;0,3392;0,3452;0,3406;0,5201;0,5329;0,5191;0,711;0,7229;0,7062;0,7231;0,7878;0,8212;0,8538;0,8672;0,872;0,7798;0,8459;0,8846;0,9017
VO monthly avg;Industrials; 62.80 ; 56.44 ; 40.77 ; 71.74 ; 40.72 ; 128.58 ; 77.56 ; 56.23 ; 90.16 ; 71.74 ; 49.44 ; 219.45 ; 91.89 ; 48.53 ; 37.90 ; 64.13 ; 19.01 ; 42.41 ; 147.25 ; 8.06 ; 158.81 ; 47.84 ; 9.69 ; 113.69 ; 13.64 ; 12.68 ; 18.04 ; 144.87 ; 6.75 ; 25.72 ; 10.79 ; 18.57 ; 22.86 ; 66.41 ; 6.71 ; 10.75 ; 16.70 ; 12.90 ; 5.82 ; 43.21 ; 197.77 ; 67.78 ; 26.57 ; 45.56 ; 58.83 ; 26.33 ; 77.72 ; 192.17 ; 77.79 ; 60.77 ; 14.28 ; 25.25 ; 22.07 ; 21.95 ; 35.53 ; 77.97 ; 180.80 ; 149.82 ; 37.10 ; 60.83 ; 61.16 ; 54.46 ; 119.53 ; 172.62 ; 19.01 ; 63.00 ; 73.93 ; 86.27 ; 108.10 ; 101.59 ; 30.25 ; 65.97 ; 26.81 ; 56.61 ; 121.33 ; 79.64 ; 37.71 ; 38.52 ; 101.23 ; 103.00 ; 71.23 ; 47.15 ; 56.78 ; 196.83 ; 62.95 ; 63.35 ; 61.71 ; 44.15 ; 57.82 ; 69.24 ; 59.59 ; 81.07 ; 42.47 ; 36.46 ; 58.01 ; 42.34 ; 30.07 ; 44.12 ; 78.24 ; 131.70 ; 59.80 ; 36.22 ; 67.57 ; 45.38 ; 98.92 ; 170.70 ; 121.73 ; 169.38 ; 96.77 ; 106.74 ; 77.90 ; 117.01 ; 40.81 ; 84.61 ; 52.17 ; 62.89 ; 46.50 ; 54.47 ; 29.98 ; 25.95 ; 52.15 ; 126.71 ; 66.89 ; 39.15 ; 16.04 ; 43.61 ; 75.04 ; 33.13 ; 30.92 ; 65.64 ; 56.92 ; 111.47 ; 105.65 ; 146.07 ; 66.11 ; 86.40 ; 92.06 ; 89.39 ; 155.15 ; 125.63 ; 90.29 ; 135.20 ; 97.76 ; 60.95 ; 46.60 ; 129.53 ; 41.55 ; 69.34 ; 110.92 ; 100.14 ; 183.62 ; 62.13 ; 80.65 ; 139.97 ; 72.40 ; 80.06 ; 106.29 
Total assets;Industrials;408728;391660;391660;391660;391660;391660;391660;391660;391660;391660;391660;391660;391660;414095;414095;414095;414095;414095;414095;414095;414095;414095;414095;414095;414095;390812;390812;390812;390812;390812;390812;390812;390812;390812;390812;390812;390812;461916;461916;461916;461916;461916;461916;461916;461916;461916;461916;461916;461916;532789;532789;532789;532789;532789;532789;532789;532789;532789;532789;532789;532789;633203;633203;633203;633203;633203;633203;633203;633203;633203;633203;633203;633203;NA;NA;1360695;1360695;1360695;1360695;1360695;1360695;1360695;1360695;1360695;1360695;1360695;1360695;1694252;1694252;1694252;1694252;1694252;1694252;1694252;1694252;1694252;1694252;1694252;1694252;1658127;1658127;1658127;1658127;1658127;1658127;1658127;1658127;1658127;1658127;1658127;1658127;1876920;1876920;1876920;1876920;1876920;1876920;1876920;1876920;1876920;1876920;1876920;1876920;2782665;2782665;2782665;2782665;2782665;2782665;2782665;2782665;2782665;2782665;2782665;2782665;4050469;4050469;4050469;4050469;4050469;4050469;4050469;4050469;4050469;4050469;4050469;4050469;4593860;4593860;4593860;4593860;4593860;4593860;4593860;4593860;4593860;4593860
Net sales;Industrials;963443;1211287;1211287;1211287;1211287;1211287;1211287;1211287;1211287;1211287;1211287;1211287;1211287;1523381;1523381;1523381;1523381;1523381;1523381;1523381;1523381;1523381;1523381;1523381;1523381;1667235;1667235;1667235;1667235;1667235;1667235;1667235;1667235;1667235;1667235;1667235;1667235;2005659;2005659;2005659;2005659;2005659;2005659;2005659;2005659;2005659;2005659;2005659;2005659;2359652;2359652;2359652;2359652;2359652;2359652;2359652;2359652;2359652;2359652;2359652;2359652;2586280;2586280;2586280;2586280;2586280;2586280;2586280;2586280;2586280;2586280;2586280;2586280;NA;NA;3797220;3797220;3797220;3797220;3797220;3797220;3797220;3797220;3797220;3797220;3797220;3797220;4837123;4837123;4837123;4837123;4837123;4837123;4837123;4837123;4837123;4837123;4837123;4837123;5050358;5050358;5050358;5050358;5050358;5050358;5050358;5050358;5050358;5050358;5050358;5050358;5384566;5384566;5384566;5384566;5384566;5384566;5384566;5384566;5384566;5384566;5384566;5384566;6423229;6423229;6423229;6423229;6423229;6423229;6423229;6423229;6423229;6423229;6423229;6423229;8616842;8616842;8616842;8616842;8616842;8616842;8616842;8616842;8616842;8616842;8616842;8616842;11802415;11802415;11802415;11802415;11802415;11802415;11802415;11802415;11802415;11802415
common equity;Industrials;232780;276942;276942;276942;276942;276942;276942;276942;276942;276942;276942;276942;276942;222567;222567;222567;222567;222567;222567;222567;222567;222567;222567;222567;222567;194153;194153;194153;194153;194153;194153;194153;194153;194153;194153;194153;194153;219966;219966;219966;219966;219966;219966;219966;219966;219966;219966;219966;219966;249706;249706;249706;249706;249706;249706;249706;249706;249706;249706;249706;249706;310703;310703;310703;310703;310703;310703;310703;310703;310703;310703;310703;310703;NA;NA;667750;667750;667750;667750;667750;667750;667750;667750;667750;667750;667750;667750;803481;803481;803481;803481;803481;803481;803481;803481;803481;803481;803481;803481;907522;907522;907522;907522;907522;907522;907522;907522;907522;907522;907522;907522;1012890;1012890;1012890;1012890;1012890;1012890;1012890;1012890;1012890;1012890;1012890;1012890;1438764;1438764;1438764;1438764;1438764;1438764;1438764;1438764;1438764;1438764;1438764;1438764;1888652;1888652;1888652;1888652;1888652;1888652;1888652;1888652;1888652;1888652;1888652;1888652;2099675;2099675;2099675;2099675;2099675;2099675;2099675;2099675;2099675;2099675
Turnover ratio;Industrials;0,15%;0,14%;0,10%;0,17%;0,10%;0,31%;0,19%;0,13%;0,21%;0,17%;0,12%;0,52%;0,22%;0,11%;0,09%;0,15%;0,04%;0,10%;0,35%;0,02%;0,37%;0,11%;0,02%;0,27%;0,03%;0,03%;0,04%;0,34%;0,02%;0,06%;0,03%;0,05%;0,06%;0,16%;0,02%;0,03%;0,04%;0,03%;0,01%;0,11%;0,49%;0,17%;0,07%;0,11%;0,14%;0,06%;0,19%;0,47%;0,19%;0,15%;0,03%;0,06%;0,05%;0,05%;0,09%;0,19%;0,43%;0,35%;0,09%;0,14%;0,14%;0,13%;0,28%;0,40%;0,04%;0,15%;0,17%;0,20%;0,25%;0,23%;0,07%;0,15%;0,06%;0,13%;0,28%;0,18%;0,09%;0,09%;0,20%;0,20%;0,14%;0,09%;0,11%;0,39%;0,12%;0,12%;0,12%;0,09%;0,11%;0,14%;0,12%;0,16%;0,08%;0,07%;0,11%;0,08%;0,06%;0,08%;0,14%;0,24%;0,11%;0,07%;0,12%;0,08%;0,18%;0,31%;0,22%;0,31%;0,18%;0,20%;0,13%;0,20%;0,07%;0,14%;0,09%;0,11%;0,08%;0,09%;0,05%;0,04%;0,08%;0,20%;0,11%;0,06%;0,03%;0,07%;0,12%;0,05%;0,05%;0,10%;0,09%;0,14%;0,14%;0,19%;0,09%;0,11%;0,12%;0,12%;0,20%;0,16%;0,12%;0,17%;0,13%;0,08%;0,06%;0,14%;0,05%;0,08%;0,12%;0,11%;0,20%;0,07%;0,09%;0,15%;0,08%;0,09%;0,11%
Return monthly;Industrials;;-0,032257064;-0,109998514;-0,093634712;-0,002036976;0,122880605;0,071698612;-0,031691613;0,061817696;-0,109587198;-0,076924088;-0,15833452;-0,074255416;-0,037433888;-0,044446026;0,058142942;0,019780189;0,111110088;-0,039999669;-0,062499461;-0,305558496;-0,028799194;0,029653182;0;0,00800493;0,071426224;0,037035219;0;0,035718512;0,096547903;0,094340311;-0,06442353;0,103846741;0,023232337;0,170854;0,099020796;0,0526325;0,016948532;0,166667212;0,035712984;-0,034481545;-0,071428772;0,059229831;0,023501448;0,136531725;0,071427346;0,020605897;0,003300374;0,015016101;0,144969308;0,023255188;-0,053028909;0,002665271;-0,069148431;0,074799318;0,083334981;0,158973002;0;-0,05630248;0,009523428;0,132075191;0;-0,020833972;0,170213622;0,009019202;-0,049438103;-0,143026035;0,029885171;0,049107788;-0,010639214;0,116375785;0,078432595;0,090907996;-0,01499979;0,140440056;0,008902605;0,102940732;0,010667003;-0,023746351;0,013383905;-0,006896406;0,041666667;0,151999658;-0,125000185;0,073120854;-0,131500255;0,023316206;-0,15611757;0,062999635;0,06616544;-0,16176532;0,017544443;0,071584277;-0,044067783;-0,148935876;0,024999407;-0,06231334;0,017776946;-0,104803783;-0,170731046;0,235293511;0,095237896;0,043478814;0,095955597;-0,010101134;0,124082132;-0,026870807;-0,087261861;0,041666339;0,036000376;0,042470081;-0,051851089;0,038280867;0,015800912;-0,009258695;0,044859272;0,059563877;-0,089122592;0,117103288;0,08539135;-0,103559975;-0,014440104;-0,01098899;0,027777725;-0,027026977;0,018518798;0,036363249;-0,007283582;0,007379385;-0,084248888;0,040000195;0,002692574;0;0,04509803;0,078799039;-0,045912906;-0,015676977;0,007408489;-0,002574605;-0,004791739;0,011565809;0,056603609;0,080357335;-0,028098963;0,038485376;0,036788835;0,025806272;-0,040880404;-0,055737507;0,074652938;-0,04297283;0,070223255;0,064924415;-0,014853686;0,067384858;-0,063130798;0,01875029
