Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Basic Materials;32075;27864;27864;27864;27864;27864;27864;27864;27864;27864;27864;27864;27864;37961;37961;37961;37961;37961;37961;37961;37961;37961;37961;37961;37961;56315;56315;56315;56315;56315;56315;56315;56315;56315;56315;56315;56315;66747;66747;66747;66747;66747;66747;66747;66747;66747;66747;66747;66747;90829;90829;90829;90829;90829;90829;90829;90829;90829;90829;90829;90829;125260;125260;125260;125260;125260;125260;125260;125260;125260;125260;125260;125260;NA;NA;NA;NA;NA;NA;2003549;2003549;2003549;2003549;2003549;2003549;2003549;2003549;2003549;2003549;2003549;2003549;1911230;1911230;1911230;1911230;1911230;1911230;1911230;1911230;1911230;1911230;1911230;1911230;1299511;1299511;1299511;1299511;1299511;1299511;1299511;1299511;1299511;1299511;1299511;1299511;1289866;1289866;1289866;1289866;1289866;1289866;1289866;1289866;1289866;1289866;1289866;1289866;1333529;1333529;1333529;1333529;1333529;1333529;1333529;1333529;1333529;1333529;1333529;1333529;1381113;1381113;1381113;1381113;1381113;1381113;1381113;1381113;1381113;1381113;1381113;1381113;NA;NA;NA;NA;NA;NA
Excess return;Basic Materials;;-0,1274304;-0,360484113;0,364193771;-0,0943991;-0,4872505;0,518643299;-0,0782044;-0,0905326;-0,257965663;-0,0930024;-0,1099458;0,376977;-0,1263037;-0,228764375;-0,1314755;-0,1169495;-0,009820302;-0,224015875;-0,085248366;-0,1226729;-0,013345418;0,10676834;-0,142096376;-0,1161739;-0,085064368;-0,132268;-0,132479;-0,070708448;-0,32558694;-0,1251401;-0,03410572;-0,1236609;0,022475996;-0,094835476;-0,118429372;-0,0941075;-0,026898229;-0,146885706;-0,066653614;0,394387957;-0,056470783;-0,074160095;-0,182794672;-0,0918929;-0,0906014;0,253030033;-0,312570018;-0,018741338;0,235856505;0,344840627;0,218293925;0,490524094;-0,105199749;0,146519326;-0,15599838;0,185650503;0,36120821;0,060690859;0,035415088;0,03152926;-0,01354359;-0,115344335;-0,008136744;-0,0379884;-0,0335693;-0,054134791;-0,0447996;-0,071520062;-0,052039828;0,004932615;-0,151883227;-0,208587352;0,080341727;0,547865927;0,005931085;-0,014133413;-0,027665417;0,348949016;0,150110544;-0,167101244;-0,075489886;0,001052988;-0,116640833;-0,087631116;-0,329782077;0,040299205;-0,095306687;-0,20247971;-0,116753818;-0,286210064;-0,25209309;-0,238064871;-0,149464;-0,232615182;-0,106771427;-0,114754888;-0,186052696;-0,401121773;-0,649249308;-0,1142371;-0,262122495;-0,158284202;-0,120901341;-0,083972317;-0,14275927;-0,252763852;0,051447807;0,046653313;-0,00271891;-0,093396114;-0,105583989;-0,072884456;-0,117359576;-0,134305181;-0,047236854;-0,065233053;0,056021492;-0,087867392;-0,039978114;-0,0686155;-0,125752538;-0,140123118;-0,115109283;-0,092432881;-0,137558529;-0,125171186;-0,054482949;-0,23067756;-0,074872344;-0,189331765;-0,0977275;0,056482106;-0,114291186;-0,1001448;-0,069786042;0,01452415;-0,181005599;-0,063610357;-0,0903505;-0,084510739;-0,035953046;-0,105997408;-0,117131701;-0,030845494;-0,019796798;-0,067891992;-0,065311556;-0,122984179;-0,081651909;-0,171138121;-0,153197961;-0,0972519;-0,004857143;-0,068585744;-0,230363768;0,022405712
Risk premium;Basic Materials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Basic Materials;0,1122;0,0608;-0,2729;-0,2514;-0,4143;-0,4865;-0,4276;-0,4412;-0,2598;-0,2525;-0,1952;0,1166;0,121;0,0699;0,0685;-0,0115;-0,0135;0,0741;0,109;0,1859;0,1583;0,1369;0,114;0,174;0,1853;0,197;0,536;0,533;0,4044;0,4722;0,4927;0,5191;0,4343;0,4189;0,4628;0,0288;0,0525;0,0929;0,0943;-0,0123;-0,025;-0,22;-0,2388;-0,2019;-0,2017;-0,2222;-0,386;-0,386;-0,4566;-0,408;-0,7422;-1,0809;-1,3121;-1,3091;-1,451;-1,5397;-1,0565;-1,0242;-1,0906;-1,0439;-1,0724;-0,9057;-0,906;-0,6663;-0,5732;-0,6989;-0,628;-0,6508;-0,6246;-0,319;-0,313;-0,3629;-0,3072;-0,5677;-0,4446;0,5498;0,5434;0,1794;0,352;0,4464;-0,15;-0,166;0,0133;0,1664;0,6518;0,6609;0,7135;0,6531;0,6437;0,845;0,9364;1,0239;0,8926;0,928;0,9663;1,0442;1,058;1,1135;0,5368;0,5384;0,4117;0,3875;0,4136;0,4291;0,3759;0,3465;0,3839;0,4435;0,3634;0,1869;0,2315;0,2323;0,176;0,1771;0,1847;0,1639;0,2695;0,1753;0,1652;0,1786;-0,2815;0,2247;0,2344;0,2333;0,4096;0,4267;0,4615;0,5023;0,469;0,4188;0,4178;0,2925;0,3369;0,3515;0,3396;0,3744;0,4212;0,3868;0,3694;0,3635;0,0967;0,0851;0,0669;0,0623;0,0612;0,0911;0,0833;0,1224;0,1792;0,299;0,251;0,2508;0,3413;0,5522;0,62;0,874
VO monthly avg;Basic Materials; 0.00 ; 0.00 ; 1.31 ; 0.09 ; 0.14 ; 2.85 ; 0.20 ; 0.00 ; 0.00 ; 1.03 ; 0.21 ; 0.00 ; 0.35 ; 2.09 ; 0.65 ; 0.00 ; 0.00 ; 0.30 ; 0.34 ; 0.14 ; 0.00 ; 4.91 ; 1.81 ; 1.04 ; 0.00 ; 2.50 ; 0.92 ; 0.76 ; 0.29 ; 0.17 ; 0.00 ; 0.30 ; 2.14 ; 0.07 ; 2.61 ; 0.53 ; 4.41 ; 0.54 ; 0.99 ; 0.75 ; 4.27 ; 0.51 ; 0.29 ; 5.68 ; 0.00 ; 1.58 ; 2.20 ; 1.45 ; 3.68 ; 2.41 ; 2.68 ; 0.53 ; 6.54 ; 3.67 ; 2.76 ; 1.74 ; 2.27 ; 4.61 ; 4.75 ; 1.48 ; 7.79 ; 1.16 ; 0.94 ; 4.40 ; 0.72 ; 0.82 ; 6.06 ; 1.41 ; 5.24 ; 0.48 ; 1.46 ; 2.46 ; 1.63 ; 2.15 ; 27.76 ; 3.87 ; 5.75 ; 6.81 ; 13.22 ; 26.46 ; 77.02 ; 59.58 ; 20.15 ; 217.01 ; 29.71 ; 21.21 ; 23.56 ; 73.02 ; 703.37 ; 38.67 ; 158.57 ; 28.32 ; 39.89 ; 57.61 ; 15.69 ; 3.63 ; 12.55 ; 3.08 ; 3.93 ; 41.93 ; 22.67 ; 19.35 ; 52.59 ; 16.20 ; 28.43 ; 10.54 ; 1372.28 ; 173.44 ; 57.35 ; 106.73 ; 104.76 ; 78.94 ; 147.54 ; 141.94 ; 138.91 ; 84.20 ; 222.30 ; 55.99 ; 41.99 ; 22.34 ; 28.88 ; 49.39 ; 63.85 ; 68.28 ; 31.35 ; 19.14 ; 34.02 ; 30.73 ; 50.11 ; 52.82 ; 25.71 ; 92.67 ; 583.19 ; 36.22 ; 32.15 ; 27.24 ; 31.09 ; 61.43 ; 130.05 ; 63.71 ; 87.70 ; 49.20 ; 51.68 ; 50.40 ; 178.67 ; 24.32 ; 22.12 ; 11.71 ; 60.05 ; 113.18 ; 30.86 ; 613.76 ; 175.90 ; 61.88 ; 52.45 ; 47.49 ; 211.86 
Total assets;Basic Materials;68695;66041;66041;66041;66041;66041;66041;66041;66041;66041;66041;66041;66041;93812;93812;93812;93812;93812;93812;93812;93812;93812;93812;93812;93812;140332;140332;140332;140332;140332;140332;140332;140332;140332;140332;140332;140332;163742;163742;163742;163742;163742;163742;163742;163742;163742;163742;163742;163742;163275;163275;163275;163275;163275;163275;163275;163275;163275;163275;163275;163275;229167;229167;229167;229167;229167;229167;229167;229167;229167;229167;229167;229167;NA;NA;NA;NA;NA;NA;3659217;3659217;3659217;3659217;3659217;3659217;3659217;3659217;3659217;3659217;3659217;3659217;3260836;3260836;3260836;3260836;3260836;3260836;3260836;3260836;3260836;3260836;3260836;3260836;3267052;3267052;3267052;3267052;3267052;3267052;3267052;3267052;3267052;3267052;3267052;3267052;3316134;3316134;3316134;3316134;3316134;3316134;3316134;3316134;3316134;3316134;3316134;3316134;3503849;3503849;3503849;3503849;3503849;3503849;3503849;3503849;3503849;3503849;3503849;3503849;3658458;3658458;3658458;3658458;3658458;3658458;3658458;3658458;3658458;3658458;3658458;3658458;NA;NA;NA;NA;NA;NA
Net sales;Basic Materials;67683;72003;72003;72003;72003;72003;72003;72003;72003;72003;72003;72003;72003;94378;94378;94378;94378;94378;94378;94378;94378;94378;94378;94378;94378;116796;116796;116796;116796;116796;116796;116796;116796;116796;116796;116796;116796;179658;179658;179658;179658;179658;179658;179658;179658;179658;179658;179658;179658;284012;284012;284012;284012;284012;284012;284012;284012;284012;284012;284012;284012;393975;393975;393975;393975;393975;393975;393975;393975;393975;393975;393975;393975;NA;NA;NA;NA;NA;NA;1014392;1014392;1014392;1014392;1014392;1014392;1014392;1014392;1014392;1014392;1014392;1014392;1095290;1095290;1095290;1095290;1095290;1095290;1095290;1095290;1095290;1095290;1095290;1095290;909361;909361;909361;909361;909361;909361;909361;909361;909361;909361;909361;909361;959143;959143;959143;959143;959143;959143;959143;959143;959143;959143;959143;959143;1112843;1112843;1112843;1112843;1112843;1112843;1112843;1112843;1112843;1112843;1112843;1112843;1131994;1131994;1131994;1131994;1131994;1131994;1131994;1131994;1131994;1131994;1131994;1131994;NA;NA;NA;NA;NA;NA
common equity;Basic Materials;32620;34177;34177;34177;34177;34177;34177;34177;34177;34177;34177;34177;34177;51851;51851;51851;51851;51851;51851;51851;51851;51851;51851;51851;51851;84017;84017;84017;84017;84017;84017;84017;84017;84017;84017;84017;84017;94245;94245;94245;94245;94245;94245;94245;94245;94245;94245;94245;94245;72446;72446;72446;72446;72446;72446;72446;72446;72446;72446;72446;72446;103907;103907;103907;103907;103907;103907;103907;103907;103907;103907;103907;103907;NA;NA;NA;NA;NA;NA;1655668;1655668;1655668;1655668;1655668;1655668;1655668;1655668;1655668;1655668;1655668;1655668;1349606;1349606;1349606;1349606;1349606;1349606;1349606;1349606;1349606;1349606;1349606;1349606;1967541;1967541;1967541;1967541;1967541;1967541;1967541;1967541;1967541;1967541;1967541;1967541;2026268;2026268;2026268;2026268;2026268;2026268;2026268;2026268;2026268;2026268;2026268;2026268;2170320;2170320;2170320;2170320;2170320;2170320;2170320;2170320;2170320;2170320;2170320;2170320;2277345;2277345;2277345;2277345;2277345;2277345;2277345;2277345;2277345;2277345;2277345;2277345;NA;NA;NA;NA;NA;NA
Turnover ratio;Basic Materials;0,00%;0,00%;0,01%;0,00%;0,00%;0,03%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,02%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,04%;0,02%;0,01%;0,00%;0,02%;0,01%;0,01%;0,00%;0,00%;0,00%;0,00%;0,02%;0,00%;0,02%;0,00%;0,04%;0,00%;0,01%;0,01%;0,04%;0,00%;0,00%;0,05%;0,00%;0,01%;0,02%;0,01%;0,03%;0,02%;0,02%;0,00%;0,06%;0,03%;0,03%;0,02%;0,02%;0,04%;0,04%;0,01%;0,07%;0,01%;0,01%;0,04%;0,01%;0,01%;0,05%;0,01%;0,05%;0,00%;0,01%;0,02%;0,01%;0,02%;0,25%;0,04%;0,07%;0,08%;0,15%;0,30%;0,11%;0,08%;0,03%;0,30%;0,04%;0,03%;0,03%;0,10%;0,98%;0,05%;0,20%;0,04%;0,05%;0,07%;0,02%;0,00%;0,02%;0,00%;0,01%;0,05%;0,03%;0,02%;0,07%;0,02%;0,04%;0,01%;1,75%;0,05%;0,02%;0,03%;0,03%;0,02%;0,04%;0,04%;0,04%;0,03%;0,07%;0,02%;0,01%;0,01%;0,01%;0,01%;0,02%;0,02%;0,01%;0,01%;0,01%;0,01%;0,02%;0,02%;0,01%;0,03%;0,18%;0,01%;0,01%;0,01%;0,01%;0,02%;0,04%;0,02%;0,03%;0,01%;0,02%;0,02%;0,05%;0,01%;0,01%;0,00%;0,02%;0,03%;0,01%;0,19%;0,05%;0,02%;0,02%;0,01%;0,06%
Return monthly;Basic Materials;;0;-0,260876813;0,470455571;0;-0,4;0,600204499;0;0;-0,166773163;0;0;0,5;0;-0,099948875;0;0;0,111047998;-0,099948875;0,037063334;0;0,107079282;0,22585034;-0,026334376;0;0,027046632;0;0;0,052668752;-0,20003834;0;0,09369758;0;0,142966696;0,024920924;-0,024314972;0;0,074954471;-0,046544806;0,029271486;0,492912957;0,031769217;0,015395505;-0,090914372;0;0;0,333312033;-0,249988018;0,033292862;0,290352505;0,374982027;0,236397225;0,491161794;-0,103473049;0,135006326;-0,17399948;0,199991003;0,37778361;0,072583059;0,047249388;0,03846806;0,00369731;-0,099622335;0,024586356;0;0;-0,007998791;0;-0,024189862;0,008263172;0,065563615;-0,096145927;-0,149790952;0,121126627;0,598206127;0,117318485;0,100000787;0,068636783;0,456825016;0,264283744;-0,094001244;-0,005297886;0,087440888;-0,020407633;0,039582284;-0,198395377;0,177499705;0,040338613;-0,06122661;0,043481182;-0,135416864;-0,09638739;-0,093331071;0;-0,088238282;0,032263173;0,031249112;-0,030302196;-0,281253373;-0,530430108;0;-0,148159995;-0,043477402;-0,006818041;0,027459383;-0,03117977;-0,137928152;0,169838307;0,159997513;0,09655579;0,006288386;-0,006249089;0,025153544;-0,018402276;-0,040619081;0,042338846;0,031245447;0,145465392;0,005290208;0,052623686;0;-0,024996438;-0,038455918;-0,016011383;0,016271919;-0,026676429;-0,013696686;0,055561951;-0,11843056;0,029862056;-0,084060365;0;0,155056806;-0,013696686;0;0,030551158;0,11860975;-0,084337199;0,026311843;0;-0,012818639;0,036358254;-0,035082708;-0,049356801;0,038260106;0,049992502;0,002505908;0,002499644;-0,039894579;0,012985091;-0,076925121;-0,055547561;0;0,105881457;0,050524256;-0,096201768;0,022405712
