Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Financials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;356370;356370;356370;356370;356370;356370;356370;356370;356370;356370;356370;356370;480615;480615;480615;480615;480615;480615;480615;480615;480615;480615;480615;480615;578721;578721;578721;578721;578721;578721;578721;578721;578721;578721;578721;578721;1449694;1449694;1449694;1449694;1449694;1449694;1449694;1449694;1449694;1449694;1449694;1449694;1741780;1741780;1741780;1741780;1741780;1741780;1741780;1741780;1741780;1741780;1741780;1741780;1961334;1961334;1961334;1961334;1961334;1961334;1961334;1961334;1961334;1961334;1961334;1961334;3663394;3663394;3663394;3663394;3663394;3663394;3663394;3663394;3663394;3663394;3663394;3663394;4082173;4082173;4082173;4082173;4082173;4082173;4082173;4082173;4082173;4082173;4082173;4082173;NA;NA;NA;NA;NA;NA
Excess return;Financials;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,069923279;-0,176641017;-0,19072309;-0,263084273;-0,117834156;0,002612996;-0,181985905;-0,053566999;-0,069144398;-0,098658893;-0,074676786;-0,009236108;0,076863533;-0,122072448;-0,136638042;-0,236924929;-0,1752517;-0,189334326;-0,084823912;-0,078634539;-0,185127992;-0,206691159;-0,314529894;-0,060323971;-0,23319395;-0,151589501;-0,298900749;-0,245841284;0,037306036;-0,020160413;-0,068469403;-0,229588674;-0,084334487;-0,094745018;-0,133858116;-0,090552019;-0,049201574;-0,167056051;-0,073109624;-0,431328771;-0,073352734;-0,092784956;-0,125074689;-0,134282858;-0,14028503;-0,269736204;-0,071341709;-0,058121121;-0,088057918;-0,198013097;-0,157162285;-0,157796343;-0,107680606;-0,074520031;-0,104294706;-0,148364505;-0,080555223;-0,167756507;-0,130999366;-0,260624031;-0,159838262;-0,140612877;-0,114081741;-0,170942273;-0,218551844;-0,198607586;-0,193142354;-0,1049375;-0,140684714;-0,119419704;-0,120281404;-0,354739114;-0,036341181;-0,1082247;-0,214241683;-0,070474079;-0,19004396;-0,13098444;-0,10770112;-0,127067429;0,074876863;-0,123679516;0,100658613;-0,084843499;0,327530427;-0,361285387;0,0075135;-0,25487509;-0,076364944;-0,261812011;-0,253050301;0,06933893;-0,122461701;-0,045487278
Risk premium;Financials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Financials;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,8372;1,0787;0,9733;0,5476;0,9749;1,0016;1,1326;1,1344;1,1551;1,13;0,9839;1,2627;1,2572;1,2506;1,3795;1,39;1,4159;1,3868;1,3725;1,2881;1,2206;1,3658;1,2251;1,2665;1,2989;1,249;1,3297;0,9065;0,8368;0,6732;0,7342;0,7238;0,7139;0,7141;0,642;0,5305;0,5212;0,5323;0,5747;0,5885;0,5938;0,5691;0,5626;0,5612;0,5356;0,4822;0,4048;0,3847;0,3776;0,3888;0,3951;0,5196;0,5964;0,5711;0,5306;0,523;0,5091;0,6429;0,629;0,6408;0,6398;0,3497;0,3786;0,3214;0,32;0,3963;0,4122;0,4125;0,4349;0,5138;0,4737;0,4137;0,417;0,4869;0,5034;0,5424;0,5466;0,5743;0,5962;0,6933;0,7578;0,971;0,9591;0,8671;1,0766;1,2197;1,2181;1,1596;1,1322;0,969;1,2273;1,1862;1,2873
VO monthly avg;Financials; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 405.11 ; 150.78 ; 102.35 ; 124.24 ; 87.41 ; 72.08 ; 81.10 ; 75.35 ; 107.32 ; 98.47 ; 68.69 ; 27.36 ; 166.69 ; 123.03 ; 40.06 ; 26.37 ; 34.54 ; 76.89 ; 46.30 ; 49.00 ; 193.97 ; 129.82 ; 28.99 ; 87.94 ; 40.45 ; 73.86 ; 13.19 ; 57.18 ; 113.84 ; 69.47 ; 95.00 ; 106.51 ; 173.80 ; 124.14 ; 88.80 ; 87.80 ; 84.83 ; 330.98 ; 66.67 ; 151.64 ; 135.50 ; 42.17 ; 23.73 ; 27.00 ; 35.76 ; 34.11 ; 36.90 ; 54.94 ; 112.17 ; 60.01 ; 72.65 ; 22.57 ; 39.98 ; 108.43 ; 73.89 ; 83.14 ; 61.49 ; 110.77 ; 39.13 ; 165.59 ; 555.23 ; 131.23 ; 61.98 ; 20.92 ; 66.15 ; 201.37 ; 41.66 ; 585.34 ; 35.90 ; 73.45 ; 270.02 ; 158.60 ; 145.77 ; 102.69 ; 186.73 ; 83.61 ; 443.73 ; 306.00 ; 40.32 ; 238.69 ; 102.61 ; 118.00 ; 143.30 ; 34.86 ; 30.22 ; 309.35 ; 146.62 ; 148.50 ; 73.38 ; 73.80 ; 85.62 ; 311.87 ; 189.53 ; 179.30 ; 230.49 
Total assets;Financials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1182758;1182758;1182758;1182758;1182758;1182758;1182758;1182758;1182758;1182758;1182758;1182758;1699833;1699833;1699833;1699833;1699833;1699833;1699833;1699833;1699833;1699833;1699833;1699833;2507623;2507623;2507623;2507623;2507623;2507623;2507623;2507623;2507623;2507623;2507623;2507623;3416871;3416871;3416871;3416871;3416871;3416871;3416871;3416871;3416871;3416871;3416871;3416871;3508563;3508563;3508563;3508563;3508563;3508563;3508563;3508563;3508563;3508563;3508563;3508563;4167203;4167203;4167203;4167203;4167203;4167203;4167203;4167203;4167203;4167203;4167203;4167203;4034277;4034277;4034277;4034277;4034277;4034277;4034277;4034277;4034277;4034277;4034277;4034277;4772925;4772925;4772925;4772925;4772925;4772925;4772925;4772925;4772925;4772925;4772925;4772925;NA;NA;NA;NA;NA;NA
Net sales;Financials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;48970;48970;48970;48970;48970;48970;48970;48970;48970;48970;48970;48970;142391;142391;142391;142391;142391;142391;142391;142391;142391;142391;142391;142391;200594;200594;200594;200594;200594;200594;200594;200594;200594;200594;200594;200594;261919;261919;261919;261919;261919;261919;261919;261919;261919;261919;261919;261919;265550;265550;265550;265550;265550;265550;265550;265550;265550;265550;265550;265550;277358;277358;277358;277358;277358;277358;277358;277358;277358;277358;277358;277358;315956;315956;315956;315956;315956;315956;315956;315956;315956;315956;315956;315956;356042;356042;356042;356042;356042;356042;356042;356042;356042;356042;356042;356042;NA;NA;NA;NA;NA;NA
common equity;Financials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;826388;826388;826388;826388;826388;826388;826388;826388;826388;826388;826388;826388;1219218;1219218;1219218;1219218;1219218;1219218;1219218;1219218;1219218;1219218;1219218;1219218;1928902;1928902;1928902;1928902;1928902;1928902;1928902;1928902;1928902;1928902;1928902;1928902;1967177;1967177;1967177;1967177;1967177;1967177;1967177;1967177;1967177;1967177;1967177;1967177;1766783;1766783;1766783;1766783;1766783;1766783;1766783;1766783;1766783;1766783;1766783;1766783;2205869;2205869;2205869;2205869;2205869;2205869;2205869;2205869;2205869;2205869;2205869;2205869;370883;370883;370883;370883;370883;370883;370883;370883;370883;370883;370883;370883;690752;690752;690752;690752;690752;690752;690752;690752;690752;690752;690752;690752;NA;NA;NA;NA;NA;NA
Turnover ratio;Financials;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;1,12%;0,42%;0,28%;0,34%;0,24%;0,20%;0,22%;0,21%;0,30%;0,27%;0,19%;0,08%;0,46%;0,34%;0,11%;0,07%;0,10%;0,21%;0,13%;0,14%;0,31%;0,21%;0,05%;0,14%;0,07%;0,12%;0,02%;0,09%;0,18%;0,11%;0,15%;0,17%;0,28%;0,20%;0,14%;0,14%;0,14%;0,54%;0,11%;0,25%;0,22%;0,07%;0,04%;0,04%;0,06%;0,06%;0,06%;0,09%;0,18%;0,10%;0,12%;0,04%;0,06%;0,17%;0,11%;0,12%;0,07%;0,12%;0,04%;0,19%;0,63%;0,15%;0,07%;0,02%;0,07%;0,23%;0,05%;0,66%;0,04%;0,08%;0,30%;0,18%;0,16%;0,12%;0,21%;0,09%;0,36%;0,25%;0,03%;0,19%;0,08%;0,09%;0,11%;0,03%;0,02%;0,25%;0,12%;0,11%;0,05%;0,05%;0,06%;0,23%;0,14%;0,13%;0,17%
Return monthly;Financials;;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0,069923279;-0,034582917;-0,05180519;-0,142885473;0,029384544;0,152393796;-0,030232105;0,098250201;0,082226902;0,050681107;0,063858914;0,148663992;0,232817133;0,036615352;0,035270458;-0,063654929;0;-0,019415926;0,082293588;0,088065761;-0,022480192;-0,034495759;-0,147598594;0,111715529;-0,05686325;0,027797499;-0,108129649;-0,096931784;0,181224436;0,110751187;0,068785197;-0,100489274;0,033891213;0,029593282;-0,007812116;0,028919481;0,068534026;-0,045221151;0,052646476;-0,305503271;0,051106666;0,030818344;0,000119111;-0,008277258;-0,01609223;-0,148907604;0,041660691;0,051214979;0,020430882;-0,086568697;-0,044470985;-0,043011543;0,009142594;0,040959269;0,007533094;-0,032665505;0,032868077;-0,040903807;-0,004772366;-0,133353631;-0,035130862;-0,035681777;-0,006229941;-0,068294073;-0,119991844;-0,090940686;-0,088823754;0;-0,033986014;-0,009700304;-0,011988304;-0,249926014;0,066679819;0;-0,110227483;0,030347121;-0,08815816;-0,02920354;-0,00319052;-0,016689529;0,186468263;0,002743484;0,225131913;0,034933801;0,455456227;-0,212644287;0,1600538;-0,10342029;0,076813656;-0,125015011;-0,099780401;0,22411953;0,037738199;-0,045487278
