Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Financials;142121000;181878000;181878000;181878000;181878000;181878000;181878000;181878000;181878000;181878000;181878000;181878000;181878000;252972000;252972000;252972000;252972000;252972000;252972000;252972000;252972000;252972000;252972000;252972000;252972000;294409000;294409000;294409000;294409000;294409000;294409000;294409000;294409000;294409000;294409000;294409000;294409000;304480000;304480000;304480000;304480000;304480000;304480000;304480000;304480000;304480000;304480000;304480000;304480000;325269000;325269000;325269000;325269000;325269000;325269000;325269000;325269000;325269000;325269000;325269000;325269000;395404000;395404000;395404000;395404000;395404000;395404000;395404000;395404000;395404000;395404000;395404000;395404000;453706000;453706000;453706000;453706000;453706000;453706000;453706000;453706000;453706000;453706000;453706000;453706000;526750000;526750000;526750000;526750000;526750000;526750000;526750000;526750000;526750000;526750000;526750000;526750000;525437000;525437000;525437000;525437000;525437000;525437000;525437000;525437000;525437000;525437000;525437000;525437000;560620000;560620000;560620000;560620000;560620000;560620000;560620000;560620000;560620000;560620000;560620000;560620000;595176000;595176000;595176000;595176000;595176000;595176000;595176000;595176000;595176000;595176000;595176000;595176000;624850000;624850000;624850000;624850000;624850000;624850000;624850000;624850000;624850000;624850000;624850000;624850000;685042000;685042000;685042000;685042000;685042000;685042000;685042000;685042000;685042000;685042000;685042000;685042000
Excess return;Financials;;-0,136947175;-0,281492706;-0,298087733;-0,099700428;-0,140808903;-0,124975511;-0,229485725;-0,1629196;-0,269222402;-0,122287564;-0,261998057;-0,113281779;-0,1822526;-0,159049189;-0,239204642;0,062194492;-0,206906618;-0,261981094;-0,196802536;-0,211843138;-0,182125203;-0,060735765;-0,065270325;-0,195859511;-0,159293504;-0,25392135;-0,185608098;-0,012772765;-0,195088623;-0,137766554;-0,164219083;-0,150453541;-0,263805737;-0,206901306;-0,065095682;-0,17612277;-0,063074407;-0,140485744;-0,120579084;-0,089961467;-0,071771009;-0,138101483;-0,15237188;-0,18574742;-0,052619965;-0,007741736;0,031785919;-0,079389544;-0,164176418;0,008701352;-0,155483041;-0,111867204;-0,099375462;-0,131734231;0,039052104;-0,073129105;-0,058170511;-0,197315929;-0,103027258;0,020545046;-0,045495272;0,002132684;-0,027755406;-0,14413507;-0,208689982;-0,156926612;-0,165180624;-0,135201556;-0,079523141;-0,066808132;-0,10350022;-0,067293323;-0,094987931;-0,151605922;-0,069106235;-0,067208457;-0,173201705;-0,25516445;-0,129040139;-0,141534487;-0,191643977;-0,008646891;-0,188186131;-0,147339138;-0,360540383;-0,086216104;-0,161685336;-0,155292171;-0,300542192;-0,21122786;-0,001710617;-0,122664459;-0,105782789;-0,215784921;-0,111376982;-0,094353928;-0,174715331;-0,303453039;6,94434E-06;-0,071448704;-0,10607685;-0,034704439;-0,040261494;-0,055719093;-0,076877924;-0,142847341;-0,180441413;-0,033434534;-0,144276656;-0,145637955;0,036909394;-0,161174953;-0,141058845;-0,236285169;-0,014316745;-0,101978191;-0,071805554;-0,254898157;-0,191341351;-0,091848768;-0,159496059;-0,129695951;-0,024023969;-0,086945142;-0,11920897;-0,160042325;-0,176056269;-0,127561549;-0,155726194;-0,104943173;-0,117155465;-0,122466813;-0,047954848;-0,101197679;-0,082379965;-0,093973441;-0,144901296;-0,055646955;-0,071913827;-0,084235164;-0,103823064;-0,132472532;-0,106528716;-0,060260469;-0,072966514;-0,123035638;-0,096742938;-0,106679018;-0,159259428;-0,146879993;-0,104444445;-0,049941215;-0,006970255;-0,053391469;-0,148470986;-0,003321686
Risk premium;Financials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Financials;0,7692;0,7688;0,8206;0,9163;0,9285;0,9035;0,8881;0,8751;0,8892;0,9343;0,7963;0,6877;0,6879;0,6768;0,6785;0,6661;0,6672;0,6867;0,6561;0,6221;0,6199;0,607;0,657;0,631;0,6227;0,6459;0,5739;0,5559;0,4525;0,4422;0,4315;0,4232;0,3965;0,3541;0,4239;0,3492;0,377;0,3653;0,368;0,3543;0,36;0,2829;0,2811;0,2566;0,2945;0,2897;0,3567;0,3564;0,3536;0,3128;0,2155;0,2909;0,4112;0,4102;0,5275;0,3901;0,4163;0,6075;0,6992;0,7749;0,7589;0,6539;0,6649;0,6751;0,7533;0,747;0,8545;0,84;0,8337;0,8556;0,8553;0,864;0,8395;0,8277;0,789;0,9494;0,9637;1,0487;0,9739;0,971;0,9776;0,9732;1,0001;0,8017;1,077;1,147;1,0692;1,0393;0,9914;1,0107;0,6721;0,6804;0,5545;0,603;0,5968;0,5713;0,5777;0,6666;0,7036;0,7089;0,6985;0,6765;0,7033;0,7143;0,7104;0,6952;0,6824;0,7045;0,6472;0,6389;0,7007;0,7152;0,7343;0,7529;0,887;0,9812;0,9614;0,951;0,96;0,956;0,8331;0,7796;0,7479;0,7482;0,9009;0,9051;0,9212;0,9;0,9098;0,9071;0,9071;0,8688;0,8955;0,7825;0,7659;0,7604;0,7911;0,73;0,6836;0,6852;0,6807;0,7078;0,6979;0,7067;0,6882;0,7123;0,7501;0,7431;0,5628;0,5779;0,5505;0,5594;0,5521;0,5959;0,6247;0,5696
VO monthly avg;Financials; 77.40 ; 223.70 ; 330.19 ; 348.96 ; 249.77 ; 372.83 ; 313.23 ; 325.08 ; 268.61 ; 409.48 ; 302.33 ; 344.82 ; 484.38 ; 460.95 ; 577.86 ; 514.29 ; 725.55 ; 895.31 ; 701.68 ; 570.00 ; 488.95 ; 560.93 ; 661.84 ; 772.00 ; 497.52 ; 585.75 ; 532.94 ; 1127.11 ; 479.49 ; 985.90 ; 992.67 ; 842.67 ; 758.73 ; 1397.21 ; 1242.38 ; 1092.24 ; 1009.01 ; 1131.08 ; 1306.24 ; 1206.34 ; 993.84 ; 851.91 ; 805.77 ; 488.75 ; 1328.50 ; 1004.48 ; 1222.95 ; 1001.20 ; 362.96 ; 463.38 ; 760.71 ; 745.01 ; 569.01 ; 1277.28 ; 485.53 ; 601.24 ; 978.80 ; 615.76 ; 457.75 ; 491.48 ; 340.65 ; 561.80 ; 807.78 ; 1033.28 ; 580.57 ; 790.46 ; 1134.48 ; 605.18 ; 1041.18 ; 819.95 ; 538.51 ; 516.41 ; 580.17 ; 690.80 ; 675.49 ; 824.03 ; 648.35 ; 712.78 ; 628.85 ; 901.76 ; 1053.89 ; 1317.01 ; 1603.14 ; 956.87 ; 708.07 ; 965.95 ; 853.02 ; 1368.45 ; 1225.90 ; 1217.46 ; 1458.20 ; 1524.90 ; 1108.61 ; 1133.06 ; 1099.45 ; 1388.99 ; 902.14 ; 906.42 ; 803.69 ; 1527.19 ; 1033.70 ; 973.96 ; 961.95 ; 1158.32 ; 930.47 ; 1205.68 ; 981.95 ; 1323.61 ; 872.26 ; 746.14 ; 555.53 ; 1261.45 ; 660.80 ; 1711.02 ; 746.42 ; 919.85 ; 1462.40 ; 1213.06 ; 1525.74 ; 833.74 ; 530.33 ; 544.31 ; 740.31 ; 1032.52 ; 1079.52 ; 716.16 ; 776.16 ; 523.41 ; 920.30 ; 844.08 ; 1108.24 ; 542.39 ; 496.73 ; 591.86 ; 825.94 ; 876.86 ; 591.33 ; 786.58 ; 783.45 ; 481.37 ; 448.10 ; 794.45 ; 471.91 ; 591.42 ; 572.09 ; 428.81 ; 416.57 ; 1007.63 ; 1000.81 ; 1127.67 ; 1200.58 ; 747.59 ; 746.39 ; 797.20 ; 621.16 ; 435.24 ; 526.26 
Total assets;Financials;158101000;197607000;197607000;197607000;197607000;197607000;197607000;197607000;197607000;197607000;197607000;197607000;197607000;273094000;273094000;273094000;273094000;273094000;273094000;273094000;273094000;273094000;273094000;273094000;273094000;309510000;309510000;309510000;309510000;309510000;309510000;309510000;309510000;309510000;309510000;309510000;309510000;326066000;326066000;326066000;326066000;326066000;326066000;326066000;326066000;326066000;326066000;326066000;326066000;351578000;351578000;351578000;351578000;351578000;351578000;351578000;351578000;351578000;351578000;351578000;351578000;424792000;424792000;424792000;424792000;424792000;424792000;424792000;424792000;424792000;424792000;424792000;424792000;488831000;488831000;488831000;488831000;488831000;488831000;488831000;488831000;488831000;488831000;488831000;488831000;566823000;566823000;566823000;566823000;566823000;566823000;566823000;566823000;566823000;566823000;566823000;566823000;570421000;570421000;570421000;570421000;570421000;570421000;570421000;570421000;570421000;570421000;570421000;570421000;608434000;608434000;608434000;608434000;608434000;608434000;608434000;608434000;608434000;608434000;608434000;608434000;647861000;647861000;647861000;647861000;647861000;647861000;647861000;647861000;647861000;647861000;647861000;647861000;682580000;682580000;682580000;682580000;682580000;682580000;682580000;682580000;682580000;682580000;682580000;682580000;749378000;749378000;749378000;749378000;749378000;749378000;749378000;749378000;749378000;749378000;749378000;749378000
Net sales;Financials;19559000;22895000;22895000;22895000;22895000;22895000;22895000;22895000;22895000;22895000;22895000;22895000;22895000;29740000;29740000;29740000;29740000;29740000;29740000;29740000;29740000;29740000;29740000;29740000;29740000;34678000;34678000;34678000;34678000;34678000;34678000;34678000;34678000;34678000;34678000;34678000;34678000;31650000;31650000;31650000;31650000;31650000;31650000;31650000;31650000;31650000;31650000;31650000;31650000;32005000;32005000;32005000;32005000;32005000;32005000;32005000;32005000;32005000;32005000;32005000;32005000;38012000;38012000;38012000;38012000;38012000;38012000;38012000;38012000;38012000;38012000;38012000;38012000;52442000;52442000;52442000;52442000;52442000;52442000;52442000;52442000;52442000;52442000;52442000;52442000;68347000;68347000;68347000;68347000;68347000;68347000;68347000;68347000;68347000;68347000;68347000;68347000;63014000;63014000;63014000;63014000;63014000;63014000;63014000;63014000;63014000;63014000;63014000;63014000;57592000;57592000;57592000;57592000;57592000;57592000;57592000;57592000;57592000;57592000;57592000;57592000;58468000;58468000;58468000;58468000;58468000;58468000;58468000;58468000;58468000;58468000;58468000;58468000;61896000;61896000;61896000;61896000;61896000;61896000;61896000;61896000;61896000;61896000;61896000;61896000;65408000;65408000;65408000;65408000;65408000;65408000;65408000;65408000;65408000;65408000;65408000;65408000
common equity;Financials;15556000;14848000;14848000;14848000;14848000;14848000;14848000;14848000;14848000;14848000;14848000;14848000;14848000;17046000;17046000;17046000;17046000;17046000;17046000;17046000;17046000;17046000;17046000;17046000;17046000;11647000;11647000;11647000;11647000;11647000;11647000;11647000;11647000;11647000;11647000;11647000;11647000;18095000;18095000;18095000;18095000;18095000;18095000;18095000;18095000;18095000;18095000;18095000;18095000;22490000;22490000;22490000;22490000;22490000;22490000;22490000;22490000;22490000;22490000;22490000;22490000;25116000;25116000;25116000;25116000;25116000;25116000;25116000;25116000;25116000;25116000;25116000;25116000;30193000;30193000;30193000;30193000;30193000;30193000;30193000;30193000;30193000;30193000;30193000;30193000;34913000;34913000;34913000;34913000;34913000;34913000;34913000;34913000;34913000;34913000;34913000;34913000;39649000;39649000;39649000;39649000;39649000;39649000;39649000;39649000;39649000;39649000;39649000;39649000;44101000;44101000;44101000;44101000;44101000;44101000;44101000;44101000;44101000;44101000;44101000;44101000;48946000;48946000;48946000;48946000;48946000;48946000;48946000;48946000;48946000;48946000;48946000;48946000;53950000;53950000;53950000;53950000;53950000;53950000;53950000;53950000;53950000;53950000;53950000;53950000;60617000;60617000;60617000;60617000;60617000;60617000;60617000;60617000;60617000;60617000;60617000;60617000
Turnover ratio;Financials;0,03%;0,09%;0,14%;0,14%;0,10%;0,15%;0,13%;0,13%;0,11%;0,17%;0,12%;0,14%;0,20%;0,19%;0,24%;0,21%;0,30%;0,36%;0,28%;0,22%;0,19%;0,22%;0,25%;0,29%;0,18%;0,22%;0,20%;0,42%;0,18%;0,36%;0,36%;0,31%;0,28%;0,51%;0,45%;0,40%;0,37%;0,41%;0,48%;0,44%;0,36%;0,22%;0,21%;0,12%;0,34%;0,26%;0,31%;0,25%;0,09%;0,12%;0,19%;0,19%;0,14%;0,32%;0,12%;0,15%;0,22%;0,14%;0,10%;0,11%;0,08%;0,13%;0,18%;0,23%;0,13%;0,18%;0,25%;0,14%;0,23%;0,18%;0,12%;0,11%;0,13%;0,15%;0,15%;0,18%;0,14%;0,16%;0,14%;0,20%;0,23%;0,28%;0,35%;0,21%;0,15%;0,21%;0,19%;0,30%;0,26%;0,26%;0,31%;0,33%;0,24%;0,24%;0,23%;0,30%;0,19%;0,19%;0,17%;0,32%;0,22%;0,20%;0,20%;0,24%;0,19%;0,24%;0,20%;0,27%;0,17%;0,15%;0,11%;0,25%;0,13%;0,33%;0,15%;0,18%;0,29%;0,24%;0,30%;0,16%;0,10%;0,11%;0,15%;0,20%;0,21%;0,14%;0,15%;0,10%;0,18%;0,17%;0,22%;0,11%;0,10%;0,12%;0,16%;0,17%;0,12%;0,15%;0,15%;0,09%;0,09%;0,16%;0,09%;0,12%;0,11%;0,08%;0,08%;0,20%;0,20%;0,22%;0,24%;0,15%;0,15%;0,16%;0,12%;0,09%;0,10%
Return monthly;Financials;;0,035087225;-0,112994906;-0,118260833;0,079295072;0,034011597;0,039474789;-0,068354425;0;-0,103261502;0,033179336;-0,116072957;0,045455921;-0,0177142;0,008196311;-0,065040342;0,222028092;-0,047444518;-0,103446794;-0,047010236;-0,060089438;-0,032084203;0,092555235;0,079282675;-0,052129411;-0,018901804;-0,11926565;-0,051686398;0,113634735;-0,071430023;-0,016482054;-0,042457483;-0,029174041;-0,147397437;-0,089595606;0,049203918;-0,06157177;0,055939493;-0,022901744;-0,001558184;0,032818533;0,048151691;-0,015792183;-0,03160608;-0,06259392;0,070231135;0,119330364;0,141139119;0,023687256;-0,064270018;0,099177852;-0,050956341;-0,002661604;0,010667138;-0,018601731;0,142628404;0,033997795;0,061201989;-0,072666329;0,023391442;0,142855746;0,070000428;0,116821384;0,089475894;-0,02257717;-0,084028982;-0,017393112;-0,026460624;0,004001544;0,054779659;0,067425768;0,02953178;0,063745177;0,033707169;-0,023548922;0,067455965;0,073404643;-0,022133605;-0,10810875;0,018182861;0,002604313;-0,049682377;0,139909409;-0,051929031;0,006661862;-0,198529383;0,073393496;-0,001709436;0,007866029;-0,129868092;-0,07708556;0,132354583;0,000769041;0,023206211;-0,094686521;-0,002135082;0,021391172;-0,047119531;-0,173076239;0,129567644;0,060856796;0,02609265;0,098353461;0,091789406;0,076786107;0,056669676;-0,009206141;-0,045607913;0,097789066;-0,016525956;-0,016393855;0,166666994;-0,027964053;-0,005826145;-0,098354169;0,126748855;0,038090009;0,066507446;-0,111668157;-0,049763351;0,046986532;-0,023781259;0,004321749;0,107512631;0,052711558;0,02181233;-0,019606725;-0,040956269;0,012455851;-0,020228894;0,031154127;0,016878935;0,011299687;0,079792652;0,025804021;0,042275235;0,033415859;-0,026611296;0,054069845;0,038703773;0,024248936;0,007718336;-0,021804832;0,001843384;0,048346131;0,035958386;-0,010629338;0,010172362;0,000577382;-0,047051728;-0,033798493;0,012647755;0,060591085;0,106521445;0,066014631;-0,033486186;-0,003321686
