Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Basic Materials;40408;40408;40408;40408;8346;8346;8346;8346;8346;8346;8346;8346;8346;8346;8346;8346;8989;8989;8989;8989;8989;8989;8989;8989;8989;8989;8989;8989;9266;9266;9266;9266;9266;9266;9266;9266;9266;9266;9266;9266;12284;12284;12284;12284;12284;12284;12284;12284;12284;12284;12284;12284;15527;15527;15527;15527;15527;15527;15527;15527;15527;15527;15527;15527;21192;21192;21192;21192;21192;21192;21192;21192;21192;21192;21192;21192;19952;19952;19952;19952;19952;19952;19952;19952;19952;19952;19952;1458370;1458370;1458370;1458370;1458370;1458370;1458370;1458370;1458370;1458370;1458370;1458370;1121784;1121784;1121784;1121784;1121784;1121784;1121784;1121784;1121784;1121784;1121784;1121784;547125;547125;547125;547125;547125;547125;547125;547125;547125;547125;547125;547125;556517;556517;556517;556517;556517;556517;556517;556517;556517;556517;556517;556517;646675;646675;646675;646675;646675;646675;646675;646675;646675;646675;646675;646675;630866;630866;630866;630866;630866;630866;630866;630866;630866;630866
Excess return;Basic Materials;;0,992883201;-0,1569184;-0,453540917;-0,2024315;-0,2064591;-0,1887998;0,363812773;-0,1751731;-0,1505259;-0,1537596;-0,568457763;1,221484728;-0,48457844;-0,479840979;-0,108815761;-0,347196805;-0,2317231;-0,321596158;0,347477565;-0,237113872;-0,132927464;0,046660479;-0,408486474;-0,274290472;-0,225399615;-0,226058488;-0,234358929;-0,59689705;0,077497353;-0,1866722;0,719974042;-0,674347135;-0,2182226;0,580966637;-0,1476266;-0,259794862;0,087453247;-0,415317779;-0,499641927;-0,067978948;-0,2309665;-0,2320742;-0,369815445;0,732051247;-0,302654572;1,383300436;-0,049507198;-0,292006679;-0,164539277;-0,146797701;-0,416432644;-0,069997847;0,14726108;0,15585491;0,325997408;-0,054550517;-0,305371549;-0,278568829;-0,268522885;-0,171399483;-0,050039612;-0,151028395;0,121774524;-0,232514423;-0,185762858;-0,272639517;-0,127459859;-0,075988862;-0,160914;-0,168570627;-0,262067417;-0,132755943;-0,13148528;-0,115021447;-0,139424203;-0,106059526;0,137399763;-0,086918099;0,137482296;-0,052470787;0,787904945;-0,330508778;-0,246469376;-0,358018267;-0,367051156;0,090671868;-0,391923313;-0,570737255;-0,200668232;-0,262053826;-0,44084247;-0,359626992;-0,020624357;-0,199229467;-0,236052222;-0,100137084;-0,308996595;-0,286879913;-0,345537676;-0,010088692;-0,132608652;-0,1444294;-0,089263552;-0,166125622;-0,1328231;-0,068325227;-0,242113533;-0,102138675;-0,097697852;-0,169358091;-0,263158572;-0,263725857;-0,372842818;-0,477014281;-0,1173902;0,004769397;-0,08753697;-0,077835494;0,000431173;-0,17863593;-0,195517706;-0,199912986;-0,202498088;-0,069778578;-0,275249566;-0,215883163;-0,220691834;-0,299271221;0,230100283;-0,188330634;-0,011539139;-0,1158556;0,121197693;-0,129213;-0,191320088;-0,180287166;-0,0869664;-0,012712461;-0,0896197;-0,0838259;-0,0789389;-0,223609388;0,006571434;-0,231350504;0,065144192;-0,168955183;-0,0572449;-0,078406021;-0,215216117;-0,129660308;-0,006054714;0,244701218;-0,067475021;-0,075337118;-0,139120599;-0,155737705
Risk premium;Basic Materials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Basic Materials;0,3838;0,4123;0,6368;1,0392;1,3005;1,4057;1,2746;1,1981;1,0837;0,6893;0,7692;1,7934;1,842;1,642;1,6682;1,7604;1,762;1,8337;1,1335;1,2741;1,1835;1,1682;1,4553;1,0104;1,0294;1,0465;1,0351;1,0947;1,1147;1,2078;1,4694;1,3822;1,6471;1,9702;2,0759;0,8782;0,9073;1,066;1,1218;1,098;1,1054;2,0455;2,0234;2,7437;2,6239;2,3524;2,266;2,2682;2,2743;2,2077;2,4737;1,9657;2,334;2,3446;2,2083;2,4616;1,9165;1,5245;1,7426;1,4934;1,1977;1,0063;1,0292;0,9845;1,0555;0,9611;0,3868;0,3584;0,4408;1,278;1,2832;1,2534;1,2646;1,2601;1,084;1,1188;1,021;1,0216;0,4728;0,4197;1,2158;0,9386;1,0111;1,6219;1,7415;1,8416;1,8585;1,7623;1,7468;1,7563;1,8157;1,8866;1,2511;1,1505;1,1756;1,2039;1,2393;1,2561;1,0176;1,0374;0,9241;0,8943;0,8838;0,8714;0,6511;0,6837;0,6762;0,6647;0,6187;0,3727;0,2931;0,3742;0,424;0,4817;0,4209;0,6054;0,6386;0,7421;0,7037;0,6886;0,582;0,794;0,8005;0,8149;0,9272;0,9274;0,8968;0,9347;0,5489;0,4011;0,4123;0,3688;0,6112;0,7889;0,801;0,7589;0,5071;0,2328;0,3531;0,3519;0,2893;0,1903;0,2315;0,2061;0,2562;0,3602;0,3347;0,2523;0,0353;0,0891;0,0071;0,0715;0,4824;0,7389;0,7641;0,4285
VO monthly avg;Basic Materials; 0.00 ; 0.24 ; 0.00 ; 0.03 ; 0.05 ; 0.00 ; 0.00 ; 0.02 ; 0.00 ; 0.00 ; 0.00 ; 0.65 ; 2.11 ; 0.33 ; 0.05 ; 1.48 ; 0.06 ; 0.30 ; 0.04 ; 0.21 ; 0.06 ; 0.01 ; 1.19 ; 1.35 ; 0.59 ; 0.13 ; 0.66 ; 0.49 ; 0.31 ; 0.06 ; 0.06 ; 1.49 ; 0.84 ; 0.48 ; 0.54 ; 0.00 ; 0.25 ; 1.54 ; 0.11 ; 0.04 ; 0.00 ; 0.00 ; 0.00 ; 0.01 ; 0.24 ; 0.32 ; 5.26 ; 12.30 ; 1.66 ; 3.28 ; 0.61 ; 0.74 ; 0.72 ; 1.80 ; 6.19 ; 4.17 ; 4.72 ; 6.80 ; 1.96 ; 1.64 ; 2.82 ; 4.64 ; 2.27 ; 6.47 ; 1.98 ; 1.67 ; 1.61 ; 1.63 ; 1.70 ; 1.36 ; 1.67 ; 2.66 ; 1.22 ; 2.35 ; 2.95 ; 1.13 ; 1.54 ; 4.70 ; 2.89 ; 5.99 ; 7.09 ; 7.82 ; 7.10 ; 3.68 ; 1.88 ; 1.98 ; 2.75 ; 5.64 ; 38.80 ; 121.40 ; 10.96 ; 15.05 ; 29.96 ; 35.83 ; 25.93 ; 22.37 ; 7.55 ; 36.01 ; 81.85 ; 17.26 ; 27.58 ; 10.28 ; 41.95 ; 61.60 ; 14.98 ; 45.75 ; 32.37 ; 6.62 ; 19.48 ; 83.78 ; 5.72 ; 10.48 ; 24.89 ; 17.06 ; 6.40 ; 7.03 ; 11.98 ; 401.98 ; 98.22 ; 153.22 ; 80.90 ; 49.05 ; 45.37 ; 41.41 ; 69.59 ; 13.66 ; 42.47 ; 48.76 ; 117.73 ; 75.84 ; 16.57 ; 81.87 ; 52.66 ; 159.50 ; 611.38 ; 48.95 ; 28.52 ; 77.39 ; 6.82 ; 19.89 ; 29.05 ; 36.35 ; 15.18 ; 43.38 ; 45.17 ; 35.81 ; 22.50 ; 27.91 ; 54.72 ; 35.19 ; 58.48 ; 33.05 ; 203.66 ; 54.38 ; 20.50 ; 34.89 ; 52.41 
Total assets;Basic Materials;71098;71098;71098;71098;48337;48337;48337;48337;48337;48337;48337;48337;48337;48337;48337;48337;49507;49507;49507;49507;49507;49507;49507;49507;49507;49507;49507;49507;43215;43215;43215;43215;43215;43215;43215;43215;43215;43215;43215;43215;49274;49274;49274;49274;49274;49274;49274;49274;49274;49274;49274;49274;54884;54884;54884;54884;54884;54884;54884;54884;54884;54884;54884;54884;68188;68188;68188;68188;68188;68188;68188;68188;68188;68188;68188;68188;73778;73778;73778;73778;73778;73778;73778;73778;73778;73778;73778;3097131;3097131;3097131;3097131;3097131;3097131;3097131;3097131;3097131;3097131;3097131;3097131;1750928;1750928;1750928;1750928;1750928;1750928;1750928;1750928;1750928;1750928;1750928;1750928;1097249;1097249;1097249;1097249;1097249;1097249;1097249;1097249;1097249;1097249;1097249;1097249;1103537;1103537;1103537;1103537;1103537;1103537;1103537;1103537;1103537;1103537;1103537;1103537;1225427;1225427;1225427;1225427;1225427;1225427;1225427;1225427;1225427;1225427;1225427;1225427;1278089;1278089;1278089;1278089;1278089;1278089;1278089;1278089;1278089;1278089
Net sales;Basic Materials;83641;83641;83641;83641;73584;73584;73584;73584;73584;73584;73584;73584;73584;73584;73584;73584;79560;79560;79560;79560;79560;79560;79560;79560;79560;79560;79560;79560;77959;77959;77959;77959;77959;77959;77959;77959;77959;77959;77959;77959;91959;91959;91959;91959;91959;91959;91959;91959;91959;91959;91959;91959;104561;104561;104561;104561;104561;104561;104561;104561;104561;104561;104561;104561;112596;112596;112596;112596;112596;112596;112596;112596;112596;112596;112596;112596;121683;121683;121683;121683;121683;121683;121683;121683;121683;121683;121683;1633911;1633911;1633911;1633911;1633911;1633911;1633911;1633911;1633911;1633911;1633911;1633911;1805584;1805584;1805584;1805584;1805584;1805584;1805584;1805584;1805584;1805584;1805584;1805584;1299545;1299545;1299545;1299545;1299545;1299545;1299545;1299545;1299545;1299545;1299545;1299545;1087503;1087503;1087503;1087503;1087503;1087503;1087503;1087503;1087503;1087503;1087503;1087503;1186428;1186428;1186428;1186428;1186428;1186428;1186428;1186428;1186428;1186428;1186428;1186428;1274437;1274437;1274437;1274437;1274437;1274437;1274437;1274437;1274437;1274437
common equity;Basic Materials;30690;30690;30690;30690;39991;39991;39991;39991;39991;39991;39991;39991;39991;39991;39991;39991;40518;40518;40518;40518;40518;40518;40518;40518;40518;40518;40518;40518;33949;33949;33949;33949;33949;33949;33949;33949;33949;33949;33949;33949;36990;36990;36990;36990;36990;36990;36990;36990;36990;36990;36990;36990;39357;39357;39357;39357;39357;39357;39357;39357;39357;39357;39357;39357;46996;46996;46996;46996;46996;46996;46996;46996;46996;46996;46996;46996;53826;53826;53826;53826;53826;53826;53826;53826;53826;53826;53826;1635157;1635157;1635157;1635157;1635157;1635157;1635157;1635157;1635157;1635157;1635157;1635157;629144;629144;629144;629144;629144;629144;629144;629144;629144;629144;629144;629144;557452;557452;557452;557452;557452;557452;557452;557452;557452;557452;557452;557452;554063;554063;554063;554063;554063;554063;554063;554063;554063;554063;554063;554063;585857;585857;585857;585857;585857;585857;585857;585857;585857;585857;585857;585857;653468;653468;653468;653468;653468;653468;653468;653468;653468;653468
Turnover ratio;Basic Materials;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,03%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,01%;0,01%;0,01%;0,02%;0,00%;0,00%;0,01%;0,01%;0,01%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,01%;0,01%;0,00%;0,00%;0,01%;0,01%;0,01%;0,02%;0,02%;0,02%;0,01%;0,00%;0,00%;0,01%;0,01%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,04%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,02%;0,02%;0,01%;0,02%;0,03%;0,02%;0,03%;0,02%;0,11%;0,03%;0,01%;0,02%;0,03%
Return monthly;Basic Materials;;1,142458101;0;-0,265971317;0;0;0;0,545293073;0;0;0;-0,352873563;1,452930728;-0,25923244;-0,250244379;0,134289439;-0,118390805;0;-0,132985658;0,538345865;-0,049853372;0,052469136;0,250244379;-0,240031274;-0,104938272;-0,059770115;-0,062347188;-0,066492829;-0,42877095;0,249388753;0;0,902152642;-0,474279835;0;0,802348337;0;-0,111834962;0,250611247;-0,250244379;-0,333767927;0,101761252;0;0;-0,092362345;1,001956947;-0,049853372;1,630658436;0,180289402;-0,067925779;0,054745823;0,085945399;-0,206393544;0,160344153;0,37917088;0,37487781;0,560078208;0,147088983;-0,128228049;-0,088185029;-0,096838685;-0,021444383;0,087657288;-0,013388795;0,258498024;-0,091917923;-0,047613558;-0,162571117;-0,019080659;0,038461538;0;-0,007379027;-0,104503217;0,025063857;0,02445102;0,031620553;0,007810197;0,038163474;0,286760563;0,028568301;0,249973396;0,106674613;0,927686745;-0,181259478;-0,058539676;-0,162153767;-0,161280356;0,300007368;-0,186398413;-0,359988855;0,016978668;-0,055864726;-0,23078667;-0,192307692;0,142857143;-0,041666667;-0,086956522;0,057288816;-0,144262295;-0,136721113;-0,195281476;0,136429608;0,013282248;0;0,052684648;-0,037356322;0;0,064925373;-0,109787433;0,027289425;0,013282248;-0,065792791;-0,154883972;-0,150063857;-0,254695718;-0,368447581;0;0,124501197;0,03761533;0,049247606;0,125162973;-0,05561993;-0,058895706;-0,062581486;-0,066759388;0,071535022;-0,132823366;-0,076984763;-0,083405734;-0,181990521;0,333719583;-0,083405734;0,090995261;0;0,249348393;0;-0,066759388;-0,070789866;0;0,076182839;0;0;0;-0,142324888;0,083405734;-0,149959904;0,151886792;-0,082719083;0,01875;-0,004382121;-0,133802817;-0,050813008;0,080299786;0,350842418;0,055025679;0,052851182;-0,033025099;-0,155737705
