Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Industrials;52916;52916;52916;52916;52916;52916;52916;49322;49322;49322;49322;49322;49322;49322;49322;49322;49322;49322;49322;42698;42698;42698;42698;42698;42698;42698;42698;42698;42698;42698;42698;64789;64789;64789;64789;64789;64789;64789;64789;64789;64789;64789;64789;67455;67455;67455;67455;67455;67455;67455;67455;67455;67455;67455;67455;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excess return;Industrials;;-0,030229464;-0,06977937;-0,111605839;0,88766255;-0,416501635;-0,127463;0,003723947;-0,287959625;0,572639167;-0,2602235;-0,0928098;-0,212854069;-0,104512;-0,329454545;-0,324897546;-0,181798047;0,085957108;0,010340749;-0,194229016;-0,471551943;0,752578003;-0,2875024;-0,0568507;0,038904149;-0,000986253;-0,008541584;0,195589804;0,010290687;-0,030064064;-0,164555956;-0,0573;0,116835567;0,449372148;-0,0709818;0,297491482;-0,029892492;-0,042972333;0,122475215;0,081372868;-0,163295342;-0,313343807;-0,0714998;-0,465187133;0,558054177;-0,1241804;0,110983153;-0,197377679;-0,0947041;-0,048561254;-0,139980872;-0,187757457;-0,235400901;0,071075058;-0,1229668;-0,1445767;-0,1556243;0,101841589;-0,1775696;-0,1809578;0,076499884;0,059934788;-0,167616211;-0,1863045;-0,1766451;-0,1835282;-0,0857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Risk premium;Industrials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Industrials;0,2944;-0,1029;-0,1119;0,4435;0,4606;0,4113;0,301;0,2409;-0,3;-0,2075;-0,1868;-0,1554;-0,0407;-0,276;-0,2732;-0,1155;-0,1196;-0,1557;0,0245;-0,0341;-0,2566;-0,2266;-0,2154;-0,2324;-0,2273;-0,2074;-1,0105;-1,0103;-0,726;-0,731;-0,7131;-0,6;-0,2784;-0,2568;-0,3114;-0,235;-0,2452;-0,1515;-0,1358;-0,0895;-0,1173;-0,4646;-0,5254;0,4326;0,3947;0,3108;0,2227;0,2236;0,2207;0,1327;0,3908;0,5537;0,7139;0,7097;0,6836;1,0409;1,1861;1,329;1,5392;1,6406;1,7804;1,8374;1,7696;1,7715;1,6277;1,6814;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VO monthly avg;Industrials; 10.00 ; 13.12 ; 5.61 ; 3.59 ; 3.30 ; 1.17 ; 0.00 ; 0.21 ; 0.53 ; 0.12 ; 0.59 ; 0.00 ; 0.53 ; 0.00 ; 2.63 ; 3.69 ; 3.49 ; 0.84 ; 12.37 ; 5.95 ; 0.05 ; 1.91 ; 1.76 ; 7.99 ; 1.18 ; 2.59 ; 1.51 ; 1.07 ; 0.02 ; 12.53 ; 4.76 ; 3.00 ; 4.17 ; 1.12 ; 0.91 ; 4.23 ; 5.13 ; 0.14 ; 0.79 ; 12.19 ; 2.75 ; 3.10 ; 0.00 ; 2.29 ; 3.51 ; 0.67 ; 5.53 ; 1.46 ; 0.59 ; 2.88 ; 9.90 ; 1.45 ; 0.11 ; 0.88 ; 0.00 ; 4.21 ; 2.26 ; 2.29 ; 2.48 ; 0.00 ; 0.67 ; 2.75 ; 0.00 ; 0.05 ; 0.00 ; 0.30 ; 0.29 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 
Total assets;Industrials;83907;83907;83907;83907;83907;83907;83907;81893;81893;81893;81893;81893;81893;81893;81893;81893;81893;81893;81893;79056;79056;79056;79056;79056;79056;79056;79056;79056;79056;79056;79056;104193;104193;104193;104193;104193;104193;104193;104193;104193;104193;104193;104193;105845;105845;105845;105845;105845;105845;105845;105845;105845;105845;105845;105845;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Net sales;Industrials;126083;126083;126083;126083;126083;126083;126083;134197;134197;134197;134197;134197;134197;134197;134197;134197;134197;134197;134197;142869;142869;142869;142869;142869;142869;142869;142869;142869;142869;142869;142869;131656;131656;131656;131656;131656;131656;131656;131656;131656;131656;131656;131656;125754;125754;125754;125754;125754;125754;125754;125754;125754;125754;125754;125754;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
common equity;Industrials;30991;30991;30991;30991;30991;30991;30991;32571;32571;32571;32571;32571;32571;32571;32571;32571;32571;32571;32571;36358;36358;36358;36358;36358;36358;36358;36358;36358;36358;36358;36358;39404;39404;39404;39404;39404;39404;39404;39404;39404;39404;39404;39404;38390;38390;38390;38390;38390;38390;38390;38390;38390;38390;38390;38390;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turnover ratio;Industrials;0,06%;0,07%;0,03%;0,02%;0,02%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,02%;0,02%;0,00%;0,07%;0,03%;0,00%;0,01%;0,01%;0,04%;0,01%;0,01%;0,01%;0,01%;0,00%;0,07%;0,03%;0,02%;0,02%;0,01%;0,01%;0,02%;0,03%;0,00%;0,00%;0,07%;0,02%;0,02%;0,00%;0,01%;0,02%;0,00%;0,03%;0,01%;0,00%;0,02%;0,05%;0,01%;0,00%;0,00%;0,00%;0,02%;0,01%;0,01%;0,01%;0,00%;0,00%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Return monthly;Industrials;;0,086887836;0,03997093;0,038434661;1,03718035;-0,272689735;0;0,124900647;-0,199959625;0,666666667;-0,1666919;0;-0,100018169;0;-0,222166145;-0,199974046;-0,071532847;0,192348008;0,129084249;-0,085777316;-0,375017743;0,850102203;-0,1891726;0,0333081;0,129084249;0,085647547;0,026296916;0,230840904;0,062452687;0,019682936;-0,115381256;0;0,195596367;0,527293748;0;0,374986482;0,045459908;0,043483167;0,208319815;0,172434368;-0,070585242;-0,240513607;0;-0,333333333;0,687520277;0;0,229613253;-0,096390879;0;0,039998846;-0,038460472;-0,066674357;-0,107125201;0,199986158;0;0;0;0,266668589;0;0;0,263165084;0,249990988;0,016668589;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
