Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Basic Materials;189;189;189;189;189;189;189;107;107;107;107;107;107;107;107;107;107;107;107;632;632;632;632;632;632;632;632;632;632;632;632;14357;14357;14357;14357;14357;14357;14357;14357;14357;14357;14357;14357;13204;13204;13204;13204;13204;13204;13204;13204;13204;13204;13204;13204;12983;12983;12983;12983;12983;12983;12983;12983;12983;12983;12983;12983;12769;12769;12769;12769;12769;12769;12769;12769;12769;12769;12769;12769;6873;6873;6873;6873;6873;6873;6873;6873;6873;6873;6873;6873;13974;13974;13974;13974;13974;13974;13974;13974;13974;13974;13974;13974;140144;140144;140144;140144;140144;140144;140144;140144;140144;140144;140144;140144;147941;147941;147941;147941;147941;147941;147941;147941;147941;147941;147941;147941;169144;169144;169144;169144;169144;169144;169144;169144;169144;169144;169144;169144;89758;89758;89758;89758;89758;89758;89758;89758;89758;89758;89758;89758;NA;NA;NA;NA;NA;NA
Excess return;Basic Materials;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,392470687;1,127587721;0,538666236;0,411760753;0,268103089;-0,089388473;-0,170734803;-0,293437286;0,066329468;0,152658115;0,134340833;-0,015346416;-0,116355627;0,085631168;0,013037375;0,166238006;0,16438915;-0,064372172;-0,560648202;-0,198730304;-0,583265633;-0,581493709;-0,228122607;-0,410066885;-0,293386061;-0,215690481;-0,067444037;0,199670788;0,109216952;-0,341565269;-0,083997081;-0,10309138;0,043223838;-0,282449777;-0,347459131;-0,135167784;0,004764259;-0,051575929;-0,222380092;-0,160619794;-0,385474397;-0,296077164;-0,212849828;-0,333736152;-0,08134132;-0,131526211;-0,304814791;0,019174913;0,125888974;-0,325341789;-0,327771376;0,009667342;-0,142993099;-0,235265759;-0,142311811;-0,162722974;-0,334886033;-0,019342625;-0,152301997;-0,112212691;-0,056656309;-0,10257841;-0,246763255;-0,28604855;-0,53015006;0,005051749;-0,44253083;-0,4456781;-0,34189365;-0,204618199;-0,182910635;-0,041509279;0,273598626;-0,522673445;-0,265623847;-0,436710166;-0,066082105;-0,162712762;-0,365368182;-0,344191215;-0,109176683;-0,1872886;-0,218310915;-0,170386183
Risk premium;Basic Materials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Basic Materials;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-21,1182;-12,0618;-11,0368;-11,0425;-9,0925;-1,9015;-0,9064;0,3162;0,6615;1,0178;0,2479;0,3969;0,7262;0,7707;0,7187;0,7994;0,8615;0,8546;1,5097;1,5242;1,8512;2,0468;2,0285;1,8776;1,8941;1,6928;1,7741;1,8303;1,8239;1,8573;1,7495;1,7542;1,7184;1,6193;1,6307;1,669;1,6527;1,702;1,639;1,5807;1,6085;1,6183;1,4055;1,2925;1,2686;1,0166;1,0403;1,0788;0,9962;0,9682;1,0264;1,06;0,6727;0,7342;0,6346;0,6102;0,7964;1,0196;1,019;0,9567;1,212;1,333;1,3443;1,3234;1,4578;1,4616;1,5142;1,4403;1,4674;1,3716;1,3633;1,2536;1,9387;2,2169;2,1824;2,2574;2,1881;1,8289;1,7796;1,7555;1,7713;1,7556;1,7022;1,7549
VO monthly avg;Basic Materials; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 1.63 ; 562.94 ; 130.15 ; 40.47 ; 35.92 ; 60.20 ; 213.68 ; 228.53 ; 92.66 ; 49.36 ; 88.03 ; 326.21 ; 85.54 ; 483.43 ; 77.13 ; 1540.76 ; 289.07 ; 305.91 ; 176.84 ; 179.38 ; 52.40 ; 72.93 ; 103.01 ; 54.07 ; 57.72 ; 57.66 ; 83.84 ; 144.40 ; 86.52 ; 3500.97 ; 86.78 ; 63.86 ; 59.59 ; 172.80 ; 163.57 ; 47.54 ; 45.23 ; 114.44 ; 98.48 ; 134.20 ; 90.06 ; 142.72 ; 63.07 ; 77.92 ; 194.03 ; 55.33 ; 129.52 ; 376.11 ; 221.05 ; 245.55 ; 179.21 ; 196.27 ; 248.02 ; 212.05 ; 373.78 ; 265.84 ; 190.40 ; 399.00 ; 603.60 ; 487.73 ; 430.55 ; 704.84 ; 528.10 ; 665.56 ; 442.79 ; 698.19 ; 602.61 ; 651.36 ; 549.53 ; 785.32 ; 376.76 ; 435.93 ; 494.36 ; 2059.32 ; 821.49 ; 715.25 ; 262.99 ; 142.91 ; 526.44 ; 391.03 ; 412.39 ; 320.35 ; 259.31 ; 102.13 ; 357.11 
Total assets;Basic Materials;1531;1531;1531;1531;1531;1531;1531;5635;5635;5635;5635;5635;5635;5635;5635;5635;5635;5635;5635;5030;5030;5030;5030;5030;5030;5030;5030;5030;5030;5030;5030;20381;20381;20381;20381;20381;20381;20381;20381;20381;20381;20381;20381;21706;21706;21706;21706;21706;21706;21706;21706;21706;21706;21706;21706;20645;20645;20645;20645;20645;20645;20645;20645;20645;20645;20645;20645;163647;163647;163647;163647;163647;163647;163647;163647;163647;163647;163647;163647;501331;501331;501331;501331;501331;501331;501331;501331;501331;501331;501331;501331;537614;537614;537614;537614;537614;537614;537614;537614;537614;537614;537614;537614;766563;766563;766563;766563;766563;766563;766563;766563;766563;766563;766563;766563;554608;554608;554608;554608;554608;554608;554608;554608;554608;554608;554608;554608;537734;537734;537734;537734;537734;537734;537734;537734;537734;537734;537734;537734;464418;464418;464418;464418;464418;464418;464418;464418;464418;464418;464418;464418;NA;NA;NA;NA;NA;NA
Net sales;Basic Materials;0;0;0;0;0;0;0;85;85;85;85;85;85;85;85;85;85;85;85;257;257;257;257;257;257;257;257;257;257;257;257;15066;15066;15066;15066;15066;15066;15066;15066;15066;15066;15066;15066;29403;29403;29403;29403;29403;29403;29403;29403;29403;29403;29403;29403;31325;31325;31325;31325;31325;31325;31325;31325;31325;31325;31325;31325;61739;61739;61739;61739;61739;61739;61739;61739;61739;61739;61739;61739;46802;46802;46802;46802;46802;46802;46802;46802;46802;46802;46802;46802;21962;21962;21962;21962;21962;21962;21962;21962;21962;21962;21962;21962;110221;110221;110221;110221;110221;110221;110221;110221;110221;110221;110221;110221;231746;231746;231746;231746;231746;231746;231746;231746;231746;231746;231746;231746;235076;235076;235076;235076;235076;235076;235076;235076;235076;235076;235076;235076;991;991;991;991;991;991;991;991;991;991;991;991;NA;NA;NA;NA;NA;NA
common equity;Basic Materials;1342;1342;1342;1342;1342;1342;1342;5528;5528;5528;5528;5528;5528;5528;5528;5528;5528;5528;5528;4398;4398;4398;4398;4398;4398;4398;4398;4398;4398;4398;4398;3333;3333;3333;3333;3333;3333;3333;3333;3333;3333;3333;3333;5296;5296;5296;5296;5296;5296;5296;5296;5296;5296;5296;5296;5156;5156;5156;5156;5156;5156;5156;5156;5156;5156;5156;5156;147807;147807;147807;147807;147807;147807;147807;147807;147807;147807;147807;147807;491387;491387;491387;491387;491387;491387;491387;491387;491387;491387;491387;491387;516000;516000;516000;516000;516000;516000;516000;516000;516000;516000;516000;516000;621165;621165;621165;621165;621165;621165;621165;621165;621165;621165;621165;621165;406124;406124;406124;406124;406124;406124;406124;406124;406124;406124;406124;406124;368028;368028;368028;368028;368028;368028;368028;368028;368028;368028;368028;368028;374031;374031;374031;374031;374031;374031;374031;374031;374031;374031;374031;374031;NA;NA;NA;NA;NA;NA
Turnover ratio;Basic Materials;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0,00%;0,60%;0,14%;0,04%;0,04%;0,04%;0,11%;0,11%;0,04%;0,02%;0,04%;0,15%;0,03%;0,16%;0,03%;0,51%;0,09%;0,09%;0,04%;0,04%;0,01%;0,02%;0,03%;0,01%;0,01%;0,01%;0,02%;0,04%;0,02%;0,85%;0,02%;0,02%;0,01%;0,04%;0,04%;0,01%;0,01%;0,02%;0,02%;0,03%;0,02%;0,03%;0,01%;0,01%;0,04%;0,01%;0,02%;0,07%;0,04%;0,05%;0,03%;0,04%;0,05%;0,04%;0,07%;0,05%;0,04%;0,08%;0,11%;0,08%;0,07%;0,11%;0,08%;0,10%;0,07%;0,11%;0,09%;0,10%;0,07%;0,10%;0,05%;0,06%;0,06%;0,24%;0,08%;0,07%;0,03%;0,01%;0,05%;0,04%;0,04%;0,03%;0,02%;0,01%;0,03%
Return monthly;Basic Materials;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,709127287;0,510619321;-0,080261264;-0,081166747;0,233308589;-0,060791673;-0,064764203;-0,169212786;0,211100868;0,253825815;0,245095533;0,116554184;0,021948473;0,223159268;0,157899575;0,321212506;0,32522895;0,122538928;-0,373423602;0,006395296;-0,363317233;-0,370198209;-0,036583807;-0,211388585;-0,101139661;-0,017872181;0,132764863;0,402876488;0,315776852;-0,142596769;0,113567519;0,09291782;0,234989738;-0,089065677;-0,151862131;0,059402316;0,199490259;0,136781071;-0,038095992;0,027665706;-0,195721497;-0,125480664;-0,052172328;-0,174314352;0,06110448;0,016762689;-0,155500391;0,168285513;0,273485574;-0,173778589;-0,176591376;0,134947442;-0,012738499;-0,112885959;-0,025469211;-0,029849774;-0,192301233;0,123804375;-0,012729897;0,041493309;0,105772691;0,06086249;-0,086639055;-0,11665715;-0,36576926;0,167096349;-0,28434193;-0,2876319;-0,18853285;-0,052030299;-0,040083835;0,145878821;0,477313326;-0,320032245;-0,063307647;-0,227059866;0,124938595;0,027802038;-0,172921682;-0,156849315;0,077376117;0;-0,028652215;-0,170386183
