Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Financials;69728600;81207200;81207200;81207200;81207200;81207200;81207200;81207200;81207200;81207200;81207200;81207200;81207200;77774000;77774000;77774000;77774000;77774000;77774000;77774000;77774000;77774000;77774000;77774000;77774000;87853800;87853800;87853800;87853800;87853800;87853800;87853800;87853800;87853800;87853800;87853800;87853800;101103000;101103000;101103000;101103000;101103000;101103000;101103000;101103000;101103000;101103000;101103000;101103000;155429000;155429000;155429000;155429000;155429000;155429000;155429000;155429000;155429000;155429000;155429000;155429000;187191000;187191000;187191000;187191000;187191000;187191000;187191000;187191000;187191000;187191000;187191000;187191000;206860000;206860000;206860000;206860000;206860000;206860000;206860000;206860000;206860000;206860000;206860000;206860000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excess return;Financials;;-0,153132957;-0,296065873;-0,195786913;-0,100394387;-0,152161243;-0,066462252;-0,177497545;-0,130583867;-0,231618581;-0,121736312;-0,093594881;-0,164946824;-0,13689676;-0,129351268;-0,205911997;0,051827349;-0,210624698;-0,228920193;-0,157185442;-0,14160226;-0,161863972;-0,097460675;-0,026963645;-0,220145602;-0,155608928;-0,117721596;-0,260538104;-0,117104663;-0,100765705;-0,087863736;-0,104733341;-0,143845887;-0,191283385;0,004993192;-0,185030993;-0,065350742;-0,137788343;-0,122519256;-0,18179467;-0,117653781;-0,140064276;-0,202367226;-0,150453314;-0,08468319;-0,071164894;-0,175360166;-0,034547876;-0,094285848;-0,159436134;-0,124030088;-0,142785225;-0,160187001;-0,1404464;-0,178642821;-0,081427073;-0,103616731;-0,110499349;-0,12061268;-0,001444496;-0,076944605;0,00616166;-0,123061419;-0,069530813;-0,167118587;-0,1980117;-0,15175557;-0,090179715;-0,179951844;-0,064338055;-0,10332729;-0,076162764;-0,046970488;-0,092575718;-0,177474541;-0,061600185;-0,00194155;-0,131716155;-0,156135254;-0,118548458;-0,139783015;-0,141759459;-0,056808095;-0,191661403;-0,137693448;-0,338301024;-0,099758246;-0,146066241;-0,180588945;-0,146815363;-0,295654977;-0,116205582;-0,033339143;-0,166880986;-0,224396392;-0,078183948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Risk premium;Financials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Financials;0,9986;1,1037;1,0366;0,8634;0,8808;0,7857;0,7622;0,7524;0,761;0,691;0,6866;0,5678;0,5597;0,5256;0,5289;0,51;0,5115;0,5205;0,4962;0,456;0,4428;0,4373;0,4563;0,4146;0,4203;0,4082;0,6046;0,6011;0,5797;0,5854;0,5883;0,5764;0,5533;0,6164;0,6194;0,6977;0,6928;0,6927;0,7104;0,6985;0,7093;0,7823;0,7819;0,8212;0,8287;0,841;0,8495;0,8491;0,8589;0,8883;0,7847;0,8081;0,8959;0,8928;0,9017;0,907;0,8293;0,7295;0,6845;0,6861;0,7643;0,7201;0,7231;0,7435;0,7901;0,7674;0,7118;0,6868;0,672;0,6037;0,6026;0,6218;0,6117;0,6349;0,6397;0,6767;0,6816;0,6985;0,6867;0,6932;0,7699;0,8364;0,9025;0,6802;0,9519;0,9033;0,874;0,8627;0,8659;0,9936;0,8325;0,857;0,7639;0,7755;0,7676;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VO monthly avg;Financials; 68.00 ; 184.07 ; 419.41 ; 534.51 ; 351.17 ; 327.67 ; 280.20 ; 239.65 ; 174.88 ; 346.94 ; 318.70 ; 316.06 ; 437.30 ; 271.75 ; 448.20 ; 278.76 ; 354.51 ; 337.59 ; 493.08 ; 246.57 ; 355.56 ; 301.57 ; 221.80 ; 215.87 ; 314.47 ; 216.55 ; 443.49 ; 495.57 ; 370.80 ; 280.00 ; 784.50 ; 316.99 ; 388.81 ; 484.73 ; 491.64 ; 316.66 ; 208.79 ; 418.97 ; 622.81 ; 407.90 ; 496.58 ; 266.80 ; 310.59 ; 241.90 ; 296.74 ; 517.79 ; 448.38 ; 539.00 ; 304.75 ; 400.60 ; 511.09 ; 414.76 ; 544.81 ; 462.20 ; 396.98 ; 732.82 ; 452.82 ; 537.47 ; 535.98 ; 373.97 ; 406.88 ; 532.21 ; 589.61 ; 397.74 ; 380.47 ; 459.01 ; 466.92 ; 351.13 ; 449.27 ; 403.93 ; 368.54 ; 390.62 ; 284.67 ; 463.49 ; 473.22 ; 429.40 ; 356.29 ; 628.31 ; 542.25 ; 454.06 ; 599.55 ; 291.45 ; 318.70 ; 301.06 ; 252.58 ; 352.70 ; 425.56 ; 433.41 ; 324.02 ; 394.16 ; 544.82 ; 650.22 ; 707.54 ; 445.41 ; 546.29 ; 268.14 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 
Total assets;Financials;75882000;89401400;89401400;89401400;89401400;89401400;89401400;89401400;89401400;89401400;89401400;89401400;89401400;86260100;86260100;86260100;86260100;86260100;86260100;86260100;86260100;86260100;86260100;86260100;86260100;96557900;96557900;96557900;96557900;96557900;96557900;96557900;96557900;96557900;96557900;96557900;96557900;109598000;109598000;109598000;109598000;109598000;109598000;109598000;109598000;109598000;109598000;109598000;109598000;165030000;165030000;165030000;165030000;165030000;165030000;165030000;165030000;165030000;165030000;165030000;165030000;199891000;199891000;199891000;199891000;199891000;199891000;199891000;199891000;199891000;199891000;199891000;199891000;220384000;220384000;220384000;220384000;220384000;220384000;220384000;220384000;220384000;220384000;220384000;220384000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Net sales;Financials;22739200;23166100;23166100;23166100;23166100;23166100;23166100;23166100;23166100;23166100;23166100;23166100;23166100;22799900;22799900;22799900;22799900;22799900;22799900;22799900;22799900;22799900;22799900;22799900;22799900;24644100;24644100;24644100;24644100;24644100;24644100;24644100;24644100;24644100;24644100;24644100;24644100;21481000;21481000;21481000;21481000;21481000;21481000;21481000;21481000;21481000;21481000;21481000;21481000;50733000;50733000;50733000;50733000;50733000;50733000;50733000;50733000;50733000;50733000;50733000;50733000;30353000;30353000;30353000;30353000;30353000;30353000;30353000;30353000;30353000;30353000;30353000;30353000;50164000;50164000;50164000;50164000;50164000;50164000;50164000;50164000;50164000;50164000;50164000;50164000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
common equity;Financials;6152400;8193200;8193200;8193200;8193200;8193200;8193200;8193200;8193200;8193200;8193200;8193200;8193200;8485100;8485100;8485100;8485100;8485100;8485100;8485100;8485100;8485100;8485100;8485100;8485100;8703100;8703100;8703100;8703100;8703100;8703100;8703100;8703100;8703100;8703100;8703100;8703100;8494000;8494000;8494000;8494000;8494000;8494000;8494000;8494000;8494000;8494000;8494000;8494000;9434000;9434000;9434000;9434000;9434000;9434000;9434000;9434000;9434000;9434000;9434000;9434000;10665000;10665000;10665000;10665000;10665000;10665000;10665000;10665000;10665000;10665000;10665000;10665000;11029000;11029000;11029000;11029000;11029000;11029000;11029000;11029000;11029000;11029000;11029000;11029000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turnover ratio;Financials;0,03%;0,07%;0,15%;0,20%;0,13%;0,12%;0,10%;0,09%;0,06%;0,13%;0,12%;0,12%;0,16%;0,10%;0,16%;0,10%;0,13%;0,12%;0,18%;0,09%;0,13%;0,11%;0,08%;0,08%;0,11%;0,08%;0,16%;0,18%;0,14%;0,10%;0,29%;0,12%;0,14%;0,18%;0,18%;0,12%;0,08%;0,15%;0,23%;0,15%;0,18%;0,10%;0,11%;0,09%;0,11%;0,19%;0,16%;0,21%;0,11%;0,14%;0,18%;0,15%;0,20%;0,17%;0,14%;0,26%;0,16%;0,19%;0,19%;0,13%;0,15%;0,19%;0,21%;0,14%;0,14%;0,16%;0,17%;0,13%;0,16%;0,14%;0,13%;0,14%;0,10%;0,17%;0,17%;0,15%;0,12%;0,22%;0,19%;0,16%;0,21%;0,10%;0,11%;0,10%;0,09%;0,12%;0,15%;0,15%;0,11%;0,14%;0,19%;0,23%;0,24%;0,15%;0,19%;0,09%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Return monthly;Financials;;0,040000143;-0,113960073;-0,019292713;0,075596013;0,015237857;0,090056348;-0,024096345;0,024259133;-0,080985581;0,026819488;0,044776519;-0,014285724;0,01811604;0,028469432;-0,041581997;0,201851849;-0,061633198;-0,080459593;-0,017857442;-0,00100586;-0,022514072;0,043186225;0,103956155;-0,089166702;-0,030192328;0,018868204;-0,123768804;0,017316437;0,031914495;0,043299164;0,026679859;-0,012687987;-0,058350185;0,134615392;-0,048775893;0,069095658;0,001851757;0,016635944;-0,04108917;0,027132119;0,011320624;-0,048507526;0,005882286;0,07212491;0,086418106;-0,017241666;0,105845424;0,040624852;-0,023273234;0,002306012;-0,005674925;-0,020445301;0;-0,041935721;0,054713927;0,029529169;0,016559151;0,00311082;0,119379804;0,045706295;0,12582796;-0,004706119;0,052009687;-0,043242287;-0,0720655;-0,02121217;0,038888685;-0,050935844;0,054095045;0,01498651;0,041610636;0,069716612;0,023972982;-0,058823441;0,057781915;0,12089925;-0,002710655;-0,027173154;0,011173142;-0,008729315;-0,008416259;0,085599405;-0,063058803;0,008426252;-0,191643124;0,047553754;0,002783859;-0,025337245;0,022781437;-0,151407477;0,028985418;0,103286557;-0,027024486;-0,092537592;-0,004933948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
