Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Financials;2539363;2539363;2539363;2539363;16950804;16950804;16950804;16950804;16950804;16950804;16950804;16950804;16950804;16950804;16950804;16950804;16616423;16616423;16616423;16616423;16616423;16616423;16616423;16616423;16616423;16616423;16616423;16616423;16662171;16662171;16662171;16662171;16662171;16662171;16662171;16662171;16662171;16662171;16662171;16662171;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excess return;Financials;;-0,01629342;-0,331778406;-0,188204166;-0,166787918;-0,119792652;-0,191493325;-0,146550525;0,048656145;-0,283368086;-0,101828787;-0,15493355;-0,167451241;-0,150832349;-0,323935435;-0,158783859;-0,013888843;-0,0852877;-0,225627418;-0,172789587;-0,200845428;-0,16339362;-0,057621064;-0,14497779;-0,092237722;-0,138758071;-0,1349329;-0,193447391;-0,279140204;-0,028156443;-0,033124269;-0,053494636;-0,16576581;-0,106583123;-0,030093759;0,019597644;-0,179763123;-0,050161659;-0,148429089;-0,162263944;-0,143093226;-0,185453736;-0,014353933;-0,146598735;-0,059788604;-0,074530445;-0,060945628;0,036863008;-0,015119521;-0,105421715;-0,120759946;-0,103519974;-0,074575097;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Risk premium;Financials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Financials;0,6064;0,5861;0,5579;0,6264;0,6512;0,7859;0,7562;0,8154;0,8507;0,7959;0,7631;0,7529;0,748;0,695;0,6879;0,6972;0,6955;0,7666;0,7017;0,6759;0,652;0,6406;0,6716;0,5555;0,5494;0,541;0,5783;0,596;0,6381;0,6116;0,6265;0,5309;0,4069;0,4528;0,4598;0,4476;0,4705;0,5451;0,5531;0,5548;0,5432;0,4943;0,4794;0,572;0,5874;0,5898;0,6819;0,681;0,6828;0,6671;0,6175;0,521;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VO monthly avg;Financials; 10.40 ; 136.01 ; 111.68 ; 279.41 ; 46.99 ; 35.13 ; 214.15 ; 184.07 ; 198.20 ; 251.55 ; 210.26 ; 138.83 ; 232.47 ; 90.40 ; 571.58 ; 298.93 ; 212.50 ; 138.44 ; 55.93 ; 266.25 ; 86.09 ; 51.36 ; 90.50 ; 133.94 ; 141.06 ; 62.78 ; 597.17 ; 101.90 ; 118.96 ; 92.65 ; 129.25 ; 121.02 ; 316.13 ; 184.70 ; 223.92 ; 72.28 ; 264.89 ; 317.26 ; 168.98 ; 169.56 ; 283.26 ; 241.02 ; 458.09 ; 406.41 ; 328.90 ; 193.43 ; 346.57 ; 407.77 ; 1172.51 ; 1135.89 ; 291.88 ; 319.79 ; 1008.04 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 
Total assets;Financials;3596802;3596802;3596802;3596802;18375584;18375584;18375584;18375584;18375584;18375584;18375584;18375584;18375584;18375584;18375584;18375584;18396160;18396160;18396160;18396160;18396160;18396160;18396160;18396160;18396160;18396160;18396160;18396160;19072413;19072413;19072413;19072413;19072413;19072413;19072413;19072413;19072413;19072413;19072413;19072413;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Net sales;Financials;1028954;1028954;1028954;1028954;17254379;17254379;17254379;17254379;17254379;17254379;17254379;17254379;17254379;17254379;17254379;17254379;5644935;5644935;5644935;5644935;5644935;5644935;5644935;5644935;5644935;5644935;5644935;5644935;3749206;3749206;3749206;3749206;3749206;3749206;3749206;3749206;3749206;3749206;3749206;3749206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
common equity;Financials;1033329;1033329;1033329;1033329;1224780;1224780;1224780;1224780;1224780;1224780;1224780;1224780;1224780;1224780;1224780;1224780;1579737;1579737;1579737;1579737;1579737;1579737;1579737;1579737;1579737;1579737;1579737;1579737;2060625;2060625;2060625;2060625;2060625;2060625;2060625;2060625;2060625;2060625;2060625;2060625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turnover ratio;Financials;0,01%;0,10%;0,08%;0,21%;0,04%;0,03%;0,16%;0,14%;0,14%;0,18%;0,15%;0,10%;0,17%;0,07%;0,32%;0,17%;0,12%;0,08%;0,03%;0,15%;0,05%;0,03%;0,05%;0,07%;0,08%;0,03%;0,32%;0,05%;0,06%;0,05%;0,07%;0,06%;0,17%;0,10%;0,12%;0,04%;0,14%;0,17%;0,09%;0,09%;0,15%;0,13%;0,24%;0,21%;0,17%;0,10%;0,18%;0,21%;0,62%;0,60%;0,15%;0,17%;0,53%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Return monthly;Financials;;0,14423088;-0,179830706;-0,026640966;-0,005262318;0,047619048;-0,035352725;0,010819675;0,209150245;-0,126126386;0,051546513;-0,00490085;-0,004927241;0,014852651;-0,156097735;0,017339741;0,147727657;0,0792081;-0,064220318;-0,019607887;-0,047069428;-0,01123582;0,096589736;-0,00518129;0,046874478;-0,004975071;0;-0,056999391;-0,141039904;0,106174357;0,100445231;0,075052064;-0,04383111;0,016043277;0,089473641;0,140096444;-0,059321623;0,080179641;-0,019183789;-0,030611544;-0,008771626;-0,052212836;0,120448267;-0,005962735;0,081817596;0,067226955;0,086614072;0,166666008;0,108696879;0,016805585;-0,004957446;0,015503026;0,008724903;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
