Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Basic Materials;26054;26054;26054;26054;30633;30633;30633;30633;30633;30633;30633;30633;30633;30633;30633;30633;32133;32133;32133;32133;32133;32133;32133;32133;32133;32133;32133;32133;63186;63186;63186;63186;63186;63186;63186;63186;63186;63186;63186;63186;84081;84081;84081;84081;84081;84081;84081;84081;84081;84081;84081;84081;361395;361395;361395;361395;361395;361395;361395;361395;361395;361395;361395;361395;559546;559546;559546;559546;559546;559546;559546;559546;559546;559546;559546;559546;1930810;1930810;1930810;1930810;1930810;1930810;1930810;1930810;1930810;1930810;1930810;1930810;667310;667310;667310;667310;667310;667310;667310;667310;667310;667310;667310;667310;568791;568791;568791;568791;568791;568791;568791;568791;568791;568791;568791;568791;30196;30196;30196;30196;30196;30196;30196;30196;30196;30196;30196;30196;30196;30196;30196;316;316;316;316;316;316;316;316;316;316;316;316;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excess return;Basic Materials;;0,002144575;-0,080056794;-0,310181444;0,086693477;-0,498701358;-0,009338778;-0,405732862;-0,262697729;-0,1915515;0,179081621;-0,508189996;-0,05096297;-0,50633371;1,486706105;-0,412382676;-0,03133207;-0,2250262;-0,2152658;-0,245024342;-0,2130842;-0,353269964;-0,574537034;-0,364208022;0,825233465;-0,095727812;-0,286343321;-0,579734611;-0,1715596;-0,1617232;-0,225661629;-0,085519837;-0,1601505;0,248153056;-0,1634028;-0,118585025;-0,073683462;0,122428791;-0,1275191;-0,130153;-0,1331246;-0,1345198;-0,203383239;-0,1445546;0,1127786;-0,332635;-0,157961;-0,1404374;-0,3809606;2,219674033;-0,355548467;-0,0841966;-0,1204322;0,53860661;0,043290666;0,000964307;-0,167130298;0,167179487;-0,242846923;0,01174798;0,042442969;1,010751113;-0,331261984;-0,444368827;-0,24229812;0,504862463;-0,224265063;-0,05072648;-0,125554523;-0,038878588;0,072773783;0,019051804;-0,167687839;-0,197737174;-0,022199057;-0,164372471;-0,037270002;-0,229235571;-0,244422107;-0,375860943;-0,430672018;-0,016022921;-0,250527298;-0,138983631;-0,158120945;-0,052806051;-0,033188715;-0,225552302;-0,332436807;-0,1702331;-0,221328882;-0,1513713;-0,176679326;-0,480423497;-0,493590702;-0,108749255;-0,077805007;-0,125365525;-0,055562362;0,002113485;-0,12546436;-0,023720168;-0,364785612;-0,228454031;-0,1485765;-0,353168017;-0,014714573;-0,226185537;-0,207470112;-0,1516151;-0,356293852;-0,252923767;-0,094316475;-0,226760058;-0,379407066;-0,039737362;-0,237088811;-0,127225;-0,213926255;-0,061219214;-0,146391689;-0,160951467;-0,236821159;-0,265889466;-0,083213045;-0,320834459;-0,307261897;-0,514924395;-0,1449503;0,368072914;-0,1328717;-0,130015;-0,1181299;-0,457260095;-0,1059471;0,393814514;-0,1200876;-0,441250595;-0,0994163;0,404752514;-0,425623495;0,926779614;-0,587012304;0,417153614;-0,06525;0;0;0;0;0;0;0;0;0;0;0;0
Risk premium;Basic Materials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Basic Materials;1,0542;1,1773;1,1817;1,3971;1,1207;1,2135;1,4027;1,4164;1,4141;1,3405;1,1552;1,4247;1,421;1,8683;1,8438;1,8017;1,8023;1,7274;1,5566;1,6051;1,5934;1,6429;1,6292;1,1409;1,1173;1,1578;1,2807;1,2837;1,1692;1,0464;1,0294;0,9825;1,0135;0,9156;1,1556;1,1736;1,1711;0,5006;0,5257;0,531;0,5242;0,5146;0,5099;0,6342;0,5178;0,445;0,847;0,8498;0,7962;0,5311;-0,112;-0,0318;0,5894;0,5903;0,6146;0,9529;1,0902;1,4448;1,5171;1,5295;2,3512;2,4292;2,1438;2,0921;1,5577;1,4091;1,4188;1,359;1,5328;1,6497;1,6511;1,4963;2,1611;2,3413;2,2082;1,8885;1,9392;2,006;2,1864;2,3326;2,3247;2,1554;2,177;0,0215;0,0942;0,0549;0,4495;0,9464;0,9311;1,0037;0,9486;0,9551;1,1219;1,2942;1,2573;1,2612;1,2286;1,0183;1,0278;1,0343;1,0691;1,1064;1,0021;1,0085;0,9655;1,0066;0,9993;0,9931;1,022;1,0177;0,9537;0,9935;0,9918;1,0212;1,1357;1,0262;1,004;0,775;0,7594;0,7628;1,1218;1,0132;1,0288;1,035;0,8404;1,3783;1,7018;1,6381;0,9881;0,8501;0,8559;0,805;0,6473;0,722;0,4317;0,4669;0,6752;0,5655;0,5201;0,4409;0,4238;0,0992;0,3225;0,3012;;;;;;;;;;;;
VO monthly avg;Basic Materials; 0.00 ; 183.94 ; 361.77 ; 286.85 ; 150.28 ; 723.82 ; 193.85 ; 143.46 ; 61.99 ; 151.41 ; 479.75 ; 66.49 ; 436.11 ; 286.42 ; 848.09 ; 146.20 ; 458.50 ; 819.73 ; 136.23 ; 4.03 ; 0.00 ; 57.14 ; 45.59 ; 241.63 ; 607.43 ; 495.74 ; 184.25 ; 43.41 ; 17.45 ; 247.62 ; 114.76 ; 64.00 ; 68.86 ; 202.16 ; 229.50 ; 459.17 ; 242.33 ; 366.75 ; 442.96 ; 299.88 ; 253.76 ; 105.07 ; 35.22 ; 3.86 ; 33.90 ; 3.77 ; 0.00 ; 26.81 ; 1900.09 ; 646.26 ; 3004.29 ; 5368.99 ; 104.85 ; 3872.70 ; 13468.45 ; 18607.05 ; 7593.11 ; 31963.59 ; 21454.74 ; 48009.07 ; 36458.42 ; 166020.48 ; 106227.41 ; 107315.83 ; 26744.73 ; 100307.10 ; 40860.36 ; 47554.31 ; 25415.61 ; 48893.25 ; 53811.04 ; 65444.52 ; 57537.71 ; 67455.29 ; 153332.56 ; 61390.02 ; 88690.33 ; 67312.72 ; 121153.85 ; 126540.67 ; 133291.48 ; 70525.72 ; 50823.79 ; 58680.26 ; 26646.52 ; 114750.45 ; 76942.70 ; 59597.22 ; 58993.62 ; 79409.09 ; 97079.04 ; 77824.29 ; 58079.38 ; 81356.99 ; 45095.37 ; 20719.57 ; 26243.20 ; 22395.19 ; 48165.08 ; 32706.17 ; 19193.40 ; 21126.51 ; 35428.77 ; 27349.76 ; 27478.29 ; 58434.66 ; 105807.63 ; 40400.08 ; 43682.47 ; 63239.95 ; 111123.81 ; 77547.63 ; 67277.54 ; 51447.74 ; 66981.16 ; 45182.38 ; 54484.72 ; 47023.31 ; 42752.81 ; 73002.21 ; 44658.14 ; 53109.93 ; 153745.78 ; 30776.59 ; 27608.99 ; 26682.66 ; 21323.84 ; 2186.54 ; 6801.20 ; 18009.43 ; 1731.52 ; 6134.13 ; 2369.18 ; 788.35 ; 932.14 ; 1018.67 ; 677.44 ; 2576.57 ; 821.91 ; 943.27 ; 962.94 ; 8330.03 ; 1262.15 ; 2035.83 ; 3482.25 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 
Total assets;Basic Materials;112062;112062;112062;112062;64549;64549;64549;64549;64549;64549;64549;64549;64549;64549;64549;64549;67333;67333;67333;67333;67333;67333;67333;67333;67333;67333;67333;67333;68769;68769;68769;68769;68769;68769;68769;68769;68769;68769;68769;68769;49160;49160;49160;49160;49160;49160;49160;49160;49160;49160;49160;49160;538612;538612;538612;538612;538612;538612;538612;538612;538612;538612;538612;538612;2027772;2027772;2027772;2027772;2027772;2027772;2027772;2027772;2027772;2027772;2027772;2027772;4017564;4017564;4017564;4017564;4017564;4017564;4017564;4017564;4017564;4017564;4017564;4017564;4088518;4088518;4088518;4088518;4088518;4088518;4088518;4088518;4088518;4088518;4088518;4088518;3685026;3685026;3685026;3685026;3685026;3685026;3685026;3685026;3685026;3685026;3685026;3685026;52470;52470;52470;52470;52470;52470;52470;52470;52470;52470;52470;52470;52470;52470;52470;42204;42204;42204;42204;42204;42204;42204;42204;42204;42204;42204;42204;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Net sales;Basic Materials;29741;29741;29741;29741;46129;46129;46129;46129;46129;46129;46129;46129;46129;46129;46129;46129;51909;51909;51909;51909;51909;51909;51909;51909;51909;51909;51909;51909;38381;38381;38381;38381;38381;38381;38381;38381;38381;38381;38381;38381;30887;30887;30887;30887;30887;30887;30887;30887;30887;30887;30887;30887;200348;200348;200348;200348;200348;200348;200348;200348;200348;200348;200348;200348;602947;602947;602947;602947;602947;602947;602947;602947;602947;602947;602947;602947;854915;854915;854915;854915;854915;854915;854915;854915;854915;854915;854915;854915;1336535;1336535;1336535;1336535;1336535;1336535;1336535;1336535;1336535;1336535;1336535;1336535;940767;940767;940767;940767;940767;940767;940767;940767;940767;940767;940767;940767;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
common equity;Basic Materials;86007;86007;86007;86007;33915;33915;33915;33915;33915;33915;33915;33915;33915;33915;33915;33915;35199;35199;35199;35199;35199;35199;35199;35199;35199;35199;35199;35199;5582;5582;5582;5582;5582;5582;5582;5582;5582;5582;5582;5582;-34922;-34922;-34922;-34922;-34922;-34922;-34922;-34922;-34922;-34922;-34922;-34922;174903;174903;174903;174903;174903;174903;174903;174903;174903;174903;174903;174903;1066475;1066475;1066475;1066475;1066475;1066475;1066475;1066475;1066475;1066475;1066475;1066475;1752585;1752585;1752585;1752585;1752585;1752585;1752585;1752585;1752585;1752585;1752585;1752585;3421208;3421208;3421208;3421208;3421208;3421208;3421208;3421208;3421208;3421208;3421208;3421208;3116234;3116234;3116234;3116234;3116234;3116234;3116234;3116234;3116234;3116234;3116234;3116234;22273;22273;22273;22273;22273;22273;22273;22273;22273;22273;22273;22273;22273;22273;22273;41888;41888;41888;41888;41888;41888;41888;41888;41888;41888;41888;41888;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turnover ratio;Basic Materials;0,00%;0,09%;0,17%;0,13%;0,07%;0,34%;0,09%;0,07%;0,03%;0,07%;0,22%;0,03%;0,20%;0,13%;0,40%;0,07%;0,21%;0,38%;0,06%;0,00%;0,00%;0,03%;0,02%;0,11%;0,28%;0,23%;0,09%;0,02%;0,01%;0,12%;0,05%;0,03%;0,03%;0,09%;0,11%;0,21%;0,11%;0,17%;0,21%;0,14%;0,12%;0,05%;0,02%;0,00%;0,02%;0,00%;0,00%;0,01%;0,89%;0,30%;1,34%;2,39%;0,05%;1,72%;1,82%;2,51%;1,02%;4,31%;2,53%;5,65%;4,29%;19,55%;12,46%;12,30%;3,06%;11,32%;4,32%;4,88%;2,61%;4,93%;5,35%;6,51%;5,68%;6,66%;15,13%;6,06%;8,75%;6,64%;11,44%;11,95%;12,59%;6,66%;4,80%;5,53%;2,51%;10,80%;7,24%;5,61%;5,55%;7,48%;9,14%;7,33%;5,47%;7,66%;4,25%;1,95%;2,47%;2,11%;4,54%;2,94%;1,73%;1,90%;2,90%;2,24%;2,25%;4,78%;8,66%;3,31%;3,58%;5,18%;9,10%;6,35%;5,51%;4,21%;5,48%;3,70%;4,46%;3,85%;3,50%;5,82%;3,56%;4,24%;12,28%;2,46%;2,21%;2,12%;1,69%;0,17%;0,54%;1,43%;0,14%;0,49%;0,19%;0,06%;0,07%;0,08%;0,05%;0,20%;0,07%;0,07%;0,08%;0,66%;0,10%;0,16%;0,28%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Return monthly;Basic Materials;;0,199914475;0,111190306;-0,100064144;0,277797577;-0,304350858;0,187531322;-0,210499662;-0,066709429;0;0,357159221;-0,315833896;0,15396003;-0,26673081;1,727365505;-0,166675576;0,20001283;0;0;-0,033303042;0;-0,137967264;-0,359997434;-0,187531322;1,000123365;0,076913588;-0,107159221;-0,399961511;0;0;-0,066709429;0,071477663;0;0,399935856;0;0,047651775;0,090895838;0,249966591;0;0;0;0;-0,066659539;0;0,25;-0,2;0;0;-0,25;2,333333333;-0,285704467;0;0;0,65999551;0,161910466;0,139997007;-0,017547698;0,339301887;-0,066669623;0,18570648;0,265068569;1,238090713;-0,123402584;-0,237866527;-0,07006302;0,671235763;-0,049180663;0,12069052;0,057691877;0,145452512;0,257143083;0,191918704;0,046611461;0,026314726;0,195267543;0,031353029;0,164799598;-0,017857571;-0,020978907;-0,142857143;-0,201665918;0,200417279;-0,027826298;-0,051879131;-0,066036345;0,040402649;0,087379785;-0,071429102;-0,173077507;0;-0,069767082;0;-0,017499626;-0,307888897;-0,330880802;0,043956345;0,078946793;0,024387375;0,095239038;0,152174385;0,03018894;0,135533032;-0,212903312;-0,077868531;0;-0,200002217;0,138891327;-0,073170237;-0,052634112;0;-0,211110752;-0,105633267;0,055116925;-0,074624458;-0,225807966;0,104163238;-0,094336811;0;-0,083334055;0,068187186;0,010631711;-0,010519867;-0,085106759;-0,116284466;0,052632155;-0,150001559;-0,117648497;-0,333324095;0;0,499979214;0;0;0;-0,333324095;0;0,499979214;0;-0,333324095;0;0,499979214;-0,333324095;0,999979214;-0,499994804;0,499979214;0;0;0;0;0;0;0;0;0;0;0;0;0
