Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Industrials;983200;983200;983200;983200;983200;983200;983200;983200;983200;983200;1391000;1391000;1391000;1391000;1391000;1391000;1391000;1391000;1391000;1391000;1391000;1391000;1333500;1333500;1333500;1333500;1333500;1333500;1333500;1333500;1333500;1333500;1333500;1333500;1211800;1211800;1211800;1211800;1211800;1211800;1211800;1211800;1211800;1211800;1211800;1211800;1204200;1204200;1204200;1204200;1204200;1204200;1204200;1204200;1204200;1204200;1204200;1204200;2152200;2152200;2152200;2152200;2152200;2152200;2152200;2152200;2152200;2152200;2152200;2152200;2533000;2533000;2533000;2533000;2533000;2533000;2533000;2533000;2533000;2533000;2533000;2533000;2821000;2821000;2821000;2821000;2821000;2821000;2821000;2821000;2821000;2821000;2821000;2821000;4904000;4904000;4904000;4904000;4904000;4904000;4904000;4904000;4904000;4904000;4904000;4904000;5254000;5254000;5254000;5254000;5254000;5254000;5254000;5254000;5254000;5254000;5254000;5254000;5464000;5464000;5464000;5464000;5464000;5464000;5464000;5464000;5464000;5464000;5464000;5464000;5728000;5728000;5728000;5728000;5728000;5728000;5728000;5728000;5728000;5728000;5728000;5728000;6734000;6734000;6734000;6734000;6734000;6734000;6734000;6734000;6734000;6734000;6734000;6734000;NA;NA;NA
Excess return;Industrials;;-0,120903728;-0,070589277;-0,116181811;-0,092290307;-0,221642118;-0,095350806;-0,185166869;-0,139326458;-0,235203923;-0,028284589;-0,027721287;-0,2072055;-0,205230342;-0,114569727;-0,196868241;-0,057727693;-0,110779392;-0,107333131;-0,152190726;-0,099786628;-0,1461161;-0,070575958;0,044715198;-0,119134313;-0,151106485;-0,156156811;-0,1389239;-0,138852995;-0,060759055;-0,071014121;-0,137318891;0,029284373;-0,161166773;-0,010848148;-0,035349772;-0,10686164;-0,142306908;-0,088105005;-0,193226059;-0,095840159;-0,091230044;-0,041360836;-0,061283163;-0,120495475;-0,097558068;-0,035120768;0,061625299;0,068345121;-0,216147343;-0,142147024;-0,160445815;-0,105738252;-0,125701244;-0,059091848;-0,011483186;-0,083821065;0,011697715;-0,081141529;-0,072472981;-0,064973532;-0,009089256;0,042553316;0,000567313;-0,1079058;-0,256423796;-0,097700786;-0,12026574;-0,077866064;-0,227207424;-0,029176619;-0,126499201;-0,043577687;-0,030879064;-0,122986384;-0,008462114;-0,107034501;-0,08881923;-0,172916596;-0,274149034;-0,069120409;-0,078363342;-0,151765592;-0,189621907;-0,143560601;-0,315430893;-0,032282582;-0,235259916;-0,175556352;-0,290661196;-0,334762098;0,042498756;-0,137176595;-0,216825902;-0,169388839;-0,092263444;-0,100447217;-0,126168636;-0,121334056;-0,067215127;-0,079428738;-0,190637099;-0,160990685;-0,122070159;-0,016460076;-0,068964726;-0,152347406;-0,183862005;-0,003421796;-0,10299024;-0,143751713;-0,059784324;-0,14412489;-0,135456538;-0,122213092;-0,097816453;-0,182665853;-0,049000994;-0,07286591;-0,144593504;-0,053544262;-0,199501831;-0,238250587;-0,265010361;-0,089446;-0,036071481;-0,145433483;-0,169175835;-0,220072388;-0,147455134;-0,09906467;-0,005862717;-0,116658457;-0,061212184;-0,011052422;-0,086939223;-0,185139092;-0,225921796;-0,147454444;-0,154210374;-0,090813453;-0,027092559;-0,117426505;-0,107141211;0,059022356;-0,12064809;-0,054513879;-0,174802712;-0,084488165;-0,130991732;-0,181991791;-0,144184707;-0,089191958;-0,093309089;-0,065990499;-0,131067013;0,003194529
Risk premium;Industrials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Industrials;0,7974;0,8227;0,7445;0,6821;0,6263;0,6407;0,6888;0,6816;0,6818;0,6869;0,7133;0,629;0,6523;0,6955;0,6846;0,6144;0,6139;0,5707;0,561;0,5575;0,5517;0,5447;0,5651;0,5557;0,5993;0,6068;0,6348;0,6353;0,6591;0,6469;0,6321;0,6766;0,6238;0,6558;0,6221;0,7208;0,6517;0,6537;0,6737;0,6663;0,6662;0,6724;0,6786;0,6342;0,629;0,6222;0,6862;0,6846;0,6088;0,5507;0,5735;0,5646;0,4853;0,4862;0,5398;0,4504;0,5188;0,4538;0,4995;0,4477;0,5221;0,375;0,3988;0,3921;0,5366;0,6094;0,6546;0,6555;0,6752;0,6524;0,6533;0,6972;0,6343;0,666;0,6664;0,844;0,8376;0,8713;0,9129;0,8801;0,8139;0,8582;0,885;0,9776;1,1255;1,324;1,2915;1,2144;1,1684;1,2848;0,8297;0,8156;0,7633;0,722;0,7284;0,6986;0,7057;0,6571;0,6137;0,6225;0,5469;0,5625;0,5503;0,5668;0,5574;0,5445;0,5345;0,553;0,517;0,4203;0,4342;0,4348;0,4202;0,4213;0,5383;0,5193;0,5449;0,5535;0,5583;0,5809;0,6706;0,645;0,6828;0,6873;0,7653;0,763;0,8599;0,8486;0,827;0,8615;0,8723;0,8135;0,8175;0,8188;0,7889;0,7645;0,827;0,845;0,8551;0,8609;0,8418;0,7995;0,7997;0,835;0,7073;0,7203;0,6842;0,6892;0,5778;0,6535;0,5671;0,5685;0,5582;0,5809;0,5915;0,5999
VO monthly avg;Industrials; 14.00 ; 751.60 ; 541.04 ; 158.11 ; 152.12 ; 139.20 ; 148.63 ; 135.50 ; 374.54 ; 159.51 ; 184.96 ; 298.71 ; 144.09 ; 188.02 ; 700.61 ; 341.94 ; 175.50 ; 299.09 ; 159.98 ; 72.58 ; 171.65 ; 131.38 ; 320.55 ; 80.09 ; 119.85 ; 716.52 ; 175.35 ; 454.78 ; 190.02 ; 146.10 ; 199.36 ; 277.52 ; 294.03 ; 445.45 ; 414.13 ; 574.23 ; 249.26 ; 1200.15 ; 329.30 ; 354.15 ; 649.86 ; 409.04 ; 543.04 ; 647.18 ; 445.41 ; 188.62 ; 397.22 ; 798.69 ; 368.99 ; 421.50 ; 249.65 ; 236.77 ; 181.91 ; 674.67 ; 669.73 ; 801.13 ; 275.66 ; 334.29 ; 626.41 ; 321.78 ; 536.60 ; 576.01 ; 330.97 ; 383.00 ; 256.44 ; 558.33 ; 663.51 ; 474.48 ; 540.78 ; 455.11 ; 619.40 ; 457.69 ; 776.28 ; 518.30 ; 409.39 ; 412.30 ; 272.54 ; 433.76 ; 537.31 ; 4255.90 ; 3589.82 ; 1790.94 ; 1849.18 ; 1713.57 ; 1349.38 ; 1927.03 ; 1953.60 ; 2330.49 ; 1546.64 ; 1368.17 ; 4481.88 ; 2616.13 ; 1869.01 ; 2328.88 ; 2221.75 ; 2163.16 ; 1586.45 ; 1938.98 ; 1596.16 ; 1975.86 ; 1822.32 ; 2298.17 ; 1799.97 ; 1886.38 ; 2153.09 ; 2165.80 ; 1385.99 ; 2105.94 ; 1910.59 ; 3017.08 ; 1387.39 ; 2052.05 ; 2104.55 ; 2441.60 ; 1953.25 ; 2188.35 ; 1156.00 ; 880.51 ; 1222.61 ; 1220.50 ; 787.65 ; 1321.16 ; 1326.79 ; 1383.17 ; 1259.36 ; 866.33 ; 1198.69 ; 707.24 ; 1453.19 ; 954.24 ; 1549.89 ; 1128.74 ; 851.57 ; 1131.73 ; 1235.32 ; 1324.27 ; 1271.91 ; 1232.13 ; 1381.54 ; 1067.24 ; 644.54 ; 820.67 ; 701.89 ; 1315.71 ; 825.24 ; 867.87 ; 696.41 ; 845.65 ; 1311.20 ; 1224.12 ; 1080.03 ; 677.96 ; 681.33 ; 1210.73 ; 658.75 ; 875.89 ; 726.91 
Total assets;Industrials;2922200;2922200;2922200;2922200;2922200;2922200;2922200;2922200;2922200;2922200;3702800;3702800;3702800;3702800;3702800;3702800;3702800;3702800;3702800;3702800;3702800;3702800;3471800;3471800;3471800;3471800;3471800;3471800;3471800;3471800;3471800;3471800;3471800;3471800;3560800;3560800;3560800;3560800;3560800;3560800;3560800;3560800;3560800;3560800;3560800;3560800;3231100;3231100;3231100;3231100;3231100;3231100;3231100;3231100;3231100;3231100;3231100;3231100;4355500;4355500;4355500;4355500;4355500;4355500;4355500;4355500;4355500;4355500;4355500;4355500;4882000;4882000;4882000;4882000;4882000;4882000;4882000;4882000;4882000;4882000;4882000;4882000;4534000;4534000;4534000;4534000;4534000;4534000;4534000;4534000;4534000;4534000;4534000;4534000;5819000;5819000;5819000;5819000;5819000;5819000;5819000;5819000;5819000;5819000;5819000;5819000;6112000;6112000;6112000;6112000;6112000;6112000;6112000;6112000;6112000;6112000;6112000;6112000;6419000;6419000;6419000;6419000;6419000;6419000;6419000;6419000;6419000;6419000;6419000;6419000;6904000;6904000;6904000;6904000;6904000;6904000;6904000;6904000;6904000;6904000;6904000;6904000;8876000;8876000;8876000;8876000;8876000;8876000;8876000;8876000;8876000;8876000;8876000;8876000;NA;NA;NA
Net sales;Industrials;2071200;2071200;2071200;2071200;2071200;2071200;2071200;2071200;2071200;2071200;2570200;2570200;2570200;2570200;2570200;2570200;2570200;2570200;2570200;2570200;2570200;2570200;3015900;3015900;3015900;3015900;3015900;3015900;3015900;3015900;3015900;3015900;3015900;3015900;3440100;3440100;3440100;3440100;3440100;3440100;3440100;3440100;3440100;3440100;3440100;3440100;3973600;3973600;3973600;3973600;3973600;3973600;3973600;3973600;3973600;3973600;3973600;3973600;4686400;4686400;4686400;4686400;4686400;4686400;4686400;4686400;4686400;4686400;4686400;4686400;5566000;5566000;5566000;5566000;5566000;5566000;5566000;5566000;5566000;5566000;5566000;5566000;6248000;6248000;6248000;6248000;6248000;6248000;6248000;6248000;6248000;6248000;6248000;6248000;6783000;6783000;6783000;6783000;6783000;6783000;6783000;6783000;6783000;6783000;6783000;6783000;6807000;6807000;6807000;6807000;6807000;6807000;6807000;6807000;6807000;6807000;6807000;6807000;6826000;6826000;6826000;6826000;6826000;6826000;6826000;6826000;6826000;6826000;6826000;6826000;7346000;7346000;7346000;7346000;7346000;7346000;7346000;7346000;7346000;7346000;7346000;7346000;8316000;8316000;8316000;8316000;8316000;8316000;8316000;8316000;8316000;8316000;8316000;8316000;NA;NA;NA
common equity;Industrials;1939000;1939000;1939000;1939000;1939000;1939000;1939000;1939000;1939000;1939000;2310500;2310500;2310500;2310500;2310500;2310500;2310500;2310500;2310500;2310500;2310500;2310500;2137100;2137100;2137100;2137100;2137100;2137100;2137100;2137100;2137100;2137100;2137100;2137100;2340400;2340400;2340400;2340400;2340400;2340400;2340400;2340400;2340400;2340400;2340400;2340400;2005900;2005900;2005900;2005900;2005900;2005900;2005900;2005900;2005900;2005900;2005900;2005900;2203300;2203300;2203300;2203300;2203300;2203300;2203300;2203300;2203300;2203300;2203300;2203300;2349000;2349000;2349000;2349000;2349000;2349000;2349000;2349000;2349000;2349000;2349000;2349000;1713000;1713000;1713000;1713000;1713000;1713000;1713000;1713000;1713000;1713000;1713000;1713000;910000;910000;910000;910000;910000;910000;910000;910000;910000;910000;910000;910000;853000;853000;853000;853000;853000;853000;853000;853000;853000;853000;853000;853000;950000;950000;950000;950000;950000;950000;950000;950000;950000;950000;950000;950000;1176000;1176000;1176000;1176000;1176000;1176000;1176000;1176000;1176000;1176000;1176000;1176000;1564000;1564000;1564000;1564000;1564000;1564000;1564000;1564000;1564000;1564000;1564000;1564000;NA;NA;NA
Turnover ratio;Industrials;0,03%;1,50%;1,08%;0,32%;0,30%;0,28%;0,30%;0,27%;0,75%;0,32%;0,34%;0,56%;0,27%;0,35%;1,30%;0,64%;0,33%;0,56%;0,30%;0,14%;0,32%;0,24%;0,60%;0,15%;0,22%;1,33%;0,33%;0,85%;0,35%;0,27%;0,37%;0,52%;0,55%;0,83%;0,77%;1,07%;0,46%;2,23%;0,61%;0,66%;1,21%;0,76%;1,01%;1,20%;0,83%;0,35%;0,74%;1,49%;0,69%;0,78%;0,46%;0,44%;0,34%;1,25%;1,25%;1,49%;0,51%;0,62%;1,17%;0,60%;1,00%;1,07%;0,62%;0,71%;0,48%;1,04%;1,23%;0,88%;1,01%;0,85%;1,15%;0,85%;1,44%;0,96%;0,76%;0,77%;0,51%;0,81%;1,00%;0,79%;0,67%;0,33%;0,34%;0,32%;0,25%;0,36%;0,36%;0,43%;0,29%;0,25%;0,83%;0,49%;0,35%;0,43%;0,41%;0,40%;0,27%;0,33%;0,27%;0,34%;0,31%;0,39%;0,31%;0,32%;0,37%;0,37%;0,24%;0,36%;0,33%;0,51%;0,24%;0,35%;0,36%;0,42%;0,33%;0,37%;0,20%;0,15%;0,21%;0,21%;0,13%;0,23%;0,23%;0,24%;0,21%;0,15%;0,20%;0,12%;0,25%;0,16%;0,25%;0,19%;0,15%;0,19%;0,21%;0,23%;0,22%;0,21%;0,24%;0,18%;0,11%;0,14%;0,12%;0,22%;0,14%;0,14%;0,12%;0,14%;0,22%;0,20%;0,18%;0,11%;0,11%;0,20%;0,11%;0,14%;0,12%
Return monthly;Industrials;;0,054526372;0,093114223;0,048890489;0,067666593;-0,063378018;0,056543594;-0,036226069;0,010526942;-0,084829223;0,121953311;0,114505713;-0,0507106;-0,039513842;0,053060073;-0,025961041;0,098748007;0,041374708;0,045209869;-0,006468226;0,047670472;0;0,076925342;0,184524298;0,023121587;-0,013178085;-0,017664411;0;0,000570305;0,075795645;0,062908179;0,000406909;0,164883773;-0,025751373;0,118944152;0,102360628;0,02499546;-0,005123808;0,048738095;-0,054549159;0,046230441;0,053231156;0,105990964;0,083271437;0,023731525;0,046240532;0,112709832;0,191655099;0,187499521;-0,101253243;-0,029116524;-0,038676015;0,008135648;-0,010870644;0,054815552;0,095892014;0,029763335;0,121387115;0,030926971;0,033332119;0,042418768;0,088835744;0,140477716;0,099969613;0;-0,140431596;0,029239014;0,00683076;0,051351536;-0,105706224;0,092331281;-0,003975601;0,074533213;0,087628936;-0,002653184;0,121459886;0,025634299;0,05107267;-0,029703896;-0,132652734;0,064705291;0,056353258;-0,010460592;-0,042283107;0,013495899;-0,142268893;0,141331918;-0,064252716;-0,001247152;-0,102718796;-0,190690998;0,185081556;-0,000588695;-0,080339902;-0,039999639;0,024998356;0,023361883;0,000828664;0,003379044;0,056902373;0,043325962;-0,065649599;-0,037571785;0,000688241;0,106406124;0,055088774;-0,028023906;-0,058573005;0,119599204;0,01098866;-0,031297113;0,052308076;-0,03070229;-0,021114638;-0,006250192;0,014149447;-0,068837153;0,064269506;0,04505699;-0,026646804;0,075053538;-0,072266831;-0,108334187;-0,137310461;0,0416679;0,095997519;-0,008859783;-0,037314035;-0,085271388;-0,014830634;0,03484023;0,124687783;0,012194043;0,068822216;0,117398278;0,037974277;-0,055488092;-0,100386796;-0,026933144;-0,032523674;0,027819947;0,090225941;-0,000345405;0,009313789;0,168832256;-0,01121919;0,053740721;-0,071283112;0,023713235;-0,014021232;-0,067864491;-0,026519207;0,021724642;0,019237611;0,051324001;-0,014173313;0,003194529
