Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Industrials;205854;205854;205854;205854;205854;205854;205854;240345;240345;240345;240345;240345;240345;240345;240345;240345;240345;240345;240345;247819;247819;247819;247819;247819;247819;247819;247819;247819;247819;247819;247819;286365;286365;286365;286365;286365;286365;286365;286365;286365;286365;286365;286365;326158;326158;326158;326158;326158;326158;326158;326158;326158;326158;326158;326158;415717;415717;415717;415717;415717;415717;415717;415717;415717;415717;415717;415717;507356;507356;507356;507356;507356;507356;507356;507356;507356;507356;507356;507356;666935;666935;666935;666935;666935;666935;666935;666935;666935;666935;666935;666935;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excess return;Industrials;;-0,55652743;0,136536851;-0,205062225;-0,188659209;-0,043282929;0,021969437;-0,212235858;0,144712103;-0,245372067;0,066213459;-0,1358136;-0,1467362;-0,1339519;-0,28811199;-0,257523345;-0,042133532;-0,1253917;-0,1292141;-0,083717132;-0,018387192;-0,101242773;0,044738429;-0,067216201;-0,093954862;-0,1319497;-0,031343658;-0,207981148;-0,060880768;-0,076787829;-0,1287311;-0,034463055;-0,057075372;-0,188089464;-0,031306307;-0,019760708;-0,106752683;-0,02126332;-0,060076136;-0,004661975;-0,1334396;-0,1419097;-0,294995152;-0,025923947;-0,19413014;-0,151417603;-0,026138477;-0,045215304;-0,082439091;-0,093505962;-0,134437396;-0,174722332;-0,131731247;-0,083633415;-0,065662961;0,009743206;-0,136305882;-0,065535687;-0,079936754;-0,172827058;0,146608626;-0,068890898;0,060518637;-0,174643193;-0,1111188;-0,072512103;-0,233988311;-0,142775709;0,07641558;-0,137237535;-0,057457739;-0,074922072;-0,060697278;0,054266435;0,050749444;-0,125597331;0,039666184;-0,056932811;-0,07981753;-0,113625794;-0,1196822;0,007406381;-0,085881524;-0,1082347;-0,138276399;-0,195523909;-0,117621769;-0,203759489;-0,182808835;-0,147099054;-0,183362055;-0,001449938;0,12973123;-0,091980673;-0,073739356;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Risk premium;Industrials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Industrials;0,6844;0,6345;0,6502;0,5967;0,4775;0,3841;0,5043;0,5802;0,6345;0,6586;0,6196;0,5272;0,4974;0,1913;0,2162;0,1209;0,122;0,1459;0,1907;0,1856;0,2652;0,2552;0,26;0,522;0,5315;0,5119;0,6043;0,5985;0,5501;0,5353;0,5497;0,48;0,3687;0,3716;0,3632;0,4086;0,4315;0,5117;0,5139;0,5229;0,5292;0,6319;0,6419;0,5147;0,487;0,4947;0,5188;0,5188;0,5103;0,5528;0,4948;0,5475;0,5421;0,5435;0,5733;0,4963;0,5017;0,5278;0,584;0,7733;0,7496;0,6772;0,6212;0,6178;0,5876;0,4483;0,5618;0,6158;0,6443;0,658;0,6575;0,663;0,643;0,6416;0,5499;0,5361;0,532;0,5376;0,4886;0,5142;0,5894;0,5073;0,554;0,3569;0,5479;0,5979;0,7692;0,7795;0,7699;0,8599;0,6112;0,4909;0,5042;0,5066;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VO monthly avg;Industrials; 0.00 ; 3.00 ; 28.83 ; 71.36 ; 25.48 ; 28.42 ; 18.89 ; 7.94 ; 8.19 ; 24.42 ; 12.08 ; 9.29 ; 8.12 ; 5.66 ; 9.04 ; 106.89 ; 8.53 ; 147.45 ; 4.85 ; 36.86 ; 49.42 ; 9.93 ; 99.75 ; 15.13 ; 3.33 ; 14.53 ; 5.03 ; 7.77 ; 19.38 ; 11.08 ; 16.51 ; 6.41 ; 113.03 ; 35.56 ; 24.04 ; 44.58 ; 24.67 ; 19.90 ; 10.48 ; 137.72 ; 102.16 ; 63.13 ; 11.33 ; 6.61 ; 41.61 ; 15.58 ; 176.27 ; 103.14 ; 14.62 ; 30.21 ; 24.05 ; 81.88 ; 51.89 ; 4.69 ; 32.27 ; 77.23 ; 83.83 ; 121.22 ; 465.13 ; 46.64 ; 159.65 ; 12.92 ; 28.05 ; 46.68 ; 11.15 ; 37.19 ; 19.98 ; 62.50 ; 110.85 ; 53.63 ; 128.87 ; 216.09 ; 43.57 ; 112.19 ; 106.47 ; 47.42 ; 70.61 ; 49.55 ; 156.52 ; 39.34 ; 27.17 ; 68.74 ; 67.09 ; 57.27 ; 20.47 ; 14.87 ; 42.49 ; 50.56 ; 17.47 ; 80.86 ; 37.37 ; 53.39 ; 273.95 ; 295.12 ; 193.65 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 
Total assets;Industrials;304961;304961;304961;304961;304961;304961;304961;371168;371168;371168;371168;371168;371168;371168;371168;371168;371168;371168;371168;404998;404998;404998;404998;404998;404998;404998;404998;404998;404998;404998;404998;473828;473828;473828;473828;473828;473828;473828;473828;473828;473828;473828;473828;546692;546692;546692;546692;546692;546692;546692;546692;546692;546692;546692;546692;682826;682826;682826;682826;682826;682826;682826;682826;682826;682826;682826;682826;833228;833228;833228;833228;833228;833228;833228;833228;833228;833228;833228;833228;1132626;1132626;1132626;1132626;1132626;1132626;1132626;1132626;1132626;1132626;1132626;1132626;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Net sales;Industrials;379887;379887;379887;379887;379887;379887;379887;377946;377946;377946;377946;377946;377946;377946;377946;377946;377946;377946;377946;426086;426086;426086;426086;426086;426086;426086;426086;426086;426086;426086;426086;475403;475403;475403;475403;475403;475403;475403;475403;475403;475403;475403;475403;578745;578745;578745;578745;578745;578745;578745;578745;578745;578745;578745;578745;741744;741744;741744;741744;741744;741744;741744;741744;741744;741744;741744;741744;873840;873840;873840;873840;873840;873840;873840;873840;873840;873840;873840;873840;1159874;1159874;1159874;1159874;1159874;1159874;1159874;1159874;1159874;1159874;1159874;1159874;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
common equity;Industrials;99107;99107;99107;99107;99107;99107;99107;130823;130823;130823;130823;130823;130823;130823;130823;130823;130823;130823;130823;157179;157179;157179;157179;157179;157179;157179;157179;157179;157179;157179;157179;187463;187463;187463;187463;187463;187463;187463;187463;187463;187463;187463;187463;220534;220534;220534;220534;220534;220534;220534;220534;220534;220534;220534;220534;267109;267109;267109;267109;267109;267109;267109;267109;267109;267109;267109;267109;325872;325872;325872;325872;325872;325872;325872;325872;325872;325872;325872;325872;463793;463793;463793;463793;463793;463793;463793;463793;463793;463793;463793;463793;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turnover ratio;Industrials;0,00%;0,00%;0,02%;0,06%;0,02%;0,02%;0,02%;0,01%;0,01%;0,02%;0,01%;0,01%;0,01%;0,00%;0,01%;0,09%;0,01%;0,13%;0,00%;0,03%;0,04%;0,01%;0,09%;0,01%;0,00%;0,01%;0,00%;0,01%;0,02%;0,01%;0,01%;0,01%;0,10%;0,03%;0,02%;0,04%;0,02%;0,02%;0,01%;0,12%;0,09%;0,05%;0,01%;0,01%;0,04%;0,01%;0,15%;0,09%;0,01%;0,02%;0,02%;0,07%;0,04%;0,00%;0,03%;0,06%;0,07%;0,10%;0,38%;0,04%;0,13%;0,01%;0,02%;0,04%;0,01%;0,03%;0,02%;0,05%;0,09%;0,04%;0,10%;0,17%;0,04%;0,09%;0,09%;0,04%;0,06%;0,04%;0,12%;0,03%;0,02%;0,05%;0,05%;0,05%;0,02%;0,01%;0,03%;0,04%;0,01%;0,06%;0,03%;0,04%;0,22%;0,24%;0,15%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Return monthly;Industrials;;-0,39295393;0,294299451;-0,045370125;-0,038076709;0,098815371;0,162240337;-0,069683258;0,291585603;-0,096780267;0,210548259;0;0;0;-0,14999139;-0,117706645;0,083352468;0;0;0,038575668;0,111020408;0,026634827;0,173018429;0,070469799;0,044029638;0;0,105227242;-0,071375648;0,071675532;0,052736071;0;0,090876945;0,062452728;-0,070578664;0,082175293;0,098281092;0,011231817;0,10697378;0,066699564;0,124980725;0;0;-0,149955452;0,111102153;-0,05884914;-0,015651503;0,111145923;0,074369096;0,030509809;0,021520438;-0,026364996;-0,054029832;-0,014278947;0,034807085;0,050354939;0,120010106;-0,023798782;0,048815713;0,037455246;-0,046509158;0,268333426;0,048072702;0,172454237;-0,061021793;0;0,033330797;-0,112894911;-0,018180309;0,20368648;-0,015383535;0,064314761;0,045446928;0,057961722;0,171237235;0,163743144;-0,015073031;0,153082184;0,061935989;0,03666427;0,004818806;0;0,120016281;0,034570476;0;-0,017608699;-0,068106209;0,023087831;-0,060150989;-0,033605135;0,014074646;-0,053056455;0,120676762;0,24999583;0,030935127;0,009760644;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
