Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Basic Materials;17366;17366;17366;36732;36732;36732;36732;36732;36732;36732;36732;36732;36732;36732;36732;36732;24128;24128;24128;24128;24128;24128;24128;24128;24128;24128;24128;24128;24128;24128;24128;24128;24128;24128;24128;24128;24128;NA;NA;NA;9311;9311;9311;9311;9311;9311;9311;9311;9311;9311;9311;9311;44814;44814;44814;44814;44814;44814;44814;44814;44814;44814;44814;44814;33445;33445;33445;33445;33445;33445;33445;33445;33445;33445;33445;33445;33820;33820;33820;33820;33820;33820;33820;33820;33820;33820;33820;33820;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excess return;Basic Materials;;-0,4584011;-0,2297653;-0,348507201;-0,343735746;-0,161737789;-0,327699165;-0,4577776;0,098520657;-0,228114531;-0,1812339;-0,139492048;-0,063957586;-0,062779362;-0,2007678;-0,519756788;-0,102477514;0,185996557;-0,1679276;0,051769912;-0,184986598;-0,1832262;0,059966797;-0,227339547;-0,182334187;-0,114719997;-0,1366465;-0,167659332;-0,272648314;-0,234789667;-0,214957734;-0,1107051;-0,097685692;-0,314455429;0,077574751;-0,19858279;0,129511871;0,206614533;-0,027742696;-0,152330847;-0,058085409;-0,904903015;-0,6724006;0,224118469;-0,086130889;-0,254854734;-0,245412644;0,193324045;0,274263248;-0,339843833;-0,295413998;-0,333183028;-0,296106186;-0,38967737;0,024112596;0,434466042;0,088974855;-0,01634103;-0,183098592;-0,08178603;-0,089070775;-0,204498193;-0,175549456;-0,242128534;0,003552656;-0,138359443;-0,3382146;-0,334634529;0,212654018;-0,29855707;-0,19316263;-0,126417;-0,276265467;-0,038178284;-0,542649409;-0,14795743;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0835;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Risk premium;Basic Materials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Basic Materials;2,1772;2,1397;1,7931;1,2124;1,2103;1,2423;1,3635;1,5552;1,3213;1,2837;1,2053;1,2494;1,2138;1,2012;1,2106;1,1917;1,1974;1,1569;0,8052;0,7894;0,7512;0,7274;0,6125;0,5652;0,5555;0,5546;0,6055;0,6264;0,4594;0,3392;0,3308;0,2477;0,2574;0,3707;0,3581;0,3543;0,4721;0,4876;0,5309;0,521;0,4407;1,0113;1,0762;1,1232;1,073;1,1271;1,3309;1,3259;1,4179;1,4335;1,7041;1,6057;1,8342;1,8471;2,0508;;;;;;1,3256;1,2948;1,2253;1,3997;1,0378;0,5689;0,7542;0,8772;0,9569;0,6605;0,6604;0,759;0,6976;0,8453;0,7513;;;;;;;;;;;;;;;;;;;-0,0702;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VO monthly avg;Basic Materials; 10.30 ; 7.69 ; 69.52 ; 40.41 ; 10.47 ; 17.50 ; 11.63 ; 18.60 ; 78.32 ; 21.58 ; 179.03 ; 40.51 ; 16.64 ; 42.97 ; 8.08 ; 9.67 ; 11.89 ; 78.06 ; 65.97 ; 604.48 ; 40.23 ; 252.97 ; 29.23 ; 1489.75 ; 44.62 ; 152.14 ; 103.92 ; 255.47 ; 21.89 ; 27.09 ; 287.19 ; 46.05 ; 22.57 ; 29.00 ; 478.75 ; 61.50 ; 55.07 ; 137.60 ; 92.13 ; 25.65 ; 58.69 ; 929.55 ; 1035.78 ; 106.79 ; 71.46 ; 14.87 ; 75.69 ; 146.69 ; 50.84 ; 556.75 ; 25.20 ; 76.90 ; 12.21 ; 749.76 ; 174.02 ; 1065.09 ; 441.71 ; 73.64 ; 574.49 ; 101.57 ; 71.63 ; 133.68 ; 111.44 ; 117.89 ; 268.31 ; 64.35 ; 214.71 ; 92.99 ; 260.83 ; 173.53 ; 88.72 ; 194.90 ; 126.62 ; 95.28 ; 550.57 ; 233.81 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 
Total assets;Basic Materials;154333;154333;154333;185664;185664;185664;185664;185664;185664;185664;185664;185664;185664;185664;185664;185664;186664;186664;186664;186664;186664;186664;186664;186664;186664;186664;186664;186664;186664;186664;186664;186664;186664;186664;186664;186664;186664;NA;NA;NA;38165;38165;38165;38165;38165;38165;38165;38165;38165;38165;38165;38165;101022;101022;101022;101022;101022;101022;101022;101022;101022;101022;101022;101022;62607;62607;62607;62607;62607;62607;62607;62607;62607;62607;62607;62607;42783;42783;42783;42783;42783;42783;42783;42783;42783;42783;42783;42783;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Net sales;Basic Materials;41140;41140;41140;41305;41305;41305;41305;41305;41305;41305;41305;41305;41305;41305;41305;41305;96879;96879;96879;96879;96879;96879;96879;96879;96879;96879;96879;96879;96879;96879;96879;96879;96879;96879;96879;96879;96879;NA;NA;NA;38588;38588;38588;38588;38588;38588;38588;38588;38588;38588;38588;38588;7081;7081;7081;7081;7081;7081;7081;7081;7081;7081;7081;7081;962;962;962;962;962;962;962;962;962;962;962;962;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
common equity;Basic Materials;133770;133770;133770;148932;148932;148932;148932;148932;148932;148932;148932;148932;148932;148932;148932;148932;162376;162376;162376;162376;162376;162376;162376;162376;162376;162376;162376;162376;162376;162376;162376;162376;162376;162376;162376;162376;162376;NA;NA;NA;28854;28854;28854;28854;28854;28854;28854;28854;28854;28854;28854;28854;56208;56208;56208;56208;56208;56208;56208;56208;56208;56208;56208;56208;29161;29161;29161;29161;29161;29161;29161;29161;29161;29161;29161;29161;8962;8962;8962;8962;8962;8962;8962;8962;8962;8962;8962;8962;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turnover ratio;Basic Materials;0,01%;0,01%;0,05%;0,03%;0,01%;0,01%;0,01%;0,01%;0,06%;0,02%;0,14%;0,03%;0,01%;0,03%;0,01%;0,01%;0,01%;0,06%;0,05%;0,47%;0,03%;0,20%;0,02%;1,15%;0,03%;0,12%;0,08%;0,20%;0,02%;0,02%;0,20%;0,03%;0,02%;0,02%;0,34%;0,04%;0,04%;0,10%;0,06%;0,02%;0,04%;0,65%;0,72%;0,07%;0,05%;0,01%;0,05%;0,10%;0,04%;0,39%;0,02%;0,05%;0,01%;0,52%;0,12%;0,46%;0,19%;0,03%;0,25%;0,04%;0,03%;0,06%;0,05%;0,05%;0,11%;0,03%;0,09%;0,04%;0,10%;0,07%;0,03%;0,08%;0,05%;0,04%;0,21%;0,09%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Return monthly;Basic Materials;;-0,2;0;-0,150026001;-0,146986846;0,034427111;-0,133298665;-0,2538;0,288662557;-0,040141431;0;0,041820152;0,127911814;0,134796238;0;-0,312479688;0,090758686;0,375081257;0;0,212102112;-0,024960998;-0,0256;0,210454297;-0,086931947;-0,042837687;0,019919803;0;-0,029296132;-0,145806114;-0,117620067;-0,100017334;0;0,014830508;-0,197001329;0,190735051;-0,08396189;0,250054171;0,333333333;0,100104004;-0,022807847;0,069778691;-0,739091115;-0,5;0,399480069;0,086068111;-0,079247434;-0,056965944;0,363755745;0,444390948;-0,169333333;-0,111155698;-0,145823928;-0,097251586;-0,18911007;0,233212996;0,513466042;0,088974855;-0,01634103;-0,183098592;-0,08178603;-0,089070775;-0,048625793;-0,025555556;-0,079247434;0,143034056;-0,024918743;-0,205;-0,193570929;0,359618718;-0,17654557;-0,07120743;0;-0,154166667;0,091625616;-0,416967509;-0,07120743;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
