Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Basic Materials;17765000;25790988;25790988;25790988;25790988;25790988;25790988;25790988;25790988;25790988;25790988;25790988;25790988;21259639;21259639;21259639;21259639;21259639;21259639;21259639;21259639;21259639;21259639;21259639;21259639;21183920;21183920;21183920;21183920;21183920;21183920;21183920;21183920;21183920;21183920;21183920;21183920;27780594;27780594;27780594;27780594;27780594;27780594;27780594;27780594;27780594;27780594;27780594;27780594;35385000;35385000;35385000;35385000;35385000;35385000;35385000;35385000;35385000;35385000;35385000;35385000;40853000;40853000;40853000;40853000;40853000;40853000;40853000;40853000;40853000;40853000;40853000;40853000;49705000;49705000;49705000;49705000;49705000;49705000;49705000;49705000;49705000;49705000;49705000;49705000;51981000;51981000;51981000;51981000;51981000;51981000;51981000;51981000;51981000;51981000;51981000;51981000;49795000;49795000;49795000;49795000;49795000;49795000;49795000;49795000;49795000;49795000;49795000;49795000;35475000;35475000;35475000;35475000;35475000;35475000;35475000;35475000;35475000;35475000;35475000;35475000;44688000;44688000;44688000;44688000;44688000;44688000;44688000;44688000;44688000;44688000;44688000;44688000;60295986;60295986;60295986;60295986;60295986;60295986;60295986;60295986;60295986;60295986;60295986;60295986;67072507;67072507;67072507;67072507;67072507;67072507;67072507;67072507;67072507;67072507;67072507;67072507
Excess return;Basic Materials;;-0,156653207;-0,014981045;-0,262550615;0,09702231;-0,122231365;-0,149738486;-0,1501126;-0,126838086;-0,174536696;-0,066206642;-0,085746787;0,055090016;-0,06136138;-0,045295653;-0,119748501;-0,167954206;-0,093062699;-0,314973374;-0,380422153;-0,039408196;-0,02037454;-0,264624583;-0,24108783;0,020030875;-0,138105841;-0,280216612;-0,251178515;-0,283508244;-0,064770574;-0,112838816;-0,133118101;0,017182344;-0,210912502;-0,165855289;-0,002011616;-0,122776417;-0,236837526;-0,155161623;-0,197939192;-0,336940721;-0,118501161;-0,264649712;-0,138129423;-0,013194748;-0,098779824;-0,256364067;-0,116916039;-0,293915548;-0,160600753;-0,068767678;-0,109926127;-0,255523736;-0,000461107;-0,09070368;-0,19917587;-0,152991101;0,054540744;-0,200492844;-0,127996909;-0,044031399;0,006567225;-0,312837686;-0,137111195;-0,174050229;-0,222171484;-0,02864963;-0,241602298;-0,18635373;-0,282133446;-0,099232083;-0,068914905;-0,206197206;-0,130125068;-0,25019731;-0,131462337;-0,205727855;-0,256475554;-0,272617096;-0,061255493;-0,251031172;-0,012133141;-0,233306808;-0,043498737;-0,271847024;-0,050898713;-0,207557246;-0,157111578;-0,195414387;0,003770373;-0,11802991;-0,22429433;-0,254623317;-0,200855657;-0,132096502;0,056315348;0,041970478;0,022441301;-0,081997165;0,044292764;-0,375179008;0,185393513;-0,316329099;-0,086703906;-0,124018619;-0,121461445;-0,174465731;-0,015383307;-0,190606646;-0,231181641;-0,144170613;-0,132409735;-0,017423733;-0,085770601;-0,112671596;-0,229726763;-0,041281727;-0,09371156;-0,111185682;-0,112717548;-0,144521233;-0,197143752;-0,027205131;-0,173246881;-0,074167067;-0,161123065;-0,189821652;-0,108065807;0,041235672;-0,029762487;-0,038598569;-0,027071243;-0,203772827;-0,05264048;-0,195455435;-0,228605192;-0,160446614;0,077923214;-0,198404504;-0,088392188;-0,167827135;0,01152861;-0,113036987;-0,130103317;-0,148627532;-0,143388098;-0,207941096;-0,121469834;-0,341174288;-0,045300383;-0,372408703;-0,229432603;-0,060611096;-0,197133909;-0,027211859;-0,270137593;-0,092975626
Risk premium;Basic Materials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Basic Materials;0,7188;0,6683;0,7009;0,7632;0,6911;0,6814;0,7082;0,7002;0,6983;0,8032;0,8037;0,9696;0,9497;1,0326;1,0259;0,9638;0,9626;1,0333;1,0952;1,1836;1,1179;1,1306;1,0896;1,1047;1,0871;1,1287;1,0447;1,0617;0,9939;1,0068;0,9894;1,0388;1,0983;1,0158;1,0529;0,9359;0,9013;0,8721;0,872;0,909;0,898;0,7631;0,7645;0,8544;0,8669;0,8681;0,9619;0,9635;1,0411;1,0114;1,014;0,9871;1,1905;1,1934;1,1204;1,0811;1,2226;1,3089;1,4198;1,4497;1,5429;1,5978;1,5688;1,4893;1,4902;1,4666;1,4569;1,4339;1,4477;1,4691;1,4662;1,4153;1,4082;1,4281;1,4746;1,5008;1,524;1,5509;1,6109;1,6341;1,5637;1,5838;1,2646;1,1052;0,8343;0,4072;0,4136;0,3505;0,3941;0,3435;0,454;0,4831;0,5158;0,4876;0,4812;0,5127;0,4661;0,4424;0,5595;0,5135;0,7257;0,7409;0,7231;0,7225;0,7182;0,6871;0,7197;0,6761;0,7217;0,8638;0,8261;0,8523;0,8118;0,8086;0,6777;0,6121;0,5918;0,5917;0,6055;0,5893;0,8523;0,7578;0,7684;0,7463;0,2664;0,3284;0,2644;0,2207;0,1743;0,272;0,2775;0,3593;0,3137;0,3114;0,3819;0,3874;0,3142;0,3121;0,5735;0,5543;0,5529;0,5373;0,5211;0,5076;0,425;0,4522;0,444;0,6252;0,7564;0,9597;0,9987;1,0204;1,2045;1,2909;1,3199;1,2465
VO monthly avg;Basic Materials; 33.10 ; 145.50 ; 196.43 ; 179.20 ; 166.48 ; 259.36 ; 243.20 ; 214.09 ; 553.46 ; 632.19 ; 530.88 ; 739.71 ; 707.43 ; 433.10 ; 510.37 ; 295.60 ; 379.65 ; 668.28 ; 793.60 ; 504.70 ; 321.14 ; 661.87 ; 412.48 ; 430.36 ; 444.31 ; 354.43 ; 406.85 ; 461.20 ; 367.93 ; 444.90 ; 321.27 ; 312.14 ; 361.54 ; 379.17 ; 223.50 ; 494.25 ; 251.50 ; 333.30 ; 367.42 ; 340.76 ; 288.78 ; 535.82 ; 771.31 ; 368.86 ; 456.99 ; 304.86 ; 495.09 ; 541.98 ; 246.60 ; 390.71 ; 331.61 ; 341.10 ; 378.47 ; 410.83 ; 354.03 ; 331.34 ; 435.01 ; 424.19 ; 460.29 ; 272.49 ; 295.44 ; 315.01 ; 623.33 ; 486.48 ; 858.29 ; 758.08 ; 746.53 ; 535.50 ; 379.53 ; 741.12 ; 535.11 ; 365.64 ; 304.45 ; 412.51 ; 664.06 ; 436.15 ; 504.69 ; 625.25 ; 659.28 ; 691.68 ; 607.96 ; 903.52 ; 3297.66 ; 1362.22 ; 529.10 ; 1214.17 ; 1392.25 ; 1554.19 ; 787.76 ; 986.76 ; 1069.52 ; 1085.10 ; 1038.34 ; 1388.87 ; 1968.60 ; 1072.45 ; 1012.42 ; 1368.69 ; 1858.33 ; 3627.22 ; 1345.28 ; 1346.45 ; 892.50 ; 1007.88 ; 959.69 ; 1488.62 ; 1321.34 ; 1391.00 ; 849.33 ; 1130.16 ; 1160.60 ; 946.85 ; 618.24 ; 1511.55 ; 876.00 ; 1011.55 ; 936.26 ; 1463.44 ; 1062.26 ; 960.01 ; 723.02 ; 1252.67 ; 993.62 ; 960.09 ; 682.02 ; 1250.63 ; 1057.28 ; 1247.01 ; 1774.29 ; 1937.09 ; 1675.44 ; 1187.86 ; 839.25 ; 1107.43 ; 1511.09 ; 1327.31 ; 1564.11 ; 1672.07 ; 1342.19 ; 1000.33 ; 843.98 ; 1089.23 ; 998.65 ; 970.09 ; 745.45 ; 990.14 ; 1135.02 ; 1328.17 ; 2251.44 ; 1555.47 ; 1457.07 ; 1579.71 ; 1695.93 ; 1522.34 ; 1193.59 ; 1033.89 ; 880.34 
Total assets;Basic Materials;28982000;39537393;39537393;39537393;39537393;39537393;39537393;39537393;39537393;39537393;39537393;39537393;39537393;33967437;33967437;33967437;33967437;33967437;33967437;33967437;33967437;33967437;33967437;33967437;33967437;32396190;32396190;32396190;32396190;32396190;32396190;32396190;32396190;32396190;32396190;32396190;32396190;46404868;46404868;46404868;46404868;46404868;46404868;46404868;46404868;46404868;46404868;46404868;46404868;52343000;52343000;52343000;52343000;52343000;52343000;52343000;52343000;52343000;52343000;52343000;52343000;62184000;62184000;62184000;62184000;62184000;62184000;62184000;62184000;62184000;62184000;62184000;62184000;66338000;66338000;66338000;66338000;66338000;66338000;66338000;66338000;66338000;66338000;66338000;66338000;75727000;75727000;75727000;75727000;75727000;75727000;75727000;75727000;75727000;75727000;75727000;75727000;72319000;72319000;72319000;72319000;72319000;72319000;72319000;72319000;72319000;72319000;72319000;72319000;62498000;62498000;62498000;62498000;62498000;62498000;62498000;62498000;62498000;62498000;62498000;62498000;86226000;86226000;86226000;86226000;86226000;86226000;86226000;86226000;86226000;86226000;86226000;86226000;106545459;106545459;106545459;106545459;106545459;106545459;106545459;106545459;106545459;106545459;106545459;106545459;99685071;99685071;99685071;99685071;99685071;99685071;99685071;99685071;99685071;99685071;99685071;99685071
Net sales;Basic Materials;15338000;17561519;17561519;17561519;17561519;17561519;17561519;17561519;17561519;17561519;17561519;17561519;17561519;18094944;18094944;18094944;18094944;18094944;18094944;18094944;18094944;18094944;18094944;18094944;18094944;15318950;15318950;15318950;15318950;15318950;15318950;15318950;15318950;15318950;15318950;15318950;15318950;15230102;15230102;15230102;15230102;15230102;15230102;15230102;15230102;15230102;15230102;15230102;15230102;16750000;16750000;16750000;16750000;16750000;16750000;16750000;16750000;16750000;16750000;16750000;16750000;20137000;20137000;20137000;20137000;20137000;20137000;20137000;20137000;20137000;20137000;20137000;20137000;23052000;23052000;23052000;23052000;23052000;23052000;23052000;23052000;23052000;23052000;23052000;23052000;29774000;29774000;29774000;29774000;29774000;29774000;29774000;29774000;29774000;29774000;29774000;29774000;30745000;30745000;30745000;30745000;30745000;30745000;30745000;30745000;30745000;30745000;30745000;30745000;38833000;38833000;38833000;38833000;38833000;38833000;38833000;38833000;38833000;38833000;38833000;38833000;47849000;47849000;47849000;47849000;47849000;47849000;47849000;47849000;47849000;47849000;47849000;47849000;51980055;51980055;51980055;51980055;51980055;51980055;51980055;51980055;51980055;51980055;51980055;51980055;53457171;53457171;53457171;53457171;53457171;53457171;53457171;53457171;53457171;53457171;53457171;53457171
common equity;Basic Materials;11004000;13386865;13386865;13386865;13386865;13386865;13386865;13386865;13386865;13386865;13386865;13386865;13386865;12365038;12365038;12365038;12365038;12365038;12365038;12365038;12365038;12365038;12365038;12365038;12365038;10858760;10858760;10858760;10858760;10858760;10858760;10858760;10858760;10858760;10858760;10858760;10858760;18295643;18295643;18295643;18295643;18295643;18295643;18295643;18295643;18295643;18295643;18295643;18295643;16583000;16583000;16583000;16583000;16583000;16583000;16583000;16583000;16583000;16583000;16583000;16583000;20894000;20894000;20894000;20894000;20894000;20894000;20894000;20894000;20894000;20894000;20894000;20894000;16203000;16203000;16203000;16203000;16203000;16203000;16203000;16203000;16203000;16203000;16203000;16203000;22955000;22955000;22955000;22955000;22955000;22955000;22955000;22955000;22955000;22955000;22955000;22955000;21557000;21557000;21557000;21557000;21557000;21557000;21557000;21557000;21557000;21557000;21557000;21557000;26207000;26207000;26207000;26207000;26207000;26207000;26207000;26207000;26207000;26207000;26207000;26207000;40431000;40431000;40431000;40431000;40431000;40431000;40431000;40431000;40431000;40431000;40431000;40431000;46063427;46063427;46063427;46063427;46063427;46063427;46063427;46063427;46063427;46063427;46063427;46063427;32318662;32318662;32318662;32318662;32318662;32318662;32318662;32318662;32318662;32318662;32318662;32318662
Turnover ratio;Basic Materials;0,03%;0,14%;0,18%;0,17%;0,16%;0,24%;0,23%;0,20%;0,52%;0,59%;0,50%;0,69%;0,66%;0,40%;0,47%;0,27%;0,34%;0,60%;0,71%;0,45%;0,29%;0,60%;0,37%;0,39%;0,20%;0,16%;0,18%;0,21%;0,17%;0,20%;0,14%;0,14%;0,16%;0,17%;0,10%;0,22%;0,11%;0,15%;0,16%;0,15%;0,11%;0,20%;0,29%;0,14%;0,17%;0,12%;0,19%;0,20%;0,09%;0,15%;0,13%;0,13%;0,14%;0,16%;0,13%;0,13%;0,16%;0,16%;0,17%;0,10%;0,11%;0,12%;0,24%;0,18%;0,31%;0,28%;0,27%;0,19%;0,14%;0,27%;0,19%;0,13%;0,11%;0,15%;0,24%;0,16%;0,18%;0,23%;0,24%;0,25%;0,22%;0,33%;1,19%;0,49%;0,19%;0,44%;0,50%;0,56%;0,28%;0,36%;0,31%;0,31%;0,30%;0,40%;0,56%;0,31%;0,29%;0,39%;0,53%;1,02%;0,38%;0,38%;0,25%;0,28%;0,27%;0,41%;0,36%;0,38%;0,23%;0,31%;0,32%;0,26%;0,17%;0,42%;0,24%;0,28%;0,26%;0,38%;0,28%;0,25%;0,19%;0,33%;0,26%;0,25%;0,18%;0,33%;0,28%;0,33%;0,46%;0,51%;0,44%;0,31%;0,22%;0,29%;0,40%;0,35%;0,41%;0,44%;0,35%;0,26%;0,22%;0,28%;0,26%;0,25%;0,19%;0,26%;0,30%;0,35%;0,59%;0,41%;0,38%;0,41%;0,44%;0,38%;0,30%;0,26%;0,22%
Return monthly;Basic Materials;;0,009049693;0,145975655;-0,092369015;0,26106161;0,038596835;0,003378114;0;0,024054814;-0,016835096;0,089726458;0,077938013;0,230321116;0,12559242;0,143836047;0,073170899;0,010489594;0,088235201;-0,128775774;-0,195255353;0,143719504;0,16265326;-0,084079783;-0,06669173;0,193018175;0,032702259;-0,115900512;-0,085391415;-0,122992544;0,094457826;0,043593384;0,027426299;0,182675244;-0,052817102;-0,008922589;0,149250084;0,024805483;-0,085895226;-0,005825623;-0,043972192;-0,180266721;0,031674139;-0,111886212;0,020297777;0,146019952;0,060510476;-0,091164367;0,030684461;-0,147526248;-0,016682553;0,072014322;0,038461173;-0,097222236;0,158923093;0,05978152;-0,05206657;0,004932699;0,218101444;-0,030445444;0,040934191;0,127671301;0,181528625;-0,141203286;0,031414705;-0,006067629;-0,052175684;0,14883507;-0,065466598;-0,00846863;-0,109180146;0,073488517;0,098848995;-0,039330606;0,036395232;-0,07894751;0,039838063;-0,029815855;-0,073768854;-0,085430396;0,127742807;-0,069968072;0,168296259;-0,068087008;0,111878863;-0,133136124;0,064504887;-0,089250446;-0,040530078;-0,069886087;0,132410873;0,00237209;-0,10265903;-0,133627917;-0,079136857;-0,018280902;0,161865448;0,150684778;0,135912501;0,039301335;0,161543264;-0,241159908;0,321620213;-0,182023799;0,045863594;0,008977981;0,011575855;-0,038474631;0,117660993;-0,054689546;-0,089262241;-0,007026313;0,005985165;0,120669667;0,052971199;0,012073504;-0,111914463;0,075501673;0,02196554;0,009710818;0,005758352;-0,004476333;-0,062802352;0,108104069;-0,041829981;0,025516133;-0,056433865;-0,090764452;-0,015761707;0,134916572;0,065723513;0,057833931;0,074864657;-0,106659727;0,04542772;-0,092645735;-0,127448992;-0,063102014;0,169885514;-0,095624004;0,013978712;-0,067394435;0,11232851;-0,013507687;-0,034274517;-0,056602532;-0,050849498;-0,114819096;-0,021982234;-0,221721088;0,090960717;-0,231090603;-0,083297403;0,091022404;-0,039857209;0,135991841;-0,112508093;-0,092975626
