Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Industrials;22257;22257;22257;22257;22257;22257;22257;22257;22257;23579;23579;23579;23579;23579;23579;23579;23579;23579;23579;23579;23579;15747;15747;15747;15747;15747;15747;15747;15747;15747;15747;15747;15747;11708;11708;11708;11708;11708;11708;11708;11708;11708;11708;11708;11708;3956;3956;3956;3956;3956;3956;1214;1214;1214;1214;1214;1214;1214;1214;1214;1214;1214;1214;55014;55014;55014;55014;55014;55014;55014;55014;55014;55014;55014;55014;149211;149211;149211;149211;149211;149211;149211;149211;149211;149211;149211;149211;133494;133494;133494;133494;133494;133494;133494;133494;133494;133494;133494;133494;119122;119122;119122;119122;119122;119122;119122;119122;119122;119122;119122;119122;135487;135487;135487;135487;135487;135487;135487;135487;135487;135487;135487;135487;162635;162635;162635;162635;162635;162635;162635;162635;162635;162635;162635;162635;114489;114489;114489;114489;114489;114489;114489;114489;114489;114489;114489;114489;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excess return;Industrials;;-0,5;0,144981413;-0,25;-0,333333333;0,246753247;-0,197916667;0;0;-0,253246753;-0,330434783;0;0;0,493506494;0,669565217;-0,598958333;0;0,493506494;0,339130435;-0,5;-0,506493506;1,026315789;0;0,493506494;0,669565217;-0,197916667;0,246753247;-0,401041667;0;0,339130435;-0,253246753;-0,330434783;0;0;0;-0,506493506;1,026315789;0;0;0;0;-0,506493506;1,026315789;0,493506494;0,339130435;-0,253246753;0;0;-0,330434783;1,493506494;-0,197916667;-0,253246753;-0,669565217;0;0;1,026315789;0;0;0;0;0;0;0;0;-0,584415584;-0,125;-0,035714286;-0,111111111;0,166666667;-0,035714286;0,074074074;-0,103448276;0;0;-0,038461538;0;0,08;0;0,111111111;0,266666667;-0,078947368;0;0,028571429;-0,111111111;-0,09375;-0,206896552;0,043478261;-0,125;0,095238095;-0,086956522;0,095238095;-0,086956522;-0,142857143;-0,166666667;0;0;0,4;-0,285714286;0,066666667;0,0625;0,058823529;-0,166666667;0,066666667;-0,1875;0,153846154;-0,133333333;0,153846154;-0,066666667;-0,071428571;-0,153846154;-0,181818182;0,333333333;-0,083333333;0;-0,090909091;-0,1;0,111111111;-0,2;0,375;-0,090909091;-0,1;-0,111111111;0;-0,125;0;-0,285714286;0,4;-0,142857143;0;0,166666667;-0,285714286;0;0;0,4;0,428571429;-0,1;-0,222222222;0,142857143;0,125;-0,111111111;-0,25;0;0,166666667;0;0;0;0,142857143;0;-0,125;0;0;0,142857143;-0,125;0;0,142857143;0;-0,125
Risk premium;Industrials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Industrials;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VO monthly avg;Industrials; 0.60 ; 1.10 ; 1.14 ; 0.95 ; 0.92 ; 0.53 ; 0.34 ; 0.55 ; 0.36 ; 0.31 ; 0.08 ; 0.43 ; 0.09 ; 0.48 ; 0.12 ; 0.66 ; 3.65 ; 0.73 ; 0.23 ; 0.43 ; 0.10 ; 0.25 ; 0.30 ; 0.24 ; 1.32 ; 0.60 ; 0.35 ; 0.10 ; 0.32 ; 0.24 ; 0.34 ; 0.45 ; 0.20 ; 0.14 ; 0.15 ; 1.01 ; 0.34 ; 1.34 ; 0.45 ; 0.35 ; 0.06 ; 0.33 ; 0.36 ; 0.43 ; 0.70 ; 0.12 ; 0.61 ; 0.50 ; 0.27 ; 1.18 ; 1.78 ; 0.18 ; 3.15 ; 4.00 ; 0.47 ; 0.77 ; 0.80 ; 2.00 ; 0.14 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 897.32 ; 576.60 ; 157.00 ; 227.94 ; 223.21 ; 12.03 ; 40.27 ; 114.92 ; 104.07 ; 74.38 ; 100.63 ; 46.83 ; 63.59 ; 70.23 ; 245.01 ; 140.17 ; 48.27 ; 23.27 ; 30.04 ; 46.44 ; 11.14 ; 116.89 ; 209.97 ; 134.16 ; 456.67 ; 868.05 ; 382.34 ; 76.67 ; 176.11 ; 160.27 ; 342.73 ; 194.77 ; 71.61 ; 142.01 ; 548.87 ; 196.92 ; 53.71 ; 31.73 ; 32.33 ; 36.70 ; 74.25 ; 61.82 ; 96.55 ; 55.96 ; 12.83 ; 53.55 ; 29.49 ; 28.58 ; 13.89 ; 41.45 ; 46.86 ; 39.21 ; 63.41 ; 158.08 ; 70.19 ; 277.57 ; 132.44 ; 187.48 ; 111.22 ; 116.91 ; 58.38 ; 135.98 ; 152.29 ; 94.53 ; 92.90 ; 46.67 ; 70.48 ; 98.24 ; 37.95 ; 85.25 ; 332.23 ; 53.59 ; 55.24 ; 162.60 ; 77.68 ; 238.64 ; 50.91 ; 229.40 ; 110.31 ; 47.73 ; 30.72 ; 57.20 ; 3039.42 ; 33.08 ; 88.59 ; 198.17 ; 146.17 ; 84.15 ; 52.30 ; 20.26 ; 79.85 ; 18.18 ; 3.91 
Total assets;Industrials;15052;15052;15052;15052;15052;15052;15052;15052;15052;24826;24826;24826;24826;24826;24826;24826;24826;24826;24826;24826;24826;16443;16443;16443;16443;16443;16443;16443;16443;16443;16443;16443;16443;9093;9093;9093;9093;9093;9093;9093;9093;9093;9093;9093;9093;1890;1890;1890;1890;1890;1890;130;130;130;130;130;130;130;130;130;130;130;130;207689;207689;207689;207689;207689;207689;207689;207689;207689;207689;207689;207689;351668;351668;351668;351668;351668;351668;351668;351668;351668;351668;351668;351668;364385;364385;364385;364385;364385;364385;364385;364385;364385;364385;364385;364385;269343;269343;269343;269343;269343;269343;269343;269343;269343;269343;269343;269343;278236;278236;278236;278236;278236;278236;278236;278236;278236;278236;278236;278236;288407;288407;288407;288407;288407;288407;288407;288407;288407;288407;288407;288407;211548;211548;211548;211548;211548;211548;211548;211548;211548;211548;211548;211548;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Net sales;Industrials;55891;55891;55891;55891;55891;55891;55891;55891;55891;71211;71211;71211;71211;71211;71211;71211;71211;71211;71211;71211;71211;40895;40895;40895;40895;40895;40895;40895;40895;40895;40895;40895;40895;17441;17441;17441;17441;17441;17441;17441;17441;17441;17441;17441;17441;11151;11151;11151;11151;11151;11151;9;9;9;9;9;9;9;9;9;9;9;9;151024;151024;151024;151024;151024;151024;151024;151024;151024;151024;151024;151024;298618;298618;298618;298618;298618;298618;298618;298618;298618;298618;298618;298618;430865;430865;430865;430865;430865;430865;430865;430865;430865;430865;430865;430865;372182;372182;372182;372182;372182;372182;372182;372182;372182;372182;372182;372182;314419;314419;314419;314419;314419;314419;314419;314419;314419;314419;314419;314419;339243;339243;339243;339243;339243;339243;339243;339243;339243;339243;339243;339243;381109;381109;381109;381109;381109;381109;381109;381109;381109;381109;381109;381109;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
common equity;Industrials;-7205;-7205;-7205;-7205;-7205;-7205;-7205;-7205;-7205;1247;1247;1247;1247;1247;1247;1247;1247;1247;1247;1247;1247;696;696;696;696;696;696;696;696;696;696;696;696;-2615;-2615;-2615;-2615;-2615;-2615;-2615;-2615;-2615;-2615;-2615;-2615;-2066;-2066;-2066;-2066;-2066;-2066;-1084;-1084;-1084;-1084;-1084;-1084;-1084;-1084;-1084;-1084;-1084;-1084;152674;152674;152674;152674;152674;152674;152674;152674;152674;152674;152674;152674;202457;202457;202457;202457;202457;202457;202457;202457;202457;202457;202457;202457;230890;230890;230890;230890;230890;230890;230890;230890;230890;230890;230890;230890;150221;150221;150221;150221;150221;150221;150221;150221;150221;150221;150221;150221;142749;142749;142749;142749;142749;142749;142749;142749;142749;142749;142749;142749;125772;125772;125772;125772;125772;125772;125772;125772;125772;125772;125772;125772;97059;97059;97059;97059;97059;97059;97059;97059;97059;97059;97059;97059;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turnover ratio;Industrials;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,46%;0,29%;0,08%;0,12%;0,11%;0,01%;0,02%;0,06%;0,05%;0,04%;0,05%;0,02%;0,03%;0,04%;0,13%;0,07%;0,02%;0,01%;0,01%;0,02%;0,01%;0,05%;0,09%;0,06%;0,19%;0,37%;0,16%;0,03%;0,07%;0,07%;0,15%;0,08%;0,03%;0,06%;0,23%;0,08%;0,02%;0,01%;0,01%;0,01%;0,03%;0,02%;0,04%;0,02%;0,01%;0,02%;0,01%;0,01%;0,01%;0,02%;0,02%;0,02%;0,03%;0,06%;0,03%;0,11%;0,05%;0,08%;0,04%;0,05%;0,02%;0,05%;0,06%;0,04%;0,04%;0,02%;0,03%;0,04%;0,02%;0,03%;0,12%;0,02%;0,02%;0,06%;0,03%;0,09%;0,02%;0,08%;0,04%;0,02%;0,01%;0,02%;1,12%;0,01%;0,03%;0,07%;0,05%;0,03%;0,02%;0,01%;0,03%;0,01%;0,00%
Return monthly;Industrials;;-0,5;0,144981413;-0,25;-0,333333333;0,246753247;-0,197916667;0;0;-0,253246753;-0,330434783;0;0;0,493506494;0,669565217;-0,598958333;0;0,493506494;0,339130435;-0,5;-0,506493506;1,026315789;0;0,493506494;0,669565217;-0,197916667;0,246753247;-0,401041667;0;0,339130435;-0,253246753;-0,330434783;0;0;0;-0,506493506;1,026315789;0;0;0;0;-0,506493506;1,026315789;0,493506494;0,339130435;-0,253246753;0;0;-0,330434783;1,493506494;-0,197916667;-0,253246753;-0,669565217;0;0;1,026315789;0;0;0;0;0;0;0;0;-0,584415584;-0,125;-0,035714286;-0,111111111;0,166666667;-0,035714286;0,074074074;-0,103448276;0;0;-0,038461538;0;0,08;0;0,111111111;0,266666667;-0,078947368;0;0,028571429;-0,111111111;-0,09375;-0,206896552;0,043478261;-0,125;0,095238095;-0,086956522;0,095238095;-0,086956522;-0,142857143;-0,166666667;0;0;0,4;-0,285714286;0,066666667;0,0625;0,058823529;-0,166666667;0,066666667;-0,1875;0,153846154;-0,133333333;0,153846154;-0,066666667;-0,071428571;-0,153846154;-0,181818182;0,333333333;-0,083333333;0;-0,090909091;-0,1;0,111111111;-0,2;0,375;-0,090909091;-0,1;-0,111111111;0;-0,125;0;-0,285714286;0,4;-0,142857143;0;0,166666667;-0,285714286;0;0;0,4;0,428571429;-0,1;-0,222222222;0,142857143;0,125;-0,111111111;-0,25;0;0,166666667;0;0;0;0,142857143;0;-0,125;0;0;0,142857143;-0,125;0;0,142857143;0;-0,125
