Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Industrials;66633;71701;71701;71701;71701;71701;71701;71701;71701;71701;71701;71701;71701;78627;78627;78627;78627;78627;78627;78627;78627;78627;78627;78627;78627;97225;97225;97225;97225;97225;97225;97225;97225;97225;97225;97225;97225;86012;86012;86012;86012;86012;86012;86012;86012;86012;86012;86012;86012;91519;91519;91519;91519;91519;91519;91519;91519;91519;91519;91519;91519;108619;108619;108619;108619;108619;108619;108619;108619;108619;108619;108619;108619;149224;149224;149224;149224;149224;149224;149224;149224;149224;149224;149224;149224;158343;158343;158343;158343;158343;158343;158343;158343;158343;158343;158343;158343;128790;128790;128790;128790;128790;128790;128790;128790;128790;128790;128790;128790;138280;138280;138280;138280;138280;138280;138280;138280;138280;138280;138280;138280;170352;170352;170352;170352;170352;170352;170352;170352;170352;170352;170352;170352;168473;168473;168473;168473;168473;168473;168473;168473;168473;168473;168473;168473;163253;163253;163253;163253;163253;163253;163253;163253;163253;163253;163253;163253
Excess return;Industrials;;-0,150829778;0,155662142;-0,217561359;0,011760531;-0,152259825;-0,085975472;-0,121436515;-0,150033828;-0,322022749;-0,163755429;0,00725206;-0,065029799;-0,209006999;0,098117454;-0,1830725;-0,236078775;-0,017202806;-0,185460087;-0,018303287;0,249814165;-0,144269903;-0,143694481;-0,127460486;-0,164810095;-0,154946336;-0,204116148;-0,198677405;-0,1415716;-0,231083138;-0,136565049;0,066215714;-0,1380501;-0,065096866;-0,04878042;-0,1254506;-0,189546472;0,020306043;-0,190641997;-0,162984533;-0,166515358;-0,1454125;-0,216878584;-0,1349156;-0,143088942;-0,094840043;-0,117589629;-0,041551317;-0,1139002;0,048158309;0,108322327;-0,154794925;-0,298182576;-0,166129782;-0,124642952;-0,028958476;-0,1421234;-0,06048477;-0,257278832;-0,189046442;-0,136347527;-0,039654682;-0,104552386;0,156118105;-0,320058111;-0,201327519;-0,124794655;-0,097179461;-0,170434901;0,159818572;-0,139820358;-0,1413354;-0,1430652;-0,034628584;0,054872795;-0,062908541;-0,131839142;-0,034074464;-0,1238209;-0,188952211;-0,081932758;0,061483886;-0,112307165;-0,093495611;-0,196976032;-0,210020828;-0,208067479;-0,010700816;-0,147681906;-0,112812986;-0,268831479;-0,110445921;-0,1206174;-0,149369872;-0,326254382;-0,210286825;-0,227056056;-0,167656496;-0,072392734;-0,029462727;0,08959491;-0,05723994;-0,057134673;-0,18563956;-0,00472776;0,055998291;-0,116961536;-0,118803113;-0,070213207;-0,086679139;-0,100365827;-0,1224748;-0,1232317;-0,180707345;-0,1181931;-0,120163941;-0,139815447;-0,078963968;-0,178932726;-0,1038662;-0,1131691;-0,22932682;-0,038869314;-0,326828329;-0,110553452;-0,1109262;-0,1164452;-0,108118028;-0,180369711;0,44325141;-0,041056719;-0,192547462;-0,254580896;-0,025428971;0,067400873;-0,208069531;-0,081733931;-0,137134536;-0,170030898;-0,0879439;-0,058160137;-0,071239567;-0,089103979;-0,022431028;-0,0764955;-0,147671984;-0,062993643;-0,061667044;0,09227437;-0,124155309;-0,214553007;-0,0865309;-0,198423951;-0,117355917;-0,009979333;-0,163113369;0,058322625
Risk premium;Industrials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Industrials;0,089;0,0362;0,1519;0,2457;0,3493;0,3664;0,3979;0,3901;0,5705;0,6453;0,7525;0,7258;0,7282;0,8248;0,7952;0,8075;0,8046;0,8413;0,6434;0,8014;0,7939;0,7968;0,7802;0,9023;0,9053;0,9291;0,8899;0,893;0,6932;0,705;0,7527;0,7567;0,6627;0,6503;0,5566;0,5262;0,5473;0,456;0,4692;0,4855;0,4666;0,6875;0,6828;0,4812;0,493;0,4925;0,5244;0,5245;0,5254;0,5604;0,5319;0,682;0,9046;0,9037;0,8629;0,9692;0,9718;1,0333;1,1338;1,0684;1,0308;0,959;1,0825;1,0547;1,0707;1,0498;1,0614;1,0385;1,004;1,0067;1,0078;0,9958;1,0304;0,9221;0,9154;0,8562;0,8291;0,8257;0,8167;0,7978;0,8722;0,6677;0,6154;0,8283;1,0838;0,6496;0,3346;0,331;0,3281;0,5212;0,5126;0,5498;0,5098;0,6859;0,6787;0,649;0,656;0,5463;0,5849;0,6235;0,6268;0,6211;0,5562;0,573;0,5339;0,5296;0,5383;0,5298;0,4723;0,5822;0,5865;0,5996;0,5759;0,5763;0,5737;0,6097;0,5994;0,3752;0,3692;0,3574;0,4257;0,3602;0,4323;0,4512;0,4333;0,4274;0,5404;0,5295;0,055;0,1333;0,1246;0,2103;0,2999;0,311;0,3663;0,3718;0,3474;0,339;0,3181;0,3253;0,2756;0,3241;0,3504;0,3559;0,1785;0,1428;0,068;-0,0767;-0,0955;0,1486;0,0908;0,0743;0,7566;0,8004;0,8151;0,6259
VO monthly avg;Industrials; 0.00 ; 0.08 ; 1.46 ; 0.15 ; 0.94 ; 0.30 ; 0.36 ; 0.10 ; 0.08 ; 0.13 ; 0.08 ; 0.89 ; 1.71 ; 0.25 ; 0.89 ; 0.00 ; 1.04 ; 0.71 ; 0.25 ; 1.09 ; 0.53 ; 0.18 ; 1.71 ; 1.31 ; 0.14 ; 0.46 ; 0.00 ; 0.11 ; 0.24 ; 0.42 ; 0.01 ; 5.77 ; 0.00 ; 0.28 ; 0.73 ; 0.29 ; 0.09 ; 0.47 ; 0.60 ; 0.05 ; 0.29 ; 0.00 ; 10.12 ; 0.02 ; 0.01 ; 1.67 ; 0.49 ; 1.01 ; 1.61 ; 0.39 ; 2.22 ; 0.76 ; 0.60 ; 0.97 ; 1.32 ; 0.10 ; 0.54 ; 0.83 ; 1.10 ; 0.02 ; 0.00 ; 0.48 ; 1.32 ; 8.23 ; 4.84 ; 3.50 ; 0.37 ; 0.79 ; 0.23 ; 0.11 ; 0.97 ; 0.00 ; 0.00 ; 0.47 ; 1.69 ; 1.38 ; 2.82 ; 0.12 ; 0.78 ; 0.35 ; 0.18 ; 7.06 ; 1.30 ; 7.04 ; 1.36 ; 4.37 ; 0.53 ; 0.22 ; 0.64 ; 0.07 ; 0.11 ; 0.13 ; 0.00 ; 0.06 ; 0.59 ; 0.72 ; 5.68 ; 1.05 ; 1.68 ; 0.24 ; 0.25 ; 0.31 ; 1.02 ; 0.20 ; 0.21 ; 0.16 ; 0.63 ; 1.35 ; 0.51 ; 0.51 ; 0.32 ; 0.00 ; 0.00 ; 0.09 ; 0.10 ; 0.10 ; 0.70 ; 0.55 ; 0.30 ; 0.30 ; 0.00 ; 0.34 ; 0.21 ; 1.41 ; 1.69 ; 0.60 ; 0.00 ; 0.03 ; 0.45 ; 0.22 ; 0.34 ; 0.15 ; 1.94 ; 0.20 ; 0.28 ; 0.08 ; 0.14 ; 0.30 ; 0.58 ; 0.07 ; 0.01 ; 1.15 ; 0.16 ; 0.68 ; 0.00 ; 0.26 ; 0.18 ; 0.28 ; 0.18 ; 0.09 ; 0.34 ; 0.09 ; 0.48 ; 0.14 ; 0.55 ; 1.41 ; 0.08 
Total assets;Industrials;169933;180548;180548;180548;180548;180548;180548;180548;180548;180548;180548;180548;180548;200755;200755;200755;200755;200755;200755;200755;200755;200755;200755;200755;200755;283815;283815;283815;283815;283815;283815;283815;283815;283815;283815;283815;283815;278592;278592;278592;278592;278592;278592;278592;278592;278592;278592;278592;278592;311713;311713;311713;311713;311713;311713;311713;311713;311713;311713;311713;311713;345438;345438;345438;345438;345438;345438;345438;345438;345438;345438;345438;345438;401557;401557;401557;401557;401557;401557;401557;401557;401557;401557;401557;401557;492157;492157;492157;492157;492157;492157;492157;492157;492157;492157;492157;492157;482919;482919;482919;482919;482919;482919;482919;482919;482919;482919;482919;482919;495450;495450;495450;495450;495450;495450;495450;495450;495450;495450;495450;495450;540330;540330;540330;540330;540330;540330;540330;540330;540330;540330;540330;540330;570492;570492;570492;570492;570492;570492;570492;570492;570492;570492;570492;570492;599278;599278;599278;599278;599278;599278;599278;599278;599278;599278;599278;599278
Net sales;Industrials;255202;282489;282489;282489;282489;282489;282489;282489;282489;282489;282489;282489;282489;347882;347882;347882;347882;347882;347882;347882;347882;347882;347882;347882;347882;331564;331564;331564;331564;331564;331564;331564;331564;331564;331564;331564;331564;346828;346828;346828;346828;346828;346828;346828;346828;346828;346828;346828;346828;402761;402761;402761;402761;402761;402761;402761;402761;402761;402761;402761;402761;431962;431962;431962;431962;431962;431962;431962;431962;431962;431962;431962;431962;502212;502212;502212;502212;502212;502212;502212;502212;502212;502212;502212;502212;617360;617360;617360;617360;617360;617360;617360;617360;617360;617360;617360;617360;628746;628746;628746;628746;628746;628746;628746;628746;628746;628746;628746;628746;548521;548521;548521;548521;548521;548521;548521;548521;548521;548521;548521;548521;654373;654373;654373;654373;654373;654373;654373;654373;654373;654373;654373;654373;674393;674393;674393;674393;674393;674393;674393;674393;674393;674393;674393;674393;673236;673236;673236;673236;673236;673236;673236;673236;673236;673236;673236;673236
common equity;Industrials;103300;108847;108847;108847;108847;108847;108847;108847;108847;108847;108847;108847;108847;122128;122128;122128;122128;122128;122128;122128;122128;122128;122128;122128;122128;186590;186590;186590;186590;186590;186590;186590;186590;186590;186590;186590;186590;192580;192580;192580;192580;192580;192580;192580;192580;192580;192580;192580;192580;220194;220194;220194;220194;220194;220194;220194;220194;220194;220194;220194;220194;236819;236819;236819;236819;236819;236819;236819;236819;236819;236819;236819;236819;252333;252333;252333;252333;252333;252333;252333;252333;252333;252333;252333;252333;333814;333814;333814;333814;333814;333814;333814;333814;333814;333814;333814;333814;354129;354129;354129;354129;354129;354129;354129;354129;354129;354129;354129;354129;357170;357170;357170;357170;357170;357170;357170;357170;357170;357170;357170;357170;369978;369978;369978;369978;369978;369978;369978;369978;369978;369978;369978;369978;402019;402019;402019;402019;402019;402019;402019;402019;402019;402019;402019;402019;436025;436025;436025;436025;436025;436025;436025;436025;436025;436025;436025;436025
Turnover ratio;Industrials;0,00%;0,00%;0,02%;0,00%;0,01%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,01%;0,03%;0,00%;0,01%;0,00%;0,02%;0,01%;0,00%;0,02%;0,01%;0,00%;0,03%;0,02%;0,00%;0,01%;0,00%;0,00%;0,00%;0,01%;0,00%;0,08%;0,00%;0,00%;0,01%;0,00%;0,00%;0,01%;0,01%;0,00%;0,00%;0,00%;0,15%;0,00%;0,00%;0,02%;0,01%;0,01%;0,02%;0,01%;0,03%;0,01%;0,01%;0,01%;0,02%;0,00%;0,01%;0,01%;0,02%;0,00%;0,00%;0,01%;0,02%;0,12%;0,07%;0,05%;0,01%;0,01%;0,00%;0,00%;0,01%;0,00%;0,00%;0,01%;0,02%;0,02%;0,04%;0,00%;0,01%;0,00%;0,00%;0,10%;0,02%;0,10%;0,02%;0,06%;0,01%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,01%;0,08%;0,01%;0,02%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,01%;0,02%;0,01%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,02%;0,02%;0,01%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,03%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,02%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,01%;0,02%;0,00%
Return monthly;Industrials;;-0,024949178;0,282031842;-0,079982259;0,154266431;-0,011276625;0,047592228;0,009139785;-0,007192328;-0,174268849;-0,011047929;0,15557746;0,096246801;-0,035144599;0,272715054;0;-0,067588975;0,151999094;-0,027725887;0,142784913;0,412529865;0,017728497;0,017358119;0,034184414;-0,003276195;0,003286964;-0,049552448;-0,043518405;0;-0,090868138;0,004955051;0,208987814;0;0,069972034;0,07688538;0;-0,064266572;0,145034043;-0,066682397;-0,035698033;-0,037019558;0;-0,069262184;0;-0,007429942;0,040787457;0,020047571;0,078392183;0;0,163663509;0,218732027;-0,025628925;-0,157892776;-0,024996682;0,009619748;0,111101124;0;0,08571313;-0,105249432;-0,044137242;0,003092873;0,095062318;0,036445114;0,297264205;-0,178504011;-0,057590119;0,027773545;0,054046039;-0,020502901;0,303640672;0,004021042;0;0;0,100013716;0,190892995;0,067782059;0,000294158;0,102944636;0,0133312;-0,052640811;0,055565842;0,184198986;0,012013035;0,044437289;-0,042546632;-0,079346028;-0,094737679;0,104652184;-0,026311606;0,027022614;-0,144737679;0,015391479;0;-0,015158172;-0,199996282;-0,096149825;-0,106378056;-0,047639596;0,050505966;0,094717773;0,21738331;0,07143936;0,066655927;-0,06249056;0,11665794;0,179113091;0,007601364;0,005024287;0,049991693;0,037499461;0,021683673;0;0;-0,056600445;0;-0,002502841;-0,022553247;0,023073632;-0,072923126;0;0;-0,12003422;0,075265586;-0,214002729;-0,000355552;0;0;0,003640472;-0,094204711;0,52999931;0,045743081;-0,099998562;-0,158337196;0,072614029;0,169227773;-0,107896131;0,017702269;-0,043477536;-0,083340598;0;0,024802663;0,016128733;-0,000328779;0,063840672;0;-0,074625584;0,006440357;-0,006399144;0,15805787;-0,038993509;-0,130432607;0;-0,075008151;0,009019283;0,121421967;-0,044581669;0,058322625
