Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Basic Materials;188608;188608;188608;188608;188608;188608;188608;119972;119972;119972;119972;119972;119972;119972;119972;119972;119972;119972;119972;146436;146436;146436;146436;146436;146436;146436;146436;146436;146436;146436;146436;150425;150425;150425;150425;150425;150425;150425;150425;150425;150425;150425;150425;355276;355276;355276;355276;355276;355276;355276;355276;355276;355276;355276;355276;348422;348422;348422;348422;348422;348422;348422;348422;348422;348422;348422;348422;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excess return;Basic Materials;;-0,254063542;-0,253316006;-0,75371641;0,286471867;-0,164827882;-0,255231692;-0,38105899;-0,229925911;-0,483053413;-0,134785453;-0,068132926;-0,081517386;-0,239657845;-0,2259363;-0,385225045;-0,062787007;0,0815756;-0,202399843;-0,278490226;-0,246640935;-0,293968152;-0,001548556;-0,122176408;-0,29495606;-0,292436365;-0,553582244;-0,428247335;-0,098495202;-0,101319988;-0,300125363;-0,117086803;-0,327884312;0,148200672;-0,31654395;-0,508835864;-0,252772901;-0,038664491;0,127454884;0,081700224;0,036949704;-0,141350021;0,412224003;0,108648999;0,206907136;-0,142274;-0,111968169;-0,170044713;-0,035990438;-0,078601911;-0,036815093;-0,054385;0,269844351;0,001487202;-0,008929259;-0,02071969;-0,062352349;0,09877961;-0,018926805;-0,0582905;0,019210135;-0,085380879;-0,050374667;-0,059816325;-0,062184736;-0,32569289;-0,179304165;-0,172581098;-0,001063127;-0,006268766;-0,223970924;-0,167856998;-0,055876579;0,005521585;0,097288193;0,341340532;0,058551076;0,08008178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Risk premium;Basic Materials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Basic Materials;1,1894;1,2377;1,5792;1,907;2,0335;1,9688;2,0245;1,9773;2,002;2,0781;1,9625;1,6417;1,6765;1,614;1,6101;1,6556;1,6499;1,6462;1,5181;1,3426;1,4048;1,3804;1,5434;1,6964;1,6897;1,7755;1,3442;1,3291;1,203;1,1977;1,1952;1,1488;0,9582;0,8042;0,766;0,6028;0,6457;0,648;0,6241;0,5784;0,5304;0,3016;0,3386;0,5854;0,5608;0,598;0,4921;0,4916;0,4236;0,1246;-0,3345;-0,505;-0,9037;-0,9067;-0,9044;-0,7094;-0,5072;-0,2468;-0,3248;-0,3065;-0,3227;-0,1582;-0,184;-0,1525;0,0634;0,4656;0,3213;0,3509;0,3479;0,3679;0,3707;0,3902;0,3769;0,3327;0,512;1,144;1,0936;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VO monthly avg;Basic Materials; 82.80 ; 143.69 ; 203.25 ; 151.09 ; 289.84 ; 87.70 ; 74.75 ; 31.42 ; 33.27 ; 33.15 ; 34.05 ; 27.14 ; 61.19 ; 61.54 ; 53.06 ; 25.01 ; 74.15 ; 224.04 ; 41.69 ; 48.72 ; 37.46 ; 50.95 ; 66.17 ; 44.16 ; 29.25 ; 47.62 ; 166.33 ; 22.85 ; 15.10 ; 21.60 ; 34.69 ; 45.29 ; 168.33 ; 121.78 ; 54.61 ; 56.58 ; 46.01 ; 41.82 ; 57.71 ; 93.78 ; 128.52 ; 61.42 ; 521.60 ; 79.25 ; 49.04 ; 42.85 ; 38.94 ; 79.81 ; 51.82 ; 11.56 ; 11.81 ; 6.76 ; 24.01 ; 15.88 ; 11.05 ; 9.54 ; 13.14 ; 18.12 ; 64.33 ; 61.04 ; 19.33 ; 17.05 ; 14.57 ; 35.68 ; 79.01 ; 13.57 ; 2.63 ; 10.02 ; 8.13 ; 9.43 ; 7.71 ; 8.69 ; 17.77 ; 17.64 ; 18.92 ; 61.92 ; 57.80 ; 69.98 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 
Total assets;Basic Materials;302831;302831;302831;302831;302831;302831;302831;289154;289154;289154;289154;289154;289154;289154;289154;289154;289154;289154;289154;248651;248651;248651;248651;248651;248651;248651;248651;248651;248651;248651;248651;210612;210612;210612;210612;210612;210612;210612;210612;210612;210612;210612;210612;438341;438341;438341;438341;438341;438341;438341;438341;438341;438341;438341;438341;685425;685425;685425;685425;685425;685425;685425;685425;685425;685425;685425;685425;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Net sales;Basic Materials;116938;116938;116938;116938;116938;116938;116938;265832;265832;265832;265832;265832;265832;265832;265832;265832;265832;265832;265832;154558;154558;154558;154558;154558;154558;154558;154558;154558;154558;154558;154558;112893;112893;112893;112893;112893;112893;112893;112893;112893;112893;112893;112893;40177;40177;40177;40177;40177;40177;40177;40177;40177;40177;40177;40177;385624;385624;385624;385624;385624;385624;385624;385624;385624;385624;385624;385624;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
common equity;Basic Materials;114223;114223;114223;114223;114223;114223;114223;169182;169182;169182;169182;169182;169182;169182;169182;169182;169182;169182;169182;102215;102215;102215;102215;102215;102215;102215;102215;102215;102215;102215;102215;60187;60187;60187;60187;60187;60187;60187;60187;60187;60187;60187;60187;83065;83065;83065;83065;83065;83065;83065;83065;83065;83065;83065;83065;337003;337003;337003;337003;337003;337003;337003;337003;337003;337003;337003;337003;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turnover ratio;Basic Materials;0,04%;0,06%;0,09%;0,07%;0,13%;0,04%;0,03%;0,01%;0,01%;0,01%;0,02%;0,01%;0,03%;0,03%;0,02%;0,01%;0,03%;0,10%;0,02%;0,02%;0,02%;0,02%;0,03%;0,02%;0,01%;0,02%;0,07%;0,01%;0,01%;0,01%;0,02%;0,02%;0,08%;0,05%;0,02%;0,03%;0,02%;0,02%;0,03%;0,04%;0,06%;0,03%;0,23%;0,04%;0,02%;0,02%;0,02%;0,04%;0,02%;0,01%;0,01%;0,00%;0,01%;0,01%;0,00%;0,00%;0,00%;0,01%;0,02%;0,02%;0,01%;0,01%;0,00%;0,01%;0,03%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,01%;0,01%;0,02%;0,02%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Return monthly;Basic Materials;;-0,052488442;-0,037026406;-0,51147541;0,535082367;0,077106518;-0,019188192;-0,15048909;0,003100089;-0,245033113;0,094152047;0,137894174;0,139502114;-0,016075845;0;-0,148722245;0,158956693;0,3014862;0,010440457;-0,083306426;-0,045438535;-0,095202952;0,207585644;0,089496792;-0,08400496;-0,080879865;-0,370397644;-0,245614035;0,075193798;0,069935112;-0,130727763;0,050387597;-0,171217712;0,292965272;-0,17768595;-0,378559464;-0,121293801;0,098159509;0,261173184;0,214839424;0,170464904;-0,020249221;0,538155803;0,250129199;0,346837536;0;0,023634131;-0,052173913;0,071496362;0,009447889;0,019011407;0;0,296211251;0,028565102;0,013993541;0,01358811;-0,013405949;0,16433121;0,041210795;0;0,073380035;-0,021047479;0,010833333;0,005276175;0,015909464;-0,21876009;-0,073362265;-0,064674398;0,107534573;0,097308934;-0,120266824;-0,064674398;0,046018121;0,103031685;0,207894193;0,490162532;0,207347876;0,16508178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
