Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Consumer Goods;231606;192427;192427;192427;192427;192427;192427;192427;192427;192427;192427;192427;192427;186485;186485;186485;186485;186485;186485;186485;186485;186485;186485;186485;186485;126773;126773;126773;126773;126773;126773;126773;126773;126773;126773;126773;126773;124549;124549;124549;124549;124549;124549;124549;124549;124549;124549;124549;124549;151603;151603;151603;151603;151603;151603;151603;151603;151603;151603;151603;151603;164985;164985;164985;164985;164985;164985;164985;164985;164985;164985;164985;164985;216004;216004;216004;216004;216004;216004;216004;216004;216004;216004;216004;216004;271525;271525;271525;271525;271525;271525;271525;271525;271525;271525;271525;271525;297395;297395;297395;297395;297395;297395;297395;297395;297395;297395;297395;297395;280200;280200;280200;280200;280200;280200;280200;280200;280200;280200;280200;280200;375400;375400;375400;375400;375400;375400;375400;375400;375400;375400;375400;375400;520000;520000;520000;520000;520000;520000;520000;520000;520000;520000;520000;520000;761900;761900;761900;761900;761900;761900;761900;761900;761900;761900;761900;761900
Excess return;Consumer Goods;;0,275012304;0,191070813;-0,503476213;-0,010165904;-0,526199136;-0,224537905;-0,09757188;-0,225231476;-0,493675653;-0,236444676;-0,161883931;-0,132024247;0,006627416;0,054621951;-0,351144678;-0,298684314;-0,049384168;0,007904147;-0,403939628;-0,23964533;-0,270463825;-0,15293354;-0,07044738;-0,024279053;-0,361453676;-0,113910227;-0,08403559;-0,031090329;-0,120721855;-0,093990316;-0,10347457;0,12884828;-0,159699772;-0,032600551;-0,002330557;0,054555326;-0,252335712;-0,077578682;-0,084777883;-0,137499079;-0,236740966;-0,119387624;-0,0545145;-0,13025489;-0,105532849;0,041915263;0,067001118;-0,175781563;-0,051974642;-0,101224327;-0,066372045;-0,082419589;-0,102768082;-0,097458405;0,024914753;0,015893218;-0,079399344;-0,075368558;-0,04731448;-0,049640193;-0,056886536;-0,049460939;-0,003433996;-0,061196482;-0,140937532;-0,192168476;-0,031386664;-0,026784152;-0,113547074;-0,063455735;0,008571111;-0,069701667;-0,130118482;0,005109686;0,0853366;-0,026502673;-0,032063816;-0,146043766;-0,148728347;-0,151671603;-0,049336187;-0,091958153;-0,147375409;-0,1626641;-0,301966396;-0,069036975;-0,300099802;-0,091571067;-0,176247185;-0,266732321;-0,123038736;-0,090920658;-0,183530789;-0,244383006;-0,159965877;0,017184129;-0,208593627;-0,192599657;-0,078120077;-0,025146932;-0,102124245;-0,101910936;-0,080595657;-0,114517832;-0,065540718;-0,098490216;-0,129542986;-0,117493838;-0,14897094;0,012764215;-0,10242535;-0,099344582;-0,179494536;-0,107148964;-0,131185754;-0,148722763;-0,041323896;-0,116945384;-0,1155937;-0,144646421;-0,161036751;-0,142975878;-0,148540642;-0,055106196;-0,084410323;-0,14615892;-0,109408297;-0,126661173;-0,107266401;-0,052736984;-0,066749657;-0,113211058;-0,085684396;-0,085872464;-0,086460516;-0,15810286;-0,198456432;-0,117432927;-0,112355429;-0,037296042;-0,144163781;-0,117528974;-0,073727268;-0,062362592;-0,025674324;-0,11136001;-0,074411416;-0,157058143;-0,086931853;-0,088249312;-0,150498775;-0,154259311;-0,090656003;-0,106886114;-0,097336786;-0,019415552
Risk premium;Consumer Goods;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Consumer Goods;1,4191;1,3371;1,3927;1,5541;1,4308;1,5167;1,3626;1,3488;1,4263;1,4728;1,4229;1,6283;1,5814;1,624;1,6163;1,5463;1,5432;1,3472;1,3533;1,2098;1,1262;1,1228;1,1614;0,9373;0,9973;0,9821;0,7388;0,7226;0,7582;0,8011;0,7985;0,8858;0,756;0,7589;0,8111;0,9109;0,8663;0,7826;0,7922;0,799;0,7797;0,644;0,6504;0,6086;0,5933;0,5623;0,672;0,6733;0,5134;0,4793;0,5121;0,5516;0,5732;0,5712;0,6236;0,491;0,4466;0,4137;0,3477;0,3542;0,3986;0,4035;0,4264;0,3879;0,4004;0,3824;0,3946;0,4062;0,4218;0,409;0,4064;0,38;0,395;0,3898;0,4684;0,6018;0,5849;0,6361;0,6207;0,6497;0,7443;0,7653;0,7775;0,9135;1,1164;1,0778;1,1614;1,1708;1,1585;1,2514;1,0758;1,0558;0,9383;0,9493;0,9261;0,968;0,9812;0,9474;0,8339;0,8448;0,7998;0,7948;0,7826;0,7833;0,7745;0,7726;0,7728;0,7761;0,7374;0,7338;0,688;0,6848;0,6766;0,6744;0,6724;0,6897;0,6918;0,6186;0,6213;0,5958;0,535;0,5149;0,5281;0,5336;0,5545;0,573;0,547;0,5488;0,5573;0,5816;0,585;0,5807;0,595;0,6015;0,5848;0,5642;0,591;0,6166;0,6683;0,6845;0,6387;0,6276;0,641;0,743;0,7612;0,7735;0,757;0,8148;0,7605;0,6575;0,6234;0,6134;0,6149;0,5605;0,547;0,5301
VO monthly avg;Consumer Goods; 5.10 ; 571.66 ; 1294.87 ; 422.57 ; 501.44 ; 2528.71 ; 356.13 ; 493.88 ; 185.15 ; 129.89 ; 66.70 ; 993.11 ; 351.70 ; 592.41 ; 2638.21 ; 237.42 ; 51.40 ; 313.08 ; 403.57 ; 91.10 ; 49.30 ; 34.01 ; 64.38 ; 117.09 ; 15.88 ; 37.91 ; 101.79 ; 58.58 ; 30.06 ; 66.40 ; 53.41 ; 87.90 ; 183.61 ; 81.23 ; 355.78 ; 372.96 ; 180.28 ; 709.02 ; 180.35 ; 385.37 ; 165.42 ; 49.65 ; 88.98 ; 120.85 ; 97.42 ; 1761.74 ; 125.58 ; 207.76 ; 387.27 ; 146.10 ; 100.87 ; 71.15 ; 1267.71 ; 273.99 ; 174.71 ; 83.53 ; 107.69 ; 250.40 ; 100.49 ; 137.84 ; 175.01 ; 91.92 ; 231.99 ; 137.31 ; 530.35 ; 668.73 ; 582.80 ; 524.50 ; 111.08 ; 841.29 ; 250.68 ; 130.94 ; 220.62 ; 185.71 ; 280.89 ; 442.30 ; 100.05 ; 320.60 ; 518.18 ; 272.52 ; 480.67 ; 156.05 ; 188.77 ; 163.00 ; 140.34 ; 310.10 ; 337.02 ; 364.50 ; 237.48 ; 217.70 ; 559.71 ; 317.64 ; 256.65 ; 214.15 ; 98.04 ; 137.11 ; 208.51 ; 133.15 ; 313.92 ; 380.30 ; 187.87 ; 201.91 ; 340.84 ; 284.68 ; 265.56 ; 187.87 ; 662.53 ; 296.17 ; 68.44 ; 314.13 ; 261.22 ; 298.09 ; 294.18 ; 255.63 ; 374.91 ; 288.99 ; 204.79 ; 203.35 ; 277.78 ; 291.10 ; 291.85 ; 664.72 ; 556.58 ; 544.58 ; 271.57 ; 426.64 ; 353.48 ; 574.22 ; 409.60 ; 438.33 ; 199.91 ; 237.16 ; 292.05 ; 325.48 ; 227.13 ; 133.31 ; 338.55 ; 150.45 ; 254.28 ; 460.13 ; 396.34 ; 444.73 ; 523.58 ; 445.10 ; 227.73 ; 344.23 ; 131.83 ; 654.35 ; 264.15 ; 297.73 ; 432.32 ; 122.03 ; 150.45 ; 320.70 ; 140.36 ; 550.61 ; 360.03 
Total assets;Consumer Goods;686950;631914;631914;631914;631914;631914;631914;631914;631914;631914;631914;631914;631914;358881;358881;358881;358881;358881;358881;358881;358881;358881;358881;358881;358881;340714;340714;340714;340714;340714;340714;340714;340714;340714;340714;340714;340714;377147;377147;377147;377147;377147;377147;377147;377147;377147;377147;377147;377147;438501;438501;438501;438501;438501;438501;438501;438501;438501;438501;438501;438501;493613;493613;493613;493613;493613;493613;493613;493613;493613;493613;493613;493613;632184;632184;632184;632184;632184;632184;632184;632184;632184;632184;632184;632184;780420;780420;780420;780420;780420;780420;780420;780420;780420;780420;780420;780420;907988;907988;907988;907988;907988;907988;907988;907988;907988;907988;907988;907988;958000;958000;958000;958000;958000;958000;958000;958000;958000;958000;958000;958000;1126600;1126600;1126600;1126600;1126600;1126600;1126600;1126600;1126600;1126600;1126600;1126600;1313100;1313100;1313100;1313100;1313100;1313100;1313100;1313100;1313100;1313100;1313100;1313100;1614900;1614900;1614900;1614900;1614900;1614900;1614900;1614900;1614900;1614900;1614900;1614900
Net sales;Consumer Goods;554235;515950;515950;515950;515950;515950;515950;515950;515950;515950;515950;515950;515950;470078;470078;470078;470078;470078;470078;470078;470078;470078;470078;470078;470078;485784;485784;485784;485784;485784;485784;485784;485784;485784;485784;485784;485784;569834;569834;569834;569834;569834;569834;569834;569834;569834;569834;569834;569834;661035;661035;661035;661035;661035;661035;661035;661035;661035;661035;661035;661035;830129;830129;830129;830129;830129;830129;830129;830129;830129;830129;830129;830129;962711;962711;962711;962711;962711;962711;962711;962711;962711;962711;962711;962711;1197793;1197793;1197793;1197793;1197793;1197793;1197793;1197793;1197793;1197793;1197793;1197793;1375997;1375997;1375997;1375997;1375997;1375997;1375997;1375997;1375997;1375997;1375997;1375997;1470100;1470100;1470100;1470100;1470100;1470100;1470100;1470100;1470100;1470100;1470100;1470100;1605600;1605600;1605600;1605600;1605600;1605600;1605600;1605600;1605600;1605600;1605600;1605600;1687200;1687200;1687200;1687200;1687200;1687200;1687200;1687200;1687200;1687200;1687200;1687200;1766300;1766300;1766300;1766300;1766300;1766300;1766300;1766300;1766300;1766300;1766300;1766300
common equity;Consumer Goods;453178;437017;437017;437017;437017;437017;437017;437017;437017;437017;437017;437017;437017;172396;172396;172396;172396;172396;172396;172396;172396;172396;172396;172396;172396;213118;213118;213118;213118;213118;213118;213118;213118;213118;213118;213118;213118;251152;251152;251152;251152;251152;251152;251152;251152;251152;251152;251152;251152;285541;285541;285541;285541;285541;285541;285541;285541;285541;285541;285541;285541;327246;327246;327246;327246;327246;327246;327246;327246;327246;327246;327246;327246;414924;414924;414924;414924;414924;414924;414924;414924;414924;414924;414924;414924;508895;508895;508895;508895;508895;508895;508895;508895;508895;508895;508895;508895;610593;610593;610593;610593;610593;610593;610593;610593;610593;610593;610593;610593;677800;677800;677800;677800;677800;677800;677800;677800;677800;677800;677800;677800;751200;751200;751200;751200;751200;751200;751200;751200;751200;751200;751200;751200;793100;793100;793100;793100;793100;793100;793100;793100;793100;793100;793100;793100;853000;853000;853000;853000;853000;853000;853000;853000;853000;853000;853000;853000
Turnover ratio;Consumer Goods;0,00%;0,15%;0,33%;0,11%;0,13%;0,64%;0,09%;0,13%;0,05%;0,03%;0,02%;0,25%;0,09%;0,15%;0,67%;0,06%;0,01%;0,08%;0,10%;0,02%;0,01%;0,01%;0,02%;0,03%;0,00%;0,01%;0,03%;0,01%;0,01%;0,02%;0,01%;0,02%;0,05%;0,02%;0,09%;0,09%;0,05%;0,18%;0,05%;0,10%;0,04%;0,01%;0,02%;0,03%;0,02%;0,45%;0,03%;0,05%;0,10%;0,04%;0,03%;0,02%;0,32%;0,07%;0,04%;0,02%;0,03%;0,06%;0,03%;0,04%;0,04%;0,02%;0,06%;0,03%;0,13%;0,17%;0,15%;0,13%;0,03%;0,21%;0,06%;0,03%;0,06%;0,05%;0,07%;0,11%;0,03%;0,08%;0,13%;0,07%;0,12%;0,04%;0,05%;0,04%;0,04%;0,08%;0,09%;0,09%;0,06%;0,06%;0,14%;0,08%;0,07%;0,05%;0,02%;0,03%;0,05%;0,03%;0,08%;0,10%;0,05%;0,05%;0,09%;0,07%;0,07%;0,05%;0,16%;0,07%;0,02%;0,08%;0,07%;0,07%;0,07%;0,06%;0,09%;0,07%;0,05%;0,05%;0,07%;0,07%;0,07%;0,17%;0,14%;0,14%;0,07%;0,11%;0,09%;0,14%;0,10%;0,10%;0,05%;0,06%;0,07%;0,08%;0,05%;0,03%;0,08%;0,04%;0,06%;0,11%;0,09%;0,11%;0,12%;0,11%;0,05%;0,08%;0,03%;0,16%;0,06%;0,07%;0,10%;0,03%;0,04%;0,08%;0,03%;0,13%;0,09%
Return monthly;Consumer Goods;;0,482849604;0,395610913;-0,283467913;0,200474496;-0,312747036;-0,030194105;0,09340252;-0,028474576;-0,293789253;-0,041501976;0,043298969;0,083003953;0,230839416;0,280948851;-0,121527778;-0,083662714;0,151689432;0,210362047;-0,217122228;-0,05599473;-0,087927425;0,03213466;0,09340252;0,143050847;-0,199881376;0,031134173;0,06038821;0,114576271;0,025547445;0,050415184;0,04743083;0,27277628;-0,017789072;0,109098749;0,147356143;0,199932226;-0,107031912;0,066729918;0,062259117;0,011722021;-0,094068966;0,026187576;0,0884273;0,01172301;0,034492051;0,188851263;0,196319018;-0,062637363;0,058421258;0,007937973;0,054578755;0,036992011;0,017417518;0,021728395;0,134847753;0,124929018;0,027763756;0,027136542;0,05260012;0,049971607;0,042833964;0,050202261;0,095703704;0,038128718;-0,039246332;-0,081608676;0,080003936;0,086469248;-0,007380074;0,042497465;0,111111111;0,033333333;-0,029011082;0,112968886;0,2;0,090246027;0,093010484;-0,021239666;-0,021747247;-0,022230703;0,079527713;0,042574347;-0,004074909;-0,0061809;-0,144314996;0,096381225;-0,131839402;0,082114433;0,009591015;-0,107156921;0,034676664;0,056692242;-0,032724889;-0,102538706;-0,025731877;0,158349729;-0,063307427;-0,054013957;0,060002323;0,113540468;0,037498155;0,036142864;0,055802243;0,022025668;0,072883082;0,040846184;0,009801314;0,019412362;-0,01524154;0,141208215;0,02541705;0,030231218;-0,049207336;0,017262236;-0,008484654;-0,025639363;0,076047904;0,004946516;0,0032917;-0,024591421;-0,041998051;-0,022805578;-0,030523842;0,062727304;0,035688677;-0,02929792;0,003566103;-0,008851273;0,007724399;0,063068016;0,049134443;0,001623942;0,030660104;0,029719936;0,025834084;-0,04331986;-0,087310632;-0,008680027;-0,001781929;0,068542058;-0,037674981;-0,010445974;0,036931732;0,050843008;0,087106176;0,00148099;0,037020984;-0,037346643;0,030290647;0,029424888;-0,030004575;-0,039770611;0,020605497;0,007624886;0,015159514;-0,019415552
