Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Industrials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;63562;63562;63562;63562;63562;63562;63562;63562;63562;63562;63562;63562;128706;128706;128706;128706;128706;128706;128706;128706;128706;128706;128706;128706;138678;138678;138678;138678;138678;138678;138678;138678;138678;138678;138678;138678;256498;256498;256498;256498;256498;256498;256498;256498;256498;256498;256498;256498;277666;277666;277666;277666;277666;277666;277666;277666;277666;277666;277666;277666;215902;215902;215902;215902;215902;215902;215902;215902;215902;215902;215902;215902;270981;270981;270981;270981;270981;270981;270981;270981;270981;270981;270981;270981;323644;323644;323644;323644;323644;323644;323644;323644;323644;323644;323644;323644;358579;358579;358579;358579;358579;358579;358579;358579;358579;358579;358579;358579;NA;NA;NA;NA;NA;NA;NA
Excess return;Industrials;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,019951282;0,05879677;-0,074006445;-0,0999884;0,199896894;-0,036949517;0;-0,057773812;0,285748106;-0,063524213;0,067833268;-0,126956362;-0,018243172;-0,166595059;0,066632298;-0,041686805;-0,108687429;0;-0,044580171;-0,132475446;-0,107119047;0,059503598;-0,154833499;-0,119893518;0,085480459;0,032230777;-0,213740726;-0,062142147;0,397990022;-0,157451372;-0,060371638;0,029949756;-0,11456109;-0,024136848;-0,221739713;-0,1287605;-0,223649406;-0,208406391;-0,055343344;-0,142628862;-0,359649136;-0,152657719;-0,236858269;-0,157409217;-0,39474603;-0,286420089;-0,1560406;-0,06963208;-0,325251647;-0,27937536;-0,049784262;-0,213764178;-0,253557531;-0,249745098;-0,364118186;-0,1241281;0,001300284;0,025653012;-0,152907498;-0,189636488;-0,270775021;-0,04687819;-0,16927833;-0,247920096;-0,215633326;-0,273056195;-0,1218385;0,04791701;-0,327675086;-0,060494772;-0,174000543;-0,178901378;-0,1094905;-0,31018476;0,140292569;-0,0940675;0,09023316;-0,055182002;-0,161356203;-0,211066558;0,026016456;-0,035631302;0,071010208;-0,002056074;-0,0823001;-0,126159975;-0,129842714;-0,028792244;-0,0769695;0,008639228;-0,206444697;-0,117911456;-0,115763193;-0,107474676;-0,0582898;0,113744411;0,124433425;-0,105012454;-0,141886842;-0,16463199;-0,020161361;-0,172007362;-0,021688267;-0,142271959;-0,096275;-0,1081486;-0,1156432;0,233047181;-0,273837974;-0,065422895;-0,169201221;0,052815013
Risk premium;Industrials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Industrials;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,8223;0,6828;0,5667;0,8368;0,9426;0,797;0,8317;0,9609;0,8984;0,8925;0,8796;0,9338;0,8409;0,8744;0,9016;0,8092;0,9098;0,9633;0,7335;0,5542;0,5071;0,5753;1,0202;0,7157;0,8005;0,8164;0,7242;0,8218;0,7551;0,7562;0,8133;0,8567;0,8868;0,7344;0,7526;0,7764;0,4534;0,4645;0,5687;0,5411;0,5369;0,5316;0,5615;0,6049;0,6286;0,6387;0,5955;0,5901;0,6034;0,5895;0,6591;0,6357;0,6474;0,5725;0,5825;0,4935;0,4367;0,4482;0,1225;0,3665;0,3815;0,3833;0,2747;0,2328;0,1426;0,1334;0,1637;0,0627;0,0589;0,0804;-0,0145;-0,0235;0,0566;0,0736;-0,1156;-0,1042;-0,1879;-0,1454;-0,1996;-0,0128;-0,0553;-0,1387;0,0652;0,1369;0,108;0,275;0,2806;0,325;0,4722;0,5364;0,3926;0,4944;0,5259;0,6339
VO monthly avg;Industrials; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 59.53 ; 56.55 ; 197.16 ; 47.41 ; 24.24 ; 215.79 ; 34.98 ; 215.30 ; 122.10 ; 204.53 ; 133.80 ; 106.59 ; 327.16 ; 153.13 ; 215.41 ; 514.94 ; 224.79 ; 316.98 ; 440.74 ; 497.62 ; 142.54 ; 381.12 ; 754.52 ; 330.58 ; 330.85 ; 284.33 ; 491.37 ; 725.30 ; 504.56 ; 1589.73 ; 1674.36 ; 1997.38 ; 1800.63 ; 462.74 ; 1439.42 ; 952.54 ; 1105.07 ; 1296.86 ; 669.70 ; 694.74 ; 283.14 ; 2071.53 ; 736.47 ; 863.70 ; 269.05 ; 890.16 ; 765.68 ; 1217.57 ; 1044.37 ; 1001.88 ; 1095.29 ; 727.58 ; 258.38 ; 776.22 ; 679.11 ; 2506.77 ; 1146.92 ; 390.72 ; 504.76 ; 1272.92 ; 410.38 ; 569.68 ; 1026.66 ; 1198.08 ; 1325.94 ; 879.82 ; 1613.73 ; 610.39 ; 554.00 ; 439.89 ; 416.58 ; 358.14 ; 446.01 ; 306.87 ; 210.50 ; 337.42 ; 333.74 ; 352.24 ; 780.41 ; 513.96 ; 202.84 ; 536.37 ; 283.00 ; 1048.89 ; 608.07 ; 487.23 ; 793.91 ; 939.63 ; 300.01 ; 350.33 ; 737.62 ; 243.09 ; 241.89 ; 370.68 ; 307.25 ; 1360.09 ; 948.52 ; 696.66 ; 234.08 ; 244.37 ; 408.72 ; 513.90 ; 818.85 ; 442.19 ; 559.23 ; 764.15 ; 753.08 ; 277.35 ; 347.67 ; 464.16 ; 349.02 ; 189.29 ; 107.90 
Total assets;Industrials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;114665;114665;114665;114665;114665;114665;114665;114665;114665;114665;114665;114665;327733;327733;327733;327733;327733;327733;327733;327733;327733;327733;327733;327733;392004;392004;392004;392004;392004;392004;392004;392004;392004;392004;392004;392004;600153;600153;600153;600153;600153;600153;600153;600153;600153;600153;600153;600153;759882;759882;759882;759882;759882;759882;759882;759882;759882;759882;759882;759882;441587;441587;441587;441587;441587;441587;441587;441587;441587;441587;441587;441587;514113;514113;514113;514113;514113;514113;514113;514113;514113;514113;514113;514113;591043;591043;591043;591043;591043;591043;591043;591043;591043;591043;591043;591043;625140;625140;625140;625140;625140;625140;625140;625140;625140;625140;625140;625140;NA;NA;NA;NA;NA;NA;NA
Net sales;Industrials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;33587;33587;33587;33587;33587;33587;33587;33587;33587;33587;33587;33587;93844;93844;93844;93844;93844;93844;93844;93844;93844;93844;93844;93844;326145;326145;326145;326145;326145;326145;326145;326145;326145;326145;326145;326145;446985;446985;446985;446985;446985;446985;446985;446985;446985;446985;446985;446985;584801;584801;584801;584801;584801;584801;584801;584801;584801;584801;584801;584801;752070;752070;752070;752070;752070;752070;752070;752070;752070;752070;752070;752070;693830;693830;693830;693830;693830;693830;693830;693830;693830;693830;693830;693830;807300;807300;807300;807300;807300;807300;807300;807300;807300;807300;807300;807300;868576;868576;868576;868576;868576;868576;868576;868576;868576;868576;868576;868576;956164;956164;956164;956164;956164;956164;956164;956164;956164;956164;956164;956164;NA;NA;NA;NA;NA;NA;NA
common equity;Industrials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;49035;49035;49035;49035;49035;49035;49035;49035;49035;49035;49035;49035;197355;197355;197355;197355;197355;197355;197355;197355;197355;197355;197355;197355;251514;251514;251514;251514;251514;251514;251514;251514;251514;251514;251514;251514;344290;344290;344290;344290;344290;344290;344290;344290;344290;344290;344290;344290;467180;467180;467180;467180;467180;467180;467180;467180;467180;467180;467180;467180;219056;219056;219056;219056;219056;219056;219056;219056;219056;219056;219056;219056;222053;222053;222053;222053;222053;222053;222053;222053;222053;222053;222053;222053;228711;228711;228711;228711;228711;228711;228711;228711;228711;228711;228711;228711;229582;229582;229582;229582;229582;229582;229582;229582;229582;229582;229582;229582;NA;NA;NA;NA;NA;NA;NA
Turnover ratio;Industrials;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0,05%;0,04%;0,15%;0,04%;0,02%;0,16%;0,03%;0,16%;0,09%;0,15%;0,10%;0,08%;0,23%;0,11%;0,15%;0,36%;0,14%;0,19%;0,27%;0,15%;0,04%;0,11%;0,21%;0,09%;0,09%;0,08%;0,14%;0,20%;0,14%;0,44%;0,47%;0,56%;0,49%;0,13%;0,37%;0,25%;0,29%;0,34%;0,17%;0,18%;0,07%;0,49%;0,17%;0,20%;0,06%;0,21%;0,13%;0,21%;0,18%;0,17%;0,19%;0,12%;0,04%;0,13%;0,11%;0,42%;0,19%;0,06%;0,08%;0,21%;0,07%;0,09%;0,17%;0,20%;0,22%;0,15%;0,27%;0,10%;0,09%;0,07%;0,07%;0,06%;0,07%;0,05%;0,03%;0,05%;0,05%;0,05%;0,11%;0,08%;0,03%;0,08%;0,04%;0,15%;0,09%;0,07%;0,12%;0,14%;0,04%;0,05%;0,11%;0,04%;0,04%;0,05%;0,05%;0,20%;0,14%;0,10%;0,03%;0,04%;0,06%;0,08%;0,12%;0,07%;0,08%;0,11%;0,11%;0,04%;0,05%;0,07%;0,04%;0,02%;0,01%
Return monthly;Industrials;;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0,019951282;0,05879677;-0,074006445;-0,0999884;0,199896894;-0,036949517;0;-0,057773812;0,285748106;-0,063524213;0,067833268;-0,126956362;-0,018243172;-0,166595059;0,066632298;-0,041686805;-0,108687429;0;0,073136229;-0,022673346;0,023199353;0,204587398;-0,018822499;0,019183582;0,226417159;0,169179977;-0,078913226;0,071422653;0,533369422;-0,026124672;0,071465562;0,166650556;0,02141851;0,118880552;-0,075001813;0;-0,108084806;-0,090909091;0,066650556;0,007793738;-0,224810036;-0,009976219;-0,090925069;-0,011084617;-0,23597263;-0,147048789;-0,0172;0,07010582;-0,180279547;-0,14000696;0,069732938;-0,087000378;-0,119044331;-0,135130898;-0,249954686;0;0,124939584;0,148227712;-0,032366698;-0,066511988;-0,142916321;0,08337361;-0,03859023;-0,119953596;-0,090957026;-0,149941995;0;0,17639031;-0,199825986;0,062341428;-0,058683043;-0,062703878;0;-0,19992266;0,249879169;0;0,19992266;0,055752498;-0,052808303;-0,110860458;0,124682856;0,055752498;0,157814408;0,090957026;0;-0,043499275;-0,045477514;0,047644256;0;0,090955028;-0,125057897;-0,047644256;-0,050027793;-0,052662376;0;0,166769611;0,190577025;-0,041796354;-0,086774942;-0,09527439;0,052513339;-0,100053362;0,055736733;-0,052794159;0;0;0;0,333530981;-0,166740774;0,047758805;-0,050165521;0,052815013
