Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Industrials;152295;111400;111400;111400;111400;111400;111400;111400;111400;111400;111400;111400;111400;147273;147273;147273;147273;147273;147273;147273;147273;147273;147273;147273;147273;85685;85685;85685;85685;85685;85685;85685;85685;85685;85685;85685;85685;109003;109003;109003;109003;109003;109003;109003;109003;109003;109003;109003;109003;152878;152878;152878;152878;152878;152878;152878;152878;152878;152878;152878;152878;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excess return;Industrials;;-0,1218171;-0,1061845;-0,036596808;-0,039291861;0,309510035;-0,0981428;0,404773;-0,037726446;-0,042130802;-0,285846406;0,102662974;-0,1238231;-0,15341101;-0,099470966;-0,418683038;-0,276719901;-0,0998641;0,088774359;-0,1084832;0,134678998;-0,050180146;-0,373060141;-0,115447;-0,033239903;-0,1120039;-0,085741931;-0,199171483;-0,145310013;-0,282490301;-0,014188318;-0,116394;0,009170842;-0,248958342;0,010106101;-0,312536006;-0,1259162;0,268254222;0,010097546;-0,197792781;-0,1374275;-0,1450282;-0,163864162;-0,1471313;-0,005847748;-0,229733067;-0,001936533;-0,235397058;-0,211900683;-0,1129915;-0,1033789;-0,066828146;-0,121982;-0,271365494;-0,209012699;0,065414962;-0,0892286;-0,524892353;-0,5624293;-0,2418942;0,335720567;-0,40281915;-0,35287645;-0,329744184;-0,331270398;0,249787144;-0,0869915;-0,23999222;-0,034029614;-0,321085661;0,115442341;-0,215642299;-0,0994062;-0,276826243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Risk premium;Industrials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Industrials;-0,1121;-0,0283;-0,1685;-0,0363;-0,0696;0,0198;-0,1644;-0,171;-0,0389;-0,0405;0,0662;0,141;0,1337;0,0339;0,0831;-0,1213;-0,1225;-0,2593;-0,0955;-0,0336;0,0423;0,081;0,1761;0,169;0,1928;0,1953;0,4072;0,4173;0,1158;0,3183;0,3202;0,338;0,4905;0,5532;0,4202;0,4237;0,5574;0,5694;0,6082;0,6118;0,5925;0,6814;0,6776;0,6751;0,6204;0,5436;0,4877;0,489;0,4941;0,5205;0,4203;0,3963;0,614;0,6087;0,7262;0,5918;0,1322;0,3294;0,2398;0,6268;0,2886;0,454;0,36;0,3931;0,1056;0,109;0,0205;0,0649;0,0923;0,2951;0,2969;0,2999;0,3374;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VO monthly avg;Industrials; 0.00 ; 0.13 ; 0.24 ; 0.55 ; 0.15 ; 52.95 ; 9.57 ; 9.83 ; 4.63 ; 6.83 ; 4.27 ; 9.52 ; 0.28 ; 2.79 ; 3.59 ; 1.33 ; 0.24 ; 0.00 ; 0.01 ; 0.23 ; 0.02 ; 0.05 ; 4.46 ; 2.10 ; 0.02 ; 0.00 ; 0.05 ; 0.15 ; 0.04 ; 0.10 ; 0.27 ; 0.91 ; 3.64 ; 2.24 ; 10.10 ; 1.63 ; 1.05 ; 17.51 ; 9.94 ; 8.30 ; 0.62 ; 1.08 ; 4.05 ; 1.24 ; 13.90 ; 18.66 ; 12.91 ; 8.23 ; 3.60 ; 0.00 ; 3.34 ; 9.57 ; 0.00 ; 3.19 ; 2.34 ; 3.89 ; 0.00 ; 10.95 ; 23.20 ; 12.94 ; 60.19 ; 51.00 ; 50.05 ; 34.02 ; 101.51 ; 20.68 ; 2.10 ; 9.71 ; 3.51 ; 2.99 ; 14.07 ; 1.28 ; 69.94 ; 14.40 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 
Total assets;Industrials;110873;132562;132562;132562;132562;132562;132562;132562;132562;132562;132562;132562;132562;178704;178704;178704;178704;178704;178704;178704;178704;178704;178704;178704;178704;184137;184137;184137;184137;184137;184137;184137;184137;184137;184137;184137;184137;130964;130964;130964;130964;130964;130964;130964;130964;130964;130964;130964;130964;101771;101771;101771;101771;101771;101771;101771;101771;101771;101771;101771;101771;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Net sales;Industrials;144574;143758;143758;143758;143758;143758;143758;143758;143758;143758;143758;143758;143758;224739;224739;224739;224739;224739;224739;224739;224739;224739;224739;224739;224739;240250;240250;240250;240250;240250;240250;240250;240250;240250;240250;240250;240250;228309;228309;228309;228309;228309;228309;228309;228309;228309;228309;228309;228309;125608;125608;125608;125608;125608;125608;125608;125608;125608;125608;125608;125608;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
common equity;Industrials;-41422;20344;20344;20344;20344;20344;20344;20344;20344;20344;20344;20344;20344;30613;30613;30613;30613;30613;30613;30613;30613;30613;30613;30613;30613;97634;97634;97634;97634;97634;97634;97634;97634;97634;97634;97634;97634;21143;21143;21143;21143;21143;21143;21143;21143;21143;21143;21143;21143;-51925;-51925;-51925;-51925;-51925;-51925;-51925;-51925;-51925;-51925;-51925;-51925;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turnover ratio;Industrials;0,00%;0,00%;0,00%;0,00%;0,00%;0,09%;0,02%;0,02%;0,01%;0,01%;0,01%;0,02%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,02%;0,00%;0,00%;0,03%;0,02%;0,01%;0,00%;0,00%;0,01%;0,00%;0,02%;0,03%;0,02%;0,01%;0,01%;0,00%;0,01%;0,02%;0,00%;0,01%;0,00%;0,01%;0,00%;0,02%;0,04%;0,02%;0,11%;0,09%;0,09%;0,06%;0,18%;0,04%;0,00%;0,02%;0,01%;0,01%;0,03%;0,00%;0,12%;0,03%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Return monthly;Industrials;;0;0;0,083216292;0,076823339;0,428657435;0;0,5;0,066722854;0,062417698;-0,176375806;0,214145974;0;-0,02937531;0,030264334;-0,294124938;-0,166637401;0;0,199957859;0;0,250043898;0,066722854;-0,250065841;0;0,083406497;0;0,038411669;-0,073981583;-0,040114613;-0,166637401;0,100084282;0;0,136372342;-0,120006742;0,127178701;-0,193542906;0;0,400126422;0,142814146;-0,062549381;0;0;-0,016575362;0;0,137837452;-0,090886267;0,133388567;-0,117690058;-0,099972383;0;0;0,044338754;0;-0,148817394;-0,083362099;0,181698362;0;-0,423040153;-0,4667219;-0,1248058;0,428402367;-0,29991715;-0,25739645;-0,230278884;-0,250517598;0,334254144;0;-0,15010352;0,058465286;-0,222094361;0,214497041;-0,118148599;0;-0,200276243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
