Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Consumer Goods;3468063;3468063;3468063;3468063;3468063;3468063;3468063;3939953;3939953;3939953;3939953;3939953;3939953;3939953;3939953;3939953;3939953;3939953;3939953;3220998;3220998;3220998;3220998;3220998;3220998;3220998;3220998;3220998;3220998;3220998;3220998;3343258;3343258;3343258;3343258;3343258;3343258;3343258;3343258;3343258;3343258;3343258;3343258;3704748;3704748;3704748;3704748;3704748;3704748;3704748;3704748;3704748;3704748;3704748;3704748;3494708;3494708;3494708;3494708;3494708;3494708;3494708;3494708;3494708;3494708;3494708;3494708;3785000;3785000;3785000;3785000;3785000;3785000;3785000;3785000;3785000;3785000;3785000;3785000;7936000;7936000;7936000;7936000;7936000;7936000;7936000;7936000;7936000;7936000;7936000;7936000;5242000;5242000;5242000;5242000;5242000;5242000;5242000;5242000;5242000;5242000;5242000;5242000;5025000;5025000;5025000;5025000;5025000;5025000;5025000;5025000;5025000;5025000;5025000;5025000;7905000;7905000;7905000;7905000;7905000;7905000;7905000;7905000;7905000;7905000;7905000;7905000;8850000;8850000;8850000;8850000;8850000;8850000;8850000;8850000;8850000;8850000;8850000;8850000;8938000;8938000;8938000;8938000;8938000;8938000;8938000;8938000;8938000;8938000;8938000;8938000;NA;NA;NA;NA;NA;NA
Excess return;Consumer Goods;;-0,08299472;-0,138889396;-0,29792082;-0,08944002;-0,176049;-0,105495911;-0,315361956;-0,190235956;-0,325375;-0,296836376;-0,100158477;-0,111463037;-0,180213646;-0,31662481;-0,034197515;-0,036300426;-0,124502247;-0,107342178;-0,237365582;-0,170152485;-0,239097288;-0,091584281;-0,172482164;-0,083323506;-0,118948345;-0,207285347;-0,061618358;-0,164249291;-0,015708098;-0,125928872;-0,0658256;-0,02414379;-0,118789099;-0,014549945;-0,144279499;-0,1298348;-0,087423286;-0,18836802;-0,166652309;-0,018711408;-0,214634171;-0,07782202;-0,153934563;-0,119353955;-0,070566265;-0,028091588;-0,032895656;-0,035100028;0,078317867;-0,126773277;-0,184841792;-0,204166432;-0,030703027;-0,164178707;0,067628432;-0,143689471;-0,039006298;-0,16320167;-0,143269136;-0,016699557;-0,06929083;-0,043494341;-0,051930342;-0,151036395;-0,246863254;-0,157235681;-0,052407068;-0,095374441;-0,083655337;-0,051470861;-0,047875626;-0,118202404;-0,105955435;-0,045688113;-0,084875872;-0,0789499;-0,115291489;-0,153236457;-0,273064224;-0,085026269;-0,160845151;-0,127687012;-0,161521514;-0,11250835;-0,335493958;-0,063869072;-0,263563708;-0,201600514;-0,344235718;-0,155186252;-0,166332973;-0,031156467;-0,144814887;-0,232377712;-0,088415983;-0,003166807;-0,187734348;-0,316734829;-0,129471121;-0,007545389;-0,195476953;-0,117747116;-0,029552621;-0,132880462;-0,089588041;-0,097715745;-0,123800436;-0,105755387;-0,154425249;-0,12969475;-0,124213862;-0,110981616;-0,195442931;-0,189055743;-0,109063459;-0,095006256;0,011508407;-0,125207231;-0,050481906;-0,119028514;-0,142330892;-0,174065929;-0,189388506;-0,119012815;-0,167307684;-0,085007256;-0,09693927;-0,18979948;-0,191975855;-0,070904883;-0,110438678;-0,154336163;-0,053941459;-0,198997135;-0,121167844;-0,139845988;-0,114116037;-0,033303019;-0,229559879;-0,036342218;-0,099453609;0,019995967;-0,164606528;-0,086414976;-0,042355263;-0,133754086;-0,098990262;-0,02415374;-0,196030692;-0,159367942;-0,094413012;-0,144012919;-0,053237768;-0,069092566;-0,178273939;0,008466831
Risk premium;Consumer Goods;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Consumer Goods;0,5929;0,6122;0,6933;0,7789;0,9404;0,923;0,9856;0,9641;0,9864;0,925;0,8985;0,835;0,8346;0,7299;0,7347;0,7673;0,7667;0,6997;0,7091;0,6769;0,6968;0,6876;0,7359;0,7023;0,6794;0,6936;0,5326;0,5347;0,6083;0,5604;0,5762;0,6141;0,5844;0,6189;0,6331;0,6189;0,6196;0,6994;0,6978;0,6692;0,6649;0,625;0,619;0,5874;0,5913;0,5818;0,6314;0,6308;0,6353;0,5471;0,6748;0,7223;0,7217;0,7177;0,8045;0,7908;0,7822;0,7704;0,8056;0,8335;0,7756;0,6855;0,6806;0,7645;0,8184;0,8828;0,8576;0,8541;0,8557;0,9133;0,9114;0,923;0,975;0,979;0,9236;0,8469;0,8476;0,8626;0,8057;0,7869;0,7317;0,6788;0,7227;0,5592;0,8655;0,9653;1,0394;0,9703;0,9048;0,8651;0,8277;0,7958;0,6623;0,696;0,6784;0,685;0,6909;0,754;0,6939;0,7185;0,6415;0,6463;0,6902;0,6883;0,7088;0,7155;0,7159;0,7367;0,6882;0,6576;0,6221;0,6358;0,7005;0,7096;0,7081;0,7425;0,7854;0,7519;0,7389;0,7249;0,5141;0,5506;0,5764;0,5866;0,7714;0,7368;0,6439;0,6669;0,7264;0,7266;0,7277;0,7251;0,7632;0,8015;0,7925;0,7917;0,7418;0,7216;0,7887;0,8055;0,6551;0,7954;0,7714;0,8345;0,8803;0,9088;0,8845;0,7611;0,5151;0,5858;0,5884;0,5796;0,5031;0,4653;0,5182;0,4143
VO monthly avg;Consumer Goods; 31.20 ; 100.23 ; 39.22 ; 53.97 ; 133.76 ; 61.77 ; 70.18 ; 84.68 ; 257.01 ; 50.77 ; 224.36 ; 104.25 ; 68.04 ; 99.76 ; 50.22 ; 76.02 ; 134.59 ; 109.67 ; 7.85 ; 26.42 ; 53.20 ; 98.97 ; 84.15 ; 67.77 ; 54.29 ; 33.48 ; 99.44 ; 93.28 ; 60.78 ; 79.29 ; 11.44 ; 21.60 ; 31.09 ; 54.09 ; 34.46 ; 40.36 ; 24.33 ; 104.69 ; 31.92 ; 85.16 ; 70.36 ; 36.06 ; 39.85 ; 72.96 ; 127.97 ; 120.94 ; 108.42 ; 286.56 ; 184.65 ; 149.72 ; 113.41 ; 84.04 ; 69.94 ; 94.44 ; 124.24 ; 171.59 ; 122.93 ; 180.52 ; 91.95 ; 105.77 ; 212.55 ; 115.40 ; 229.84 ; 97.85 ; 90.65 ; 162.05 ; 233.25 ; 150.93 ; 88.38 ; 101.84 ; 113.35 ; 69.83 ; 80.27 ; 118.56 ; 132.39 ; 229.23 ; 166.84 ; 198.18 ; 228.55 ; 253.85 ; 261.59 ; 179.13 ; 163.52 ; 178.36 ; 88.39 ; 159.46 ; 144.23 ; 150.73 ; 155.77 ; 156.90 ; 226.16 ; 260.90 ; 114.82 ; 196.82 ; 148.33 ; 152.18 ; 96.76 ; 162.63 ; 187.37 ; 227.39 ; 145.62 ; 197.40 ; 251.80 ; 79.39 ; 174.47 ; 165.47 ; 180.01 ; 141.58 ; 97.04 ; 102.31 ; 156.87 ; 297.15 ; 146.90 ; 120.87 ; 82.33 ; 81.05 ; 109.92 ; 112.72 ; 136.95 ; 313.28 ; 212.63 ; 114.92 ; 188.41 ; 186.54 ; 162.43 ; 79.85 ; 82.02 ; 95.56 ; 147.65 ; 128.82 ; 164.32 ; 133.70 ; 83.88 ; 123.64 ; 68.05 ; 75.41 ; 97.31 ; 60.29 ; 105.75 ; 124.65 ; 93.20 ; 163.66 ; 84.68 ; 117.19 ; 107.02 ; 147.83 ; 167.28 ; 109.55 ; 248.72 ; 233.53 ; 152.09 ; 162.65 ; 156.74 ; 198.67 ; 114.29 ; 133.58 ; 89.80 
Total assets;Consumer Goods;7963949;7963949;7963949;7963949;7963949;7963949;7963949;8472263;8472263;8472263;8472263;8472263;8472263;8472263;8472263;8472263;8472263;8472263;8472263;7206930;7206930;7206930;7206930;7206930;7206930;7206930;7206930;7206930;7206930;7206930;7206930;7391542;7391542;7391542;7391542;7391542;7391542;7391542;7391542;7391542;7391542;7391542;7391542;7633230;7633230;7633230;7633230;7633230;7633230;7633230;7633230;7633230;7633230;7633230;7633230;7514191;7514191;7514191;7514191;7514191;7514191;7514191;7514191;7514191;7514191;7514191;7514191;8109000;8109000;8109000;8109000;8109000;8109000;8109000;8109000;8109000;8109000;8109000;8109000;8601000;8601000;8601000;8601000;8601000;8601000;8601000;8601000;8601000;8601000;8601000;8601000;9902000;9902000;9902000;9902000;9902000;9902000;9902000;9902000;9902000;9902000;9902000;9902000;10709000;10709000;10709000;10709000;10709000;10709000;10709000;10709000;10709000;10709000;10709000;10709000;10722000;10722000;10722000;10722000;10722000;10722000;10722000;10722000;10722000;10722000;10722000;10722000;11573000;11573000;11573000;11573000;11573000;11573000;11573000;11573000;11573000;11573000;11573000;11573000;12851000;12851000;12851000;12851000;12851000;12851000;12851000;12851000;12851000;12851000;12851000;12851000;NA;NA;NA;NA;NA;NA
Net sales;Consumer Goods;2765131;2765131;2765131;2765131;2765131;2765131;2765131;3222173;3222173;3222173;3222173;3222173;3222173;3222173;3222173;3222173;3222173;3222173;3222173;3609416;3609416;3609416;3609416;3609416;3609416;3609416;3609416;3609416;3609416;3609416;3609416;3814833;3814833;3814833;3814833;3814833;3814833;3814833;3814833;3814833;3814833;3814833;3814833;4340894;4340894;4340894;4340894;4340894;4340894;4340894;4340894;4340894;4340894;4340894;4340894;5948982;5948982;5948982;5948982;5948982;5948982;5948982;5948982;5948982;5948982;5948982;5948982;6937000;6937000;6937000;6937000;6937000;6937000;6937000;6937000;6937000;6937000;6937000;6937000;6374000;6374000;6374000;6374000;6374000;6374000;6374000;6374000;6374000;6374000;6374000;6374000;8041000;8041000;8041000;8041000;8041000;8041000;8041000;8041000;8041000;8041000;8041000;8041000;7961000;7961000;7961000;7961000;7961000;7961000;7961000;7961000;7961000;7961000;7961000;7961000;8892000;8892000;8892000;8892000;8892000;8892000;8892000;8892000;8892000;8892000;8892000;8892000;9494000;9494000;9494000;9494000;9494000;9494000;9494000;9494000;9494000;9494000;9494000;9494000;10267000;10267000;10267000;10267000;10267000;10267000;10267000;10267000;10267000;10267000;10267000;10267000;NA;NA;NA;NA;NA;NA
common equity;Consumer Goods;2822617;2822617;2822617;2822617;2822617;2822617;2822617;2874810;2874810;2874810;2874810;2874810;2874810;2874810;2874810;2874810;2874810;2874810;2874810;2385657;2385657;2385657;2385657;2385657;2385657;2385657;2385657;2385657;2385657;2385657;2385657;2593775;2593775;2593775;2593775;2593775;2593775;2593775;2593775;2593775;2593775;2593775;2593775;3179244;3179244;3179244;3179244;3179244;3179244;3179244;3179244;3179244;3179244;3179244;3179244;3083769;3083769;3083769;3083769;3083769;3083769;3083769;3083769;3083769;3083769;3083769;3083769;2348000;2348000;2348000;2348000;2348000;2348000;2348000;2348000;2348000;2348000;2348000;2348000;119000;119000;119000;119000;119000;119000;119000;119000;119000;119000;119000;119000;569000;569000;569000;569000;569000;569000;569000;569000;569000;569000;569000;569000;1210000;1210000;1210000;1210000;1210000;1210000;1210000;1210000;1210000;1210000;1210000;1210000;1517000;1517000;1517000;1517000;1517000;1517000;1517000;1517000;1517000;1517000;1517000;1517000;1496000;1496000;1496000;1496000;1496000;1496000;1496000;1496000;1496000;1496000;1496000;1496000;2220000;2220000;2220000;2220000;2220000;2220000;2220000;2220000;2220000;2220000;2220000;2220000;NA;NA;NA;NA;NA;NA
Turnover ratio;Consumer Goods;0,04%;0,11%;0,04%;0,06%;0,15%;0,07%;0,08%;0,09%;0,29%;0,06%;0,25%;0,12%;0,08%;0,11%;0,06%;0,08%;0,15%;0,12%;0,01%;0,03%;0,06%;0,11%;0,09%;0,08%;0,06%;0,04%;0,11%;0,10%;0,07%;0,09%;0,01%;0,02%;0,03%;0,06%;0,04%;0,04%;0,03%;0,12%;0,04%;0,09%;0,08%;0,04%;0,04%;0,08%;0,11%;0,10%;0,09%;0,25%;0,16%;0,13%;0,10%;0,07%;0,06%;0,08%;0,11%;0,15%;0,11%;0,16%;0,08%;0,09%;0,18%;0,10%;0,20%;0,08%;0,08%;0,14%;0,20%;0,13%;0,08%;0,09%;0,10%;0,06%;0,07%;0,10%;0,11%;0,19%;0,14%;0,17%;0,19%;0,26%;0,25%;0,17%;0,16%;0,17%;0,08%;0,15%;0,14%;0,14%;0,15%;0,15%;0,21%;0,25%;0,11%;0,19%;0,14%;0,14%;0,09%;0,15%;0,18%;0,22%;0,14%;0,18%;0,23%;0,07%;0,16%;0,15%;0,16%;0,13%;0,09%;0,09%;0,14%;0,27%;0,13%;0,11%;0,07%;0,07%;0,10%;0,10%;0,12%;0,28%;0,19%;0,10%;0,17%;0,17%;0,15%;0,07%;0,07%;0,09%;0,13%;0,12%;0,15%;0,12%;0,08%;0,11%;0,06%;0,07%;0,09%;0,05%;0,09%;0,11%;0,08%;0,14%;0,07%;0,10%;0,09%;0,13%;0,15%;0,10%;0,22%;0,20%;0,13%;0,14%;0,14%;0,17%;0,10%;0,12%;0,08%
Return monthly;Consumer Goods;;0,07917388;0,021588504;-0,12675012;0,09030518;0;0,065096889;-0,148623656;-0,021192756;-0,16;-0,134930876;0,055046523;0,056516763;-0,012329946;-0,14583871;0,146342385;0,129801674;0,035778853;0,054531122;-0,084120882;-0,013554085;-0,083978488;0,066677419;-0,023437264;0,063978694;0,024448455;-0,075231547;0,070967742;-0,028026391;0,115397102;0,004471728;0,0679627;0,10897341;0,014301601;0,115935355;-0,012988799;0;0,052638914;-0,05000662;-0,027792709;0,123277292;-0,073159171;0,06577498;-0,012328363;0,022497945;0,070687135;0,116286612;0,093744744;0,085723872;0,192985167;-0,007360877;-0,053136892;-0,075399332;0,098712073;-0,033595207;0,196448832;-0,013510871;0,090628902;-0,03184887;-0,013158636;0,106663243;0,04819567;0,072183459;0,070933158;-0,025377195;-0,113646854;-0,017506881;0,087201232;0,045214659;0,054282563;0,086297339;0,088873374;0,021372596;0,032271565;0,090848687;0,045228828;0,0543489;0,024052311;-0,016777357;-0,137439524;0,043620831;-0,037430751;0,003393088;-0,040541914;0,02816815;-0,184930058;0,093863128;-0,107934808;-0,043898114;-0,182734418;-0,011241152;-0,024997573;0,099068433;-0,009966887;-0,106138512;0,027989017;0,119709893;-0,054632348;-0,186969129;0,000694379;0,121169111;-0,065210053;0,014485484;0,100860279;-0,000476062;0,045238459;0,038035955;0,013061664;0,028051213;-0,025496449;-0,00540245;0,000541538;0,020099884;-0,062938131;-0,062395443;0,016964041;0,033973944;0,137278107;0,004093469;0,076536794;-0,000290214;-0,021043092;-0,050852729;-0,068032706;0,012485385;-0,036889284;0,037958444;0,02347543;-0,06133628;-0,067850055;0,053890217;0,014542622;-0,028904563;0,075003041;-0,070319635;0,005459256;-0,015562588;0,003644763;0,083035081;-0,111363379;0,070529082;0,017606591;0,135294167;-0,048183028;0,034293924;0,078949137;-0,012880586;0,009059038;0,08009756;-0,083325292;-0,043898742;0,023951788;-0,036567619;0,052026132;0,043604034;-0,073073039;0,008466831
