Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Consumer Goods;10304;1261;1261;1261;1261;1261;1261;1261;1261;1261;1261;1261;1261;1305;1305;1305;1305;1305;1305;1305;1305;1305;1305;1305;1305;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;647;647;647;647;647;647;647;647;647;647;647;647;240746;240746;240746;240746;240746;240746;309711;309711;309711;309711;309711;309711;309711;309711;309711;309711;309711;309711;269584;269584;269584;269584;269584;269584;269584;269584;269584;269584;269584;269584;540774;540774;540774;540774;540774;540774;540774;540774;540774;540774;540774;540774;707081;707081;707081;707081;707081;707081;707081;707081;707081;707081;707081;707081;793726;793726;793726;793726;793726;793726;793726;793726;793726;793726;793726;793726;723421;723421;723421;723421;723421;723421;723421;723421;723421;723421;723421;723421;723421;723421;723421;723421;723421;723421;670991;670991;670991;670991;670991;670991;670991;670991;670991;670991;670991;670991;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excess return;Consumer Goods;;0,299691047;-0,455824782;-0,1761666;-0,556092626;-0,446054127;0,061616144;0,116227772;-0,326507052;-0,136458;-0,1292022;-0,222272049;-0,075143365;0,005173561;-0,451009827;0,035270144;-0,067728588;0,324760923;-0,1582004;-0,513806668;0,102018172;-0,411720489;-0,322684413;0,102454177;-0,026046465;-0,1151602;-0,216206449;-0,1310426;-0,039619065;-0,1384384;-0,054770088;-0,1408695;-0,1453833;-0,1402664;-0,1451139;-0,1372946;-0,362983042;-0,249908712;0,077057577;-0,052770465;-0,064543788;-0,041833906;-0,1226936;-0,0928883;-0,469988037;0,559107931;0,234507527;-0,232951053;-0,130498553;-0,0652438;-0,05233;-0,0846817;-0,335536979;-0,004556388;-0,467600429;-0,0774376;0,012688856;2,334349354;-0,171658662;-0,434014506;0,208475328;-0,293844417;-0,083620085;-0,346355234;-0,347451705;-0,322733874;-0,335326485;-0,433380496;-0,190969623;-0,364807818;-0,43575595;-0,280101386;-0,101786781;-0,438121822;-0,328958273;-0,450507793;0,037466573;-0,397548478;-0,451096413;-0,438824235;-0,078960749;-0,264183414;-0,218213399;-0,181842163;-0,113744;-0,223759078;-0,053108516;-0,1486863;-0,1467467;-0,513412721;0,438019775;-0,201386769;-0,00614992;-0,1102906;-0,120097835;-0,0887921;-0,105099872;-0,470126049;-0,448996259;0,354607387;-0,727289034;0,176628527;0,364350621;-0,38958983;-0,1430945;0,22579561;-0,44041821;0,076227352;-0,131589;-0,305862229;-0,04567863;-0,1240624;-0,304423723;-0,186011531;-0,064130867;-0,289262196;-0,333487833;0,219398681;-0,067098033;-0,16367581;-0,444886281;-0,049849884;-0,279888004;-0,090637;-0,147741266;-0,429402174;-0,1148828;-0,188986553;0,263945278;-0,204840016;-0,303418374;-0,068224559;-0,194189891;-0,1023585;-0,1013733;-0,0977983;-0,150208829;-0,624023;-0,1787585;2,147020112;-0,249727633;0,303653871;-0,298240869;-0,978423367;0,8166376;-0,2890672;-0,145905456;-0,228564991;-0,292094356;-0,398745584;0,216931733;0,075569344;-0,07575;0;0;0;0
Risk premium;Consumer Goods;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Consumer Goods;1,1681;1,2352;1,1376;0,8582;1,1538;0,688;0,4603;0,3969;0,3394;0,466;0,3794;0,5524;0,8331;0,6187;0,6619;0,5023;0,4938;0,3683;0,6508;0,5541;0,5161;0,5341;0,4656;0,2289;0,2268;0,2454;0,5212;0,5102;0,547;0,6768;0,6643;0,7265;0,7791;0,7328;0,8653;0,7142;0,6907;0,8276;0,7971;0,7748;0,7242;0,2894;0,2872;-0,1859;0,1237;0,0209;-0,076;-0,075;-0,1229;-0,2374;-0,39;-0,0241;0,0465;0,0244;0,0323;-0,0248;2,5709;2,817;3,2047;3,2817;2,9792;2,8516;2,6487;2,7399;2,7488;2,8276;3,4092;3,3637;3,2226;3,6915;3,6934;3,6821;3,7034;3,7992;3,7368;4,5045;4,5266;4,4176;4,8565;4,8077;0,7765;0,9423;0,9605;0,3126;0,438;0,7907;0,838;0,8601;0,7309;0,0971;0,2304;0,1541;0,2689;0,3062;0,2993;0,2467;0,3566;0,5598;0,8585;0,7567;0,9551;0,8803;0,6742;0,6696;0,7515;0,6237;0,6388;0,6384;0,653;0,6316;0,6165;0,6248;0,8918;0,8721;0,7525;0,9376;1,1215;1,3199;1,3154;1,1644;0,6634;0,1525;0,1499;0,099;0,1679;0,1482;0,5156;0,3836;0,5037;0,4516;0,4574;0,4677;0,4116;0,3795;0,3591;0,3341;0,6998;0,821;1,7795;1,7311;1,3775;1,1202;0,7598;1,9509;1,8748;1,9844;1,9873;1,9986;1,0276;0,5313;0,6032;0,5877;;;;
VO monthly avg;Consumer Goods; 0.00 ; 1.35 ; 0.25 ; 0.17 ; 1.08 ; 3.43 ; 11.73 ; 1.27 ; 0.30 ; 0.23 ; 0.32 ; 0.19 ; 0.80 ; 3.42 ; 0.43 ; 2.98 ; 0.93 ; 1.01 ; 0.00 ; 0.65 ; 0.83 ; 2.24 ; 0.60 ; 0.14 ; 6.45 ; 1.33 ; 2.13 ; 0.72 ; 0.01 ; 0.00 ; 0.30 ; 0.01 ; 0.25 ; 0.20 ; 0.00 ; 0.00 ; 1.69 ; 0.32 ; 0.27 ; 3.88 ; 0.43 ; 0.25 ; 0.14 ; 0.00 ; 1.00 ; 2.71 ; 19.52 ; 1.42 ; 0.42 ; 2.76 ; 6.94 ; 3.18 ; 0.25 ; 0.71 ; 0.30 ; 1.70 ; 2.03 ; 66.20 ; 10.75 ; 8.57 ; 13.34 ; 12.96 ; 7.84 ; 13.22 ; 2.45 ; 4.83 ; 4.19 ; 1.52 ; 1.87 ; 6.27 ; 31.60 ; 5.74 ; 0.84 ; 4.35 ; 27.77 ; 2.28 ; 9.25 ; 2.34 ; 5.15 ; 1.96 ; 3.55 ; 1.14 ; 1.88 ; 2.33 ; 0.03 ; 0.49 ; 0.15 ; 0.00 ; 0.86 ; 1.22 ; 0.32 ; 0.50 ; 2.92 ; 0.15 ; 0.11 ; 0.00 ; 0.05 ; 0.90 ; 2.25 ; 2.50 ; 0.63 ; 5.38 ; 1.05 ; 2.65 ; 0.23 ; 1.11 ; 1.05 ; 0.60 ; 0.39 ; 0.53 ; 1.94 ; 0.49 ; 0.61 ; 2.67 ; 0.60 ; 0.05 ; 1.28 ; 1.95 ; 0.15 ; 0.23 ; 0.54 ; 4.00 ; 6.79 ; 0.00 ; 3.94 ; 4.47 ; 0.00 ; 7.09 ; 3.08 ; 2.42 ; 0.13 ; 12.24 ; 6.08 ; 0.00 ; 0.53 ; 0.48 ; 1.01 ; 1.04 ; 1.26 ; 0.77 ; 0.43 ; 0.74 ; 0.01 ; 2.56 ; 0.35 ; 1.00 ; 0.38 ; 0.01 ; 0.97 ; 0.42 ; 18.83 ; 2.35 ; 0.24 ; 0.00 ; 0.00 ; 0.00 ; 0.00 
Total assets;Consumer Goods;44134;16772;16772;16772;16772;16772;16772;16772;16772;16772;16772;16772;16772;14524;14524;14524;14524;14524;14524;14524;14524;14524;14524;14524;14524;12722;12722;12722;12722;12722;12722;12722;12722;12722;12722;12722;12722;6363;6363;6363;6363;6363;6363;6363;6363;6363;6363;6363;6363;258485;258485;258485;258485;258485;258485;458365;458365;458365;458365;458365;458365;458365;458365;458365;458365;458365;458365;447696;447696;447696;447696;447696;447696;447696;447696;447696;447696;447696;447696;724734;724734;724734;724734;724734;724734;724734;724734;724734;724734;724734;724734;854482;854482;854482;854482;854482;854482;854482;854482;854482;854482;854482;854482;872829;872829;872829;872829;872829;872829;872829;872829;872829;872829;872829;872829;666527;666527;666527;666527;666527;666527;666527;666527;666527;666527;666527;666527;666527;666527;666527;666527;666527;666527;566570;566570;566570;566570;566570;566570;566570;566570;566570;566570;566570;566570;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Net sales;Consumer Goods;29097;12398;12398;12398;12398;12398;12398;12398;12398;12398;12398;12398;12398;1509;1509;1509;1509;1509;1509;1509;1509;1509;1509;1509;1509;2269;2269;2269;2269;2269;2269;2269;2269;2269;2269;2269;2269;1505;1505;1505;1505;1505;1505;1505;1505;1505;1505;1505;1505;110917;110917;110917;110917;110917;110917;161007;161007;161007;161007;161007;161007;161007;161007;161007;161007;161007;161007;120522;120522;120522;120522;120522;120522;120522;120522;120522;120522;120522;120522;118780;118780;118780;118780;118780;118780;118780;118780;118780;118780;118780;118780;82747;82747;82747;82747;82747;82747;82747;82747;82747;82747;82747;82747;78887;78887;78887;78887;78887;78887;78887;78887;78887;78887;78887;78887;65470;65470;65470;65470;65470;65470;65470;65470;65470;65470;65470;65470;65470;65470;65470;65470;65470;65470;54225;54225;54225;54225;54225;54225;54225;54225;54225;54225;54225;54225;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
common equity;Consumer Goods;33830;15511;15511;15511;15511;15511;15511;15511;15511;15511;15511;15511;15511;13219;13219;13219;13219;13219;13219;13219;13219;13219;13219;13219;13219;11588;11588;11588;11588;11588;11588;11588;11588;11588;11588;11588;11588;5716;5716;5716;5716;5716;5716;5716;5716;5716;5716;5716;5716;17739;17739;17739;17739;17739;17739;148654;148654;148654;148654;148654;148654;148654;148654;148654;148654;148654;148654;178112;178112;178112;178112;178112;178112;178112;178112;178112;178112;178112;178112;183960;183960;183960;183960;183960;183960;183960;183960;183960;183960;183960;183960;147401;147401;147401;147401;147401;147401;147401;147401;147401;147401;147401;147401;79103;79103;79103;79103;79103;79103;79103;79103;79103;79103;79103;79103;-56894;-56894;-56894;-56894;-56894;-56894;-56894;-56894;-56894;-56894;-56894;-56894;-56894;-56894;-56894;-56894;-56894;-56894;-104421;-104421;-104421;-104421;-104421;-104421;-104421;-104421;-104421;-104421;-104421;-104421;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turnover ratio;Consumer Goods;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,04%;0,00%;0,00%;0,01%;0,01%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,12%;0,02%;0,02%;0,02%;0,02%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Return monthly;Consumer Goods;;0,501108647;-0,267355982;0;-0,362903226;-0,284810127;0,199115044;0,247232472;-0,198224852;0;0;-0,084870849;0,092741935;0,166051661;-0,284810127;0,199115044;0,081180812;0,464163823;0;-0,368298368;0,247232472;-0,266272189;-0,181451613;0,221674877;0,092741935;0;-0,084870849;0;0,092741935;0;0,081180812;0;0;0;0;0;-0,228668942;-0,101769912;0,221674877;0,092741935;0,081180812;0,078498294;0;0;-0,357594937;0,665024631;0,334319527;-0,150776053;-0,057441253;0;0;0;-0,249307479;0,081180812;-0,385665529;0;0,255555556;2,592920354;0,110837438;-0,149667406;0,470664928;-0,039893617;0,156048015;-0,099041534;-0,100177305;-0,066995074;-0,034846885;-0,135667396;0,098734177;-0,051843318;-0,12272175;0,030470914;0,209677419;-0,122222222;-0,015189873;-0,089974293;0,402542373;-0,034239678;-0,059436913;-0,049889135;0,052508751;-0,124168514;-0,072151899;-0,076398363;0;-0,084194978;0,091935484;0;0;-0,400295421;0,544334975;-0,100478469;0,09929078;0;-0,017741935;0;-0,003284072;-0,349258649;-0,308860759;0,487179487;-0,578817734;0,321637427;0,495575221;-0,26035503;-0,008;0,35483871;-0,30952381;0,206896552;0;-0,178571429;0,07826087;0;-0,161290323;-0,043269231;0,065326633;-0,150943396;-0,183333333;0,380952381;0,098522167;-0,00896861;-0,316742081;0,046357616;-0,183544304;0;-0,054263566;-0,336065574;0;-0,086419753;0,378378378;-0,098039216;-0,195652174;0,040540541;-0,090909091;0;0;0;-0,028571429;-0,5;0;2,323529412;-0,097345133;0,441176471;-0,183673469;-0,791666667;1;-0,1;0,044444444;-0,042553191;-0,155555556;-0,289473684;0,333333333;0,194444444;0;0;0;0;0
