Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Financials;NA;NA;NA;NA;NA;NA;NA;615426;615426;615426;615426;615426;615426;615426;615426;615426;615426;615426;615426;645364;645364;645364;645364;645364;645364;645364;645364;645364;645364;645364;645364;637331;637331;637331;637331;637331;637331;637331;637331;637331;637331;637331;637331;738210;738210;738210;738210;738210;738210;738210;738210;738210;738210;738210;738210;1297473;1297473;1297473;1297473;1297473;1297473;1297473;1297473;1297473;1297473;1297473;1297473;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excess return;Financials;;0;0;0;0;0;0;0;0;-0,075;-0,144221405;-0,15076763;-0,302825167;0,023667967;-0,178706129;-0,300781035;0,019433133;-0,093425654;-0,118036429;-0,095242058;-0,076336511;-0,144793039;-0,147630958;-0,05948231;-0,1226314;-0,147928797;-0,149587148;-0,106936246;-0,197291508;-0,145415259;-0,192660923;-0,285524839;-0,326630786;-0,495549294;-0,1070304;0,099186438;0,180771534;-0,151210538;-0,044350399;-0,101951983;-0,073042978;-0,178663326;-0,086399363;-0,079114507;-0,020647818;-0,094330576;-0,171191101;-0,014426827;-0,083920907;-0,166686401;-0,080597598;-0,13482228;-0,091341539;-0,079867124;-0,131587843;-0,055954201;-0,007561665;-0,092319888;-0,128853065;-0,150482612;-0,017686019;-0,017853792;-0,024958655;-0,00591914;-0,078814802;-0,179208916;-0,303135748;-0,146317676;0,09596796;-0,164586636;-0,0838035;-0,012119836;-0,097664627;-0,040850467;-0,060350365;-0,117753759;-0,090290161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Risk premium;Financials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Financials;;;;;;;;;;0,6242;0,532;0,4195;0,3295;0,3349;0,4069;0,2856;0,273;0,246;0,2077;0,2364;0,2635;0,2648;0,2751;0,2736;0,2878;0,2983;0,3295;0,3386;0,3246;0,3353;0,2805;0,2287;0,2653;0,2985;0,2608;0,4527;0,4572;0,4577;0,4922;0,4718;0,4623;0,5806;0,5936;0,6412;0,6243;0,6252;0,6962;0,6956;0,711;0,7378;0,7863;0,6611;0,7964;0,7964;0,911;0,6625;0,5695;0,6645;0,6091;0,6578;0,7273;0,5801;0,5911;0,6259;0,655;0,6978;0,6571;0,7212;0,7629;0,7067;0,7036;0,7077;0,6831;0,6745;0,5939;0,6905;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VO monthly avg;Financials; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 101.20 ; 13.44 ; 50.76 ; 38.13 ; 38.05 ; 17.02 ; 24.51 ; 52.54 ; 50.34 ; 28.40 ; 33.08 ; 38.54 ; 234.65 ; 404.47 ; 10.31 ; 10.79 ; 260.24 ; 8.13 ; 10.23 ; 68.63 ; 5.43 ; 35.63 ; 22.80 ; 228.90 ; 4.93 ; 10.20 ; 104.19 ; 117.42 ; 121.50 ; 28.96 ; 31.31 ; 55.42 ; 23.46 ; 25.74 ; 5.98 ; 30.05 ; 23.58 ; 45.12 ; 30.20 ; 64.33 ; 56.65 ; 153.96 ; 338.36 ; 216.65 ; 312.17 ; 84.22 ; 66.51 ; 136.46 ; 304.23 ; 404.44 ; 121.62 ; 202.90 ; 135.80 ; 64.22 ; 97.81 ; 504.71 ; 54.83 ; 251.07 ; 52.09 ; 322.95 ; 181.80 ; 196.49 ; 34.06 ; 57.83 ; 78.36 ; 25.20 ; 44.62 ; 58.93 ; 4.52 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 
Total assets;Financials;NA;NA;NA;NA;NA;NA;NA;858343;858343;858343;858343;858343;858343;858343;858343;858343;858343;858343;858343;732338;732338;732338;732338;732338;732338;732338;732338;732338;732338;732338;732338;750413;750413;750413;750413;750413;750413;750413;750413;750413;750413;750413;750413;1325000;1325000;1325000;1325000;1325000;1325000;1325000;1325000;1325000;1325000;1325000;1325000;2196800;2196800;2196800;2196800;2196800;2196800;2196800;2196800;2196800;2196800;2196800;2196800;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Net sales;Financials;NA;NA;NA;NA;NA;NA;NA;125146;125146;125146;125146;125146;125146;125146;125146;125146;125146;125146;125146;154509;154509;154509;154509;154509;154509;154509;154509;154509;154509;154509;154509;161689;161689;161689;161689;161689;161689;161689;161689;161689;161689;161689;161689;217294;217294;217294;217294;217294;217294;217294;217294;217294;217294;217294;217294;264943;264943;264943;264943;264943;264943;264943;264943;264943;264943;264943;264943;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
common equity;Financials;NA;NA;NA;NA;NA;NA;NA;242917;242917;242917;242917;242917;242917;242917;242917;242917;242917;242917;242917;86974;86974;86974;86974;86974;86974;86974;86974;86974;86974;86974;86974;113082;113082;113082;113082;113082;113082;113082;113082;113082;113082;113082;113082;586790;586790;586790;586790;586790;586790;586790;586790;586790;586790;586790;586790;899327;899327;899327;899327;899327;899327;899327;899327;899327;899327;899327;899327;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turnover ratio;Financials;  ;  ;  ;  ;  ;  ;  ;  ;  ;0,01%;0,04%;0,03%;0,03%;0,01%;0,02%;0,04%;0,04%;0,02%;0,03%;0,03%;0,19%;0,26%;0,01%;0,01%;0,15%;0,00%;0,01%;0,04%;0,00%;0,02%;0,01%;0,14%;0,00%;0,01%;0,06%;0,07%;0,07%;0,02%;0,02%;0,02%;0,01%;0,01%;0,00%;0,01%;0,01%;0,02%;0,01%;0,03%;0,05%;0,13%;0,28%;0,18%;0,26%;0,07%;0,05%;0,10%;0,23%;0,30%;0,09%;0,15%;0,10%;0,05%;0,07%;0,37%;0,04%;0,18%;0,04%;0,24%;0,13%;0,14%;0,03%;0,04%;0,06%;0,02%;0,03%;0,04%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Return monthly;Financials;;  ;  ;  ;  ;  ;  ;  ;  ;-0,075;-0,005405405;-0,02173913;-0,166666667;0,166666667;-0,028571429;-0,150588235;0,154432133;0,038272346;0,012248671;0,030251142;0,052963989;-0,016310639;-0,018399658;0,06255449;0;-0,029435897;-0,030328648;0,013295554;-0,078941708;-0,028491359;-0,080889423;-0,176016739;-0,213616886;-0,382643794;0;0,220006538;0,300375134;-0,026375438;0,081058201;0,024471417;0,056181922;-0,039985526;0,055597437;0,065881093;0,123283082;0,049657024;-0,022730501;0,116295973;0,041672093;-0,040005001;0,045839302;-0,00697298;0,042131661;0,054506076;0,005705157;0,064783299;0,109216835;0,030643612;-0,009879765;-0,031441212;0,102633881;0,092992508;0,085080645;0,10821256;0,036550198;-0,057647516;-0,176038448;-0,015082076;0,23071066;-0,039664536;0,0408733;0,111065264;0,023520673;0,078193033;0,055415335;0,002497741;-0,010390161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
