Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Basic Materials;18700;18700;18700;16777;16777;16777;16777;16777;16777;16777;16777;16777;16777;16777;16777;17031;17031;17031;17031;17031;17031;17031;17031;17031;17031;17031;17031;13212;13212;13212;13212;13212;13212;13212;13212;13212;13212;13212;13212;14208;14208;14208;14208;14208;14208;14208;14208;14208;14208;14208;14208;13050;13050;13050;13050;13050;13050;13050;13050;13050;13050;13050;13050;17533;17533;17533;17533;17533;17533;17533;17533;17533;17533;17533;17533;19372;19372;19372;19372;19372;19372;19372;19372;19372;19372;19372;19372;32305;32305;32305;32305;32305;32305;32305;32305;32305;32305;32305;32305;27430;27430;27430;27430;27430;27430;27430;27430;27430;27430;27430;27430;33322;33322;33322;33322;33322;33322;33322;33322;33322;33322;33322;33322;35489;35489;35489;35489;35489;35489;35489;35489;35489;35489;35489;35489;30115;30115;30115;30115;30115;30115;30115;30115;30115;30115;30115;30115;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excess return;Basic Materials;;-0,1682985;-0,028266517;-0,1718133;-0,1687706;-0,1686213;-0,145884414;-0,192491476;-0,1517938;-0,1546713;-0,1496394;-0,1438902;-0,198039923;-0,1639273;-0,39593575;-0,255024213;-0,012878044;-0,238369328;0,042745408;-0,170356247;-0,1256843;-0,174853538;-0,1227108;-0,143945279;-0,306635721;-0,1091563;0,094123258;-0,106271;-0,108736;-0,100909965;-0,1029767;-0,215013452;-0,1035135;-0,0937535;-0,336139001;-0,050697071;-0,074922326;-0,097134;-0,064650565;-0,0908032;0,431245266;0,111433433;-0,047751918;-0,0912125;-0,0917165;-0,0917039;-0,0855551;-0,088664496;-0,0577987;-0,0625159;-0,0498604;-0,0463462;0,248032627;-0,006137832;-0,013298289;-0,0216952;-0,045929721;-0,0475588;-0,0447152;-0,0434666;-0,0424708;-0,0445199;-0,0431963;-0,0673038;-0,0720966;-0,0755147;-0,077484075;-0,0843006;-0,0852562;-0,0757065;-0,242136351;0,02656122;-0,0744141;-0,270538434;0,067828348;-0,19051072;0,246993109;0,237929595;-0,1213853;-0,098123428;-0,192983139;-0,028328658;0,026519422;-0,1428091;-0,3728744;-0,1318214;-0,1353105;-0,138159;-0,1454741;-0,040184902;-0,1496592;-0,350844057;-0,167625728;-0,023998092;-0,072534319;-0,1160963;-0,13958304;-0,161073208;-0,144962332;0,034908964;-0,1313416;0,126886628;-0,073413377;-0,1276031;-0,099161963;-0,1263215;-0,152922024;-0,1234179;-0,1235565;-0,1229249;-0,1132673;-0,323524294;-0,1072297;0,225162321;-0,0940893;-0,0961025;-0,0960312;-0,091504;-0,18330661;-0,041400838;-0,116967407;-0,043822802;-0,07924312;0,001496024;-0,102678937;0,058872516;-0,0406712;-0,084650502;-0,049902347;0,020030095;-0,076416232;0,017417583;-0,033016371;0,031545582;-0,0698733;-0,057124595;-0,0890286;-0,047115844;-0,017619841;0,034786583;-0,059652479;-0,120749985;-0,121945316;-0,048559724;-0,13232619;-0,275286916;0,215252618;-0,078323965;-0,093671204;-0,141896517;-0,0718921;-0,0753232;-0,0770163;0,059323557;-0,0890527;-0,211163486;-0,026181848
Risk premium;Basic Materials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Basic Materials;0,729;0,7095;0,6651;0,7891;0,7662;0,8051;0,7751;0,7639;0,7126;0,7551;0,7038;0,6554;0,6766;0,6671;0,6696;0,6645;0,6669;0,6386;0,6337;0,194;0,2061;0,2064;0,1716;0,2032;0,2047;0,1501;0,1177;0,117;0,172;0,1699;0,1409;0,14;0,1145;-0,0055;-0,0701;0,0018;-0,0014;0,018;0,0284;-0,0936;-0,0729;-0,213;-0,2137;-0,2125;-0,2045;-0,2047;-0,3023;-0,302;-0,3651;-0,2807;-0,4292;-0,6326;-0,8688;-0,8692;-0,7921;-0,9096;-0,8158;-0,5324;-0,5696;-0,5418;-0,5084;-0,4727;-0,4699;-0,1174;-0,0318;-0,0331;-0,0241;-0,0238;-0,0226;-0,0745;-0,0777;-0,0826;-0,0593;-0,0945;-0,1564;0,2191;0,1016;0,1642;0,1704;0,2328;0,2718;0,3038;0,3373;0,9057;0,8167;0,6678;0,6835;0,693;0,7107;0,6947;0,9184;0,9465;0,6884;0,6424;0,6225;0,6801;0,6908;0,6571;0,7114;0,7071;0,6832;0,6736;0,6385;0,6437;0,5989;0,5805;0,5814;0,5233;0,5255;0,5623;0,4471;0,4488;0,3219;0,3241;0,1911;0,2675;0,2624;0,208;0,2071;0,1941;0,0568;-0,1493;-0,1644;-0,1653;-0,4021;-0,3786;-0,4685;-0,4746;-0,4807;-0,4137;-0,4099;-0,4012;-0,3428;-0,159;-0,1409;-0,1508;0,1822;0,1718;0,1739;0,1743;0,1744;0,1929;0,1866;0,1901;0,0548;-0,1606;-0,1363;-0,0219;-0,1295;-0,0641;-0,1033;-0,1036;0,0201;0,0171;0,1429;0,0009
VO monthly avg;Basic Materials; 0.00 ; 0.00 ; 0.29 ; 0.00 ; 0.00 ; 0.03 ; 0.00 ; 0.00 ; 0.00 ; 5.34 ; 1.82 ; 0.57 ; 0.01 ; 0.00 ; 0.05 ; 0.02 ; 2.82 ; 0.97 ; 0.14 ; 0.01 ; 0.01 ; 0.10 ; 0.00 ; 0.10 ; 0.05 ; 0.36 ; 6.71 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.07 ; 0.00 ; 0.00 ; 0.24 ; 0.37 ; 1.70 ; 0.32 ; 57.83 ; 0.18 ; 2.45 ; 0.36 ; 0.02 ; 0.48 ; 0.05 ; 0.00 ; 0.00 ; 0.24 ; 0.00 ; 0.00 ; 1.17 ; 0.00 ; 0.55 ; 0.33 ; 0.00 ; 0.00 ; 0.45 ; 0.00 ; 0.00 ; 0.00 ; 0.26 ; 0.05 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.19 ; 0.54 ; 0.00 ; 4.32 ; 5.01 ; 4.07 ; 3.95 ; 2.37 ; 0.73 ; 0.08 ; 0.05 ; 0.01 ; 0.02 ; 0.00 ; 1.00 ; 0.45 ; 0.00 ; 0.25 ; 0.05 ; 1.08 ; 0.01 ; 1.54 ; 8.25 ; 0.05 ; 0.16 ; 0.00 ; 0.02 ; 0.14 ; 2.84 ; 0.44 ; 0.00 ; 2.35 ; 2.21 ; 5.90 ; 1.26 ; 0.40 ; 69.46 ; 0.10 ; 0.14 ; 0.20 ; 0.54 ; 47.46 ; 0.00 ; 0.72 ; 0.24 ; 0.00 ; 71.90 ; 1.10 ; 10.03 ; 0.41 ; 0.42 ; 1.26 ; 0.66 ; 1.91 ; 0.15 ; 20.01 ; 1.55 ; 0.49 ; 0.51 ; 0.40 ; 0.86 ; 1.43 ; 1.65 ; 1.96 ; 0.00 ; 0.50 ; 0.00 ; 0.84 ; 1.76 ; 0.45 ; 0.90 ; 0.23 ; 0.43 ; 0.15 ; 0.55 ; 0.29 ; 3.01 ; 2.81 ; 1.75 ; 0.02 ; 0.00 ; 18.38 ; 5.38 ; 0.34 ; 2.84 ; 0.35 ; 1.56 
Total assets;Basic Materials;26902;26902;26902;27189;27189;27189;27189;27189;27189;27189;27189;27189;27189;27189;27189;26815;26815;26815;26815;26815;26815;26815;26815;26815;26815;26815;26815;26478;26478;26478;26478;26478;26478;26478;26478;26478;26478;26478;26478;27554;27554;27554;27554;27554;27554;27554;27554;27554;27554;27554;27554;26728;26728;26728;26728;26728;26728;26728;26728;26728;26728;26728;26728;42817;42817;42817;42817;42817;42817;42817;42817;42817;42817;42817;42817;52666;52666;52666;52666;52666;52666;52666;52666;52666;52666;52666;52666;64147;64147;64147;64147;64147;64147;64147;64147;64147;64147;64147;64147;61612;61612;61612;61612;61612;61612;61612;61612;61612;61612;61612;61612;71955;71955;71955;71955;71955;71955;71955;71955;71955;71955;71955;71955;76294;76294;76294;76294;76294;76294;76294;76294;76294;76294;76294;76294;71975;71975;71975;71975;71975;71975;71975;71975;71975;71975;71975;71975;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Net sales;Basic Materials;63854;63854;63854;62000;62000;62000;62000;62000;62000;62000;62000;62000;62000;62000;62000;72244;72244;72244;72244;72244;72244;72244;72244;72244;72244;72244;72244;65778;65778;65778;65778;65778;65778;65778;65778;65778;65778;65778;65778;67423;67423;67423;67423;67423;67423;67423;67423;67423;67423;67423;67423;71130;71130;71130;71130;71130;71130;71130;71130;71130;71130;71130;71130;78874;78874;78874;78874;78874;78874;78874;78874;78874;78874;78874;78874;84457;84457;84457;84457;84457;84457;84457;84457;84457;84457;84457;84457;97216;97216;97216;97216;97216;97216;97216;97216;97216;97216;97216;97216;90922;90922;90922;90922;90922;90922;90922;90922;90922;90922;90922;90922;102068;102068;102068;102068;102068;102068;102068;102068;102068;102068;102068;102068;112637;112637;112637;112637;112637;112637;112637;112637;112637;112637;112637;112637;111045;111045;111045;111045;111045;111045;111045;111045;111045;111045;111045;111045;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
common equity;Basic Materials;8202;8202;8202;10412;10412;10412;10412;10412;10412;10412;10412;10412;10412;10412;10412;9784;9784;9784;9784;9784;9784;9784;9784;9784;9784;9784;9784;13266;13266;13266;13266;13266;13266;13266;13266;13266;13266;13266;13266;13346;13346;13346;13346;13346;13346;13346;13346;13346;13346;13346;13346;13678;13678;13678;13678;13678;13678;13678;13678;13678;13678;13678;13678;25284;25284;25284;25284;25284;25284;25284;25284;25284;25284;25284;25284;33294;33294;33294;33294;33294;33294;33294;33294;33294;33294;33294;33294;31842;31842;31842;31842;31842;31842;31842;31842;31842;31842;31842;31842;34182;34182;34182;34182;34182;34182;34182;34182;34182;34182;34182;34182;38633;38633;38633;38633;38633;38633;38633;38633;38633;38633;38633;38633;40805;40805;40805;40805;40805;40805;40805;40805;40805;40805;40805;40805;41860;41860;41860;41860;41860;41860;41860;41860;41860;41860;41860;41860;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turnover ratio;Basic Materials;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,09%;0,03%;0,01%;0,00%;0,00%;0,00%;0,00%;0,05%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,12%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,03%;0,01%;1,01%;0,00%;0,04%;0,01%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,02%;0,00%;0,01%;0,01%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,08%;0,09%;0,07%;0,07%;0,04%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,01%;0,00%;0,00%;0,00%;0,01%;0,00%;0,02%;0,10%;0,00%;0,00%;0,00%;0,00%;0,00%;0,03%;0,01%;0,00%;0,03%;0,03%;0,07%;0,02%;0,00%;0,85%;0,00%;0,00%;0,00%;0,01%;0,58%;0,00%;0,01%;0,00%;0,00%;0,88%;0,01%;0,12%;0,01%;0,01%;0,02%;0,01%;0,02%;0,00%;0,25%;0,02%;0,01%;0,01%;0,00%;0,01%;0,02%;0,02%;0,02%;0,00%;0,01%;0,00%;0,01%;0,02%;0,01%;0,01%;0,00%;0,01%;0,00%;0,01%;0,00%;0,04%;0,03%;0,02%;0,00%;0,00%;0,23%;0,07%;0,00%;0,03%;0,00%;0,02%
Return monthly;Basic Materials;;0;0,130434783;0;0;0;0,011446886;-0,038365776;0;0;0;0;-0,040014123;0;-0,22925095;-0,080960713;0,146936656;-0,081937528;0,199868508;-0,047534247;0;-0,050050338;0;-0,026343679;-0,189239621;0;0,200038358;0;0;0,005593735;0;-0,111093452;0;0;-0,249955301;0,041716329;0,015789474;0;0,031538635;0;0,526752566;0,200114433;0,043384982;0;0;0;0;-0,020790496;0;0;0;0;0,276598227;0,023302568;0,016699411;0;-0,016425121;0;0;0;0;0;0;0;0;0;0,006697625;0;0;0;-0,166681451;0,09995742;0;-0,199941934;0,136325148;-0,09995742;0,333293909;0,333274195;-0,0249501;0,002592972;-0,093309739;0,071460742;0,133319322;0;-0,2352723;0;0;0;0;0,110581198;0;-0,200014557;-0,035756528;0,107473108;0,050183181;0;-0,01671264;-0,034075908;-0,014094132;0,164356264;0;0,258873428;0,055562123;0;0,026318737;0;-0,025643824;0;0;0;0;-0,210549894;0;0,333380621;0;0;0;0;-0,08750931;0,052177462;-0,027039007;0,033371298;-0,00270032;0,075482124;-0,045111237;0,119020716;0,0122133;-0,036150302;0,002513553;0,072316995;-0,023289932;0,071441983;0,022737229;0,099978582;0;0,010125005;0;0,036007556;0,059985859;0,113217483;0,016934721;-0,041647285;-0,043489516;0,027266576;-0,06362379;-0,221354716;0,271815718;-0,019603665;-0,030029704;-0,070134817;0;0;0;0,136350857;0;-0,132006786;-0,026181848
