Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Industrials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2238789;2238789;2238789;2238789;2238789;2238789;2238789;2238789;2238789;2238789;2238789;2238789;2234384;2234384;2234384;2234384;2234384;2234384;2234384;2234384;2234384;2234384;2234384;2234384;2482831;2482831;2482831;2482831;2482831;2482831;2482831;2482831;2482831;2482831;2482831;2482831;1323963;1323963;1323963;1323963;1323963;1323963;1323963;1323963;1323963;1323963;1323963;1323963;1386997;1386997;1386997;1386997;1386997;1386997;1386997;1386997;1386997;1386997;1386997;1386997;1489021;1489021;1489021;1489021;1489021;1489021;1489021;1489021;1489021;1489021;1489021;1489021;NA;NA;NA;NA;NA;NA
Excess return;Industrials;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,068283079;-0,208064143;-0,172819295;-0,240046936;-0,155835721;-0,161645261;-0,111286692;-0,140300243;-0,177532612;-0,157455011;-0,149183572;-0,191629143;-0,02128955;-0,055158209;-0,029509173;-0,1072357;-0,1103478;-0,147544769;-0,101545921;-0,189364353;-0,251506241;-0,133567173;-0,00853008;-0,146496703;-0,042710258;-0,161308207;-0,035106149;-0,05616591;-0,105193298;-0,075764787;-0,104753859;-0,108976024;-0,044729728;-0,076131515;-0,081767778;-0,0791;0
Risk premium;Industrials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Industrials;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,2372;1,2121;1,3509;1,3572;1,2653;0,9653;0,8933;0,9177;0,9073;0,5381;0,5069;0,3675;0,4769;0,4947;0,4843;0,4839;0,5206;0,5195;0,4658;0,4001;0,3988;0,4826;0,465;0,4926;0,3141;0,2523;0,2273;0,2255;0,3038;0,3246;0,3246;0,3363;0,3066;0,3821;0,38;
VO monthly avg;Industrials; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 39.11 ; 433.00 ; 299.13 ; 202.11 ; 222.30 ; 58.90 ; 182.63 ; 235.37 ; 517.28 ; 128.78 ; 114.51 ; 87.73 ; 177.41 ; 256.59 ; 61.76 ; 529.06 ; 1566.05 ; 72.20 ; 10.43 ; 15.17 ; 11.34 ; 143.07 ; 84.16 ; 64.55 ; 46.71 ; 67.52 ; 15.55 ; 84.49 ; 95.79 ; 14.35 ; 249.92 ; 113.36 ; 28.05 ; 49.72 ; 33.39 ; 363.78 ; 0.00 ; 0.00 
Total assets;Industrials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2328843;2328843;2328843;2328843;2328843;2328843;2328843;2328843;2328843;2328843;2328843;2328843;2313282;2313282;2313282;2313282;2313282;2313282;2313282;2313282;2313282;2313282;2313282;2313282;2716131;2716131;2716131;2716131;2716131;2716131;2716131;2716131;2716131;2716131;2716131;2716131;2226300;2226300;2226300;2226300;2226300;2226300;2226300;2226300;2226300;2226300;2226300;2226300;2305932;2305932;2305932;2305932;2305932;2305932;2305932;2305932;2305932;2305932;2305932;2305932;2514624;2514624;2514624;2514624;2514624;2514624;2514624;2514624;2514624;2514624;2514624;2514624;NA;NA;NA;NA;NA;NA
Net sales;Industrials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3463275;3463275;3463275;3463275;3463275;3463275;3463275;3463275;3463275;3463275;3463275;3463275;3601257;3601257;3601257;3601257;3601257;3601257;3601257;3601257;3601257;3601257;3601257;3601257;4061998;4061998;4061998;4061998;4061998;4061998;4061998;4061998;4061998;4061998;4061998;4061998;4400888;4400888;4400888;4400888;4400888;4400888;4400888;4400888;4400888;4400888;4400888;4400888;4943383;4943383;4943383;4943383;4943383;4943383;4943383;4943383;4943383;4943383;4943383;4943383;5408067;5408067;5408067;5408067;5408067;5408067;5408067;5408067;5408067;5408067;5408067;5408067;NA;NA;NA;NA;NA;NA
common equity;Industrials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;88492;88492;88492;88492;88492;88492;88492;88492;88492;88492;88492;88492;76019;76019;76019;76019;76019;76019;76019;76019;76019;76019;76019;76019;227817;227817;227817;227817;227817;227817;227817;227817;227817;227817;227817;227817;887049;887049;887049;887049;887049;887049;887049;887049;887049;887049;887049;887049;909017;909017;909017;909017;909017;909017;909017;909017;909017;909017;909017;909017;1029308;1029308;1029308;1029308;1029308;1029308;1029308;1029308;1029308;1029308;1029308;1029308;NA;NA;NA;NA;NA;NA
Turnover ratio;Industrials;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0,03%;0,31%;0,21%;0,14%;0,16%;0,04%;0,13%;0,17%;0,37%;0,09%;0,08%;0,06%;0,13%;0,18%;0,04%;0,37%;1,11%;0,05%;0,01%;0,01%;0,01%;0,10%;0,06%;0,05%;0,03%;0,05%;0,01%;0,06%;0,07%;0,01%;0,18%;0,08%;0,02%;0,04%;0,02%;0,26%;0,00%;0,00%
Return monthly;Industrials;;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0,068283079;-0,045101843;-0,000812595;-0,070143336;0,006778179;-0,016831361;0,027391208;-0,004085143;-0,037672712;-0,045204711;-0,038298872;-0,089176643;0,08610515;0,054457891;0,079751727;0;0;-0,042516269;-0,005550521;-0,096708053;-0,160781841;-0,036213373;0,08746492;-0,051612903;0,042328042;-0,081363307;0,044363751;0,01814059;-0,014253898;0,020485013;-0,005904059;-0,005939124;0,050336072;0,023890785;0,022222222;0;0
